Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	baz	2	6	0.0014	0	0.5
emp	baz	2	6	2e-04	0	0.5
CG2678	baz	2	6	1e-04	0	0.5
crc	baz	2	6	0.0014	0	0.5
pros	baz	2	6	0.0034	0	0.5
neur	baz	2	6	0	0	0.5
Rab5	baz	2	6	0	0	0.5
Rab7	baz	2	6	3e-04	0	0.5
Mmp2	baz	2	6	0.0013	0	0.5
W	baz	2	6	2e-04	0	0.5
bowl	baz	2	6	2e-04	0	0.5
fd59A	baz	2	6	0	0	0.5
e	baz	2	6	0	0	0.5
ben	baz	2	6	0.0011	0	0.5
rdo	baz	2	6	1e-04	0	0.5
lin	baz	2	6	0	0	0.5
tra	baz	2	6	0	0	0.5
tra2	baz	2	6	0	0	0.5
cathD	baz	2	6	0	0	0.5
d	baz	2	6	3e-04	0	0.5
lva	baz	2	6	2e-04	0	0.5
pbl	baz	2	6	3e-04	0	0.5
CG33205	baz	2	6	0	0	0.5
da	baz	2	6	0	0	0.5
cactin	baz	2	6	0	0	0.5
hpo	baz	2	6	5e-04	0	0.5
Sema.2a	baz	2	6	0.0014	0	0.5
Eip74EF	baz	2	6	0	0	0.5
eg	baz	2	6	0	0	0.5
Arc42	baz	2	6	0	0	0.5
toy	baz	2	6	0.0012	0	0.5
Galpha73B	baz	2	6	2e-04	0	0.5
RhoGAPp190	baz	2	6	0	0	0.5
MED11	baz	2	6	6e-04	0	0.5
cher	baz	2	6	2e-04	0	0.5
BicD	baz	2	6	2e-04	0	0.5
MYPT.75D	baz	2	6	0.0015	0	0.5
mus304	baz	2	6	2e-04	0	0.5
CdsA	baz	2	6	1e-04	0	0.5
btl	baz	2	6	2e-04	0	0.5
Cyt.c.d	baz	2	6	0	0	0.5
tok	baz	2	6	0	0	0.5
ttk	baz	2	6	0	0	0.5
tamo	baz	2	6	0	0	0.5
CG6416	baz	2	6	0	0	0.5
flfl	baz	2	6	0	0	0.5
Pvr	baz	2	6	0	0	0.5
