Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	bcd	2	6	0.002	0	0.5
emp	bcd	2	6	8e-04	0	0.5
CG2678	bcd	2	6	0.0018	0	0.5
crc	bcd	2	6	0.0011	0	0.5
pros	bcd	2	6	0.0011	0	0.5
neur	bcd	2	6	5e-04	0	0.5
Rab5	bcd	2	6	6e-04	0	0.5
Rab7	bcd	2	6	0.0052	0	0.5
Mmp2	bcd	2	6	0.0038	0	0.5
W	bcd	2	6	0.0038	0	0.5
bowl	bcd	2	6	2e-04	0	0.5
fd59A	bcd	2	6	7e-04	0	0.5
e	bcd	2	6	4e-04	0	0.5
ben	bcd	2	6	8e-04	0	0.5
rdo	bcd	2	6	5e-04	0	0.5
lin	bcd	2	6	1e-04	0	0.5
tra	bcd	2	6	4e-04	0	0.5
tra2	bcd	2	6	0.0016	0	0.5
cathD	bcd	2	6	0.0025	0	0.5
d	bcd	2	6	0.0095	0	0.5
lva	bcd	2	6	7e-04	0	0.5
pbl	bcd	2	6	0.0031	0	0.5
CG33205	bcd	2	6	3e-04	0	0.5
da	bcd	2	6	0.0011	0	0.5
cactin	bcd	2	6	0	0	0.5
hpo	bcd	2	6	1e-04	0	0.5
Sema.2a	bcd	2	6	6e-04	0	0.5
Eip74EF	bcd	2	6	2e-04	0	0.5
eg	bcd	2	6	0.0034	0	0.5
Arc42	bcd	2	6	0.0056	0	0.5
toy	bcd	2	6	0.0014	0	0.5
Galpha73B	bcd	2	6	0	0	0.5
RhoGAPp190	bcd	2	6	6e-04	0	0.5
MED11	bcd	2	6	0.0018	0	0.5
cher	bcd	2	6	4e-04	0	0.5
BicD	bcd	2	6	0.001	0	0.5
MYPT.75D	bcd	2	6	2e-04	0	0.5
mus304	bcd	2	6	5e-04	0	0.5
CdsA	bcd	2	6	0.0018	0	0.5
btl	bcd	2	6	0.0021	0	0.5
Cyt.c.d	bcd	2	6	2e-04	0	0.5
tok	bcd	2	6	3e-04	0	0.5
ttk	bcd	2	6	0.0015	0	0.5
tamo	bcd	2	6	0.0011	0	0.5
CG6416	bcd	2	6	0.0021	0	0.5
flfl	bcd	2	6	0.0015	0	0.5
Pvr	bcd	2	6	0.0015	0	0.5
kay	bcd	2	6	0	0	0.5
Jra	bcd	2	6	2e-04	0	0.5
msk	bcd	2	6	0.0134	0	0.5
tll	bcd	2	6	1e-04	0	0.5
Tm1	bcd	2	6	6e-04	0	0.5
srp	bcd	2	6	6e-04	0	0.5
Btk29A	bcd	2	6	0.0023	0	0.5
fred	bcd	2	6	0	0	0.5
Src64B	bcd	2	6	7e-04	0	0.5
Mmp1	bcd	2	6	2e-04	0	0.5
sll	bcd	2	6	4e-04	0	0.5
Hmgs	bcd	2	6	9e-04	0	0.5
caps	bcd	2	6	0	0	0.5
Su.var.2.10	bcd	2	6	0.004	0	0.5
CycB	bcd	2	6	0.0022	0	0.5
spir	bcd	2	6	0.0014	0	0.5
spn.A	bcd	2	6	5e-04	0	0.5
Ptpmeg	bcd	2	6	4e-04	0	0.5
qua	bcd	2	6	0.002	0	0.5
msn	bcd	2	6	1e-04	0	0.5
ena	bcd	2	6	0.0014	0	0.5
spen	bcd	2	6	0	0	0.5
emc	bcd	2	6	0.0067	0	0.5
tsh	bcd	2	6	0.0047	0	0.5
Dat	bcd	2	6	5e-04	0	0.5
Lac	bcd	2	6	0.0016	0	0.5
dup	bcd	2	6	0.0021	0	0.5
CG3075	bcd	2	6	3e-04	0	0.5
Akap200	bcd	2	6	0.0019	0	0.5
CG18369	bcd	2	6	0.0014	0	0.5
bnl	bcd	2	6	7e-04	0	0.5
sec23	bcd	2	6	0.0023	0	0.5
Pde8	bcd	2	6	0.0011	0	0.5
Arp66B	bcd	2	6	0.0018	0	0.5
cos	bcd	2	6	0.001	0	0.5
Borr	bcd	2	6	0.0013	0	0.5
X140up	bcd	2	6	4e-04	0	0.5
Dhc64C	bcd	2	6	0.001	0	0.5
Not1	bcd	2	6	5e-04	0	0.5
CG9520	bcd	2	6	6e-04	0	0.5
bib	bcd	2	6	3e-04	0	0.5
mib1	bcd	2	6	0.0022	0	0.5
cas	bcd	2	6	0.0012	0	0.5
Abi	bcd	2	6	0	0	0.5
betaTub56D	bcd	2	6	0.0013	0	0.5
nej	bcd	2	6	0.0054	0	0.5
dlg1	bcd	2	6	2e-04	0	0.5
Lcp65Ag1	bcd	2	6	4e-04	0	0.5
Es2	bcd	2	6	4e-04	0	0.5
MED24	bcd	2	6	0.0045	0	0.5
Vhl	bcd	2	6	2e-04	0	0.5
tral	bcd	2	6	0.0017	0	0.5
sns	bcd	2	6	7e-04	0	0.5
mbl	bcd	2	6	0.0021	0	0.5
sav	bcd	2	6	8e-04	0	0.5
lola	bcd	2	6	0.0057	0	0.5
robo	bcd	2	6	0.0026	0	0.5
CG32486	bcd	2	6	4e-04	0	0.5
santa.maria	bcd	2	6	0.0084	0	0.5
stumps	bcd	2	6	0.002	0	0.5
abd.A	bcd	2	6	0.0066	0	0.5
dock	bcd	2	6	0.0015	0	0.5
Lar	bcd	2	6	0.0013	0	0.5
l.1.G0289	bcd	2	6	0	0	0.5
Abl	bcd	2	6	0.0012	0	0.5
Syb	bcd	2	6	0.001	0	0.5
dome	bcd	2	6	0.0024	0	0.5
ofs	bcd	2	6	8e-04	0	0.5
MED4	bcd	2	6	3e-04	0	0.5
scrib	bcd	2	6	6e-04	0	0.5
siz	bcd	2	6	0.0063	0	0.5
cbx	bcd	2	6	0.0184	0	0.5
dsx	bcd	2	6	7e-04	0	0.5
Sb	bcd	2	6	6e-04	0	0.5
sax	bcd	2	6	0.001	0	0.5
foxo	bcd	2	6	4e-04	0	0.5
Cyp1	bcd	2	6	7e-04	0	0.5
brm	bcd	2	6	9e-04	0	0.5
rad50	bcd	2	6	0.0026	0	0.5
chico	bcd	2	6	2e-04	0	0.5
cp309	bcd	2	6	4e-04	0	0.5
hdc	bcd	2	6	0	0	0.5
Axn	bcd	2	6	0	0	0.5
Apc2	bcd	2	6	4e-04	0	0.5
PhKgamma	bcd	2	6	2e-04	0	0.5
eya	bcd	2	6	3e-04	0	0.5
sktl	bcd	2	6	8e-04	0	0.5
sqd	bcd	2	6	1e-04	0	0.5
Akt1	bcd	2	6	0.0011	0	0.5
scyl	bcd	2	6	5e-04	0	0.5
cnk	bcd	2	6	0.0024	0	0.5
CG8149	bcd	2	6	9e-04	0	0.5
CG34379	bcd	2	6	0.004	0	0.5
Yp1	bcd	2	6	0.0041	0	0.5
yrt	bcd	2	6	4e-04	0	0.5
bap	bcd	2	6	0.0034	0	0.5
tud	bcd	2	6	4e-04	0	0.5
ct	bcd	2	6	3e-04	0	0.5
tup	bcd	2	6	0.0087	0	0.5
G.ialpha65A	bcd	2	6	1e-04	0	0.5
knrl	bcd	2	6	0.0025	0	0.5
Pkn	bcd	2	6	3e-04	0	0.5
Sry.delta	bcd	2	6	0.0025	0	0.5
Alh	bcd	2	6	2e-04	0	0.5
pnut	bcd	2	6	2e-04	0	0.5
phyl	bcd	2	6	0.0026	0	0.5
CG17739	bcd	2	6	0.0062	0	0.5
B4	bcd	2	6	0.006	0	0.5
CG2681	bcd	2	6	4e-04	0	0.5
tow	bcd	2	6	6e-04	0	0.5
hkl	bcd	2	6	7e-04	0	0.5
sina	bcd	2	6	0.0021	0	0.5
ry	bcd	2	6	8e-04	0	0.5
rux	bcd	2	6	0.0019	0	0.5
boss	bcd	2	6	9e-04	0	0.5
Mkp3	bcd	2	6	0	0	0.5
inaC	bcd	2	6	3e-04	0	0.5
sno	bcd	2	6	8e-04	0	0.5
jagn	bcd	2	6	8e-04	0	0.5
dpn	bcd	2	6	2e-04	0	0.5
wrapper	bcd	2	6	0.0016	0	0.5
Ca.alpha1D	bcd	2	6	1e-04	0	0.5
E2f	bcd	2	6	0.001	0	0.5
Dp	bcd	2	6	0.0018	0	0.5
l.2.efl	bcd	2	6	0.0015	0	0.5
cnc	bcd	2	6	5e-04	0	0.5
Atg5	bcd	2	6	0.0014	0	0.5
acj6	bcd	2	6	1e-04	0	0.5
Trl	bcd	2	6	0.0024	0	0.5
d4	bcd	2	6	3e-04	0	0.5
CG16719	bcd	2	6	0.0011	0	0.5
CadN	bcd	2	6	0.0066	0	0.5
gro	bcd	2	6	0.0017	0	0.5
sec13	bcd	2	6	4e-04	0	0.5
klar	bcd	2	6	9e-04	0	0.5
Rack1	bcd	2	6	0.0022	0	0.5
Sobp	bcd	2	6	0.0067	0	0.5
ash1	bcd	2	6	7e-04	0	0.5
inv	bcd	2	6	5e-04	0	0.5
shot	bcd	2	6	8e-04	0	0.5
Oseg1	bcd	2	6	4e-04	0	0.5
Spred	bcd	2	6	9e-04	0	0.5
puc	bcd	2	6	0.001	0	0.5
Atg6	bcd	2	6	1e-04	0	0.5
CG3829	bcd	2	6	0	0	0.5
sle	bcd	2	6	0.0012	0	0.5
Cka	bcd	2	6	0.001	0	0.5
form3	bcd	2	6	5e-04	0	0.5
Pk61C	bcd	2	6	1e-04	0	0.5
Pcaf	bcd	2	6	7e-04	0	0.5
sbb	bcd	2	6	0.0018	0	0.5
Ef1gamma	bcd	2	6	4e-04	0	0.5
FKBP59	bcd	2	6	0.0137	0	0.5
Eip71CD	bcd	2	6	9e-04	0	0.5
xmas.2	bcd	2	6	0.0025	0	0.5
ppan	bcd	2	6	4e-04	0	0.5
Iswi	bcd	2	6	1e-04	0	0.5
ine	bcd	2	6	2e-04	0	0.5
Tina.1	bcd	2	6	0.0019	0	0.5
bon	bcd	2	6	0.0016	0	0.5
pot	bcd	2	6	6e-04	0	0.5
chic	bcd	2	6	4e-04	0	0.5
Hem	bcd	2	6	0.0012	0	0.5
chif	bcd	2	6	0.0011	0	0.5
S6kII	bcd	2	6	1e-04	0	0.5
wal	bcd	2	6	0.0032	0	0.5
wls	bcd	2	6	0.0012	0	0.5
Ddx1	bcd	2	6	0.0035	0	0.5
Sulf1	bcd	2	6	6e-04	0	0.5
CG3987	bcd	2	6	3e-04	0	0.5
Abd.B	bcd	2	6	2e-04	0	0.5
Uba1	bcd	2	6	0.0016	0	0.5
bigmax	bcd	2	6	2e-04	0	0.5
NAT1	bcd	2	6	1e-04	0	0.5
wupA	bcd	2	6	0.0018	0	0.5
Vps28	bcd	2	6	0.0011	0	0.5
G.oalpha47A	bcd	2	6	0.0683	0	0.5
G.salpha60A	bcd	2	6	0.0035	0	0.5
dsf	bcd	2	6	1e-04	0	0.5
Khc	bcd	2	6	6e-04	0	0.5
CG10641	bcd	2	6	4e-04	0	0.5
Alk	bcd	2	6	0.0011	0	0.5
ey	bcd	2	6	0.0039	0	0.5
noc	bcd	2	6	1e-04	0	0.5
ix	bcd	2	6	0	0	0.5
Optix	bcd	2	6	9e-04	0	0.5
sdt	bcd	2	6	2e-04	0	0.5
Sxl	bcd	2	6	2e-04	0	0.5
rib	bcd	2	6	8e-04	0	0.5
sas	bcd	2	6	3e-04	0	0.5
Scgdelta	bcd	2	6	0.0016	0	0.5
sw	bcd	2	6	0.0011	0	0.5
fal	bcd	2	6	0.0012	0	0.5
ea	bcd	2	6	0	0	0.5
Ice	bcd	2	6	7e-04	0	0.5
cic	bcd	2	6	0.0015	0	0.5
Dok	bcd	2	6	4e-04	0	0.5
rhea	bcd	2	6	0.0011	0	0.5
Glycogenin	bcd	2	6	0.0012	0	0.5
cin	bcd	2	6	0.0026	0	0.5
chp	bcd	2	6	2e-04	0	0.5
Dlic2	bcd	2	6	0.0048	0	0.5
Pk92B	bcd	2	6	0.0023	0	0.5
Pak	bcd	2	6	9e-04	0	0.5
Lim1	bcd	2	6	2e-04	0	0.5
CG34450	bcd	2	6	0.0011	0	0.5
Su.H.	bcd	2	6	9e-04	0	0.5
CG12301	bcd	2	6	0.0013	0	0.5
lilli	bcd	2	6	2e-04	0	0.5
toe	bcd	2	6	6e-04	0	0.5
qkr58E.3	bcd	2	6	0.0018	0	0.5
up	bcd	2	6	0.0014	0	0.5
hep	bcd	2	6	1e-04	0	0.5
Dap160	bcd	2	6	0.0011	0	0.5
l.2.gd1	bcd	2	6	1e-04	0	0.5
hkb	bcd	2	6	5e-04	0	0.5
beta4GalNAcTA	bcd	2	6	7e-04	0	0.5
Mer	bcd	2	6	8e-04	0	0.5
Mtl	bcd	2	6	4e-04	0	0.5
spin	bcd	2	6	0.002	0	0.5
mfas	bcd	2	6	3e-04	0	0.5
frc	bcd	2	6	4e-04	0	0.5
Krn	bcd	2	6	4e-04	0	0.5
mam	bcd	2	6	0.026	0	0.5
brk	bcd	2	6	0.0011	0	0.5
Ark	bcd	2	6	0.0044	0	0.5
mmy	bcd	2	6	2e-04	0	0.5
mri	bcd	2	6	7e-04	0	0.5
Crk	bcd	2	6	3e-04	0	0.5
ssh	bcd	2	6	7e-04	0	0.5
fs.1.K10	bcd	2	6	0.0013	0	0.5
Psn	bcd	2	6	4e-04	0	0.5
CG9509	bcd	2	6	8e-04	0	0.5
CkIIalpha	bcd	2	6	0.0017	0	0.5
car	bcd	2	6	0.0012	0	0.5
capu	bcd	2	6	7e-04	0	0.5
cact	bcd	2	6	0.0025	0	0.5
Patj	bcd	2	6	8e-04	0	0.5
dpp	bcd	2	6	0.0019	0	0.5
xl6	bcd	2	6	4e-04	0	0.5
dally	bcd	2	6	0.0121	0	0.5
Pi3K92E	bcd	2	6	8e-04	0	0.5
E.bx.	bcd	2	6	1e-04	0	0.5
emb	bcd	2	6	9e-04	0	0.5
