Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	ben	2	6	3e-04	0	0.5
emp	ben	2	6	7e-04	0	0.5
CG2678	ben	2	6	3e-04	0	0.5
crc	ben	2	6	0.002	0	0.5
pros	ben	2	6	8e-04	0	0.5
neur	ben	2	6	4e-04	0	0.5
Rab5	ben	2	6	8e-04	0	0.5
Rab7	ben	2	6	0	0	0.5
Mmp2	ben	2	6	4e-04	0	0.5
W	ben	2	6	3e-04	0	0.5
bowl	ben	2	6	0.0011	0	0.5
fd59A	ben	2	6	0	0	0.5
e	ben	2	6	5e-04	0	0.5
ben	ben	2	6	2e-04	0	0.5
rdo	ben	2	6	0.0018	0	0.5
lin	ben	2	6	0.001	0	0.5
tra	ben	2	6	0	0	0.5
tra2	ben	2	6	0	0	0.5
cathD	ben	2	6	1e-04	0	0.5
d	ben	2	6	1e-04	0	0.5
lva	ben	2	6	4e-04	0	0.5
pbl	ben	2	6	5e-04	0	0.5
CG33205	ben	2	6	5e-04	0	0.5
da	ben	2	6	6e-04	0	0.5
cactin	ben	2	6	0	0	0.5
hpo	ben	2	6	5e-04	0	0.5
Sema.2a	ben	2	6	2e-04	0	0.5
Eip74EF	ben	2	6	1e-04	0	0.5
eg	ben	2	6	3e-04	0	0.5
Arc42	ben	2	6	8e-04	0	0.5
toy	ben	2	6	2e-04	0	0.5
Galpha73B	ben	2	6	1e-04	0	0.5
RhoGAPp190	ben	2	6	3e-04	0	0.5
MED11	ben	2	6	5e-04	0	0.5
cher	ben	2	6	0.0032	0	0.5
BicD	ben	2	6	4e-04	0	0.5
MYPT.75D	ben	2	6	1e-04	0	0.5
mus304	ben	2	6	2e-04	0	0.5
CdsA	ben	2	6	9e-04	0	0.5
btl	ben	2	6	2e-04	0	0.5
Cyt.c.d	ben	2	6	6e-04	0	0.5
tok	ben	2	6	6e-04	0	0.5
ttk	ben	2	6	4e-04	0	0.5
tamo	ben	2	6	0	0	0.5
CG6416	ben	2	6	3e-04	0	0.5
flfl	ben	2	6	4e-04	0	0.5
Pvr	ben	2	6	4e-04	0	0.5
kay	ben	2	6	0.0012	0	0.5
Jra	ben	2	6	0	0	0.5
msk	ben	2	6	0	0	0.5
tll	ben	2	6	2e-04	0	0.5
Tm1	ben	2	6	1e-04	0	0.5
srp	ben	2	6	1e-04	0	0.5
Btk29A	ben	2	6	0.0011	0	0.5
fred	ben	2	6	7e-04	0	0.5
Src64B	ben	2	6	0.0015	0	0.5
Mmp1	ben	2	6	5e-04	0	0.5
sll	ben	2	6	1e-04	0	0.5
Hmgs	ben	2	6	1e-04	0	0.5
caps	ben	2	6	2e-04	0	0.5
Su.var.2.10	ben	2	6	3e-04	0	0.5
CycB	ben	2	6	0.0015	0	0.5
spir	ben	2	6	0	0	0.5
spn.A	ben	2	6	5e-04	0	0.5
Ptpmeg	ben	2	6	2e-04	0	0.5
qua	ben	2	6	0	0	0.5
msn	ben	2	6	0.002	0	0.5
ena	ben	2	6	1e-04	0	0.5
spen	ben	2	6	2e-04	0	0.5
emc	ben	2	6	5e-04	0	0.5
tsh	ben	2	6	1e-04	0	0.5
Dat	ben	2	6	0.0026	0	0.5
Lac	ben	2	6	7e-04	0	0.5
dup	ben	2	6	8e-04	0	0.5
CG3075	ben	2	6	2e-04	0	0.5
Akap200	ben	2	6	9e-04	0	0.5
CG18369	ben	2	6	8e-04	0	0.5
bnl	ben	2	6	0	0	0.5
sec23	ben	2	6	7e-04	0	0.5
Pde8	ben	2	6	1e-04	0	0.5
Arp66B	ben	2	6	0.0012	0	0.5
cos	ben	2	6	2e-04	0	0.5
Borr	ben	2	6	2e-04	0	0.5
X140up	ben	2	6	1e-04	0	0.5
Dhc64C	ben	2	6	1e-04	0	0.5
Not1	ben	2	6	6e-04	0	0.5
CG9520	ben	2	6	8e-04	0	0.5
bib	ben	2	6	4e-04	0	0.5
mib1	ben	2	6	5e-04	0	0.5
cas	ben	2	6	0.0011	0	0.5
Abi	ben	2	6	3e-04	0	0.5
betaTub56D	ben	2	6	8e-04	0	0.5
nej	ben	2	6	1e-04	0	0.5
dlg1	ben	2	6	0	0	0.5
Lcp65Ag1	ben	2	6	0	0	0.5
Es2	ben	2	6	6e-04	0	0.5
MED24	ben	2	6	0	0	0.5
Vhl	ben	2	6	4e-04	0	0.5
tral	ben	2	6	4e-04	0	0.5
sns	ben	2	6	8e-04	0	0.5
mbl	ben	2	6	2e-04	0	0.5
sav	ben	2	6	0	0	0.5
lola	ben	2	6	2e-04	0	0.5
robo	ben	2	6	9e-04	0	0.5
CG32486	ben	2	6	0	0	0.5
santa.maria	ben	2	6	1e-04	0	0.5
stumps	ben	2	6	5e-04	0	0.5
abd.A	ben	2	6	7e-04	0	0.5
dock	ben	2	6	0	0	0.5
Lar	ben	2	6	1e-04	0	0.5
l.1.G0289	ben	2	6	5e-04	0	0.5
Abl	ben	2	6	8e-04	0	0.5
Syb	ben	2	6	3e-04	0	0.5
dome	ben	2	6	9e-04	0	0.5
ofs	ben	2	6	1e-04	0	0.5
MED4	ben	2	6	2e-04	0	0.5
scrib	ben	2	6	5e-04	0	0.5
siz	ben	2	6	0	0	0.5
cbx	ben	2	6	8e-04	0	0.5
dsx	ben	2	6	4e-04	0	0.5
Sb	ben	2	6	0.0019	0	0.5
sax	ben	2	6	4e-04	0	0.5
foxo	ben	2	6	0.0011	0	0.5
Cyp1	ben	2	6	5e-04	0	0.5
brm	ben	2	6	8e-04	0	0.5
rad50	ben	2	6	0	0	0.5
chico	ben	2	6	6e-04	0	0.5
cp309	ben	2	6	0	0	0.5
hdc	ben	2	6	6e-04	0	0.5
Axn	ben	2	6	2e-04	0	0.5
Apc2	ben	2	6	6e-04	0	0.5
PhKgamma	ben	2	6	6e-04	0	0.5
eya	ben	2	6	4e-04	0	0.5
sktl	ben	2	6	3e-04	0	0.5
sqd	ben	2	6	9e-04	0	0.5
Akt1	ben	2	6	1e-04	0	0.5
scyl	ben	2	6	3e-04	0	0.5
cnk	ben	2	6	4e-04	0	0.5
CG8149	ben	2	6	9e-04	0	0.5
CG34379	ben	2	6	3e-04	0	0.5
Yp1	ben	2	6	4e-04	0	0.5
yrt	ben	2	6	1e-04	0	0.5
bap	ben	2	6	1e-04	0	0.5
tud	ben	2	6	1e-04	0	0.5
ct	ben	2	6	8e-04	0	0.5
tup	ben	2	6	3e-04	0	0.5
G.ialpha65A	ben	2	6	1e-04	0	0.5
knrl	ben	2	6	2e-04	0	0.5
Pkn	ben	2	6	7e-04	0	0.5
Sry.delta	ben	2	6	8e-04	0	0.5
Alh	ben	2	6	0.0012	0	0.5
pnut	ben	2	6	4e-04	0	0.5
phyl	ben	2	6	7e-04	0	0.5
CG17739	ben	2	6	1e-04	0	0.5
B4	ben	2	6	6e-04	0	0.5
CG2681	ben	2	6	2e-04	0	0.5
tow	ben	2	6	0.0022	0	0.5
hkl	ben	2	6	3e-04	0	0.5
sina	ben	2	6	8e-04	0	0.5
ry	ben	2	6	8e-04	0	0.5
rux	ben	2	6	4e-04	0	0.5
boss	ben	2	6	5e-04	0	0.5
Mkp3	ben	2	6	2e-04	0	0.5
inaC	ben	2	6	6e-04	0	0.5
sno	ben	2	6	9e-04	0	0.5
jagn	ben	2	6	4e-04	0	0.5
dpn	ben	2	6	0	0	0.5
wrapper	ben	2	6	2e-04	0	0.5
Ca.alpha1D	ben	2	6	4e-04	0	0.5
E2f	ben	2	6	3e-04	0	0.5
Dp	ben	2	6	1e-04	0	0.5
l.2.efl	ben	2	6	0	0	0.5
cnc	ben	2	6	3e-04	0	0.5
Atg5	ben	2	6	1e-04	0	0.5
acj6	ben	2	6	2e-04	0	0.5
Trl	ben	2	6	1e-04	0	0.5
d4	ben	2	6	5e-04	0	0.5
CG16719	ben	2	6	0	0	0.5
CadN	ben	2	6	3e-04	0	0.5
gro	ben	2	6	2e-04	0	0.5
sec13	ben	2	6	4e-04	0	0.5
klar	ben	2	6	2e-04	0	0.5
Rack1	ben	2	6	1e-04	0	0.5
Sobp	ben	2	6	0	0	0.5
ash1	ben	2	6	1e-04	0	0.5
inv	ben	2	6	9e-04	0	0.5
shot	ben	2	6	1e-04	0	0.5
Oseg1	ben	2	6	0	0	0.5
Spred	ben	2	6	9e-04	0	0.5
puc	ben	2	6	8e-04	0	0.5
Atg6	ben	2	6	3e-04	0	0.5
CG3829	ben	2	6	0.001	0	0.5
sle	ben	2	6	2e-04	0	0.5
Cka	ben	2	6	5e-04	0	0.5
form3	ben	2	6	0.7259	-0.80101	0.5
Pk61C	ben	2	6	0	0	0.5
Pcaf	ben	2	6	1e-04	0	0.5
sbb	ben	2	6	9e-04	0	0.5
Ef1gamma	ben	2	6	4e-04	0	0.5
FKBP59	ben	2	6	2e-04	0	0.5
Eip71CD	ben	2	6	4e-04	0	0.5
xmas.2	ben	2	6	2e-04	0	0.5
ppan	ben	2	6	0	0	0.5
Iswi	ben	2	6	4e-04	0	0.5
ine	ben	2	6	6e-04	0	0.5
Tina.1	ben	2	6	4e-04	0	0.5
bon	ben	2	6	2e-04	0	0.5
pot	ben	2	6	0.0031	0	0.5
chic	ben	2	6	6e-04	0	0.5
Hem	ben	2	6	9e-04	0	0.5
chif	ben	2	6	3e-04	0	0.5
S6kII	ben	2	6	6e-04	0	0.5
wal	ben	2	6	0	0	0.5
wls	ben	2	6	3e-04	0	0.5
Ddx1	ben	2	6	0.0012	0	0.5
Sulf1	ben	2	6	3e-04	0	0.5
CG3987	ben	2	6	0	0	0.5
Abd.B	ben	2	6	1e-04	0	0.5
Uba1	ben	2	6	1e-04	0	0.5
bigmax	ben	2	6	1e-04	0	0.5
NAT1	ben	2	6	5e-04	0	0.5
wupA	ben	2	6	1e-04	0	0.5
Vps28	ben	2	6	2e-04	0	0.5
G.oalpha47A	ben	2	6	6e-04	0	0.5
G.salpha60A	ben	2	6	5e-04	0	0.5
dsf	ben	2	6	3e-04	0	0.5
Khc	ben	2	6	2e-04	0	0.5
CG10641	ben	2	6	3e-04	0	0.5
Alk	ben	2	6	2e-04	0	0.5
ey	ben	2	6	0	0	0.5
noc	ben	2	6	9e-04	0	0.5
ix	ben	2	6	0	0	0.5
Optix	ben	2	6	6e-04	0	0.5
sdt	ben	2	6	1e-04	0	0.5
Sxl	ben	2	6	6e-04	0	0.5
rib	ben	2	6	1e-04	0	0.5
sas	ben	2	6	1e-04	0	0.5
Scgdelta	ben	2	6	1e-04	0	0.5
sw	ben	2	6	7e-04	0	0.5
fal	ben	2	6	2e-04	0	0.5
ea	ben	2	6	3e-04	0	0.5
Ice	ben	2	6	2e-04	0	0.5
cic	ben	2	6	0.0011	0	0.5
Dok	ben	2	6	8e-04	0	0.5
rhea	ben	2	6	3e-04	0	0.5
Glycogenin	ben	2	6	6e-04	0	0.5
cin	ben	2	6	1e-04	0	0.5
chp	ben	2	6	5e-04	0	0.5
Dlic2	ben	2	6	7e-04	0	0.5
Pk92B	ben	2	6	1e-04	0	0.5
Pak	ben	2	6	4e-04	0	0.5
Lim1	ben	2	6	4e-04	0	0.5
CG34450	ben	2	6	2e-04	0	0.5
Su.H.	ben	2	6	0	0	0.5
CG12301	ben	2	6	9e-04	0	0.5
lilli	ben	2	6	2e-04	0	0.5
toe	ben	2	6	3e-04	0	0.5
qkr58E.3	ben	2	6	0.001	0	0.5
up	ben	2	6	0	0	0.5
hep	ben	2	6	4e-04	0	0.5
Dap160	ben	2	6	2e-04	0	0.5
l.2.gd1	ben	2	6	1e-04	0	0.5
hkb	ben	2	6	7e-04	0	0.5
beta4GalNAcTA	ben	2	6	4e-04	0	0.5
Mer	ben	2	6	3e-04	0	0.5
Mtl	ben	2	6	0.0019	0	0.5
spin	ben	2	6	3e-04	0	0.5
mfas	ben	2	6	0	0	0.5
frc	ben	2	6	6e-04	0	0.5
Krn	ben	2	6	2e-04	0	0.5
mam	ben	2	6	4e-04	0	0.5
brk	ben	2	6	6e-04	0	0.5
Ark	ben	2	6	1e-04	0	0.5
mmy	ben	2	6	3e-04	0	0.5
mri	ben	2	6	3e-04	0	0.5
Crk	ben	2	6	4e-04	0	0.5
ssh	ben	2	6	9e-04	0	0.5
fs.1.K10	ben	2	6	0	0	0.5
Psn	ben	2	6	0	0	0.5
CG9509	ben	2	6	1e-04	0	0.5
CkIIalpha	ben	2	6	3e-04	0	0.5
car	ben	2	6	1e-04	0	0.5
capu	ben	2	6	0.0075	0	0.5
cact	ben	2	6	5e-04	0	0.5
Patj	ben	2	6	2e-04	0	0.5
dpp	ben	2	6	0	0	0.5
xl6	ben	2	6	4e-04	0	0.5
dally	ben	2	6	0.0015	0	0.5
Pi3K92E	ben	2	6	1e-04	0	0.5
E.bx.	ben	2	6	1e-04	0	0.5
emb	ben	2	6	8e-04	0	0.5
CtBP	ben	2	6	2e-04	0	0.5
Dad	ben	2	6	1e-04	0	0.5
amx	ben	2	6	0	0	0.5
Ank2	ben	2	6	2e-04	0	0.5
CG34417	ben	2	6	0.0045	0	0.5
scra	ben	2	6	0	0	0.5
dsd	ben	2	6	4e-04	0	0.5
Ephrin	ben	2	6	3e-04	0	0.5
Appl	ben	2	6	4e-04	0	0.5
sty	ben	2	6	9e-04	0	0.5
RhoL	ben	2	6	0	0	0.5
twi	ben	2	6	2e-04	0	0.5
tub	ben	2	6	5e-04	0	0.5
ftz.f1	ben	2	6	0.0017	0	0.5
wg	ben	2	6	2e-04	0	0.5
LanB1	ben	2	6	6e-04	0	0.5
LanA	ben	2	6	1e-04	0	0.5
LanB2	ben	2	6	2e-04	0	0.5
Chi	ben	2	6	0	0	0.5
nmo	ben	2	6	5e-04	0	0.5
ics	ben	2	6	1e-04	0	0.5
oaf	ben	2	6	0.0018	0	0.5
dco	ben	2	6	6e-04	0	0.5
Dys	ben	2	6	0.0038	0	0.5
drm	ben	2	6	1e-04	0	0.5
RpL30	ben	2	6	8e-04	0	0.5
how	ben	2	6	1e-04	0	0.5
dei	ben	2	6	2e-04	0	0.5
CG1244	ben	2	6	3e-04	0	0.5
Chc	ben	2	6	1e-04	0	0.5
Orct	ben	2	6	2e-04	0	0.5
sgl	ben	2	6	3e-04	0	0.5
CG17221	ben	2	6	2e-04	0	0.5
gkt	ben	2	6	1e-04	0	0.5
by	ben	2	6	6e-04	0	0.5
Pka.C3	ben	2	6	1e-04	0	0.5
vlc	ben	2	6	4e-04	0	0.5
fl.2.d	ben	2	6	0.0018	0	0.5
Nf1	ben	2	6	0	0	0.5
CG6372	ben	2	6	1e-04	0	0.5
Rho1	ben	2	6	5e-04	0	0.5
kuk	ben	2	6	4e-04	0	0.5
l.2.gl	ben	2	6	0	0	0.5
Ald	ben	2	6	0	0	0.5
jumu	ben	2	6	6e-04	0	0.5
glu	ben	2	6	3e-04	0	0.5
fs.2.ltoPP43	ben	2	6	1e-04	0	0.5
CycE	ben	2	6	3e-04	0	0.5
CG8247	ben	2	6	6e-04	0	0.5
CSN4	ben	2	6	2e-04	0	0.5
X18w	ben	2	6	2e-04	0	0.5
bs	ben	2	6	2e-04	0	0.5
Nrt	ben	2	6	2e-04	0	0.5
mask	ben	2	6	9e-04	0	0.5
gl	ben	2	6	4e-04	0	0.5
Cp1	ben	2	6	0	0	0.5
ex	ben	2	6	1e-04	0	0.5
jing	ben	2	6	5e-04	0	0.5
shrb	ben	2	6	0.001	0	0.5
raw	ben	2	6	2e-04	0	0.5
CG9445	ben	2	6	1e-04	0	0.5
gbb	ben	2	6	2e-04	0	0.5
Hs2st	ben	2	6	4e-04	0	0.5
sls	ben	2	6	0.0013	0	0.5
kis	ben	2	6	7e-04	0	0.5
run	ben	2	6	3e-04	0	0.5
pnr	ben	2	6	1e-04	0	0.5
pn	ben	2	6	6e-04	0	0.5
pnt	ben	2	6	4e-04	0	0.5
Fmr1	ben	2	6	2e-04	0	0.5
Myo31DF	ben	2	6	4e-04	0	0.5
ALiX	ben	2	6	1e-04	0	0.5
sgg	ben	2	6	0.0019	0	0.5
mbt	ben	2	6	0.0013	0	0.5
Sin3A	ben	2	6	8e-04	0	0.5
dnc	ben	2	6	1e-04	0	0.5
morgue	ben	2	6	6e-04	0	0.5
Set2	ben	2	6	4e-04	0	0.5
exu	ben	2	6	2e-04	0	0.5
odd	ben	2	6	2e-04	0	0.5
esc	ben	2	6	4e-04	0	0.5
dah	ben	2	6	7e-04	0	0.5
Taf4	ben	2	6	0	0	0.5
Jafrac2	ben	2	6	1e-04	0	0.5
Fas3	ben	2	6	0	0	0.5
wus	ben	2	6	0.0012	0	0.5
Wnt5	ben	2	6	5e-04	0	0.5
sprt	ben	2	6	8e-04	0	0.5
jar	ben	2	6	2e-04	0	0.5
v	ben	2	6	0	0	0.5
Snap	ben	2	6	1e-04	0	0.5
vap	ben	2	6	9e-04	0	0.5
Src42A	ben	2	6	1e-04	0	0.5
esg	ben	2	6	0.0011	0	0.5
zfh1	ben	2	6	0	0	0.5
alien	ben	2	6	2e-04	0	0.5
peb	ben	2	6	8e-04	0	0.5
par.1	ben	2	6	4e-04	0	0.5
hyd	ben	2	6	2e-04	0	0.5
trc	ben	2	6	0.0011	0	0.5
Eip63E	ben	2	6	0.0018	0	0.5
ird5	ben	2	6	6e-04	0	0.5
bl	ben	2	6	8e-04	0	0.5
Syx1A	ben	2	6	9e-04	0	0.5
drl	ben	2	6	0	0	0.5
rg	ben	2	6	2e-04	0	0.5
apt	ben	2	6	2e-04	0	0.5
svr	ben	2	6	0.0013	0	0.5
sar1	ben	2	6	2e-04	0	0.5
Tab2	ben	2	6	1e-04	0	0.5
zfh2	ben	2	6	2e-04	0	0.5
dj	ben	2	6	3e-04	0	0.5
tum	ben	2	6	6e-04	0	0.5
yellow.f	ben	2	6	8e-04	0	0.5
p53	ben	2	6	1e-04	0	0.5
ImpE3	ben	2	6	2e-04	0	0.5
cbt	ben	2	6	3e-04	0	0.5
dl	ben	2	6	0.001	0	0.5
Dl	ben	2	6	7e-04	0	0.5
Sur	ben	2	6	2e-04	0	0.5
Rpd3	ben	2	6	0	0	0.5
CG4945	ben	2	6	3e-04	0	0.5
eve	ben	2	6	0.002	0	0.5
Stat92E	ben	2	6	5e-04	0	0.5
ken	ben	2	6	1e-04	0	0.5
dpld	ben	2	6	1e-04	0	0.5
CG1942	ben	2	6	5e-04	0	0.5
Dcp.1	ben	2	6	2e-04	0	0.5
Tak1	ben	2	6	5e-04	0	0.5
cg	ben	2	6	0	0	0.5
fw	ben	2	6	1e-04	0	0.5
tutl	ben	2	6	6e-04	0	0.5
bhr	ben	2	6	0.0015	0	0.5
ash2	ben	2	6	0.0022	0	0.5
mth	ben	2	6	5e-04	0	0.5
numb	ben	2	6	8e-04	0	0.5
