Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	betaTub56D	2	6	0	0	0.5
emp	betaTub56D	2	6	1e-04	0	0.5
CG2678	betaTub56D	2	6	0	0	0.5
crc	betaTub56D	2	6	0	0	0.5
pros	betaTub56D	2	6	0	0	0.5
neur	betaTub56D	2	6	0	0	0.5
Rab5	betaTub56D	2	6	2e-04	0	0.5
Rab7	betaTub56D	2	6	0	0	0.5
Mmp2	betaTub56D	2	6	0	0	0.5
W	betaTub56D	2	6	0	0	0.5
bowl	betaTub56D	2	6	2e-04	0	0.5
fd59A	betaTub56D	2	6	0	0	0.5
e	betaTub56D	2	6	1e-04	0	0.5
ben	betaTub56D	2	6	2e-04	0	0.5
rdo	betaTub56D	2	6	0	0	0.5
lin	betaTub56D	2	6	0	0	0.5
tra	betaTub56D	2	6	3e-04	0	0.5
tra2	betaTub56D	2	6	0	0	0.5
cathD	betaTub56D	2	6	1e-04	0	0.5
d	betaTub56D	2	6	0	0	0.5
lva	betaTub56D	2	6	2e-04	0	0.5
pbl	betaTub56D	2	6	8e-04	0	0.5
CG33205	betaTub56D	2	6	1e-04	0	0.5
da	betaTub56D	2	6	3e-04	0	0.5
cactin	betaTub56D	2	6	2e-04	0	0.5
hpo	betaTub56D	2	6	0	0	0.5
Sema.2a	betaTub56D	2	6	0	0	0.5
Eip74EF	betaTub56D	2	6	0	0	0.5
eg	betaTub56D	2	6	0	0	0.5
Arc42	betaTub56D	2	6	0	0	0.5
toy	betaTub56D	2	6	0	0	0.5
Galpha73B	betaTub56D	2	6	0	0	0.5
RhoGAPp190	betaTub56D	2	6	0	0	0.5
MED11	betaTub56D	2	6	1e-04	0	0.5
cher	betaTub56D	2	6	0	0	0.5
BicD	betaTub56D	2	6	0	0	0.5
MYPT.75D	betaTub56D	2	6	0	0	0.5
mus304	betaTub56D	2	6	0	0	0.5
CdsA	betaTub56D	2	6	1e-04	0	0.5
btl	betaTub56D	2	6	1e-04	0	0.5
Cyt.c.d	betaTub56D	2	6	1e-04	0	0.5
tok	betaTub56D	2	6	0	0	0.5
ttk	betaTub56D	2	6	1e-04	0	0.5
tamo	betaTub56D	2	6	3e-04	0	0.5
CG6416	betaTub56D	2	6	0	0	0.5
flfl	betaTub56D	2	6	0	0	0.5
Pvr	betaTub56D	2	6	0	0	0.5
kay	betaTub56D	2	6	0	0	0.5
Jra	betaTub56D	2	6	2e-04	0	0.5
msk	betaTub56D	2	6	0	0	0.5
tll	betaTub56D	2	6	0	0	0.5
Tm1	betaTub56D	2	6	8e-04	0	0.5
srp	betaTub56D	2	6	0	0	0.5
Btk29A	betaTub56D	2	6	0	0	0.5
fred	betaTub56D	2	6	2e-04	0	0.5
Src64B	betaTub56D	2	6	0	0	0.5
Mmp1	betaTub56D	2	6	0	0	0.5
sll	betaTub56D	2	6	0	0	0.5
Hmgs	betaTub56D	2	6	4e-04	0	0.5
caps	betaTub56D	2	6	6e-04	0	0.5
Su.var.2.10	betaTub56D	2	6	0	0	0.5
CycB	betaTub56D	2	6	0	0	0.5
spir	betaTub56D	2	6	0	0	0.5
spn.A	betaTub56D	2	6	0	0	0.5
Ptpmeg	betaTub56D	2	6	0	0	0.5
qua	betaTub56D	2	6	1e-04	0	0.5
msn	betaTub56D	2	6	0	0	0.5
ena	betaTub56D	2	6	3e-04	0	0.5
spen	betaTub56D	2	6	0	0	0.5
emc	betaTub56D	2	6	0	0	0.5
tsh	betaTub56D	2	6	0	0	0.5
Dat	betaTub56D	2	6	0	0	0.5
Lac	betaTub56D	2	6	0	0	0.5
dup	betaTub56D	2	6	1e-04	0	0.5
CG3075	betaTub56D	2	6	0	0	0.5
Akap200	betaTub56D	2	6	0	0	0.5
CG18369	betaTub56D	2	6	0	0	0.5
bnl	betaTub56D	2	6	0	0	0.5
sec23	betaTub56D	2	6	0	0	0.5
Pde8	betaTub56D	2	6	0	0	0.5
Arp66B	betaTub56D	2	6	0	0	0.5
cos	betaTub56D	2	6	0	0	0.5
Borr	betaTub56D	2	6	0	0	0.5
X140up	betaTub56D	2	6	2e-04	0	0.5
Dhc64C	betaTub56D	2	6	0	0	0.5
Not1	betaTub56D	2	6	0	0	0.5
CG9520	betaTub56D	2	6	0	0	0.5
bib	betaTub56D	2	6	0	0	0.5
mib1	betaTub56D	2	6	0	0	0.5
cas	betaTub56D	2	6	0	0	0.5
Abi	betaTub56D	2	6	0	0	0.5
betaTub56D	betaTub56D	2	6	0	0	0.5
nej	betaTub56D	2	6	0	0	0.5
dlg1	betaTub56D	2	6	0	0	0.5
Lcp65Ag1	betaTub56D	2	6	0	0	0.5
Es2	betaTub56D	2	6	0	0	0.5
MED24	betaTub56D	2	6	0	0	0.5
Vhl	betaTub56D	2	6	0	0	0.5
tral	betaTub56D	2	6	0	0	0.5
sns	betaTub56D	2	6	1e-04	0	0.5
mbl	betaTub56D	2	6	0	0	0.5
sav	betaTub56D	2	6	1e-04	0	0.5
lola	betaTub56D	2	6	0	0	0.5
robo	betaTub56D	2	6	0	0	0.5
CG32486	betaTub56D	2	6	0	0	0.5
santa.maria	betaTub56D	2	6	0	0	0.5
stumps	betaTub56D	2	6	0	0	0.5
abd.A	betaTub56D	2	6	0	0	0.5
dock	betaTub56D	2	6	0	0	0.5
Lar	betaTub56D	2	6	0	0	0.5
l.1.G0289	betaTub56D	2	6	0	0	0.5
Abl	betaTub56D	2	6	0	0	0.5
Syb	betaTub56D	2	6	0	0	0.5
dome	betaTub56D	2	6	0	0	0.5
ofs	betaTub56D	2	6	2e-04	0	0.5
MED4	betaTub56D	2	6	0	0	0.5
scrib	betaTub56D	2	6	2e-04	0	0.5
siz	betaTub56D	2	6	0	0	0.5
cbx	betaTub56D	2	6	0	0	0.5
dsx	betaTub56D	2	6	0	0	0.5
Sb	betaTub56D	2	6	0	0	0.5
sax	betaTub56D	2	6	1e-04	0	0.5
foxo	betaTub56D	2	6	1e-04	0	0.5
Cyp1	betaTub56D	2	6	0	0	0.5
brm	betaTub56D	2	6	2e-04	0	0.5
rad50	betaTub56D	2	6	0	0	0.5
chico	betaTub56D	2	6	0	0	0.5
cp309	betaTub56D	2	6	3e-04	0	0.5
hdc	betaTub56D	2	6	0	0	0.5
Axn	betaTub56D	2	6	0	0	0.5
Apc2	betaTub56D	2	6	0	0	0.5
PhKgamma	betaTub56D	2	6	0	0	0.5
eya	betaTub56D	2	6	1e-04	0	0.5
sktl	betaTub56D	2	6	0	0	0.5
sqd	betaTub56D	2	6	0	0	0.5
Akt1	betaTub56D	2	6	0	0	0.5
scyl	betaTub56D	2	6	0	0	0.5
cnk	betaTub56D	2	6	3e-04	0	0.5
CG8149	betaTub56D	2	6	0	0	0.5
CG34379	betaTub56D	2	6	8e-04	0	0.5
Yp1	betaTub56D	2	6	0	0	0.5
yrt	betaTub56D	2	6	0	0	0.5
bap	betaTub56D	2	6	0	0	0.5
tud	betaTub56D	2	6	0	0	0.5
ct	betaTub56D	2	6	0	0	0.5
tup	betaTub56D	2	6	0	0	0.5
G.ialpha65A	betaTub56D	2	6	7e-04	0	0.5
knrl	betaTub56D	2	6	0	0	0.5
Pkn	betaTub56D	2	6	5e-04	0	0.5
Sry.delta	betaTub56D	2	6	0	0	0.5
Alh	betaTub56D	2	6	4e-04	0	0.5
pnut	betaTub56D	2	6	0	0	0.5
phyl	betaTub56D	2	6	0	0	0.5
CG17739	betaTub56D	2	6	0	0	0.5
B4	betaTub56D	2	6	4e-04	0	0.5
CG2681	betaTub56D	2	6	0	0	0.5
tow	betaTub56D	2	6	0	0	0.5
hkl	betaTub56D	2	6	0	0	0.5
sina	betaTub56D	2	6	1e-04	0	0.5
ry	betaTub56D	2	6	0	0	0.5
rux	betaTub56D	2	6	3e-04	0	0.5
boss	betaTub56D	2	6	0.001	0	0.5
Mkp3	betaTub56D	2	6	0	0	0.5
inaC	betaTub56D	2	6	5e-04	0	0.5
sno	betaTub56D	2	6	0	0	0.5
jagn	betaTub56D	2	6	0	0	0.5
dpn	betaTub56D	2	6	0	0	0.5
wrapper	betaTub56D	2	6	0	0	0.5
Ca.alpha1D	betaTub56D	2	6	2e-04	0	0.5
E2f	betaTub56D	2	6	5e-04	0	0.5
Dp	betaTub56D	2	6	0	0	0.5
l.2.efl	betaTub56D	2	6	0	0	0.5
cnc	betaTub56D	2	6	0	0	0.5
Atg5	betaTub56D	2	6	3e-04	0	0.5
acj6	betaTub56D	2	6	1e-04	0	0.5
Trl	betaTub56D	2	6	0	0	0.5
d4	betaTub56D	2	6	2e-04	0	0.5
CG16719	betaTub56D	2	6	1e-04	0	0.5
CadN	betaTub56D	2	6	0	0	0.5
gro	betaTub56D	2	6	0	0	0.5
sec13	betaTub56D	2	6	0	0	0.5
klar	betaTub56D	2	6	0	0	0.5
Rack1	betaTub56D	2	6	1e-04	0	0.5
Sobp	betaTub56D	2	6	0	0	0.5
