Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	blow	2	6	0	0	0.5
emp	blow	2	6	0.0024	0	0.5
CG2678	blow	2	6	0	0	0.5
crc	blow	2	6	2e-04	0	0.5
pros	blow	2	6	2e-04	0	0.5
neur	blow	2	6	7e-04	0	0.5
Rab5	blow	2	6	1e-04	0	0.5
Rab7	blow	2	6	0.0014	0	0.5
Mmp2	blow	2	6	1e-04	0	0.5
W	blow	2	6	0	0	0.5
bowl	blow	2	6	2e-04	0	0.5
fd59A	blow	2	6	2e-04	0	0.5
e	blow	2	6	1e-04	0	0.5
ben	blow	2	6	1e-04	0	0.5
rdo	blow	2	6	8e-04	0	0.5
lin	blow	2	6	7e-04	0	0.5
tra	blow	2	6	0	0	0.5
tra2	blow	2	6	7e-04	0	0.5
cathD	blow	2	6	3e-04	0	0.5
d	blow	2	6	0	0	0.5
lva	blow	2	6	2e-04	0	0.5
pbl	blow	2	6	2e-04	0	0.5
CG33205	blow	2	6	0.0023	0	0.5
da	blow	2	6	0.0041	0	0.5
cactin	blow	2	6	8e-04	0	0.5
hpo	blow	2	6	1e-04	0	0.5
Sema.2a	blow	2	6	2e-04	0	0.5
Eip74EF	blow	2	6	8e-04	0	0.5
eg	blow	2	6	7e-04	0	0.5
Arc42	blow	2	6	4e-04	0	0.5
toy	blow	2	6	0	0	0.5
Galpha73B	blow	2	6	7e-04	0	0.5
RhoGAPp190	blow	2	6	0	0	0.5
MED11	blow	2	6	0.0013	0	0.5
cher	blow	2	6	3e-04	0	0.5
BicD	blow	2	6	8e-04	0	0.5
MYPT.75D	blow	2	6	0.0019	0	0.5
mus304	blow	2	6	9e-04	0	0.5
CdsA	blow	2	6	4e-04	0	0.5
btl	blow	2	6	4e-04	0	0.5
Cyt.c.d	blow	2	6	0	0	0.5
tok	blow	2	6	0	0	0.5
ttk	blow	2	6	1e-04	0	0.5
tamo	blow	2	6	0.0011	0	0.5
CG6416	blow	2	6	4e-04	0	0.5
flfl	blow	2	6	0.0114	0	0.5
Pvr	blow	2	6	0.0018	0	0.5
kay	blow	2	6	2e-04	0	0.5
Jra	blow	2	6	5e-04	0	0.5
msk	blow	2	6	8e-04	0	0.5
tll	blow	2	6	1e-04	0	0.5
Tm1	blow	2	6	7e-04	0	0.5
srp	blow	2	6	0	0	0.5
Btk29A	blow	2	6	1e-04	0	0.5
fred	blow	2	6	2e-04	0	0.5
Src64B	blow	2	6	0	0	0.5
Mmp1	blow	2	6	4e-04	0	0.5
sll	blow	2	6	1e-04	0	0.5
Hmgs	blow	2	6	3e-04	0	0.5
caps	blow	2	6	3e-04	0	0.5
Su.var.2.10	blow	2	6	0	0	0.5
CycB	blow	2	6	0.0024	0	0.5
spir	blow	2	6	4e-04	0	0.5
spn.A	blow	2	6	0	0	0.5
Ptpmeg	blow	2	6	0	0	0.5
qua	blow	2	6	1e-04	0	0.5
msn	blow	2	6	4e-04	0	0.5
ena	blow	2	6	6e-04	0	0.5
spen	blow	2	6	4e-04	0	0.5
emc	blow	2	6	4e-04	0	0.5
tsh	blow	2	6	0	0	0.5
Dat	blow	2	6	0.0065	0	0.5
Lac	blow	2	6	0.0014	0	0.5
dup	blow	2	6	5e-04	0	0.5
CG3075	blow	2	6	5e-04	0	0.5
Akap200	blow	2	6	0	0	0.5
CG18369	blow	2	6	2e-04	0	0.5
bnl	blow	2	6	0	0	0.5
sec23	blow	2	6	0.0042	0	0.5
Pde8	blow	2	6	0	0	0.5
Arp66B	blow	2	6	0	0	0.5
cos	blow	2	6	1e-04	0	0.5
Borr	blow	2	6	4e-04	0	0.5
X140up	blow	2	6	0.0018	0	0.5
Dhc64C	blow	2	6	0	0	0.5
Not1	blow	2	6	9e-04	0	0.5
CG9520	blow	2	6	3e-04	0	0.5
bib	blow	2	6	0	0	0.5
mib1	blow	2	6	9e-04	0	0.5
cas	blow	2	6	0	0	0.5
Abi	blow	2	6	2e-04	0	0.5
betaTub56D	blow	2	6	1e-04	0	0.5
nej	blow	2	6	5e-04	0	0.5
dlg1	blow	2	6	5e-04	0	0.5
Lcp65Ag1	blow	2	6	2e-04	0	0.5
Es2	blow	2	6	2e-04	0	0.5
MED24	blow	2	6	2e-04	0	0.5
Vhl	blow	2	6	0	0	0.5
tral	blow	2	6	2e-04	0	0.5
sns	blow	2	6	2e-04	0	0.5
mbl	blow	2	6	0.0016	0	0.5
sav	blow	2	6	0.0025	0	0.5
lola	blow	2	6	3e-04	0	0.5
robo	blow	2	6	0.0017	0	0.5
CG32486	blow	2	6	9e-04	0	0.5
santa.maria	blow	2	6	1e-04	0	0.5
stumps	blow	2	6	0	0	0.5
abd.A	blow	2	6	1e-04	0	0.5
dock	blow	2	6	5e-04	0	0.5
Lar	blow	2	6	5e-04	0	0.5
l.1.G0289	blow	2	6	3e-04	0	0.5
Abl	blow	2	6	0	0	0.5
Syb	blow	2	6	1e-04	0	0.5
dome	blow	2	6	0.6237	-0.95771	0.5
ofs	blow	2	6	0	0	0.5
MED4	blow	2	6	6e-04	0	0.5
scrib	blow	2	6	0	0	0.5
siz	blow	2	6	3e-04	0	0.5
cbx	blow	2	6	0	0	0.5
dsx	blow	2	6	0	0	0.5
Sb	blow	2	6	0.001	0	0.5
sax	blow	2	6	4e-04	0	0.5
foxo	blow	2	6	8e-04	0	0.5
Cyp1	blow	2	6	7e-04	0	0.5
brm	blow	2	6	0	0	0.5
rad50	blow	2	6	1e-04	0	0.5
chico	blow	2	6	9e-04	0	0.5
cp309	blow	2	6	2e-04	0	0.5
hdc	blow	2	6	2e-04	0	0.5
Axn	blow	2	6	0.0053	0	0.5
Apc2	blow	2	6	2e-04	0	0.5
PhKgamma	blow	2	6	7e-04	0	0.5
eya	blow	2	6	7e-04	0	0.5
sktl	blow	2	6	1e-04	0	0.5
sqd	blow	2	6	3e-04	0	0.5
Akt1	blow	2	6	0	0	0.5
scyl	blow	2	6	1e-04	0	0.5
cnk	blow	2	6	1e-04	0	0.5
CG8149	blow	2	6	1e-04	0	0.5
CG34379	blow	2	6	5e-04	0	0.5
Yp1	blow	2	6	3e-04	0	0.5
yrt	blow	2	6	1e-04	0	0.5
bap	blow	2	6	4e-04	0	0.5
tud	blow	2	6	0	0	0.5
ct	blow	2	6	7e-04	0	0.5
tup	blow	2	6	5e-04	0	0.5
G.ialpha65A	blow	2	6	8e-04	0	0.5
knrl	blow	2	6	7e-04	0	0.5
Pkn	blow	2	6	1e-04	0	0.5
Sry.delta	blow	2	6	0.0024	0	0.5
Alh	blow	2	6	3e-04	0	0.5
pnut	blow	2	6	0.0014	0	0.5
phyl	blow	2	6	1e-04	0	0.5
CG17739	blow	2	6	0.0013	0	0.5
B4	blow	2	6	3e-04	0	0.5
CG2681	blow	2	6	2e-04	0	0.5
tow	blow	2	6	0	0	0.5
hkl	blow	2	6	0	0	0.5
sina	blow	2	6	6e-04	0	0.5
ry	blow	2	6	1e-04	0	0.5
rux	blow	2	6	1e-04	0	0.5
boss	blow	2	6	7e-04	0	0.5
Mkp3	blow	2	6	0.0015	0	0.5
inaC	blow	2	6	6e-04	0	0.5
sno	blow	2	6	4e-04	0	0.5
jagn	blow	2	6	0.0012	0	0.5
dpn	blow	2	6	1e-04	0	0.5
wrapper	blow	2	6	0	0	0.5
Ca.alpha1D	blow	2	6	0	0	0.5
E2f	blow	2	6	7e-04	0	0.5
Dp	blow	2	6	0.0095	0	0.5
l.2.efl	blow	2	6	4e-04	0	0.5
cnc	blow	2	6	7e-04	0	0.5
Atg5	blow	2	6	1e-04	0	0.5
acj6	blow	2	6	2e-04	0	0.5
Trl	blow	2	6	2e-04	0	0.5
d4	blow	2	6	0.0041	0	0.5
CG16719	blow	2	6	6e-04	0	0.5
CadN	blow	2	6	7e-04	0	0.5
gro	blow	2	6	8e-04	0	0.5
sec13	blow	2	6	0	0	0.5
klar	blow	2	6	1e-04	0	0.5
Rack1	blow	2	6	1e-04	0	0.5
Sobp	blow	2	6	0.0017	0	0.5
ash1	blow	2	6	2e-04	0	0.5
inv	blow	2	6	0	0	0.5
shot	blow	2	6	2e-04	0	0.5
Oseg1	blow	2	6	0.0011	0	0.5
Spred	blow	2	6	8e-04	0	0.5
puc	blow	2	6	5e-04	0	0.5
Atg6	blow	2	6	0.0012	0	0.5
CG3829	blow	2	6	0	0	0.5
sle	blow	2	6	3e-04	0	0.5
Cka	blow	2	6	1e-04	0	0.5
form3	blow	2	6	0.0016	0	0.5
Pk61C	blow	2	6	1e-04	0	0.5
Pcaf	blow	2	6	0.0015	0	0.5
sbb	blow	2	6	2e-04	0	0.5
Ef1gamma	blow	2	6	6e-04	0	0.5
FKBP59	blow	2	6	0	0	0.5
Eip71CD	blow	2	6	0	0	0.5
xmas.2	blow	2	6	1e-04	0	0.5
ppan	blow	2	6	1e-04	0	0.5
Iswi	blow	2	6	2e-04	0	0.5
ine	blow	2	6	7e-04	0	0.5
Tina.1	blow	2	6	5e-04	0	0.5
bon	blow	2	6	0	0	0.5
pot	blow	2	6	2e-04	0	0.5
chic	blow	2	6	0	0	0.5
Hem	blow	2	6	0	0	0.5
chif	blow	2	6	4e-04	0	0.5
S6kII	blow	2	6	0	0	0.5
wal	blow	2	6	0.0013	0	0.5
wls	blow	2	6	0.001	0	0.5
Ddx1	blow	2	6	6e-04	0	0.5
Sulf1	blow	2	6	0.0037	0	0.5
CG3987	blow	2	6	4e-04	0	0.5
Abd.B	blow	2	6	1e-04	0	0.5
Uba1	blow	2	6	2e-04	0	0.5
bigmax	blow	2	6	2e-04	0	0.5
NAT1	blow	2	6	3e-04	0	0.5
wupA	blow	2	6	2e-04	0	0.5
Vps28	blow	2	6	5e-04	0	0.5
G.oalpha47A	blow	2	6	2e-04	0	0.5
G.salpha60A	blow	2	6	1e-04	0	0.5
dsf	blow	2	6	5e-04	0	0.5
Khc	blow	2	6	0	0	0.5
CG10641	blow	2	6	1e-04	0	0.5
Alk	blow	2	6	0.0031	0	0.5
ey	blow	2	6	0	0	0.5
noc	blow	2	6	0.0012	0	0.5
ix	blow	2	6	0.001	0	0.5
Optix	blow	2	6	0	0	0.5
sdt	blow	2	6	1e-04	0	0.5
Sxl	blow	2	6	0	0	0.5
rib	blow	2	6	5e-04	0	0.5
sas	blow	2	6	7e-04	0	0.5
Scgdelta	blow	2	6	1e-04	0	0.5
sw	blow	2	6	9e-04	0	0.5
fal	blow	2	6	0	0	0.5
ea	blow	2	6	4e-04	0	0.5
Ice	blow	2	6	1e-04	0	0.5
cic	blow	2	6	3e-04	0	0.5
Dok	blow	2	6	0	0	0.5
rhea	blow	2	6	6e-04	0	0.5
Glycogenin	blow	2	6	2e-04	0	0.5
cin	blow	2	6	5e-04	0	0.5
chp	blow	2	6	0	0	0.5
Dlic2	blow	2	6	0	0	0.5
Pk92B	blow	2	6	7e-04	0	0.5
Pak	blow	2	6	2e-04	0	0.5
Lim1	blow	2	6	0.0011	0	0.5
CG34450	blow	2	6	1e-04	0	0.5
Su.H.	blow	2	6	1e-04	0	0.5
CG12301	blow	2	6	6e-04	0	0.5
lilli	blow	2	6	0	0	0.5
toe	blow	2	6	1e-04	0	0.5
qkr58E.3	blow	2	6	8e-04	0	0.5
up	blow	2	6	2e-04	0	0.5
hep	blow	2	6	5e-04	0	0.5
Dap160	blow	2	6	0	0	0.5
l.2.gd1	blow	2	6	0.0021	0	0.5
hkb	blow	2	6	8e-04	0	0.5
beta4GalNAcTA	blow	2	6	3e-04	0	0.5
Mer	blow	2	6	0	0	0.5
Mtl	blow	2	6	1e-04	0	0.5
spin	blow	2	6	0	0	0.5
mfas	blow	2	6	8e-04	0	0.5
frc	blow	2	6	1e-04	0	0.5
Krn	blow	2	6	0.0012	0	0.5
mam	blow	2	6	0	0	0.5
brk	blow	2	6	0	0	0.5
Ark	blow	2	6	2e-04	0	0.5
mmy	blow	2	6	0	0	0.5
mri	blow	2	6	0.0012	0	0.5
Crk	blow	2	6	0	0	0.5
ssh	blow	2	6	0.0042	0	0.5
fs.1.K10	blow	2	6	1e-04	0	0.5
