Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	bnb	2	6	4e-04	0	0.5
emp	bnb	2	6	2e-04	0	0.5
CG2678	bnb	2	6	1e-04	0	0.5
crc	bnb	2	6	5e-04	0	0.5
pros	bnb	2	6	9e-04	0	0.5
neur	bnb	2	6	0.0012	0	0.5
Rab5	bnb	2	6	2e-04	0	0.5
Rab7	bnb	2	6	1e-04	0	0.5
Mmp2	bnb	2	6	1e-04	0	0.5
W	bnb	2	6	2e-04	0	0.5
bowl	bnb	2	6	0	0	0.5
fd59A	bnb	2	6	0	0	0.5
e	bnb	2	6	0.0026	0	0.5
ben	bnb	2	6	2e-04	0	0.5
rdo	bnb	2	6	1e-04	0	0.5
lin	bnb	2	6	0.0016	0	0.5
tra	bnb	2	6	2e-04	0	0.5
tra2	bnb	2	6	0	0	0.5
cathD	bnb	2	6	4e-04	0	0.5
d	bnb	2	6	2e-04	0	0.5
lva	bnb	2	6	0	0	0.5
pbl	bnb	2	6	2e-04	0	0.5
CG33205	bnb	2	6	0.001	0	0.5
da	bnb	2	6	0	0	0.5
cactin	bnb	2	6	3e-04	0	0.5
hpo	bnb	2	6	0	0	0.5
Sema.2a	bnb	2	6	6e-04	0	0.5
Eip74EF	bnb	2	6	1e-04	0	0.5
eg	bnb	2	6	0.0012	0	0.5
Arc42	bnb	2	6	0.0018	0	0.5
toy	bnb	2	6	7e-04	0	0.5
Galpha73B	bnb	2	6	4e-04	0	0.5
RhoGAPp190	bnb	2	6	0	0	0.5
MED11	bnb	2	6	2e-04	0	0.5
cher	bnb	2	6	0.0019	0	0.5
BicD	bnb	2	6	8e-04	0	0.5
MYPT.75D	bnb	2	6	8e-04	0	0.5
mus304	bnb	2	6	5e-04	0	0.5
CdsA	bnb	2	6	0	0	0.5
btl	bnb	2	6	0	0	0.5
Cyt.c.d	bnb	2	6	2e-04	0	0.5
tok	bnb	2	6	1e-04	0	0.5
ttk	bnb	2	6	0	0	0.5
tamo	bnb	2	6	7e-04	0	0.5
CG6416	bnb	2	6	0.0063	0	0.5
flfl	bnb	2	6	7e-04	0	0.5
Pvr	bnb	2	6	4e-04	0	0.5
kay	bnb	2	6	4e-04	0	0.5
Jra	bnb	2	6	0.0016	0	0.5
msk	bnb	2	6	2e-04	0	0.5
tll	bnb	2	6	0.0021	0	0.5
Tm1	bnb	2	6	1e-04	0	0.5
srp	bnb	2	6	0.0015	0	0.5
Btk29A	bnb	2	6	0.0011	0	0.5
fred	bnb	2	6	0.0016	0	0.5
Src64B	bnb	2	6	9e-04	0	0.5
Mmp1	bnb	2	6	0.0019	0	0.5
sll	bnb	2	6	4e-04	0	0.5
Hmgs	bnb	2	6	0.0011	0	0.5
caps	bnb	2	6	1e-04	0	0.5
Su.var.2.10	bnb	2	6	0	0	0.5
CycB	bnb	2	6	1e-04	0	0.5
spir	bnb	2	6	2e-04	0	0.5
spn.A	bnb	2	6	2e-04	0	0.5
Ptpmeg	bnb	2	6	8e-04	0	0.5
qua	bnb	2	6	4e-04	0	0.5
msn	bnb	2	6	0.0068	0	0.5
ena	bnb	2	6	0	0	0.5
spen	bnb	2	6	0.0019	0	0.5
emc	bnb	2	6	7e-04	0	0.5
tsh	bnb	2	6	5e-04	0	0.5
Dat	bnb	2	6	0	0	0.5
Lac	bnb	2	6	0.007	0	0.5
dup	bnb	2	6	5e-04	0	0.5
CG3075	bnb	2	6	0.0219	0	0.5
Akap200	bnb	2	6	0.0029	0	0.5
CG18369	bnb	2	6	1e-04	0	0.5
bnl	bnb	2	6	0	0	0.5
sec23	bnb	2	6	0	0	0.5
Pde8	bnb	2	6	0	0	0.5
Arp66B	bnb	2	6	0	0	0.5
cos	bnb	2	6	0.0012	0	0.5
Borr	bnb	2	6	0	0	0.5
X140up	bnb	2	6	0	0	0.5
Dhc64C	bnb	2	6	2e-04	0	0.5
Not1	bnb	2	6	0.0012	0	0.5
CG9520	bnb	2	6	0	0	0.5
bib	bnb	2	6	8e-04	0	0.5
mib1	bnb	2	6	0.0013	0	0.5
cas	bnb	2	6	0	0	0.5
Abi	bnb	2	6	9e-04	0	0.5
betaTub56D	bnb	2	6	0	0	0.5
nej	bnb	2	6	7e-04	0	0.5
dlg1	bnb	2	6	6e-04	0	0.5
Lcp65Ag1	bnb	2	6	0	0	0.5
Es2	bnb	2	6	0	0	0.5
MED24	bnb	2	6	0	0	0.5
Vhl	bnb	2	6	1e-04	0	0.5
tral	bnb	2	6	8e-04	0	0.5
sns	bnb	2	6	8e-04	0	0.5
mbl	bnb	2	6	0.0011	0	0.5
sav	bnb	2	6	0	0	0.5
lola	bnb	2	6	6e-04	0	0.5
robo	bnb	2	6	1e-04	0	0.5
CG32486	bnb	2	6	3e-04	0	0.5
santa.maria	bnb	2	6	7e-04	0	0.5
stumps	bnb	2	6	7e-04	0	0.5
abd.A	bnb	2	6	1e-04	0	0.5
dock	bnb	2	6	0.0081	0	0.5
Lar	bnb	2	6	0.0014	0	0.5
l.1.G0289	bnb	2	6	3e-04	0	0.5
Abl	bnb	2	6	0	0	0.5
Syb	bnb	2	6	1e-04	0	0.5
dome	bnb	2	6	1e-04	0	0.5
ofs	bnb	2	6	0.0021	0	0.5
MED4	bnb	2	6	2e-04	0	0.5
scrib	bnb	2	6	4e-04	0	0.5
siz	bnb	2	6	6e-04	0	0.5
cbx	bnb	2	6	6e-04	0	0.5
dsx	bnb	2	6	4e-04	0	0.5
Sb	bnb	2	6	2e-04	0	0.5
sax	bnb	2	6	0.0028	0	0.5
foxo	bnb	2	6	1e-04	0	0.5
Cyp1	bnb	2	6	1e-04	0	0.5
brm	bnb	2	6	7e-04	0	0.5
rad50	bnb	2	6	6e-04	0	0.5
chico	bnb	2	6	0.0027	0	0.5
cp309	bnb	2	6	3e-04	0	0.5
hdc	bnb	2	6	1e-04	0	0.5
Axn	bnb	2	6	2e-04	0	0.5
Apc2	bnb	2	6	1e-04	0	0.5
PhKgamma	bnb	2	6	0.001	0	0.5
eya	bnb	2	6	0	0	0.5
sktl	bnb	2	6	1e-04	0	0.5
sqd	bnb	2	6	0.0013	0	0.5
Akt1	bnb	2	6	6e-04	0	0.5
scyl	bnb	2	6	0.0054	0	0.5
cnk	bnb	2	6	2e-04	0	0.5
CG8149	bnb	2	6	6e-04	0	0.5
CG34379	bnb	2	6	7e-04	0	0.5
Yp1	bnb	2	6	0	0	0.5
yrt	bnb	2	6	1e-04	0	0.5
bap	bnb	2	6	1e-04	0	0.5
tud	bnb	2	6	3e-04	0	0.5
ct	bnb	2	6	7e-04	0	0.5
tup	bnb	2	6	8e-04	0	0.5
G.ialpha65A	bnb	2	6	0.0014	0	0.5
knrl	bnb	2	6	3e-04	0	0.5
Pkn	bnb	2	6	0.0013	0	0.5
Sry.delta	bnb	2	6	0.001	0	0.5
Alh	bnb	2	6	2e-04	0	0.5
pnut	bnb	2	6	0.0014	0	0.5
phyl	bnb	2	6	2e-04	0	0.5
CG17739	bnb	2	6	0	0	0.5
B4	bnb	2	6	1e-04	0	0.5
CG2681	bnb	2	6	0	0	0.5
tow	bnb	2	6	8e-04	0	0.5
hkl	bnb	2	6	0.0044	0	0.5
sina	bnb	2	6	1e-04	0	0.5
ry	bnb	2	6	2e-04	0	0.5
rux	bnb	2	6	0	0	0.5
boss	bnb	2	6	1e-04	0	0.5
Mkp3	bnb	2	6	3e-04	0	0.5
inaC	bnb	2	6	0.0014	0	0.5
sno	bnb	2	6	0	0	0.5
jagn	bnb	2	6	0.003	0	0.5
dpn	bnb	2	6	4e-04	0	0.5
wrapper	bnb	2	6	4e-04	0	0.5
Ca.alpha1D	bnb	2	6	4e-04	0	0.5
E2f	bnb	2	6	0.0025	0	0.5
Dp	bnb	2	6	1e-04	0	0.5
l.2.efl	bnb	2	6	5e-04	0	0.5
cnc	bnb	2	6	0.0018	0	0.5
Atg5	bnb	2	6	0	0	0.5
acj6	bnb	2	6	0	0	0.5
Trl	bnb	2	6	0.011	0	0.5
d4	bnb	2	6	3e-04	0	0.5
CG16719	bnb	2	6	3e-04	0	0.5
CadN	bnb	2	6	5e-04	0	0.5
gro	bnb	2	6	2e-04	0	0.5
sec13	bnb	2	6	7e-04	0	0.5
klar	bnb	2	6	4e-04	0	0.5
Rack1	bnb	2	6	2e-04	0	0.5
Sobp	bnb	2	6	3e-04	0	0.5
ash1	bnb	2	6	0	0	0.5
inv	bnb	2	6	2e-04	0	0.5
shot	bnb	2	6	6e-04	0	0.5
Oseg1	bnb	2	6	0	0	0.5
Spred	bnb	2	6	0.0013	0	0.5
puc	bnb	2	6	0.0011	0	0.5
Atg6	bnb	2	6	5e-04	0	0.5
CG3829	bnb	2	6	0.0017	0	0.5
sle	bnb	2	6	6e-04	0	0.5
Cka	bnb	2	6	0.0027	0	0.5
form3	bnb	2	6	4e-04	0	0.5
Pk61C	bnb	2	6	6e-04	0	0.5
Pcaf	bnb	2	6	6e-04	0	0.5
sbb	bnb	2	6	5e-04	0	0.5
Ef1gamma	bnb	2	6	0	0	0.5
FKBP59	bnb	2	6	7e-04	0	0.5
Eip71CD	bnb	2	6	0	0	0.5
