Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	bnl	2	6	0	0	0.5
emp	bnl	2	6	1e-04	0	0.5
CG2678	bnl	2	6	0	0	0.5
crc	bnl	2	6	6e-04	0	0.5
pros	bnl	2	6	0.0013	0	0.5
neur	bnl	2	6	0	0	0.5
Rab5	bnl	2	6	0	0	0.5
Rab7	bnl	2	6	2e-04	0	0.5
Mmp2	bnl	2	6	0	0	0.5
W	bnl	2	6	0	0	0.5
bowl	bnl	2	6	0	0	0.5
fd59A	bnl	2	6	0	0	0.5
e	bnl	2	6	2e-04	0	0.5
ben	bnl	2	6	8e-04	0	0.5
rdo	bnl	2	6	1e-04	0	0.5
lin	bnl	2	6	0	0	0.5
tra	bnl	2	6	0	0	0.5
tra2	bnl	2	6	0	0	0.5
cathD	bnl	2	6	0	0	0.5
d	bnl	2	6	0	0	0.5
lva	bnl	2	6	0	0	0.5
pbl	bnl	2	6	6e-04	0	0.5
CG33205	bnl	2	6	0	0	0.5
da	bnl	2	6	0	0	0.5
cactin	bnl	2	6	0	0	0.5
hpo	bnl	2	6	0	0	0.5
Sema.2a	bnl	2	6	0	0	0.5
Eip74EF	bnl	2	6	0	0	0.5
eg	bnl	2	6	4e-04	0	0.5
Arc42	bnl	2	6	0	0	0.5
toy	bnl	2	6	0	0	0.5
Galpha73B	bnl	2	6	1e-04	0	0.5
RhoGAPp190	bnl	2	6	0.001	0	0.5
MED11	bnl	2	6	0	0	0.5
cher	bnl	2	6	7e-04	0	0.5
BicD	bnl	2	6	0	0	0.5
MYPT.75D	bnl	2	6	3e-04	0	0.5
mus304	bnl	2	6	0	0	0.5
CdsA	bnl	2	6	0	0	0.5
btl	bnl	2	6	0	0	0.5
Cyt.c.d	bnl	2	6	0	0	0.5
tok	bnl	2	6	1e-04	0	0.5
ttk	bnl	2	6	4e-04	0	0.5
tamo	bnl	2	6	4e-04	0	0.5
CG6416	bnl	2	6	1e-04	0	0.5
flfl	bnl	2	6	1e-04	0	0.5
Pvr	bnl	2	6	0	0	0.5
kay	bnl	2	6	9e-04	0	0.5
Jra	bnl	2	6	1e-04	0	0.5
msk	bnl	2	6	0	0	0.5
tll	bnl	2	6	2e-04	0	0.5
Tm1	bnl	2	6	6e-04	0	0.5
srp	bnl	2	6	0.003	0	0.5
Btk29A	bnl	2	6	0	0	0.5
fred	bnl	2	6	0.0017	0	0.5
Src64B	bnl	2	6	0	0	0.5
Mmp1	bnl	2	6	0	0	0.5
sll	bnl	2	6	0	0	0.5
Hmgs	bnl	2	6	3e-04	0	0.5
caps	bnl	2	6	0	0	0.5
Su.var.2.10	bnl	2	6	1e-04	0	0.5
CycB	bnl	2	6	0	0	0.5
spir	bnl	2	6	0	0	0.5
spn.A	bnl	2	6	0	0	0.5
Ptpmeg	bnl	2	6	1e-04	0	0.5
qua	bnl	2	6	0	0	0.5
msn	bnl	2	6	0	0	0.5
ena	bnl	2	6	5e-04	0	0.5
spen	bnl	2	6	0	0	0.5
emc	bnl	2	6	0	0	0.5
tsh	bnl	2	6	2e-04	0	0.5
Dat	bnl	2	6	0	0	0.5
Lac	bnl	2	6	2e-04	0	0.5
dup	bnl	2	6	0	0	0.5
CG3075	bnl	2	6	6e-04	0	0.5
Akap200	bnl	2	6	0	0	0.5
CG18369	bnl	2	6	1e-04	0	0.5
bnl	bnl	2	6	2e-04	0	0.5
sec23	bnl	2	6	0	0	0.5
Pde8	bnl	2	6	2e-04	0	0.5
Arp66B	bnl	2	6	6e-04	0	0.5
cos	bnl	2	6	1e-04	0	0.5
Borr	bnl	2	6	0	0	0.5
X140up	bnl	2	6	0	0	0.5
Dhc64C	bnl	2	6	0	0	0.5
Not1	bnl	2	6	0	0	0.5
CG9520	bnl	2	6	0	0	0.5
bib	bnl	2	6	1e-04	0	0.5
