Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	boss	2	6	0	0	0.5
emp	boss	2	6	0	0	0.5
CG2678	boss	2	6	0	0	0.5
crc	boss	2	6	0	0	0.5
pros	boss	2	6	0.0011	0	0.5
neur	boss	2	6	9e-04	0	0.5
Rab5	boss	2	6	6e-04	0	0.5
Rab7	boss	2	6	0	0	0.5
Mmp2	boss	2	6	1e-04	0	0.5
W	boss	2	6	0	0	0.5
bowl	boss	2	6	2e-04	0	0.5
fd59A	boss	2	6	2e-04	0	0.5
e	boss	2	6	0	0	0.5
ben	boss	2	6	0	0	0.5
rdo	boss	2	6	1e-04	0	0.5
lin	boss	2	6	0	0	0.5
tra	boss	2	6	1e-04	0	0.5
tra2	boss	2	6	0	0	0.5
cathD	boss	2	6	2e-04	0	0.5
d	boss	2	6	0	0	0.5
lva	boss	2	6	6e-04	0	0.5
pbl	boss	2	6	0	0	0.5
CG33205	boss	2	6	0.0015	0	0.5
da	boss	2	6	0	0	0.5
cactin	boss	2	6	0	0	0.5
hpo	boss	2	6	1e-04	0	0.5
Sema.2a	boss	2	6	5e-04	0	0.5
Eip74EF	boss	2	6	0	0	0.5
eg	boss	2	6	2e-04	0	0.5
Arc42	boss	2	6	0	0	0.5
toy	boss	2	6	3e-04	0	0.5
Galpha73B	boss	2	6	6e-04	0	0.5
RhoGAPp190	boss	2	6	3e-04	0	0.5
MED11	boss	2	6	0	0	0.5
cher	boss	2	6	0	0	0.5
BicD	boss	2	6	0	0	0.5
MYPT.75D	boss	2	6	1e-04	0	0.5
mus304	boss	2	6	0	0	0.5
CdsA	boss	2	6	5e-04	0	0.5
btl	boss	2	6	5e-04	0	0.5
Cyt.c.d	boss	2	6	0	0	0.5
tok	boss	2	6	0	0	0.5
ttk	boss	2	6	0	0	0.5
tamo	boss	2	6	0	0	0.5
CG6416	boss	2	6	1e-04	0	0.5
flfl	boss	2	6	6e-04	0	0.5
Pvr	boss	2	6	3e-04	0	0.5
kay	boss	2	6	0	0	0.5
Jra	boss	2	6	0	0	0.5
msk	boss	2	6	0	0	0.5
tll	boss	2	6	0	0	0.5
Tm1	boss	2	6	0	0	0.5
srp	boss	2	6	1e-04	0	0.5
Btk29A	boss	2	6	0	0	0.5
fred	boss	2	6	0	0	0.5
Src64B	boss	2	6	1e-04	0	0.5
Mmp1	boss	2	6	2e-04	0	0.5
sll	boss	2	6	0	0	0.5
Hmgs	boss	2	6	0	0	0.5
caps	boss	2	6	1e-04	0	0.5
Su.var.2.10	boss	2	6	0	0	0.5
CycB	boss	2	6	2e-04	0	0.5
spir	boss	2	6	2e-04	0	0.5
spn.A	boss	2	6	0	0	0.5
Ptpmeg	boss	2	6	0	0	0.5
qua	boss	2	6	0	0	0.5
msn	boss	2	6	0	0	0.5
ena	boss	2	6	7e-04	0	0.5
spen	boss	2	6	1e-04	0	0.5
emc	boss	2	6	4e-04	0	0.5
tsh	boss	2	6	0	0	0.5
Dat	boss	2	6	1e-04	0	0.5
Lac	boss	2	6	0	0	0.5
dup	boss	2	6	0	0	0.5
CG3075	boss	2	6	6e-04	0	0.5
Akap200	boss	2	6	0	0	0.5
CG18369	boss	2	6	0	0	0.5
bnl	boss	2	6	5e-04	0	0.5
sec23	boss	2	6	2e-04	0	0.5
Pde8	boss	2	6	0	0	0.5
Arp66B	boss	2	6	2e-04	0	0.5
cos	boss	2	6	3e-04	0	0.5
Borr	boss	2	6	0	0	0.5
X140up	boss	2	6	2e-04	0	0.5
Dhc64C	boss	2	6	0	0	0.5
Not1	boss	2	6	4e-04	0	0.5
CG9520	boss	2	6	3e-04	0	0.5
bib	boss	2	6	0.0013	0	0.5
mib1	boss	2	6	0	0	0.5
cas	boss	2	6	6e-04	0	0.5
Abi	boss	2	6	0	0	0.5
betaTub56D	boss	2	6	0	0	0.5
nej	boss	2	6	0	0	0.5
dlg1	boss	2	6	5e-04	0	0.5
Lcp65Ag1	boss	2	6	0	0	0.5
Es2	boss	2	6	0	0	0.5
MED24	boss	2	6	1e-04	0	0.5
Vhl	boss	2	6	1e-04	0	0.5
tral	boss	2	6	0	0	0.5
sns	boss	2	6	7e-04	0	0.5
mbl	boss	2	6	0	0	0.5
sav	boss	2	6	0	0	0.5
lola	boss	2	6	0	0	0.5
robo	boss	2	6	0.9858	0.99774	0.5
CG32486	boss	2	6	0	0	0.5
santa.maria	boss	2	6	0	0	0.5
stumps	boss	2	6	0	0	0.5
abd.A	boss	2	6	0	0	0.5
dock	boss	2	6	2e-04	0	0.5
Lar	boss	2	6	0	0	0.5
l.1.G0289	boss	2	6	0	0	0.5
Abl	boss	2	6	1e-04	0	0.5
Syb	boss	2	6	0	0	0.5
dome	boss	2	6	0	0	0.5
ofs	boss	2	6	3e-04	0	0.5
MED4	boss	2	6	0	0	0.5
scrib	boss	2	6	1e-04	0	0.5
siz	boss	2	6	0	0	0.5
cbx	boss	2	6	2e-04	0	0.5
dsx	boss	2	6	0	0	0.5
Sb	boss	2	6	1e-04	0	0.5
sax	boss	2	6	0	0	0.5
foxo	boss	2	6	0	0	0.5
Cyp1	boss	2	6	0	0	0.5
brm	boss	2	6	0	0	0.5
rad50	boss	2	6	2e-04	0	0.5
chico	boss	2	6	0	0	0.5
cp309	boss	2	6	1e-04	0	0.5
hdc	boss	2	6	0	0	0.5
Axn	boss	2	6	0	0	0.5
Apc2	boss	2	6	0	0	0.5
PhKgamma	boss	2	6	3e-04	0	0.5
eya	boss	2	6	2e-04	0	0.5
sktl	boss	2	6	0	0	0.5
sqd	boss	2	6	0	0	0.5
Akt1	boss	2	6	0	0	0.5
scyl	boss	2	6	1e-04	0	0.5
cnk	boss	2	6	1e-04	0	0.5
CG8149	boss	2	6	0	0	0.5
CG34379	boss	2	6	7e-04	0	0.5
Yp1	boss	2	6	0	0	0.5
yrt	boss	2	6	0	0	0.5
bap	boss	2	6	5e-04	0	0.5
tud	boss	2	6	1e-04	0	0.5
ct	boss	2	6	0	0	0.5
tup	boss	2	6	5e-04	0	0.5
G.ialpha65A	boss	2	6	5e-04	0	0.5
knrl	boss	2	6	0	0	0.5
Pkn	boss	2	6	0	0	0.5
Sry.delta	boss	2	6	0	0	0.5
Alh	boss	2	6	0	0	0.5
pnut	boss	2	6	0	0	0.5
phyl	boss	2	6	0	0	0.5
CG17739	boss	2	6	0	0	0.5
B4	boss	2	6	0	0	0.5
CG2681	boss	2	6	0	0	0.5
tow	boss	2	6	3e-04	0	0.5
hkl	boss	2	6	0	0	0.5
sina	boss	2	6	0	0	0.5
ry	boss	2	6	0	0	0.5
rux	boss	2	6	0	0	0.5
boss	boss	2	6	6e-04	0	0.5
Mkp3	boss	2	6	2e-04	0	0.5
inaC	boss	2	6	0.0035	0	0.5
sno	boss	2	6	8e-04	0	0.5
jagn	boss	2	6	6e-04	0	0.5
dpn	boss	2	6	2e-04	0	0.5
wrapper	boss	2	6	0	0	0.5
Ca.alpha1D	boss	2	6	0	0	0.5
E2f	boss	2	6	2e-04	0	0.5
Dp	boss	2	6	7e-04	0	0.5
l.2.efl	boss	2	6	1e-04	0	0.5
cnc	boss	2	6	0	0	0.5
Atg5	boss	2	6	0	0	0.5
acj6	boss	2	6	0	0	0.5
Trl	boss	2	6	0	0	0.5
d4	boss	2	6	5e-04	0	0.5
CG16719	boss	2	6	0	0	0.5
CadN	boss	2	6	0	0	0.5
gro	boss	2	6	0	0	0.5
sec13	boss	2	6	0	0	0.5
klar	boss	2	6	0	0	0.5
Rack1	boss	2	6	0	0	0.5
Sobp	boss	2	6	4e-04	0	0.5
ash1	boss	2	6	0	0	0.5
inv	boss	2	6	1e-04	0	0.5
shot	boss	2	6	0	0	0.5
Oseg1	boss	2	6	1e-04	0	0.5
Spred	boss	2	6	0	0	0.5
puc	boss	2	6	0.0013	0	0.5
Atg6	boss	2	6	0	0	0.5
CG3829	boss	2	6	1e-04	0	0.5
sle	boss	2	6	0	0	0.5
Cka	boss	2	6	0	0	0.5
form3	boss	2	6	0	0	0.5
Pk61C	boss	2	6	3e-04	0	0.5
Pcaf	boss	2	6	0	0	0.5
sbb	boss	2	6	1e-04	0	0.5
Ef1gamma	boss	2	6	0	0	0.5
FKBP59	boss	2	6	9e-04	0	0.5
Eip71CD	boss	2	6	3e-04	0	0.5
xmas.2	boss	2	6	0	0	0.5
ppan	boss	2	6	1e-04	0	0.5
Iswi	boss	2	6	0	0	0.5
ine	boss	2	6	0	0	0.5
Tina.1	boss	2	6	0	0	0.5
bon	boss	2	6	0	0	0.5
pot	boss	2	6	0	0	0.5
chic	boss	2	6	2e-04	0	0.5
Hem	boss	2	6	1e-04	0	0.5
chif	boss	2	6	3e-04	0	0.5
S6kII	boss	2	6	0	0	0.5
wal	boss	2	6	0	0	0.5
wls	boss	2	6	4e-04	0	0.5
Ddx1	boss	2	6	2e-04	0	0.5
Sulf1	boss	2	6	0	0	0.5
CG3987	boss	2	6	0	0	0.5
Abd.B	boss	2	6	0	0	0.5
Uba1	boss	2	6	0	0	0.5
bigmax	boss	2	6	0	0	0.5
NAT1	boss	2	6	1e-04	0	0.5
wupA	boss	2	6	3e-04	0	0.5
Vps28	boss	2	6	0	0	0.5
G.oalpha47A	boss	2	6	0	0	0.5
G.salpha60A	boss	2	6	5e-04	0	0.5
dsf	boss	2	6	3e-04	0	0.5
Khc	boss	2	6	1e-04	0	0.5
CG10641	boss	2	6	0	0	0.5
Alk	boss	2	6	3e-04	0	0.5
ey	boss	2	6	0	0	0.5
noc	boss	2	6	7e-04	0	0.5
ix	boss	2	6	5e-04	0	0.5
Optix	boss	2	6	0	0	0.5
sdt	boss	2	6	0	0	0.5
Sxl	boss	2	6	0	0	0.5
rib	boss	2	6	1e-04	0	0.5
sas	boss	2	6	0	0	0.5
Scgdelta	boss	2	6	3e-04	0	0.5
sw	boss	2	6	2e-04	0	0.5
fal	boss	2	6	3e-04	0	0.5
ea	boss	2	6	0	0	0.5
Ice	boss	2	6	0	0	0.5
cic	boss	2	6	6e-04	0	0.5
Dok	boss	2	6	0	0	0.5
rhea	boss	2	6	7e-04	0	0.5
Glycogenin	boss	2	6	0	0	0.5
cin	boss	2	6	0	0	0.5
chp	boss	2	6	0	0	0.5
Dlic2	boss	2	6	3e-04	0	0.5
Pk92B	boss	2	6	1e-04	0	0.5
Pak	boss	2	6	0	0	0.5
Lim1	boss	2	6	1e-04	0	0.5
CG34450	boss	2	6	0	0	0.5
Su.H.	boss	2	6	5e-04	0	0.5
CG12301	boss	2	6	0	0	0.5
lilli	boss	2	6	0	0	0.5
toe	boss	2	6	4e-04	0	0.5
qkr58E.3	boss	2	6	1e-04	0	0.5
up	boss	2	6	0	0	0.5
hep	boss	2	6	9e-04	0	0.5
Dap160	boss	2	6	1e-04	0	0.5
l.2.gd1	boss	2	6	2e-04	0	0.5
hkb	boss	2	6	0	0	0.5
beta4GalNAcTA	boss	2	6	0	0	0.5
Mer	boss	2	6	0	0	0.5
Mtl	boss	2	6	2e-04	0	0.5
spin	boss	2	6	0.001	0	0.5
mfas	boss	2	6	0	0	0.5
frc	boss	2	6	9e-04	0	0.5
Krn	boss	2	6	1e-04	0	0.5
mam	boss	2	6	6e-04	0	0.5
brk	boss	2	6	5e-04	0	0.5
Ark	boss	2	6	0	0	0.5
mmy	boss	2	6	0	0	0.5
mri	boss	2	6	2e-04	0	0.5
Crk	boss	2	6	3e-04	0	0.5
ssh	boss	2	6	3e-04	0	0.5
fs.1.K10	boss	2	6	6e-04	0	0.5
Psn	boss	2	6	0	0	0.5
CG9509	boss	2	6	0	0	0.5
CkIIalpha	boss	2	6	1e-04	0	0.5
car	boss	2	6	0	0	0.5
capu	boss	2	6	0	0	0.5
cact	boss	2	6	0	0	0.5
Patj	boss	2	6	0	0	0.5
dpp	boss	2	6	1e-04	0	0.5
xl6	boss	2	6	1e-04	0	0.5
dally	boss	2	6	1e-04	0	0.5
Pi3K92E	boss	2	6	0	0	0.5
E.bx.	boss	2	6	0	0	0.5
emb	boss	2	6	3e-04	0	0.5
CtBP	boss	2	6	0	0	0.5
Dad	boss	2	6	1e-04	0	0.5
amx	boss	2	6	2e-04	0	0.5
Ank2	boss	2	6	0	0	0.5
CG34417	boss	2	6	7e-04	0	0.5
scra	boss	2	6	0	0	0.5
dsd	boss	2	6	5e-04	0	0.5
Ephrin	boss	2	6	3e-04	0	0.5
Appl	boss	2	6	0	0	0.5
sty	boss	2	6	0	0	0.5
RhoL	boss	2	6	0	0	0.5
twi	boss	2	6	0	0	0.5
tub	boss	2	6	0	0	0.5
ftz.f1	boss	2	6	0	0	0.5
wg	boss	2	6	0	0	0.5
LanB1	boss	2	6	9e-04	0	0.5
LanA	boss	2	6	1e-04	0	0.5
LanB2	boss	2	6	0	0	0.5
Chi	boss	2	6	0	0	0.5
nmo	boss	2	6	2e-04	0	0.5
ics	boss	2	6	5e-04	0	0.5
oaf	boss	2	6	2e-04	0	0.5
dco	boss	2	6	2e-04	0	0.5
Dys	boss	2	6	0	0	0.5
drm	boss	2	6	1e-04	0	0.5
RpL30	boss	2	6	0.0011	0	0.5
how	boss	2	6	0	0	0.5
dei	boss	2	6	3e-04	0	0.5
CG1244	boss	2	6	0	0	0.5
Chc	boss	2	6	1e-04	0	0.5
Orct	boss	2	6	1e-04	0	0.5
sgl	boss	2	6	2e-04	0	0.5
CG17221	boss	2	6	3e-04	0	0.5
gkt	boss	2	6	0	0	0.5
by	boss	2	6	0	0	0.5
Pka.C3	boss	2	6	0	0	0.5
vlc	boss	2	6	4e-04	0	0.5
fl.2.d	boss	2	6	0	0	0.5
Nf1	boss	2	6	0	0	0.5
CG6372	boss	2	6	0	0	0.5
Rho1	boss	2	6	0.0018	0	0.5
kuk	boss	2	6	0	0	0.5
l.2.gl	boss	2	6	3e-04	0	0.5
Ald	boss	2	6	0	0	0.5
jumu	boss	2	6	0	0	0.5
glu	boss	2	6	0.0011	0	0.5
fs.2.ltoPP43	boss	2	6	0	0	0.5
CycE	boss	2	6	6e-04	0	0.5
CG8247	boss	2	6	0	0	0.5
CSN4	boss	2	6	0	0	0.5
X18w	boss	2	6	0	0	0.5
bs	boss	2	6	0	0	0.5
Nrt	boss	2	6	0	0	0.5
mask	boss	2	6	0	0	0.5
gl	boss	2	6	0	0	0.5
Cp1	boss	2	6	4e-04	0	0.5
ex	boss	2	6	0	0	0.5
jing	boss	2	6	0	0	0.5
shrb	boss	2	6	0	0	0.5
raw	boss	2	6	0	0	0.5
CG9445	boss	2	6	0	0	0.5
gbb	boss	2	6	0	0	0.5
Hs2st	boss	2	6	0	0	0.5
sls	boss	2	6	0.001	0	0.5
kis	boss	2	6	3e-04	0	0.5
run	boss	2	6	0	0	0.5
pnr	boss	2	6	4e-04	0	0.5
pn	boss	2	6	0	0	0.5
pnt	boss	2	6	2e-04	0	0.5
Fmr1	boss	2	6	0	0	0.5
Myo31DF	boss	2	6	0	0	0.5
ALiX	boss	2	6	5e-04	0	0.5
sgg	boss	2	6	1e-04	0	0.5
mbt	boss	2	6	0	0	0.5
Sin3A	boss	2	6	0	0	0.5
dnc	boss	2	6	2e-04	0	0.5
morgue	boss	2	6	0	0	0.5
Set2	boss	2	6	0	0	0.5
exu	boss	2	6	4e-04	0	0.5
odd	boss	2	6	0	0	0.5
esc	boss	2	6	2e-04	0	0.5
dah	boss	2	6	2e-04	0	0.5
Taf4	boss	2	6	5e-04	0	0.5
Jafrac2	boss	2	6	0	0	0.5
Fas3	boss	2	6	6e-04	0	0.5
wus	boss	2	6	1e-04	0	0.5
Wnt5	boss	2	6	0	0	0.5
sprt	boss	2	6	0	0	0.5
jar	boss	2	6	0	0	0.5
v	boss	2	6	0	0	0.5
Snap	boss	2	6	0	0	0.5
vap	boss	2	6	0	0	0.5
Src42A	boss	2	6	1e-04	0	0.5
esg	boss	2	6	0	0	0.5
zfh1	boss	2	6	0	0	0.5
alien	boss	2	6	8e-04	0	0.5
peb	boss	2	6	1e-04	0	0.5
par.1	boss	2	6	0	0	0.5
hyd	boss	2	6	0	0	0.5
trc	boss	2	6	4e-04	0	0.5
Eip63E	boss	2	6	1e-04	0	0.5
ird5	boss	2	6	0	0	0.5
bl	boss	2	6	0	0	0.5
Syx1A	boss	2	6	3e-04	0	0.5
drl	boss	2	6	0	0	0.5
rg	boss	2	6	8e-04	0	0.5
apt	boss	2	6	0	0	0.5
svr	boss	2	6	9e-04	0	0.5
sar1	boss	2	6	1e-04	0	0.5
Tab2	boss	2	6	0	0	0.5
zfh2	boss	2	6	0	0	0.5
dj	boss	2	6	0	0	0.5
tum	boss	2	6	0	0	0.5
yellow.f	boss	2	6	0	0	0.5
p53	boss	2	6	0	0	0.5
ImpE3	boss	2	6	1e-04	0	0.5
cbt	boss	2	6	0	0	0.5
dl	boss	2	6	7e-04	0	0.5
Dl	boss	2	6	2e-04	0	0.5
Sur	boss	2	6	4e-04	0	0.5
Rpd3	boss	2	6	0	0	0.5
CG4945	boss	2	6	4e-04	0	0.5
eve	boss	2	6	7e-04	0	0.5
Stat92E	boss	2	6	2e-04	0	0.5
ken	boss	2	6	0	0	0.5
dpld	boss	2	6	0	0	0.5
CG1942	boss	2	6	0	0	0.5
Dcp.1	boss	2	6	0	0	0.5
