Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	bowl	2	6	7e-04	0	0.5
emp	bowl	2	6	0.0013	0	0.5
CG2678	bowl	2	6	2e-04	0	0.5
crc	bowl	2	6	5e-04	0	0.5
pros	bowl	2	6	6e-04	0	0.5
neur	bowl	2	6	3e-04	0	0.5
Rab5	bowl	2	6	7e-04	0	0.5
Rab7	bowl	2	6	4e-04	0	0.5
Mmp2	bowl	2	6	0.0014	0	0.5
W	bowl	2	6	9e-04	0	0.5
bowl	bowl	2	6	0.002	0	0.5
fd59A	bowl	2	6	1e-04	0	0.5
e	bowl	2	6	0.0014	0	0.5
ben	bowl	2	6	3e-04	0	0.5
rdo	bowl	2	6	6e-04	0	0.5
lin	bowl	2	6	7e-04	0	0.5
tra	bowl	2	6	8e-04	0	0.5
tra2	bowl	2	6	0.0026	0	0.5
cathD	bowl	2	6	0.0012	0	0.5
d	bowl	2	6	1e-04	0	0.5
lva	bowl	2	6	8e-04	0	0.5
pbl	bowl	2	6	5e-04	0	0.5
CG33205	bowl	2	6	0	0	0.5
da	bowl	2	6	9e-04	0	0.5
cactin	bowl	2	6	4e-04	0	0.5
hpo	bowl	2	6	0	0	0.5
Sema.2a	bowl	2	6	1e-04	0	0.5
Eip74EF	bowl	2	6	0	0	0.5
eg	bowl	2	6	3e-04	0	0.5
Arc42	bowl	2	6	2e-04	0	0.5
toy	bowl	2	6	0.001	0	0.5
Galpha73B	bowl	2	6	9e-04	0	0.5
RhoGAPp190	bowl	2	6	7e-04	0	0.5
MED11	bowl	2	6	3e-04	0	0.5
cher	bowl	2	6	0.0017	0	0.5
BicD	bowl	2	6	0	0	0.5
MYPT.75D	bowl	2	6	0	0	0.5
mus304	bowl	2	6	0.001	0	0.5
CdsA	bowl	2	6	1e-04	0	0.5
btl	bowl	2	6	2e-04	0	0.5
Cyt.c.d	bowl	2	6	6e-04	0	0.5
tok	bowl	2	6	3e-04	0	0.5
ttk	bowl	2	6	0.1101	0	0.5
tamo	bowl	2	6	3e-04	0	0.5
CG6416	bowl	2	6	0.0028	0	0.5
flfl	bowl	2	6	0.0021	0	0.5
Pvr	bowl	2	6	5e-04	0	0.5
kay	bowl	2	6	9e-04	0	0.5
Jra	bowl	2	6	3e-04	0	0.5
msk	bowl	2	6	5e-04	0	0.5
tll	bowl	2	6	4e-04	0	0.5
Tm1	bowl	2	6	6e-04	0	0.5
srp	bowl	2	6	3e-04	0	0.5
Btk29A	bowl	2	6	0.0011	0	0.5
fred	bowl	2	6	0.0013	0	0.5
Src64B	bowl	2	6	0.0012	0	0.5
