Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	brk	2	6	5e-04	0	0.5
emp	brk	2	6	0	0	0.5
CG2678	brk	2	6	2e-04	0	0.5
crc	brk	2	6	6e-04	0	0.5
pros	brk	2	6	0	0	0.5
neur	brk	2	6	1e-04	0	0.5
Rab5	brk	2	6	0	0	0.5
Rab7	brk	2	6	0.0011	0	0.5
Mmp2	brk	2	6	5e-04	0	0.5
W	brk	2	6	9e-04	0	0.5
bowl	brk	2	6	1e-04	0	0.5
fd59A	brk	2	6	0	0	0.5
e	brk	2	6	0	0	0.5
ben	brk	2	6	0	0	0.5
rdo	brk	2	6	9e-04	0	0.5
lin	brk	2	6	1e-04	0	0.5
tra	brk	2	6	0	0	0.5
tra2	brk	2	6	0	0	0.5
cathD	brk	2	6	4e-04	0	0.5
d	brk	2	6	0	0	0.5
lva	brk	2	6	2e-04	0	0.5
pbl	brk	2	6	0	0	0.5
CG33205	brk	2	6	0	0	0.5
da	brk	2	6	0	0	0.5
cactin	brk	2	6	0	0	0.5
hpo	brk	2	6	0	0	0.5
Sema.2a	brk	2	6	0	0	0.5
Eip74EF	brk	2	6	0	0	0.5
eg	brk	2	6	0	0	0.5
Arc42	brk	2	6	0	0	0.5
toy	brk	2	6	3e-04	0	0.5
Galpha73B	brk	2	6	0	0	0.5
RhoGAPp190	brk	2	6	7e-04	0	0.5
MED11	brk	2	6	7e-04	0	0.5
cher	brk	2	6	1e-04	0	0.5
BicD	brk	2	6	5e-04	0	0.5
MYPT.75D	brk	2	6	8e-04	0	0.5
mus304	brk	2	6	5e-04	0	0.5
CdsA	brk	2	6	0	0	0.5
btl	brk	2	6	0	0	0.5
Cyt.c.d	brk	2	6	0	0	0.5
tok	brk	2	6	2e-04	0	0.5
ttk	brk	2	6	0	0	0.5
tamo	brk	2	6	0	0	0.5
CG6416	brk	2	6	0	0	0.5
flfl	brk	2	6	0	0	0.5
Pvr	brk	2	6	5e-04	0	0.5
kay	brk	2	6	0	0	0.5
Jra	brk	2	6	0	0	0.5
msk	brk	2	6	0.0017	0	0.5
tll	brk	2	6	0	0	0.5
Tm1	brk	2	6	0	0	0.5
srp	brk	2	6	0	0	0.5
Btk29A	brk	2	6	0	0	0.5
fred	brk	2	6	0	0	0.5
Src64B	brk	2	6	2e-04	0	0.5
Mmp1	brk	2	6	0	0	0.5
sll	brk	2	6	0	0	0.5
Hmgs	brk	2	6	0	0	0.5
caps	brk	2	6	0	0	0.5
Su.var.2.10	brk	2	6	6e-04	0	0.5
CycB	brk	2	6	0	0	0.5
spir	brk	2	6	6e-04	0	0.5
spn.A	brk	2	6	1e-04	0	0.5
