Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	bs	2	6	0	0	0.5
emp	bs	2	6	5e-04	0	0.5
CG2678	bs	2	6	7e-04	0	0.5
crc	bs	2	6	1e-04	0	0.5
pros	bs	2	6	1e-04	0	0.5
neur	bs	2	6	0	0	0.5
Rab5	bs	2	6	1e-04	0	0.5
Rab7	bs	2	6	3e-04	0	0.5
Mmp2	bs	2	6	3e-04	0	0.5
W	bs	2	6	4e-04	0	0.5
bowl	bs	2	6	4e-04	0	0.5
fd59A	bs	2	6	0	0	0.5
e	bs	2	6	9e-04	0	0.5
ben	bs	2	6	0	0	0.5
rdo	bs	2	6	1e-04	0	0.5
lin	bs	2	6	0	0	0.5
tra	bs	2	6	1e-04	0	0.5
tra2	bs	2	6	2e-04	0	0.5
cathD	bs	2	6	2e-04	0	0.5
d	bs	2	6	0.0015	0	0.5
lva	bs	2	6	0	0	0.5
pbl	bs	2	6	6e-04	0	0.5
CG33205	bs	2	6	0	0	0.5
da	bs	2	6	0	0	0.5
cactin	bs	2	6	0	0	0.5
hpo	bs	2	6	7e-04	0	0.5
Sema.2a	bs	2	6	1e-04	0	0.5
Eip74EF	bs	2	6	1e-04	0	0.5
eg	bs	2	6	7e-04	0	0.5
Arc42	bs	2	6	4e-04	0	0.5
toy	bs	2	6	6e-04	0	0.5
Galpha73B	bs	2	6	1e-04	0	0.5
RhoGAPp190	bs	2	6	2e-04	0	0.5
MED11	bs	2	6	7e-04	0	0.5
cher	bs	2	6	2e-04	0	0.5
BicD	bs	2	6	3e-04	0	0.5
MYPT.75D	bs	2	6	0	0	0.5
mus304	bs	2	6	1e-04	0	0.5
CdsA	bs	2	6	3e-04	0	0.5
btl	bs	2	6	4e-04	0	0.5
Cyt.c.d	bs	2	6	2e-04	0	0.5
tok	bs	2	6	2e-04	0	0.5
ttk	bs	2	6	0.0015	0	0.5
tamo	bs	2	6	3e-04	0	0.5
CG6416	bs	2	6	0	0	0.5
flfl	bs	2	6	0	0	0.5
Pvr	bs	2	6	4e-04	0	0.5
kay	bs	2	6	2e-04	0	0.5
Jra	bs	2	6	3e-04	0	0.5
msk	bs	2	6	0	0	0.5
tll	bs	2	6	3e-04	0	0.5
Tm1	bs	2	6	3e-04	0	0.5
srp	bs	2	6	4e-04	0	0.5
Btk29A	bs	2	6	3e-04	0	0.5
fred	bs	2	6	5e-04	0	0.5
Src64B	bs	2	6	8e-04	0	0.5
Mmp1	bs	2	6	6e-04	0	0.5
sll	bs	2	6	7e-04	0	0.5
Hmgs	bs	2	6	7e-04	0	0.5
caps	bs	2	6	0	0	0.5
Su.var.2.10	bs	2	6	2e-04	0	0.5
CycB	bs	2	6	0	0	0.5
spir	bs	2	6	0.0012	0	0.5
spn.A	bs	2	6	0	0	0.5
Ptpmeg	bs	2	6	0	0	0.5
qua	bs	2	6	1e-04	0	0.5
msn	bs	2	6	3e-04	0	0.5
ena	bs	2	6	0	0	0.5
spen	bs	2	6	1e-04	0	0.5
emc	bs	2	6	0	0	0.5
tsh	bs	2	6	2e-04	0	0.5
Dat	bs	2	6	7e-04	0	0.5
Lac	bs	2	6	2e-04	0	0.5
dup	bs	2	6	6e-04	0	0.5
CG3075	bs	2	6	0.001	0	0.5
Akap200	bs	2	6	0	0	0.5
CG18369	bs	2	6	0	0	0.5
bnl	bs	2	6	3e-04	0	0.5
sec23	bs	2	6	2e-04	0	0.5
Pde8	bs	2	6	1e-04	0	0.5
Arp66B	bs	2	6	2e-04	0	0.5
cos	bs	2	6	7e-04	0	0.5
Borr	bs	2	6	2e-04	0	0.5
X140up	bs	2	6	1e-04	0	0.5
Dhc64C	bs	2	6	0.001	0	0.5
Not1	bs	2	6	0.001	0	0.5
CG9520	bs	2	6	9e-04	0	0.5
bib	bs	2	6	3e-04	0	0.5
mib1	bs	2	6	0.0021	0	0.5
cas	bs	2	6	3e-04	0	0.5
Abi	bs	2	6	6e-04	0	0.5
betaTub56D	bs	2	6	0	0	0.5
nej	bs	2	6	2e-04	0	0.5
dlg1	bs	2	6	3e-04	0	0.5
Lcp65Ag1	bs	2	6	1e-04	0	0.5
Es2	bs	2	6	1e-04	0	0.5
MED24	bs	2	6	0	0	0.5
Vhl	bs	2	6	1e-04	0	0.5
tral	bs	2	6	3e-04	0	0.5
sns	bs	2	6	4e-04	0	0.5
mbl	bs	2	6	5e-04	0	0.5
sav	bs	2	6	0.0013	0	0.5
lola	bs	2	6	2e-04	0	0.5
robo	bs	2	6	3e-04	0	0.5
CG32486	bs	2	6	6e-04	0	0.5
santa.maria	bs	2	6	6e-04	0	0.5
stumps	bs	2	6	5e-04	0	0.5
abd.A	bs	2	6	3e-04	0	0.5
dock	bs	2	6	6e-04	0	0.5
Lar	bs	2	6	8e-04	0	0.5
l.1.G0289	bs	2	6	3e-04	0	0.5
Abl	bs	2	6	2e-04	0	0.5
Syb	bs	2	6	4e-04	0	0.5
dome	bs	2	6	4e-04	0	0.5
ofs	bs	2	6	1e-04	0	0.5
MED4	bs	2	6	5e-04	0	0.5
scrib	bs	2	6	5e-04	0	0.5
siz	bs	2	6	7e-04	0	0.5
cbx	bs	2	6	1e-04	0	0.5
dsx	bs	2	6	0	0	0.5
Sb	bs	2	6	3e-04	0	0.5
sax	bs	2	6	1e-04	0	0.5
foxo	bs	2	6	0.0014	0	0.5
Cyp1	bs	2	6	8e-04	0	0.5
brm	bs	2	6	6e-04	0	0.5
rad50	bs	2	6	0	0	0.5
chico	bs	2	6	5e-04	0	0.5
cp309	bs	2	6	2e-04	0	0.5
hdc	bs	2	6	2e-04	0	0.5
Axn	bs	2	6	0	0	0.5
Apc2	bs	2	6	5e-04	0	0.5
PhKgamma	bs	2	6	0.001	0	0.5
