Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	btl	2	6	3e-04	0	0.5
emp	btl	2	6	6e-04	0	0.5
CG2678	btl	2	6	0	0	0.5
crc	btl	2	6	4e-04	0	0.5
pros	btl	2	6	0.001	0	0.5
neur	btl	2	6	3e-04	0	0.5
Rab5	btl	2	6	5e-04	0	0.5
Rab7	btl	2	6	7e-04	0	0.5
Mmp2	btl	2	6	9e-04	0	0.5
W	btl	2	6	6e-04	0	0.5
bowl	btl	2	6	1e-04	0	0.5
fd59A	btl	2	6	8e-04	0	0.5
e	btl	2	6	8e-04	0	0.5
ben	btl	2	6	0.0015	0	0.5
rdo	btl	2	6	2e-04	0	0.5
lin	btl	2	6	3e-04	0	0.5
tra	btl	2	6	9e-04	0	0.5
tra2	btl	2	6	7e-04	0	0.5
cathD	btl	2	6	2e-04	0	0.5
d	btl	2	6	0.0015	0	0.5
lva	btl	2	6	0.0016	0	0.5
pbl	btl	2	6	5e-04	0	0.5
CG33205	btl	2	6	3e-04	0	0.5
da	btl	2	6	7e-04	0	0.5
cactin	btl	2	6	4e-04	0	0.5
hpo	btl	2	6	0.0117	0	0.5
Sema.2a	btl	2	6	3e-04	0	0.5
Eip74EF	btl	2	6	2e-04	0	0.5
eg	btl	2	6	0.0014	0	0.5
Arc42	btl	2	6	2e-04	0	0.5
toy	btl	2	6	0.0065	0	0.5
Galpha73B	btl	2	6	1e-04	0	0.5
RhoGAPp190	btl	2	6	4e-04	0	0.5
MED11	btl	2	6	1e-04	0	0.5
cher	btl	2	6	2e-04	0	0.5
BicD	btl	2	6	8e-04	0	0.5
MYPT.75D	btl	2	6	4e-04	0	0.5
mus304	btl	2	6	0	0	0.5
CdsA	btl	2	6	3e-04	0	0.5
btl	btl	2	6	0	0	0.5
Cyt.c.d	btl	2	6	4e-04	0	0.5
tok	btl	2	6	1e-04	0	0.5
ttk	btl	2	6	0	0	0.5
tamo	btl	2	6	8e-04	0	0.5
CG6416	btl	2	6	4e-04	0	0.5
flfl	btl	2	6	7e-04	0	0.5
Pvr	btl	2	6	0	0	0.5
kay	btl	2	6	0.0016	0	0.5
Jra	btl	2	6	0	0	0.5
msk	btl	2	6	0.0017	0	0.5
tll	btl	2	6	2e-04	0	0.5
Tm1	btl	2	6	4e-04	0	0.5
srp	btl	2	6	3e-04	0	0.5
Btk29A	btl	2	6	3e-04	0	0.5
fred	btl	2	6	0.0013	0	0.5
Src64B	btl	2	6	4e-04	0	0.5
Mmp1	btl	2	6	0.0015	0	0.5
sll	btl	2	6	1e-04	0	0.5
Hmgs	btl	2	6	3e-04	0	0.5
caps	btl	2	6	0.0013	0	0.5
Su.var.2.10	btl	2	6	8e-04	0	0.5
CycB	btl	2	6	0.0017	0	0.5
spir	btl	2	6	1e-04	0	0.5
spn.A	btl	2	6	0	0	0.5
Ptpmeg	btl	2	6	0.001	0	0.5
qua	btl	2	6	1e-04	0	0.5
msn	btl	2	6	1e-04	0	0.5
ena	btl	2	6	2e-04	0	0.5
spen	btl	2	6	0.0017	0	0.5
emc	btl	2	6	4e-04	0	0.5
tsh	btl	2	6	5e-04	0	0.5
Dat	btl	2	6	5e-04	0	0.5
Lac	btl	2	6	0.0029	0	0.5
dup	btl	2	6	3e-04	0	0.5
CG3075	btl	2	6	5e-04	0	0.5
Akap200	btl	2	6	0.0015	0	0.5
CG18369	btl	2	6	3e-04	0	0.5
bnl	btl	2	6	0.0013	0	0.5
sec23	btl	2	6	0	0	0.5
Pde8	btl	2	6	0.0011	0	0.5
Arp66B	btl	2	6	4e-04	0	0.5
cos	btl	2	6	3e-04	0	0.5
Borr	btl	2	6	5e-04	0	0.5
X140up	btl	2	6	1e-04	0	0.5
Dhc64C	btl	2	6	1e-04	0	0.5
Not1	btl	2	6	0.0011	0	0.5
CG9520	btl	2	6	3e-04	0	0.5
bib	btl	2	6	1e-04	0	0.5
mib1	btl	2	6	3e-04	0	0.5
cas	btl	2	6	0.0054	0	0.5
Abi	btl	2	6	6e-04	0	0.5
betaTub56D	btl	2	6	0	0	0.5
nej	btl	2	6	7e-04	0	0.5
dlg1	btl	2	6	7e-04	0	0.5
Lcp65Ag1	btl	2	6	1e-04	0	0.5
Es2	btl	2	6	3e-04	0	0.5
MED24	btl	2	6	0.0013	0	0.5
Vhl	btl	2	6	6e-04	0	0.5
tral	btl	2	6	2e-04	0	0.5
sns	btl	2	6	6e-04	0	0.5
mbl	btl	2	6	5e-04	0	0.5
sav	btl	2	6	2e-04	0	0.5
lola	btl	2	6	3e-04	0	0.5
robo	btl	2	6	2e-04	0	0.5
CG32486	btl	2	6	0.0342	0	0.5
santa.maria	btl	2	6	1e-04	0	0.5
stumps	btl	2	6	0	0	0.5
abd.A	btl	2	6	1e-04	0	0.5
dock	btl	2	6	6e-04	0	0.5
Lar	btl	2	6	2e-04	0	0.5
l.1.G0289	btl	2	6	8e-04	0	0.5
Abl	btl	2	6	3e-04	0	0.5
Syb	btl	2	6	3e-04	0	0.5
dome	btl	2	6	1e-04	0	0.5
ofs	btl	2	6	8e-04	0	0.5
MED4	btl	2	6	0.0014	0	0.5
scrib	btl	2	6	0.0011	0	0.5
siz	btl	2	6	5e-04	0	0.5
cbx	btl	2	6	9e-04	0	0.5
dsx	btl	2	6	2e-04	0	0.5
Sb	btl	2	6	0	0	0.5
sax	btl	2	6	0.0349	0	0.5
foxo	btl	2	6	2e-04	0	0.5
Cyp1	btl	2	6	0.0016	0	0.5
brm	btl	2	6	0.001	0	0.5
rad50	btl	2	6	4e-04	0	0.5
chico	btl	2	6	0.001	0	0.5
cp309	btl	2	6	0	0	0.5
hdc	btl	2	6	1e-04	0	0.5
Axn	btl	2	6	0	0	0.5
Apc2	btl	2	6	0.0014	0	0.5
PhKgamma	btl	2	6	1e-04	0	0.5
eya	btl	2	6	1e-04	0	0.5
sktl	btl	2	6	0.001	0	0.5
sqd	btl	2	6	0.0019	0	0.5
Akt1	btl	2	6	0.0017	0	0.5
scyl	btl	2	6	1e-04	0	0.5
cnk	btl	2	6	0	0	0.5
CG8149	btl	2	6	6e-04	0	0.5
CG34379	btl	2	6	0.0011	0	0.5
Yp1	btl	2	6	1e-04	0	0.5
yrt	btl	2	6	3e-04	0	0.5
bap	btl	2	6	0.0032	0	0.5
tud	btl	2	6	1e-04	0	0.5
ct	btl	2	6	1e-04	0	0.5
tup	btl	2	6	2e-04	0	0.5
G.ialpha65A	btl	2	6	3e-04	0	0.5
knrl	btl	2	6	0.0014	0	0.5
Pkn	btl	2	6	3e-04	0	0.5
Sry.delta	btl	2	6	0.0021	0	0.5
Alh	btl	2	6	2e-04	0	0.5
pnut	btl	2	6	0	0	0.5
phyl	btl	2	6	0.0037	0	0.5
CG17739	btl	2	6	4e-04	0	0.5
B4	btl	2	6	0	0	0.5
CG2681	btl	2	6	2e-04	0	0.5
tow	btl	2	6	1e-04	0	0.5
hkl	btl	2	6	2e-04	0	0.5
sina	btl	2	6	0.001	0	0.5
ry	btl	2	6	3e-04	0	0.5
rux	btl	2	6	2e-04	0	0.5
boss	btl	2	6	0.001	0	0.5
Mkp3	btl	2	6	4e-04	0	0.5
inaC	btl	2	6	3e-04	0	0.5
sno	btl	2	6	2e-04	0	0.5
jagn	btl	2	6	1e-04	0	0.5
dpn	btl	2	6	0	0	0.5
wrapper	btl	2	6	5e-04	0	0.5
Ca.alpha1D	btl	2	6	0.0021	0	0.5
E2f	btl	2	6	0.0016	0	0.5
Dp	btl	2	6	7e-04	0	0.5
l.2.efl	btl	2	6	6e-04	0	0.5
cnc	btl	2	6	0.001	0	0.5
Atg5	btl	2	6	8e-04	0	0.5
acj6	btl	2	6	0.0296	0	0.5
Trl	btl	2	6	0.0515	0	0.5
d4	btl	2	6	0	0	0.5
CG16719	btl	2	6	1e-04	0	0.5
CadN	btl	2	6	4e-04	0	0.5
gro	btl	2	6	0.0014	0	0.5
sec13	btl	2	6	2e-04	0	0.5
klar	btl	2	6	0.0012	0	0.5
Rack1	btl	2	6	5e-04	0	0.5
Sobp	btl	2	6	3e-04	0	0.5
ash1	btl	2	6	0.001	0	0.5
inv	btl	2	6	3e-04	0	0.5
shot	btl	2	6	7e-04	0	0.5
Oseg1	btl	2	6	2e-04	0	0.5
Spred	btl	2	6	6e-04	0	0.5
puc	btl	2	6	2e-04	0	0.5
Atg6	btl	2	6	0	0	0.5
CG3829	btl	2	6	0	0	0.5
sle	btl	2	6	5e-04	0	0.5
Cka	btl	2	6	2e-04	0	0.5
form3	btl	2	6	0.0014	0	0.5
Pk61C	btl	2	6	3e-04	0	0.5
Pcaf	btl	2	6	0.001	0	0.5
sbb	btl	2	6	6e-04	0	0.5
Ef1gamma	btl	2	6	2e-04	0	0.5
FKBP59	btl	2	6	0.0011	0	0.5
Eip71CD	btl	2	6	5e-04	0	0.5
xmas.2	btl	2	6	1e-04	0	0.5
ppan	btl	2	6	0	0	0.5
Iswi	btl	2	6	2e-04	0	0.5
ine	btl	2	6	0.0013	0	0.5
Tina.1	btl	2	6	0.0029	0	0.5
bon	btl	2	6	4e-04	0	0.5
pot	btl	2	6	9e-04	0	0.5
chic	btl	2	6	2e-04	0	0.5
Hem	btl	2	6	2e-04	0	0.5
chif	btl	2	6	0.0014	0	0.5
S6kII	btl	2	6	3e-04	0	0.5
wal	btl	2	6	1e-04	0	0.5
wls	btl	2	6	4e-04	0	0.5
Ddx1	btl	2	6	5e-04	0	0.5
Sulf1	btl	2	6	0	0	0.5
CG3987	btl	2	6	2e-04	0	0.5
Abd.B	btl	2	6	0.0016	0	0.5
Uba1	btl	2	6	3e-04	0	0.5
bigmax	btl	2	6	4e-04	0	0.5
NAT1	btl	2	6	5e-04	0	0.5
wupA	btl	2	6	1e-04	0	0.5
Vps28	btl	2	6	1e-04	0	0.5
G.oalpha47A	btl	2	6	3e-04	0	0.5
G.salpha60A	btl	2	6	0.001	0	0.5
dsf	btl	2	6	0	0	0.5
Khc	btl	2	6	5e-04	0	0.5
CG10641	btl	2	6	4e-04	0	0.5
Alk	btl	2	6	0.0012	0	0.5
ey	btl	2	6	1e-04	0	0.5
noc	btl	2	6	3e-04	0	0.5
ix	btl	2	6	0	0	0.5
Optix	btl	2	6	6e-04	0	0.5
sdt	btl	2	6	2e-04	0	0.5
Sxl	btl	2	6	0	0	0.5
rib	btl	2	6	0.0013	0	0.5
sas	btl	2	6	1e-04	0	0.5
Scgdelta	btl	2	6	0.0011	0	0.5
sw	btl	2	6	2e-04	0	0.5
fal	btl	2	6	0.0014	0	0.5
ea	btl	2	6	7e-04	0	0.5
Ice	btl	2	6	2e-04	0	0.5
cic	btl	2	6	3e-04	0	0.5
Dok	btl	2	6	6e-04	0	0.5
rhea	btl	2	6	8e-04	0	0.5
Glycogenin	btl	2	6	7e-04	0	0.5
cin	btl	2	6	3e-04	0	0.5
chp	btl	2	6	0.0016	0	0.5
Dlic2	btl	2	6	0.0165	0	0.5
Pk92B	btl	2	6	1e-04	0	0.5
Pak	btl	2	6	1e-04	0	0.5
Lim1	btl	2	6	7e-04	0	0.5
CG34450	btl	2	6	2e-04	0	0.5
Su.H.	btl	2	6	7e-04	0	0.5
CG12301	btl	2	6	2e-04	0	0.5
lilli	btl	2	6	3e-04	0	0.5
toe	btl	2	6	0.2414	0	0.5
qkr58E.3	btl	2	6	4e-04	0	0.5
up	btl	2	6	8e-04	0	0.5
hep	btl	2	6	5e-04	0	0.5
Dap160	btl	2	6	1e-04	0	0.5
l.2.gd1	btl	2	6	3e-04	0	0.5
hkb	btl	2	6	1e-04	0	0.5
beta4GalNAcTA	btl	2	6	0.0282	0	0.5
Mer	btl	2	6	0	0	0.5
Mtl	btl	2	6	5e-04	0	0.5
spin	btl	2	6	0.0012	0	0.5
mfas	btl	2	6	9e-04	0	0.5
frc	btl	2	6	7e-04	0	0.5
Krn	btl	2	6	0.0081	0	0.5
mam	btl	2	6	1e-04	0	0.5
brk	btl	2	6	0.0019	0	0.5
Ark	btl	2	6	0.0011	0	0.5
mmy	btl	2	6	0.001	0	0.5
mri	btl	2	6	4e-04	0	0.5
Crk	btl	2	6	0.0014	0	0.5
ssh	btl	2	6	0	0	0.5
fs.1.K10	btl	2	6	1e-04	0	0.5
Psn	btl	2	6	5e-04	0	0.5
CG9509	btl	2	6	8e-04	0	0.5
CkIIalpha	btl	2	6	0	0	0.5
car	btl	2	6	0.0022	0	0.5
capu	btl	2	6	2e-04	0	0.5
cact	btl	2	6	8e-04	0	0.5
Patj	btl	2	6	7e-04	0	0.5
dpp	btl	2	6	0.0015	0	0.5
xl6	btl	2	6	0.0012	0	0.5
dally	btl	2	6	5e-04	0	0.5
Pi3K92E	btl	2	6	0.0016	0	0.5
E.bx.	btl	2	6	7e-04	0	0.5
emb	btl	2	6	0.0013	0	0.5
CtBP	btl	2	6	0.0019	0	0.5
Dad	btl	2	6	3e-04	0	0.5
amx	btl	2	6	1e-04	0	0.5
Ank2	btl	2	6	0.0023	0	0.5
CG34417	btl	2	6	0.001	0	0.5
scra	btl	2	6	2e-04	0	0.5
dsd	btl	2	6	4e-04	0	0.5
Ephrin	btl	2	6	5e-04	0	0.5
Appl	btl	2	6	0	0	0.5
sty	btl	2	6	7e-04	0	0.5
RhoL	btl	2	6	4e-04	0	0.5
twi	btl	2	6	0.002	0	0.5
tub	btl	2	6	0	0	0.5
ftz.f1	btl	2	6	4e-04	0	0.5
wg	btl	2	6	0.0019	0	0.5
LanB1	btl	2	6	0.0013	0	0.5
LanA	btl	2	6	0	0	0.5
LanB2	btl	2	6	3e-04	0	0.5
Chi	btl	2	6	2e-04	0	0.5
nmo	btl	2	6	0.001	0	0.5
ics	btl	2	6	0	0	0.5
oaf	btl	2	6	3e-04	0	0.5
dco	btl	2	6	0.0033	0	0.5
Dys	btl	2	6	0	0	0.5
drm	btl	2	6	2e-04	0	0.5
RpL30	btl	2	6	7e-04	0	0.5
how	btl	2	6	0.0022	0	0.5
dei	btl	2	6	0	0	0.5
CG1244	btl	2	6	0	0	0.5
Chc	btl	2	6	0.0018	0	0.5
Orct	btl	2	6	0	0	0.5
sgl	btl	2	6	6e-04	0	0.5
CG17221	btl	2	6	3e-04	0	0.5
gkt	btl	2	6	1e-04	0	0.5
by	btl	2	6	0	0	0.5
Pka.C3	btl	2	6	0.001	0	0.5
vlc	btl	2	6	7e-04	0	0.5
fl.2.d	btl	2	6	6e-04	0	0.5
Nf1	btl	2	6	1e-04	0	0.5
CG6372	btl	2	6	1e-04	0	0.5
Rho1	btl	2	6	0.0012	0	0.5
kuk	btl	2	6	7e-04	0	0.5
l.2.gl	btl	2	6	3e-04	0	0.5
Ald	btl	2	6	2e-04	0	0.5
jumu	btl	2	6	6e-04	0	0.5
glu	btl	2	6	1e-04	0	0.5
fs.2.ltoPP43	btl	2	6	8e-04	0	0.5
CycE	btl	2	6	0.0011	0	0.5
CG8247	btl	2	6	0.001	0	0.5
CSN4	btl	2	6	0	0	0.5
X18w	btl	2	6	0.0011	0	0.5
bs	btl	2	6	4e-04	0	0.5
Nrt	btl	2	6	5e-04	0	0.5
mask	btl	2	6	0.0017	0	0.5
gl	btl	2	6	0	0	0.5
Cp1	btl	2	6	0.0355	0	0.5
ex	btl	2	6	0	0	0.5
jing	btl	2	6	0.0025	0	0.5
shrb	btl	2	6	1e-04	0	0.5
raw	btl	2	6	4e-04	0	0.5
CG9445	btl	2	6	1e-04	0	0.5
gbb	btl	2	6	0.0014	0	0.5
Hs2st	btl	2	6	0.001	0	0.5
sls	btl	2	6	1e-04	0	0.5
kis	btl	2	6	3e-04	0	0.5
run	btl	2	6	0.0021	0	0.5
pnr	btl	2	6	5e-04	0	0.5
pn	btl	2	6	3e-04	0	0.5
pnt	btl	2	6	0.0019	0	0.5
Fmr1	btl	2	6	3e-04	0	0.5
Myo31DF	btl	2	6	6e-04	0	0.5
ALiX	btl	2	6	0	0	0.5
sgg	btl	2	6	9e-04	0	0.5
mbt	btl	2	6	6e-04	0	0.5
Sin3A	btl	2	6	8e-04	0	0.5
dnc	btl	2	6	0.001	0	0.5
morgue	btl	2	6	6e-04	0	0.5
Set2	btl	2	6	5e-04	0	0.5
exu	btl	2	6	0.0108	0	0.5
odd	btl	2	6	0.01	0	0.5
esc	btl	2	6	0	0	0.5
dah	btl	2	6	2e-04	0	0.5
Taf4	btl	2	6	3e-04	0	0.5
Jafrac2	btl	2	6	4e-04	0	0.5
Fas3	btl	2	6	1e-04	0	0.5
wus	btl	2	6	0	0	0.5
Wnt5	btl	2	6	1e-04	0	0.5
sprt	btl	2	6	0.0013	0	0.5
jar	btl	2	6	2e-04	0	0.5
v	btl	2	6	0.0011	0	0.5
Snap	btl	2	6	5e-04	0	0.5
vap	btl	2	6	4e-04	0	0.5
Src42A	btl	2	6	1e-04	0	0.5
esg	btl	2	6	4e-04	0	0.5
zfh1	btl	2	6	5e-04	0	0.5
alien	btl	2	6	4e-04	0	0.5
peb	btl	2	6	8e-04	0	0.5
par.1	btl	2	6	7e-04	0	0.5
hyd	btl	2	6	0	0	0.5
trc	btl	2	6	9e-04	0	0.5
Eip63E	btl	2	6	0	0	0.5
ird5	btl	2	6	6e-04	0	0.5
bl	btl	2	6	0.0011	0	0.5
Syx1A	btl	2	6	7e-04	0	0.5
drl	btl	2	6	0.0181	0	0.5
rg	btl	2	6	2e-04	0	0.5
apt	btl	2	6	0.0012	0	0.5
svr	btl	2	6	7e-04	0	0.5
sar1	btl	2	6	5e-04	0	0.5
Tab2	btl	2	6	2e-04	0	0.5
zfh2	btl	2	6	0.0011	0	0.5
dj	btl	2	6	3e-04	0	0.5
tum	btl	2	6	5e-04	0	0.5
yellow.f	btl	2	6	0	0	0.5
p53	btl	2	6	8e-04	0	0.5
ImpE3	btl	2	6	3e-04	0	0.5
cbt	btl	2	6	4e-04	0	0.5
dl	btl	2	6	2e-04	0	0.5
Dl	btl	2	6	0.0014	0	0.5
