Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	bun	2	6	2e-04	0	0.5
emp	bun	2	6	9e-04	0	0.5
CG2678	bun	2	6	0	0	0.5
crc	bun	2	6	1e-04	0	0.5
pros	bun	2	6	6e-04	0	0.5
neur	bun	2	6	0	0	0.5
Rab5	bun	2	6	0	0	0.5
Rab7	bun	2	6	1e-04	0	0.5
Mmp2	bun	2	6	2e-04	0	0.5
W	bun	2	6	7e-04	0	0.5
bowl	bun	2	6	2e-04	0	0.5
fd59A	bun	2	6	0	0	0.5
e	bun	2	6	0	0	0.5
ben	bun	2	6	9e-04	0	0.5
rdo	bun	2	6	2e-04	0	0.5
lin	bun	2	6	0	0	0.5
tra	bun	2	6	3e-04	0	0.5
tra2	bun	2	6	7e-04	0	0.5
cathD	bun	2	6	0	0	0.5
d	bun	2	6	0	0	0.5
lva	bun	2	6	2e-04	0	0.5
pbl	bun	2	6	3e-04	0	0.5
CG33205	bun	2	6	9e-04	0	0.5
da	bun	2	6	0	0	0.5
cactin	bun	2	6	3e-04	0	0.5
hpo	bun	2	6	0	0	0.5
Sema.2a	bun	2	6	0	0	0.5
Eip74EF	bun	2	6	5e-04	0	0.5
eg	bun	2	6	9e-04	0	0.5
Arc42	bun	2	6	0	0	0.5
toy	bun	2	6	5e-04	0	0.5
Galpha73B	bun	2	6	0	0	0.5
RhoGAPp190	bun	2	6	3e-04	0	0.5
MED11	bun	2	6	0	0	0.5
cher	bun	2	6	5e-04	0	0.5
BicD	bun	2	6	2e-04	0	0.5
MYPT.75D	bun	2	6	0	0	0.5
mus304	bun	2	6	0	0	0.5
CdsA	bun	2	6	0	0	0.5
btl	bun	2	6	0	0	0.5
Cyt.c.d	bun	2	6	3e-04	0	0.5
tok	bun	2	6	0	0	0.5
ttk	bun	2	6	0	0	0.5
tamo	bun	2	6	0	0	0.5
CG6416	bun	2	6	0	0	0.5
flfl	bun	2	6	0	0	0.5
Pvr	bun	2	6	0	0	0.5
kay	bun	2	6	0	0	0.5
Jra	bun	2	6	2e-04	0	0.5
msk	bun	2	6	0	0	0.5
tll	bun	2	6	0	0	0.5
Tm1	bun	2	6	0	0	0.5
srp	bun	2	6	0	0	0.5
Btk29A	bun	2	6	2e-04	0	0.5
fred	bun	2	6	0	0	0.5
Src64B	bun	2	6	0	0	0.5
Mmp1	bun	2	6	1e-04	0	0.5
sll	bun	2	6	0	0	0.5
Hmgs	bun	2	6	2e-04	0	0.5
caps	bun	2	6	3e-04	0	0.5
Su.var.2.10	bun	2	6	0	0	0.5
CycB	bun	2	6	9e-04	0	0.5
spir	bun	2	6	0	0	0.5
spn.A	bun	2	6	5e-04	0	0.5
Ptpmeg	bun	2	6	0	0	0.5
qua	bun	2	6	0	0	0.5
msn	bun	2	6	0	0	0.5
ena	bun	2	6	1e-04	0	0.5
spen	bun	2	6	0	0	0.5
emc	bun	2	6	3e-04	0	0.5
tsh	bun	2	6	0.001	0	0.5
Dat	bun	2	6	0	0	0.5
Lac	bun	2	6	0	0	0.5
dup	bun	2	6	0	0	0.5
CG3075	bun	2	6	0.001	0	0.5
Akap200	bun	2	6	1e-04	0	0.5
CG18369	bun	2	6	0	0	0.5
bnl	bun	2	6	0	0	0.5
sec23	bun	2	6	0	0	0.5
Pde8	bun	2	6	0	0	0.5
Arp66B	bun	2	6	0.0013	0	0.5
cos	bun	2	6	0	0	0.5
Borr	bun	2	6	0	0	0.5
X140up	bun	2	6	0	0	0.5
Dhc64C	bun	2	6	3e-04	0	0.5
Not1	bun	2	6	0	0	0.5
CG9520	bun	2	6	6e-04	0	0.5
bib	bun	2	6	0	0	0.5
mib1	bun	2	6	0	0	0.5
cas	bun	2	6	0	0	0.5
Abi	bun	2	6	5e-04	0	0.5
betaTub56D	bun	2	6	0	0	0.5
nej	bun	2	6	0	0	0.5
dlg1	bun	2	6	8e-04	0	0.5
Lcp65Ag1	bun	2	6	3e-04	0	0.5
Es2	bun	2	6	0	0	0.5
MED24	bun	2	6	2e-04	0	0.5
Vhl	bun	2	6	0	0	0.5
tral	bun	2	6	0	0	0.5
sns	bun	2	6	0	0	0.5
mbl	bun	2	6	0	0	0.5
sav	bun	2	6	5e-04	0	0.5
lola	bun	2	6	0	0	0.5
robo	bun	2	6	0	0	0.5
CG32486	bun	2	6	2e-04	0	0.5
santa.maria	bun	2	6	1e-04	0	0.5
stumps	bun	2	6	0	0	0.5
abd.A	bun	2	6	0	0	0.5
dock	bun	2	6	2e-04	0	0.5
Lar	bun	2	6	0	0	0.5
l.1.G0289	bun	2	6	0	0	0.5
Abl	bun	2	6	0	0	0.5
Syb	bun	2	6	0	0	0.5
dome	bun	2	6	1e-04	0	0.5
ofs	bun	2	6	0	0	0.5
MED4	bun	2	6	0	0	0.5
scrib	bun	2	6	3e-04	0	0.5
siz	bun	2	6	0	0	0.5
cbx	bun	2	6	0	0	0.5
dsx	bun	2	6	0	0	0.5
Sb	bun	2	6	1e-04	0	0.5
sax	bun	2	6	5e-04	0	0.5
foxo	bun	2	6	0	0	0.5
Cyp1	bun	2	6	0	0	0.5
brm	bun	2	6	7e-04	0	0.5
rad50	bun	2	6	1e-04	0	0.5
