Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	by	2	6	5e-04	0	0.5
emp	by	2	6	0	0	0.5
CG2678	by	2	6	2e-04	0	0.5
crc	by	2	6	0	0	0.5
pros	by	2	6	0	0	0.5
neur	by	2	6	0	0	0.5
Rab5	by	2	6	0	0	0.5
Rab7	by	2	6	1e-04	0	0.5
Mmp2	by	2	6	0	0	0.5
W	by	2	6	0	0	0.5
bowl	by	2	6	7e-04	0	0.5
fd59A	by	2	6	4e-04	0	0.5
e	by	2	6	0	0	0.5
ben	by	2	6	0	0	0.5
rdo	by	2	6	0	0	0.5
lin	by	2	6	0	0	0.5
tra	by	2	6	0	0	0.5
tra2	by	2	6	0	0	0.5
cathD	by	2	6	1e-04	0	0.5
d	by	2	6	2e-04	0	0.5
lva	by	2	6	0	0	0.5
pbl	by	2	6	5e-04	0	0.5
CG33205	by	2	6	0	0	0.5
da	by	2	6	2e-04	0	0.5
cactin	by	2	6	0	0	0.5
hpo	by	2	6	2e-04	0	0.5
Sema.2a	by	2	6	0.001	0	0.5
Eip74EF	by	2	6	0	0	0.5
eg	by	2	6	0	0	0.5
Arc42	by	2	6	1e-04	0	0.5
toy	by	2	6	4e-04	0	0.5
Galpha73B	by	2	6	0	0	0.5
RhoGAPp190	by	2	6	0	0	0.5
MED11	by	2	6	0	0	0.5
cher	by	2	6	0	0	0.5
BicD	by	2	6	0	0	0.5
MYPT.75D	by	2	6	0	0	0.5
mus304	by	2	6	5e-04	0	0.5
CdsA	by	2	6	0	0	0.5
btl	by	2	6	3e-04	0	0.5
Cyt.c.d	by	2	6	0	0	0.5
tok	by	2	6	3e-04	0	0.5
ttk	by	2	6	1e-04	0	0.5
tamo	by	2	6	0	0	0.5
CG6416	by	2	6	2e-04	0	0.5
flfl	by	2	6	0	0	0.5
Pvr	by	2	6	1e-04	0	0.5
kay	by	2	6	0	0	0.5
Jra	by	2	6	4e-04	0	0.5
msk	by	2	6	0	0	0.5
tll	by	2	6	0	0	0.5
Tm1	by	2	6	8e-04	0	0.5
srp	by	2	6	0	0	0.5
Btk29A	by	2	6	5e-04	0	0.5
fred	by	2	6	0	0	0.5
Src64B	by	2	6	0	0	0.5
Mmp1	by	2	6	6e-04	0	0.5
sll	by	2	6	7e-04	0	0.5
Hmgs	by	2	6	7e-04	0	0.5
caps	by	2	6	3e-04	0	0.5
Su.var.2.10	by	2	6	0	0	0.5
CycB	by	2	6	0.7114	-0.99832	0.5
spir	by	2	6	0	0	0.5
spn.A	by	2	6	0	0	0.5
Ptpmeg	by	2	6	4e-04	0	0.5
qua	by	2	6	3e-04	0	0.5
msn	by	2	6	0	0	0.5
ena	by	2	6	0	0	0.5
spen	by	2	6	3e-04	0	0.5
emc	by	2	6	8e-04	0	0.5
tsh	by	2	6	5e-04	0	0.5
Dat	by	2	6	3e-04	0	0.5
Lac	by	2	6	0	0	0.5
dup	by	2	6	0	0	0.5
CG3075	by	2	6	0	0	0.5
Akap200	by	2	6	0	0	0.5
CG18369	by	2	6	3e-04	0	0.5
bnl	by	2	6	0	0	0.5
sec23	by	2	6	3e-04	0	0.5
Pde8	by	2	6	2e-04	0	0.5
Arp66B	by	2	6	2e-04	0	0.5
cos	by	2	6	0	0	0.5
Borr	by	2	6	4e-04	0	0.5
X140up	by	2	6	3e-04	0	0.5
Dhc64C	by	2	6	0	0	0.5
Not1	by	2	6	2e-04	0	0.5
CG9520	by	2	6	0	0	0.5
bib	by	2	6	0	0	0.5
mib1	by	2	6	2e-04	0	0.5
cas	by	2	6	0	0	0.5
Abi	by	2	6	0	0	0.5
betaTub56D	by	2	6	1e-04	0	0.5
nej	by	2	6	2e-04	0	0.5
dlg1	by	2	6	0	0	0.5
Lcp65Ag1	by	2	6	0	0	0.5
Es2	by	2	6	2e-04	0	0.5
MED24	by	2	6	0	0	0.5
Vhl	by	2	6	0	0	0.5
tral	by	2	6	0	0	0.5
sns	by	2	6	0	0	0.5
mbl	by	2	6	1e-04	0	0.5
sav	by	2	6	0	0	0.5
lola	by	2	6	0	0	0.5
robo	by	2	6	3e-04	0	0.5
CG32486	by	2	6	0	0	0.5
santa.maria	by	2	6	2e-04	0	0.5
stumps	by	2	6	0	0	0.5
abd.A	by	2	6	0	0	0.5
dock	by	2	6	2e-04	0	0.5
Lar	by	2	6	0	0	0.5
l.1.G0289	by	2	6	0	0	0.5
Abl	by	2	6	0	0	0.5
Syb	by	2	6	0	0	0.5
dome	by	2	6	0	0	0.5
ofs	by	2	6	0	0	0.5
MED4	by	2	6	0	0	0.5
scrib	by	2	6	0	0	0.5
siz	by	2	6	8e-04	0	0.5
cbx	by	2	6	5e-04	0	0.5
dsx	by	2	6	3e-04	0	0.5
Sb	by	2	6	0	0	0.5
sax	by	2	6	1e-04	0	0.5
foxo	by	2	6	6e-04	0	0.5
Cyp1	by	2	6	0	0	0.5
brm	by	2	6	0	0	0.5
rad50	by	2	6	0	0	0.5
chico	by	2	6	0	0	0.5
cp309	by	2	6	0	0	0.5
hdc	by	2	6	2e-04	0	0.5
Axn	by	2	6	3e-04	0	0.5
Apc2	by	2	6	0	0	0.5
PhKgamma	by	2	6	2e-04	0	0.5
eya	by	2	6	0	0	0.5
sktl	by	2	6	0	0	0.5
sqd	by	2	6	0.0013	0	0.5
Akt1	by	2	6	4e-04	0	0.5
scyl	by	2	6	0	0	0.5
cnk	by	2	6	0	0	0.5
CG8149	by	2	6	0	0	0.5
CG34379	by	2	6	0	0	0.5
Yp1	by	2	6	0	0	0.5
yrt	by	2	6	0	0	0.5
bap	by	2	6	0	0	0.5
tud	by	2	6	2e-04	0	0.5
ct	by	2	6	0	0	0.5
tup	by	2	6	0	0	0.5
G.ialpha65A	by	2	6	0	0	0.5
knrl	by	2	6	1e-04	0	0.5
Pkn	by	2	6	0	0	0.5
Sry.delta	by	2	6	0	0	0.5
Alh	by	2	6	7e-04	0	0.5
pnut	by	2	6	7e-04	0	0.5
phyl	by	2	6	0	0	0.5
CG17739	by	2	6	1e-04	0	0.5
B4	by	2	6	0	0	0.5
CG2681	by	2	6	0	0	0.5
tow	by	2	6	0	0	0.5
hkl	by	2	6	0	0	0.5
sina	by	2	6	5e-04	0	0.5
