Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	cact	2	6	2e-04	0	0.5
emp	cact	2	6	0	0	0.5
CG2678	cact	2	6	0	0	0.5
crc	cact	2	6	0	0	0.5
pros	cact	2	6	3e-04	0	0.5
neur	cact	2	6	0	0	0.5
Rab5	cact	2	6	0	0	0.5
Rab7	cact	2	6	0	0	0.5
Mmp2	cact	2	6	0	0	0.5
W	cact	2	6	0	0	0.5
bowl	cact	2	6	0	0	0.5
fd59A	cact	2	6	0	0	0.5
e	cact	2	6	3e-04	0	0.5
ben	cact	2	6	0	0	0.5
rdo	cact	2	6	0	0	0.5
lin	cact	2	6	0	0	0.5
tra	cact	2	6	5e-04	0	0.5
tra2	cact	2	6	0.0014	0	0.5
cathD	cact	2	6	0	0	0.5
d	cact	2	6	0	0	0.5
lva	cact	2	6	0	0	0.5
pbl	cact	2	6	0	0	0.5
CG33205	cact	2	6	3e-04	0	0.5
da	cact	2	6	0	0	0.5
cactin	cact	2	6	1e-04	0	0.5
hpo	cact	2	6	0	0	0.5
Sema.2a	cact	2	6	0	0	0.5
Eip74EF	cact	2	6	0	0	0.5
eg	cact	2	6	0	0	0.5
Arc42	cact	2	6	1e-04	0	0.5
toy	cact	2	6	0	0	0.5
Galpha73B	cact	2	6	0	0	0.5
RhoGAPp190	cact	2	6	0.0013	0	0.5
MED11	cact	2	6	0	0	0.5
cher	cact	2	6	4e-04	0	0.5
BicD	cact	2	6	0	0	0.5
MYPT.75D	cact	2	6	0	0	0.5
mus304	cact	2	6	6e-04	0	0.5
CdsA	cact	2	6	0	0	0.5
btl	cact	2	6	7e-04	0	0.5
Cyt.c.d	cact	2	6	0	0	0.5
tok	cact	2	6	1e-04	0	0.5
ttk	cact	2	6	0	0	0.5
tamo	cact	2	6	0	0	0.5
CG6416	cact	2	6	3e-04	0	0.5
flfl	cact	2	6	1e-04	0	0.5
Pvr	cact	2	6	0	0	0.5
kay	cact	2	6	0	0	0.5
Jra	cact	2	6	0	0	0.5
msk	cact	2	6	0	0	0.5
tll	cact	2	6	0	0	0.5
Tm1	cact	2	6	0	0	0.5
srp	cact	2	6	1e-04	0	0.5
Btk29A	cact	2	6	2e-04	0	0.5
fred	cact	2	6	1e-04	0	0.5
Src64B	cact	2	6	0.9827	0.99764	0.5
Mmp1	cact	2	6	0	0	0.5
sll	cact	2	6	0	0	0.5
Hmgs	cact	2	6	0	0	0.5
caps	cact	2	6	0	0	0.5
Su.var.2.10	cact	2	6	0	0	0.5
CycB	cact	2	6	1e-04	0	0.5
spir	cact	2	6	0	0	0.5
spn.A	cact	2	6	0	0	0.5
Ptpmeg	cact	2	6	1e-04	0	0.5
qua	cact	2	6	0	0	0.5
msn	cact	2	6	2e-04	0	0.5
ena	cact	2	6	0	0	0.5
spen	cact	2	6	0	0	0.5
emc	cact	2	6	0	0	0.5
tsh	cact	2	6	0	0	0.5
Dat	cact	2	6	0	0	0.5
Lac	cact	2	6	0	0	0.5
dup	cact	2	6	0	0	0.5
CG3075	cact	2	6	0	0	0.5
Akap200	cact	2	6	3e-04	0	0.5
CG18369	cact	2	6	1e-04	0	0.5
bnl	cact	2	6	0	0	0.5
sec23	cact	2	6	0	0	0.5
Pde8	cact	2	6	0	0	0.5
Arp66B	cact	2	6	0	0	0.5
cos	cact	2	6	0	0	0.5
Borr	cact	2	6	0	0	0.5
X140up	cact	2	6	0	0	0.5
Dhc64C	cact	2	6	0	0	0.5
Not1	cact	2	6	0	0	0.5
CG9520	cact	2	6	3e-04	0	0.5
bib	cact	2	6	0	0	0.5
