Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	caps	2	6	0	0	0.5
emp	caps	2	6	2e-04	0	0.5
CG2678	caps	2	6	0.0011	0	0.5
crc	caps	2	6	0	0	0.5
pros	caps	2	6	0	0	0.5
neur	caps	2	6	3e-04	0	0.5
Rab5	caps	2	6	0	0	0.5
Rab7	caps	2	6	0.0017	0	0.5
Mmp2	caps	2	6	1e-04	0	0.5
W	caps	2	6	0	0	0.5
bowl	caps	2	6	1e-04	0	0.5
fd59A	caps	2	6	6e-04	0	0.5
e	caps	2	6	5e-04	0	0.5
ben	caps	2	6	1e-04	0	0.5
rdo	caps	2	6	0	0	0.5
lin	caps	2	6	0	0	0.5
tra	caps	2	6	0.0017	0	0.5
tra2	caps	2	6	0.001	0	0.5
cathD	caps	2	6	5e-04	0	0.5
d	caps	2	6	0	0	0.5
lva	caps	2	6	0	0	0.5
pbl	caps	2	6	0	0	0.5
CG33205	caps	2	6	0	0	0.5
da	caps	2	6	7e-04	0	0.5
cactin	caps	2	6	2e-04	0	0.5
hpo	caps	2	6	0	0	0.5
Sema.2a	caps	2	6	0.0026	0	0.5
Eip74EF	caps	2	6	1e-04	0	0.5
eg	caps	2	6	0	0	0.5
Arc42	caps	2	6	0	0	0.5
toy	caps	2	6	0	0	0.5
Galpha73B	caps	2	6	6e-04	0	0.5
RhoGAPp190	caps	2	6	6e-04	0	0.5
MED11	caps	2	6	0	0	0.5
cher	caps	2	6	7e-04	0	0.5
BicD	caps	2	6	0	0	0.5
MYPT.75D	caps	2	6	0	0	0.5
mus304	caps	2	6	7e-04	0	0.5
CdsA	caps	2	6	0	0	0.5
btl	caps	2	6	4e-04	0	0.5
Cyt.c.d	caps	2	6	0	0	0.5
tok	caps	2	6	0	0	0.5
ttk	caps	2	6	0.0014	0	0.5
tamo	caps	2	6	0	0	0.5
CG6416	caps	2	6	0	0	0.5
flfl	caps	2	6	2e-04	0	0.5
Pvr	caps	2	6	1e-04	0	0.5
kay	caps	2	6	0.0021	0	0.5
Jra	caps	2	6	0	0	0.5
msk	caps	2	6	0	0	0.5
tll	caps	2	6	7e-04	0	0.5
Tm1	caps	2	6	0	0	0.5
srp	caps	2	6	0	0	0.5
Btk29A	caps	2	6	0	0	0.5
fred	caps	2	6	0	0	0.5
Src64B	caps	2	6	0	0	0.5
Mmp1	caps	2	6	3e-04	0	0.5
sll	caps	2	6	0	0	0.5
Hmgs	caps	2	6	0.002	0	0.5
caps	caps	2	6	0	0	0.5
Su.var.2.10	caps	2	6	0	0	0.5
CycB	caps	2	6	0.0013	0	0.5
spir	caps	2	6	0	0	0.5
spn.A	caps	2	6	0	0	0.5
Ptpmeg	caps	2	6	0	0	0.5
qua	caps	2	6	0	0	0.5
msn	caps	2	6	0.0011	0	0.5
ena	caps	2	6	2e-04	0	0.5
spen	caps	2	6	0.0011	0	0.5
emc	caps	2	6	0	0	0.5
tsh	caps	2	6	0	0	0.5
Dat	caps	2	6	0	0	0.5
Lac	caps	2	6	0	0	0.5
dup	caps	2	6	0	0	0.5
CG3075	caps	2	6	0	0	0.5
Akap200	caps	2	6	3e-04	0	0.5
CG18369	caps	2	6	0.0506	0	0.5
bnl	caps	2	6	0	0	0.5
sec23	caps	2	6	0	0	0.5
Pde8	caps	2	6	0	0	0.5
Arp66B	caps	2	6	0	0	0.5
cos	caps	2	6	5e-04	0	0.5
Borr	caps	2	6	0	0	0.5
X140up	caps	2	6	0	0	0.5
Dhc64C	caps	2	6	1e-04	0	0.5
Not1	caps	2	6	2e-04	0	0.5
CG9520	caps	2	6	1e-04	0	0.5
bib	caps	2	6	0	0	0.5
mib1	caps	2	6	0	0	0.5
cas	caps	2	6	0	0	0.5
Abi	caps	2	6	0	0	0.5
betaTub56D	caps	2	6	0	0	0.5
nej	caps	2	6	0.001	0	0.5
dlg1	caps	2	6	0	0	0.5
