Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	capu	2	6	4e-04	0	0.5
emp	capu	2	6	0.0023	0	0.5
CG2678	capu	2	6	0.0025	0	0.5
crc	capu	2	6	0.0024	0	0.5
pros	capu	2	6	1e-04	0	0.5
neur	capu	2	6	1e-04	0	0.5
Rab5	capu	2	6	6e-04	0	0.5
Rab7	capu	2	6	2e-04	0	0.5
Mmp2	capu	2	6	0.0016	0	0.5
W	capu	2	6	3e-04	0	0.5
bowl	capu	2	6	0.0036	0	0.5
fd59A	capu	2	6	0.0017	0	0.5
e	capu	2	6	2e-04	0	0.5
ben	capu	2	6	5e-04	0	0.5
rdo	capu	2	6	0.0032	0	0.5
lin	capu	2	6	0	0	0.5
tra	capu	2	6	3e-04	0	0.5
tra2	capu	2	6	0.0074	0	0.5
cathD	capu	2	6	7e-04	0	0.5
d	capu	2	6	7e-04	0	0.5
lva	capu	2	6	0.0152	0	0.5
pbl	capu	2	6	0.0016	0	0.5
CG33205	capu	2	6	9e-04	0	0.5
da	capu	2	6	0.007	0	0.5
cactin	capu	2	6	5e-04	0	0.5
hpo	capu	2	6	0.0041	0	0.5
Sema.2a	capu	2	6	3e-04	0	0.5
Eip74EF	capu	2	6	0.0011	0	0.5
eg	capu	2	6	0	0	0.5
Arc42	capu	2	6	0.0016	0	0.5
toy	capu	2	6	0	0	0.5
Galpha73B	capu	2	6	9e-04	0	0.5
RhoGAPp190	capu	2	6	0.0011	0	0.5
MED11	capu	2	6	4e-04	0	0.5
cher	capu	2	6	5e-04	0	0.5
BicD	capu	2	6	0.0016	0	0.5
MYPT.75D	capu	2	6	8e-04	0	0.5
mus304	capu	2	6	0.009	0	0.5
CdsA	capu	2	6	2e-04	0	0.5
btl	capu	2	6	4e-04	0	0.5
Cyt.c.d	capu	2	6	0.001	0	0.5
tok	capu	2	6	0.0043	0	0.5
ttk	capu	2	6	5e-04	0	0.5
tamo	capu	2	6	8e-04	0	0.5
CG6416	capu	2	6	8e-04	0	0.5
flfl	capu	2	6	0.0012	0	0.5
Pvr	capu	2	6	0.0067	0	0.5
kay	capu	2	6	9e-04	0	0.5
Jra	capu	2	6	5e-04	0	0.5
msk	capu	2	6	0.0016	0	0.5
tll	capu	2	6	8e-04	0	0.5
Tm1	capu	2	6	1e-04	0	0.5
srp	capu	2	6	0.0017	0	0.5
Btk29A	capu	2	6	3e-04	0	0.5
fred	capu	2	6	0.0011	0	0.5
Src64B	capu	2	6	0.0021	0	0.5
Mmp1	capu	2	6	0.0012	0	0.5
sll	capu	2	6	8e-04	0	0.5
Hmgs	capu	2	6	0.0012	0	0.5
caps	capu	2	6	5e-04	0	0.5
Su.var.2.10	capu	2	6	7e-04	0	0.5
CycB	capu	2	6	0.0013	0	0.5
spir	capu	2	6	4e-04	0	0.5
spn.A	capu	2	6	0.0019	0	0.5
Ptpmeg	capu	2	6	0.0074	0	0.5
qua	capu	2	6	8e-04	0	0.5
msn	capu	2	6	9e-04	0	0.5
ena	capu	2	6	1e-04	0	0.5
spen	capu	2	6	5e-04	0	0.5
emc	capu	2	6	2e-04	0	0.5
tsh	capu	2	6	3e-04	0	0.5
Dat	capu	2	6	3e-04	0	0.5
Lac	capu	2	6	0.001	0	0.5
dup	capu	2	6	0.0023	0	0.5
CG3075	capu	2	6	0.0022	0	0.5
Akap200	capu	2	6	0.001	0	0.5
CG18369	capu	2	6	0.0013	0	0.5
bnl	capu	2	6	0.0014	0	0.5
sec23	capu	2	6	0.0121	0	0.5
Pde8	capu	2	6	1e-04	0	0.5
Arp66B	capu	2	6	0	0	0.5
cos	capu	2	6	0.0058	0	0.5
Borr	capu	2	6	0.002	0	0.5
X140up	capu	2	6	2e-04	0	0.5
Dhc64C	capu	2	6	6e-04	0	0.5
Not1	capu	2	6	0.0013	0	0.5
CG9520	capu	2	6	0.003	0	0.5
bib	capu	2	6	0	0	0.5
mib1	capu	2	6	5e-04	0	0.5
cas	capu	2	6	1e-04	0	0.5
Abi	capu	2	6	5e-04	0	0.5
betaTub56D	capu	2	6	8e-04	0	0.5
nej	capu	2	6	0.0102	0	0.5
dlg1	capu	2	6	5e-04	0	0.5
Lcp65Ag1	capu	2	6	0.0011	0	0.5
Es2	capu	2	6	2e-04	0	0.5
MED24	capu	2	6	0.001	0	0.5
Vhl	capu	2	6	0	0	0.5
tral	capu	2	6	4e-04	0	0.5
sns	capu	2	6	0.001	0	0.5
mbl	capu	2	6	0.0016	0	0.5
sav	capu	2	6	0.0043	0	0.5
lola	capu	2	6	0.0014	0	0.5
robo	capu	2	6	4e-04	0	0.5
CG32486	capu	2	6	1e-04	0	0.5
santa.maria	capu	2	6	0.0014	0	0.5
stumps	capu	2	6	7e-04	0	0.5
abd.A	capu	2	6	5e-04	0	0.5
dock	capu	2	6	8e-04	0	0.5
Lar	capu	2	6	5e-04	0	0.5
l.1.G0289	capu	2	6	0.0014	0	0.5
Abl	capu	2	6	1e-04	0	0.5
Syb	capu	2	6	6e-04	0	0.5
dome	capu	2	6	0.0017	0	0.5
ofs	capu	2	6	7e-04	0	0.5
MED4	capu	2	6	0.0024	0	0.5
scrib	capu	2	6	3e-04	0	0.5
siz	capu	2	6	4e-04	0	0.5
cbx	capu	2	6	6e-04	0	0.5
dsx	capu	2	6	0.001	0	0.5
Sb	capu	2	6	5e-04	0	0.5
sax	capu	2	6	0.003	0	0.5
foxo	capu	2	6	0.0013	0	0.5
Cyp1	capu	2	6	3e-04	0	0.5
brm	capu	2	6	0.0044	0	0.5
rad50	capu	2	6	4e-04	0	0.5
chico	capu	2	6	0	0	0.5
cp309	capu	2	6	0.0019	0	0.5
hdc	capu	2	6	3e-04	0	0.5
Axn	capu	2	6	7e-04	0	0.5
Apc2	capu	2	6	0.0018	0	0.5
PhKgamma	capu	2	6	1e-04	0	0.5
eya	capu	2	6	3e-04	0	0.5
sktl	capu	2	6	2e-04	0	0.5
sqd	capu	2	6	0.002	0	0.5
Akt1	capu	2	6	6e-04	0	0.5
scyl	capu	2	6	0.0017	0	0.5
cnk	capu	2	6	3e-04	0	0.5
CG8149	capu	2	6	8e-04	0	0.5
CG34379	capu	2	6	6e-04	0	0.5
Yp1	capu	2	6	0.002	0	0.5
yrt	capu	2	6	9e-04	0	0.5
bap	capu	2	6	5e-04	0	0.5
tud	capu	2	6	0.0011	0	0.5
ct	capu	2	6	9e-04	0	0.5
tup	capu	2	6	5e-04	0	0.5
