Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	car	2	6	3e-04	0	0.5
emp	car	2	6	0	0	0.5
CG2678	car	2	6	2e-04	0	0.5
crc	car	2	6	0	0	0.5
pros	car	2	6	0	0	0.5
neur	car	2	6	0	0	0.5
Rab5	car	2	6	0	0	0.5
Rab7	car	2	6	9e-04	0	0.5
Mmp2	car	2	6	0	0	0.5
W	car	2	6	0	0	0.5
bowl	car	2	6	0	0	0.5
fd59A	car	2	6	0	0	0.5
e	car	2	6	4e-04	0	0.5
ben	car	2	6	9e-04	0	0.5
rdo	car	2	6	0	0	0.5
lin	car	2	6	8e-04	0	0.5
tra	car	2	6	0	0	0.5
tra2	car	2	6	4e-04	0	0.5
cathD	car	2	6	0.0014	0	0.5
d	car	2	6	0.001	0	0.5
lva	car	2	6	4e-04	0	0.5
pbl	car	2	6	0	0	0.5
CG33205	car	2	6	2e-04	0	0.5
da	car	2	6	0.0018	0	0.5
cactin	car	2	6	3e-04	0	0.5
hpo	car	2	6	0	0	0.5
Sema.2a	car	2	6	0	0	0.5
Eip74EF	car	2	6	3e-04	0	0.5
eg	car	2	6	0	0	0.5
Arc42	car	2	6	4e-04	0	0.5
toy	car	2	6	5e-04	0	0.5
Galpha73B	car	2	6	0	0	0.5
RhoGAPp190	car	2	6	0	0	0.5
MED11	car	2	6	0	0	0.5
cher	car	2	6	0	0	0.5
BicD	car	2	6	0	0	0.5
MYPT.75D	car	2	6	0	0	0.5
mus304	car	2	6	1e-04	0	0.5
CdsA	car	2	6	0.0011	0	0.5
btl	car	2	6	0.0017	0	0.5
Cyt.c.d	car	2	6	0	0	0.5
tok	car	2	6	0	0	0.5
ttk	car	2	6	0	0	0.5
tamo	car	2	6	0	0	0.5
CG6416	car	2	6	0	0	0.5
flfl	car	2	6	3e-04	0	0.5
Pvr	car	2	6	0	0	0.5
kay	car	2	6	0	0	0.5
Jra	car	2	6	0.0015	0	0.5
msk	car	2	6	1e-04	0	0.5
tll	car	2	6	0	0	0.5
Tm1	car	2	6	0	0	0.5
srp	car	2	6	0	0	0.5
Btk29A	car	2	6	0	0	0.5
fred	car	2	6	7e-04	0	0.5
Src64B	car	2	6	0	0	0.5
Mmp1	car	2	6	4e-04	0	0.5
sll	car	2	6	1e-04	0	0.5
Hmgs	car	2	6	8e-04	0	0.5
caps	car	2	6	0	0	0.5
Su.var.2.10	car	2	6	0	0	0.5
CycB	car	2	6	4e-04	0	0.5
spir	car	2	6	1e-04	0	0.5
spn.A	car	2	6	1e-04	0	0.5
Ptpmeg	car	2	6	0	0	0.5
qua	car	2	6	0	0	0.5
msn	car	2	6	4e-04	0	0.5
ena	car	2	6	0	0	0.5
spen	car	2	6	4e-04	0	0.5
emc	car	2	6	4e-04	0	0.5
tsh	car	2	6	0	0	0.5
Dat	car	2	6	0.0067	0	0.5
Lac	car	2	6	0	0	0.5
dup	car	2	6	5e-04	0	0.5
CG3075	car	2	6	3e-04	0	0.5
Akap200	car	2	6	5e-04	0	0.5
CG18369	car	2	6	4e-04	0	0.5
bnl	car	2	6	0.0012	0	0.5
sec23	car	2	6	5e-04	0	0.5
Pde8	car	2	6	2e-04	0	0.5
Arp66B	car	2	6	2e-04	0	0.5
cos	car	2	6	0	0	0.5
Borr	car	2	6	0	0	0.5
X140up	car	2	6	8e-04	0	0.5
Dhc64C	car	2	6	1e-04	0	0.5
Not1	car	2	6	0.0037	0	0.5
