Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	cas	2	6	0	0	0.5
emp	cas	2	6	0	0	0.5
CG2678	cas	2	6	1e-04	0	0.5
crc	cas	2	6	0	0	0.5
pros	cas	2	6	0	0	0.5
neur	cas	2	6	5e-04	0	0.5
Rab5	cas	2	6	0	0	0.5
Rab7	cas	2	6	2e-04	0	0.5
Mmp2	cas	2	6	0	0	0.5
W	cas	2	6	2e-04	0	0.5
bowl	cas	2	6	0	0	0.5
fd59A	cas	2	6	0	0	0.5
e	cas	2	6	0	0	0.5
ben	cas	2	6	0	0	0.5
rdo	cas	2	6	0	0	0.5
lin	cas	2	6	0	0	0.5
tra	cas	2	6	0	0	0.5
tra2	cas	2	6	0	0	0.5
cathD	cas	2	6	0	0	0.5
d	cas	2	6	0	0	0.5
lva	cas	2	6	1e-04	0	0.5
pbl	cas	2	6	0	0	0.5
CG33205	cas	2	6	0	0	0.5
da	cas	2	6	3e-04	0	0.5
cactin	cas	2	6	1e-04	0	0.5
hpo	cas	2	6	3e-04	0	0.5
Sema.2a	cas	2	6	0	0	0.5
Eip74EF	cas	2	6	2e-04	0	0.5
eg	cas	2	6	1e-04	0	0.5
Arc42	cas	2	6	5e-04	0	0.5
toy	cas	2	6	0	0	0.5
Galpha73B	cas	2	6	0	0	0.5
RhoGAPp190	cas	2	6	0	0	0.5
MED11	cas	2	6	0	0	0.5
cher	cas	2	6	3e-04	0	0.5
BicD	cas	2	6	0	0	0.5
MYPT.75D	cas	2	6	0	0	0.5
mus304	cas	2	6	5e-04	0	0.5
CdsA	cas	2	6	0	0	0.5
btl	cas	2	6	1e-04	0	0.5
Cyt.c.d	cas	2	6	0	0	0.5
tok	cas	2	6	0	0	0.5
ttk	cas	2	6	0	0	0.5
tamo	cas	2	6	1e-04	0	0.5
CG6416	cas	2	6	0	0	0.5
flfl	cas	2	6	0	0	0.5
Pvr	cas	2	6	0	0	0.5
kay	cas	2	6	4e-04	0	0.5
Jra	cas	2	6	0	0	0.5
msk	cas	2	6	0	0	0.5
tll	cas	2	6	2e-04	0	0.5
Tm1	cas	2	6	2e-04	0	0.5
srp	cas	2	6	3e-04	0	0.5
Btk29A	cas	2	6	0	0	0.5
fred	cas	2	6	0	0	0.5
Src64B	cas	2	6	0	0	0.5
Mmp1	cas	2	6	3e-04	0	0.5
sll	cas	2	6	0	0	0.5
Hmgs	cas	2	6	0	0	0.5
caps	cas	2	6	7e-04	0	0.5
Su.var.2.10	cas	2	6	3e-04	0	0.5
CycB	cas	2	6	0	0	0.5
spir	cas	2	6	1e-04	0	0.5
spn.A	cas	2	6	0	0	0.5
Ptpmeg	cas	2	6	4e-04	0	0.5
qua	cas	2	6	0	0	0.5
msn	cas	2	6	1e-04	0	0.5
ena	cas	2	6	0	0	0.5
spen	cas	2	6	1e-04	0	0.5
emc	cas	2	6	0	0	0.5
tsh	cas	2	6	3e-04	0	0.5
Dat	cas	2	6	0	0	0.5
Lac	cas	2	6	0	0	0.5
dup	cas	2	6	0	0	0.5
CG3075	cas	2	6	0	0	0.5
Akap200	cas	2	6	0	0	0.5
CG18369	cas	2	6	0	0	0.5
bnl	cas	2	6	0	0	0.5
sec23	cas	2	6	0	0	0.5
Pde8	cas	2	6	1e-04	0	0.5
Arp66B	cas	2	6	0	0	0.5
cos	cas	2	6	0	0	0.5
Borr	cas	2	6	1e-04	0	0.5
X140up	cas	2	6	0	0	0.5
Dhc64C	cas	2	6	2e-04	0	0.5
Not1	cas	2	6	3e-04	0	0.5
CG9520	cas	2	6	1e-04	0	0.5
bib	cas	2	6	1e-04	0	0.5
mib1	cas	2	6	0	0	0.5
cas	cas	2	6	0	0	0.5
Abi	cas	2	6	0	0	0.5
betaTub56D	cas	2	6	0	0	0.5
nej	cas	2	6	0	0	0.5
dlg1	cas	2	6	0	0	0.5
Lcp65Ag1	cas	2	6	0	0	0.5
Es2	cas	2	6	0	0	0.5
MED24	cas	2	6	0	0	0.5
Vhl	cas	2	6	0	0	0.5
tral	cas	2	6	0	0	0.5
sns	cas	2	6	6e-04	0	0.5
mbl	cas	2	6	6e-04	0	0.5
sav	cas	2	6	4e-04	0	0.5
lola	cas	2	6	0	0	0.5
robo	cas	2	6	0	0	0.5
CG32486	cas	2	6	3e-04	0	0.5
santa.maria	cas	2	6	0	0	0.5
stumps	cas	2	6	0	0	0.5
abd.A	cas	2	6	4e-04	0	0.5
dock	cas	2	6	0	0	0.5
Lar	cas	2	6	3e-04	0	0.5
l.1.G0289	cas	2	6	2e-04	0	0.5
Abl	cas	2	6	0	0	0.5
Syb	cas	2	6	0	0	0.5
dome	cas	2	6	0	0	0.5
ofs	cas	2	6	0	0	0.5
MED4	cas	2	6	0	0	0.5
scrib	cas	2	6	0	0	0.5
siz	cas	2	6	0	0	0.5
cbx	cas	2	6	0	0	0.5
dsx	cas	2	6	0	0	0.5
Sb	cas	2	6	1e-04	0	0.5
sax	cas	2	6	0	0	0.5
foxo	cas	2	6	0	0	0.5
Cyp1	cas	2	6	0	0	0.5
brm	cas	2	6	0	0	0.5
rad50	cas	2	6	0	0	0.5
chico	cas	2	6	0	0	0.5
cp309	cas	2	6	2e-04	0	0.5
hdc	cas	2	6	0	0	0.5
Axn	cas	2	6	0	0	0.5
Apc2	cas	2	6	0	0	0.5
PhKgamma	cas	2	6	0	0	0.5
eya	cas	2	6	0	0	0.5
sktl	cas	2	6	0	0	0.5
sqd	cas	2	6	0	0	0.5
Akt1	cas	2	6	1e-04	0	0.5
scyl	cas	2	6	0	0	0.5
cnk	cas	2	6	0	0	0.5
CG8149	cas	2	6	0	0	0.5
CG34379	cas	2	6	0	0	0.5
Yp1	cas	2	6	0	0	0.5
yrt	cas	2	6	0	0	0.5
bap	cas	2	6	0	0	0.5
tud	cas	2	6	0	0	0.5
ct	cas	2	6	2e-04	0	0.5
tup	cas	2	6	6e-04	0	0.5
G.ialpha65A	cas	2	6	0	0	0.5
knrl	cas	2	6	0	0	0.5
Pkn	cas	2	6	5e-04	0	0.5
Sry.delta	cas	2	6	4e-04	0	0.5
Alh	cas	2	6	0	0	0.5
pnut	cas	2	6	2e-04	0	0.5
phyl	cas	2	6	0	0	0.5
CG17739	cas	2	6	4e-04	0	0.5
B4	cas	2	6	0	0	0.5
CG2681	cas	2	6	5e-04	0	0.5
tow	cas	2	6	0	0	0.5
hkl	cas	2	6	0	0	0.5
sina	cas	2	6	2e-04	0	0.5
ry	cas	2	6	0	0	0.5
rux	cas	2	6	0	0	0.5
boss	cas	2	6	0	0	0.5
Mkp3	cas	2	6	0	0	0.5
inaC	cas	2	6	0	0	0.5
sno	cas	2	6	0	0	0.5
jagn	cas	2	6	0	0	0.5
dpn	cas	2	6	0	0	0.5
wrapper	cas	2	6	0	0	0.5
Ca.alpha1D	cas	2	6	0	0	0.5
E2f	cas	2	6	2e-04	0	0.5
Dp	cas	2	6	4e-04	0	0.5
