Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	caup	2	6	0	0	0.5
emp	caup	2	6	0	0	0.5
CG2678	caup	2	6	0	0	0.5
crc	caup	2	6	0	0	0.5
pros	caup	2	6	0	0	0.5
neur	caup	2	6	0	0	0.5
Rab5	caup	2	6	0	0	0.5
Rab7	caup	2	6	0	0	0.5
Mmp2	caup	2	6	0	0	0.5
W	caup	2	6	0	0	0.5
bowl	caup	2	6	0	0	0.5
fd59A	caup	2	6	1e-04	0	0.5
e	caup	2	6	2e-04	0	0.5
ben	caup	2	6	0	0	0.5
rdo	caup	2	6	6e-04	0	0.5
lin	caup	2	6	2e-04	0	0.5
tra	caup	2	6	0	0	0.5
tra2	caup	2	6	0	0	0.5
cathD	caup	2	6	0	0	0.5
d	caup	2	6	0	0	0.5
lva	caup	2	6	0	0	0.5
pbl	caup	2	6	0	0	0.5
CG33205	caup	2	6	1e-04	0	0.5
da	caup	2	6	0	0	0.5
cactin	caup	2	6	0	0	0.5
hpo	caup	2	6	0	0	0.5
Sema.2a	caup	2	6	2e-04	0	0.5
Eip74EF	caup	2	6	1e-04	0	0.5
eg	caup	2	6	0	0	0.5
Arc42	caup	2	6	0	0	0.5
toy	caup	2	6	0	0	0.5
Galpha73B	caup	2	6	0	0	0.5
RhoGAPp190	caup	2	6	0	0	0.5
MED11	caup	2	6	6e-04	0	0.5
cher	caup	2	6	0	0	0.5
BicD	caup	2	6	1e-04	0	0.5
MYPT.75D	caup	2	6	3e-04	0	0.5
mus304	caup	2	6	0	0	0.5
CdsA	caup	2	6	0	0	0.5
btl	caup	2	6	0	0	0.5
Cyt.c.d	caup	2	6	2e-04	0	0.5
tok	caup	2	6	0	0	0.5
ttk	caup	2	6	0	0	0.5
tamo	caup	2	6	0	0	0.5
CG6416	caup	2	6	1e-04	0	0.5
flfl	caup	2	6	2e-04	0	0.5
Pvr	caup	2	6	0	0	0.5
kay	caup	2	6	0	0	0.5
Jra	caup	2	6	0	0	0.5
msk	caup	2	6	0	0	0.5
tll	caup	2	6	0	0	0.5
Tm1	caup	2	6	4e-04	0	0.5
srp	caup	2	6	0	0	0.5
Btk29A	caup	2	6	1e-04	0	0.5
fred	caup	2	6	0	0	0.5
Src64B	caup	2	6	0	0	0.5
Mmp1	caup	2	6	0	0	0.5
sll	caup	2	6	0	0	0.5
Hmgs	caup	2	6	0	0	0.5
caps	caup	2	6	0	0	0.5
Su.var.2.10	caup	2	6	0	0	0.5
CycB	caup	2	6	0	0	0.5
spir	caup	2	6	0	0	0.5
spn.A	caup	2	6	0	0	0.5
Ptpmeg	caup	2	6	0	0	0.5
qua	caup	2	6	0	0	0.5
msn	caup	2	6	0	0	0.5
ena	caup	2	6	0	0	0.5
spen	caup	2	6	0	0	0.5
emc	caup	2	6	0	0	0.5
tsh	caup	2	6	0	0	0.5
Dat	caup	2	6	4e-04	0	0.5
Lac	caup	2	6	0	0	0.5
dup	caup	2	6	0	0	0.5
CG3075	caup	2	6	0	0	0.5
Akap200	caup	2	6	0	0	0.5
CG18369	caup	2	6	8e-04	0	0.5
bnl	caup	2	6	0	0	0.5
sec23	caup	2	6	0	0	0.5
Pde8	caup	2	6	0	0	0.5
Arp66B	caup	2	6	0	0	0.5
cos	caup	2	6	0	0	0.5
Borr	caup	2	6	3e-04	0	0.5
X140up	caup	2	6	0	0	0.5
Dhc64C	caup	2	6	2e-04	0	0.5
Not1	caup	2	6	0	0	0.5
CG9520	caup	2	6	0	0	0.5
bib	caup	2	6	0	0	0.5
mib1	caup	2	6	0	0	0.5
cas	caup	2	6	0	0	0.5
Abi	caup	2	6	0	0	0.5
betaTub56D	caup	2	6	0	0	0.5
nej	caup	2	6	0	0	0.5
dlg1	caup	2	6	0	0	0.5
Lcp65Ag1	caup	2	6	0	0	0.5
Es2	caup	2	6	0	0	0.5
MED24	caup	2	6	0	0	0.5
Vhl	caup	2	6	0	0	0.5
tral	caup	2	6	0	0	0.5
sns	caup	2	6	0	0	0.5
mbl	caup	2	6	0	0	0.5
sav	caup	2	6	0	0	0.5
lola	caup	2	6	0	0	0.5
robo	caup	2	6	0	0	0.5
CG32486	caup	2	6	0	0	0.5
santa.maria	caup	2	6	0	0	0.5
stumps	caup	2	6	0	0	0.5
abd.A	caup	2	6	0	0	0.5
dock	caup	2	6	0	0	0.5
Lar	caup	2	6	0	0	0.5
l.1.G0289	caup	2	6	0	0	0.5
Abl	caup	2	6	5e-04	0	0.5
Syb	caup	2	6	4e-04	0	0.5
dome	caup	2	6	0	0	0.5
ofs	caup	2	6	0	0	0.5
MED4	caup	2	6	0	0	0.5
scrib	caup	2	6	0	0	0.5
siz	caup	2	6	0	0	0.5
cbx	caup	2	6	0	0	0.5
dsx	caup	2	6	1e-04	0	0.5
Sb	caup	2	6	0	0	0.5
sax	caup	2	6	6e-04	0	0.5
foxo	caup	2	6	0	0	0.5
Cyp1	caup	2	6	0	0	0.5
brm	caup	2	6	0	0	0.5
rad50	caup	2	6	0	0	0.5
chico	caup	2	6	0	0	0.5
cp309	caup	2	6	0	0	0.5
hdc	caup	2	6	0	0	0.5
Axn	caup	2	6	0	0	0.5
Apc2	caup	2	6	4e-04	0	0.5
PhKgamma	caup	2	6	0	0	0.5
eya	caup	2	6	0	0	0.5
sktl	caup	2	6	0	0	0.5
sqd	caup	2	6	0	0	0.5
Akt1	caup	2	6	0	0	0.5
scyl	caup	2	6	0	0	0.5
cnk	caup	2	6	1e-04	0	0.5
CG8149	caup	2	6	0	0	0.5
CG34379	caup	2	6	5e-04	0	0.5
Yp1	caup	2	6	0	0	0.5
yrt	caup	2	6	3e-04	0	0.5
bap	caup	2	6	0	0	0.5
tud	caup	2	6	0	0	0.5
ct	caup	2	6	0	0	0.5
tup	caup	2	6	0	0	0.5
G.ialpha65A	caup	2	6	0	0	0.5
knrl	caup	2	6	0	0	0.5
Pkn	caup	2	6	5e-04	0	0.5
Sry.delta	caup	2	6	1e-04	0	0.5
Alh	caup	2	6	0	0	0.5
pnut	caup	2	6	0	0	0.5
phyl	caup	2	6	1e-04	0	0.5
CG17739	caup	2	6	0	0	0.5
B4	caup	2	6	0	0	0.5
CG2681	caup	2	6	1e-04	0	0.5
tow	caup	2	6	2e-04	0	0.5
hkl	caup	2	6	1e-04	0	0.5
sina	caup	2	6	2e-04	0	0.5
ry	caup	2	6	4e-04	0	0.5
rux	caup	2	6	2e-04	0	0.5
boss	caup	2	6	0	0	0.5
Mkp3	caup	2	6	0	0	0.5
inaC	caup	2	6	0	0	0.5
sno	caup	2	6	0	0	0.5
jagn	caup	2	6	0	0	0.5
dpn	caup	2	6	0	0	0.5
wrapper	caup	2	6	0.001	0	0.5
Ca.alpha1D	caup	2	6	0	0	0.5
E2f	caup	2	6	0	0	0.5
Dp	caup	2	6	0	0	0.5
l.2.efl	caup	2	6	0	0	0.5
cnc	caup	2	6	0	0	0.5
Atg5	caup	2	6	0	0	0.5
acj6	caup	2	6	1e-04	0	0.5
Trl	caup	2	6	0	0	0.5
d4	caup	2	6	0	0	0.5
CG16719	caup	2	6	0	0	0.5
CadN	caup	2	6	0	0	0.5
gro	caup	2	6	0	0	0.5
sec13	caup	2	6	0	0	0.5
klar	caup	2	6	0	0	0.5
Rack1	caup	2	6	0	0	0.5
Sobp	caup	2	6	0	0	0.5
ash1	caup	2	6	0	0	0.5
inv	caup	2	6	0	0	0.5
shot	caup	2	6	0	0	0.5
Oseg1	caup	2	6	2e-04	0	0.5
Spred	caup	2	6	3e-04	0	0.5
puc	caup	2	6	0	0	0.5
Atg6	caup	2	6	0	0	0.5
CG3829	caup	2	6	1e-04	0	0.5
sle	caup	2	6	1e-04	0	0.5
Cka	caup	2	6	0	0	0.5
form3	caup	2	6	7e-04	0	0.5
Pk61C	caup	2	6	0	0	0.5
Pcaf	caup	2	6	0	0	0.5
sbb	caup	2	6	0	0	0.5
Ef1gamma	caup	2	6	0	0	0.5
FKBP59	caup	2	6	0	0	0.5
Eip71CD	caup	2	6	0.001	0	0.5
xmas.2	caup	2	6	0	0	0.5
ppan	caup	2	6	0	0	0.5
Iswi	caup	2	6	0	0	0.5
ine	caup	2	6	0	0	0.5
Tina.1	caup	2	6	0	0	0.5
bon	caup	2	6	0	0	0.5
pot	caup	2	6	1e-04	0	0.5
chic	caup	2	6	0	0	0.5
Hem	caup	2	6	0	0	0.5
chif	caup	2	6	0	0	0.5
S6kII	caup	2	6	0	0	0.5
wal	caup	2	6	0	0	0.5
wls	caup	2	6	0	0	0.5
Ddx1	caup	2	6	2e-04	0	0.5
Sulf1	caup	2	6	0	0	0.5
CG3987	caup	2	6	0	0	0.5
Abd.B	caup	2	6	1e-04	0	0.5
Uba1	caup	2	6	0	0	0.5
bigmax	caup	2	6	0	0	0.5
NAT1	caup	2	6	0	0	0.5
wupA	caup	2	6	0	0	0.5
Vps28	caup	2	6	0	0	0.5
G.oalpha47A	caup	2	6	0	0	0.5
G.salpha60A	caup	2	6	0	0	0.5
dsf	caup	2	6	0	0	0.5
Khc	caup	2	6	0	0	0.5
CG10641	caup	2	6	0	0	0.5
Alk	caup	2	6	0	0	0.5
ey	caup	2	6	1e-04	0	0.5
noc	caup	2	6	0	0	0.5
ix	caup	2	6	0	0	0.5
Optix	caup	2	6	0	0	0.5
sdt	caup	2	6	0	0	0.5
Sxl	caup	2	6	0	0	0.5
rib	caup	2	6	5e-04	0	0.5
sas	caup	2	6	0	0	0.5
Scgdelta	caup	2	6	0	0	0.5
sw	caup	2	6	0	0	0.5
fal	caup	2	6	1e-04	0	0.5
ea	caup	2	6	0	0	0.5
Ice	caup	2	6	0	0	0.5
cic	caup	2	6	2e-04	0	0.5
Dok	caup	2	6	0	0	0.5
rhea	caup	2	6	0	0	0.5
Glycogenin	caup	2	6	0	0	0.5
cin	caup	2	6	0	0	0.5
chp	caup	2	6	1e-04	0	0.5
Dlic2	caup	2	6	0	0	0.5
Pk92B	caup	2	6	0	0	0.5
Pak	caup	2	6	0	0	0.5
Lim1	caup	2	6	6e-04	0	0.5
CG34450	caup	2	6	0	0	0.5
Su.H.	caup	2	6	0	0	0.5
CG12301	caup	2	6	0	0	0.5
lilli	caup	2	6	0	0	0.5
toe	caup	2	6	0	0	0.5
qkr58E.3	caup	2	6	0	0	0.5
up	caup	2	6	0	0	0.5
hep	caup	2	6	0	0	0.5
Dap160	caup	2	6	1e-04	0	0.5
l.2.gd1	caup	2	6	0	0	0.5
hkb	caup	2	6	0	0	0.5
beta4GalNAcTA	caup	2	6	0	0	0.5
Mer	caup	2	6	2e-04	0	0.5
Mtl	caup	2	6	0	0	0.5
spin	caup	2	6	0	0	0.5
mfas	caup	2	6	2e-04	0	0.5
frc	caup	2	6	0	0	0.5
Krn	caup	2	6	0	0	0.5
mam	caup	2	6	3e-04	0	0.5
brk	caup	2	6	2e-04	0	0.5
Ark	caup	2	6	1e-04	0	0.5
mmy	caup	2	6	0	0	0.5
mri	caup	2	6	3e-04	0	0.5
Crk	caup	2	6	0	0	0.5
ssh	caup	2	6	0	0	0.5
fs.1.K10	caup	2	6	0	0	0.5
Psn	caup	2	6	1e-04	0	0.5
CG9509	caup	2	6	4e-04	0	0.5
CkIIalpha	caup	2	6	1e-04	0	0.5
car	caup	2	6	0	0	0.5
capu	caup	2	6	1e-04	0	0.5
cact	caup	2	6	0	0	0.5
Patj	caup	2	6	0	0	0.5
dpp	caup	2	6	1	0.99897	0.5
xl6	caup	2	6	0	0	0.5
dally	caup	2	6	0	0	0.5
Pi3K92E	caup	2	6	0	0	0.5
E.bx.	caup	2	6	0	0	0.5
emb	caup	2	6	1e-04	0	0.5
CtBP	caup	2	6	0	0	0.5
Dad	caup	2	6	1e-04	0	0.5
amx	caup	2	6	0	0	0.5
Ank2	caup	2	6	0	0	0.5
CG34417	caup	2	6	0	0	0.5
scra	caup	2	6	0	0	0.5
dsd	caup	2	6	0	0	0.5
Ephrin	caup	2	6	3e-04	0	0.5
Appl	caup	2	6	0	0	0.5
sty	caup	2	6	0	0	0.5
RhoL	caup	2	6	0	0	0.5
twi	caup	2	6	0	0	0.5
tub	caup	2	6	0	0	0.5
ftz.f1	caup	2	6	0	0	0.5
wg	caup	2	6	0	0	0.5
LanB1	caup	2	6	0	0	0.5
LanA	caup	2	6	0	0	0.5
LanB2	caup	2	6	2e-04	0	0.5
Chi	caup	2	6	0	0	0.5
nmo	caup	2	6	0	0	0.5
ics	caup	2	6	0	0	0.5
oaf	caup	2	6	3e-04	0	0.5
dco	caup	2	6	0	0	0.5
Dys	caup	2	6	0	0	0.5
drm	caup	2	6	0	0	0.5
RpL30	caup	2	6	3e-04	0	0.5
how	caup	2	6	0	0	0.5
dei	caup	2	6	2e-04	0	0.5
CG1244	caup	2	6	0	0	0.5
Chc	caup	2	6	0	0	0.5
Orct	caup	2	6	0	0	0.5
sgl	caup	2	6	3e-04	0	0.5
CG17221	caup	2	6	0	0	0.5
gkt	caup	2	6	1e-04	0	0.5
by	caup	2	6	0	0	0.5
Pka.C3	caup	2	6	0	0	0.5
vlc	caup	2	6	0	0	0.5
fl.2.d	caup	2	6	1e-04	0	0.5
Nf1	caup	2	6	0	0	0.5
CG6372	caup	2	6	0	0	0.5
Rho1	caup	2	6	0	0	0.5
kuk	caup	2	6	0	0	0.5
l.2.gl	caup	2	6	0	0	0.5
Ald	caup	2	6	0	0	0.5
jumu	caup	2	6	0	0	0.5
glu	caup	2	6	0	0	0.5
fs.2.ltoPP43	caup	2	6	0	0	0.5
CycE	caup	2	6	0	0	0.5
CG8247	caup	2	6	0	0	0.5
CSN4	caup	2	6	0	0	0.5
X18w	caup	2	6	2e-04	0	0.5
bs	caup	2	6	1e-04	0	0.5
Nrt	caup	2	6	0	0	0.5
mask	caup	2	6	1e-04	0	0.5
gl	caup	2	6	0	0	0.5
Cp1	caup	2	6	0	0	0.5
ex	caup	2	6	0	0	0.5
jing	caup	2	6	0	0	0.5
shrb	caup	2	6	0	0	0.5
raw	caup	2	6	1e-04	0	0.5
CG9445	caup	2	6	0	0	0.5
gbb	caup	2	6	0	0	0.5
Hs2st	caup	2	6	0	0	0.5
sls	caup	2	6	0	0	0.5
kis	caup	2	6	0	0	0.5
run	caup	2	6	0	0	0.5
pnr	caup	2	6	0	0	0.5
pn	caup	2	6	1e-04	0	0.5
pnt	caup	2	6	0	0	0.5
Fmr1	caup	2	6	0	0	0.5
Myo31DF	caup	2	6	0	0	0.5
ALiX	caup	2	6	0	0	0.5
sgg	caup	2	6	0	0	0.5
mbt	caup	2	6	0	0	0.5
Sin3A	caup	2	6	0	0	0.5
dnc	caup	2	6	0	0	0.5
morgue	caup	2	6	7e-04	0	0.5
Set2	caup	2	6	0	0	0.5
exu	caup	2	6	0	0	0.5
odd	caup	2	6	0	0	0.5
esc	caup	2	6	1e-04	0	0.5
dah	caup	2	6	1e-04	0	0.5
Taf4	caup	2	6	0	0	0.5
Jafrac2	caup	2	6	0	0	0.5
Fas3	caup	2	6	0	0	0.5
wus	caup	2	6	0	0	0.5
Wnt5	caup	2	6	2e-04	0	0.5
sprt	caup	2	6	0	0	0.5
jar	caup	2	6	0	0	0.5
v	caup	2	6	0	0	0.5
Snap	caup	2	6	0	0	0.5
vap	caup	2	6	0	0	0.5
Src42A	caup	2	6	0	0	0.5
esg	caup	2	6	2e-04	0	0.5
zfh1	caup	2	6	0	0	0.5
alien	caup	2	6	0	0	0.5
peb	caup	2	6	3e-04	0	0.5
par.1	caup	2	6	0	0	0.5
hyd	caup	2	6	0	0	0.5
trc	caup	2	6	0	0	0.5
Eip63E	caup	2	6	3e-04	0	0.5
ird5	caup	2	6	0	0	0.5
bl	caup	2	6	0	0	0.5
Syx1A	caup	2	6	0	0	0.5
drl	caup	2	6	0	0	0.5
rg	caup	2	6	0	0	0.5
apt	caup	2	6	3e-04	0	0.5
svr	caup	2	6	0	0	0.5
sar1	caup	2	6	0	0	0.5
Tab2	caup	2	6	0	0	0.5
zfh2	caup	2	6	0.001	0	0.5
dj	caup	2	6	1e-04	0	0.5
tum	caup	2	6	0	0	0.5
yellow.f	caup	2	6	0	0	0.5
p53	caup	2	6	0	0	0.5
ImpE3	caup	2	6	0	0	0.5
cbt	caup	2	6	0	0	0.5
dl	caup	2	6	3e-04	0	0.5
Dl	caup	2	6	0	0	0.5
Sur	caup	2	6	1e-04	0	0.5
Rpd3	caup	2	6	0	0	0.5
CG4945	caup	2	6	0	0	0.5
eve	caup	2	6	0	0	0.5
Stat92E	caup	2	6	0	0	0.5
ken	caup	2	6	0	0	0.5
dpld	caup	2	6	0	0	0.5
CG1942	caup	2	6	0	0	0.5
Dcp.1	caup	2	6	0	0	0.5
Tak1	caup	2	6	0	0	0.5
cg	caup	2	6	0	0	0.5
fw	caup	2	6	0	0	0.5
tutl	caup	2	6	1e-04	0	0.5
bhr	caup	2	6	0	0	0.5
ash2	caup	2	6	3e-04	0	0.5
mth	caup	2	6	1e-04	0	0.5
numb	caup	2	6	1e-04	0	0.5
X14.3.3zeta	caup	2	6	0	0	0.5
Lis.1	caup	2	6	0	0	0.5
alpha.Spec	caup	2	6	0	0	0.5
twf	caup	2	6	0	0	0.5
Bap60	caup	2	6	0	0	0.5
drk	caup	2	6	0	0	0.5
Nrx.IV	caup	2	6	1e-04	0	0.5
trn	caup	2	6	0	0	0.5
chn	caup	2	6	0	0	0.5
RhoGAP68F	caup	2	6	0	0	0.5
CycA	caup	2	6	0	0	0.5
LIMK1	caup	2	6	0	0	0.5
Rca1	caup	2	6	0	0	0.5
pelo	caup	2	6	1e-04	0	0.5
CG32082	caup	2	6	0	0	0.5
pyd	caup	2	6	0	0	0.5
Mlc1	caup	2	6	2e-04	0	0.5
meso18E	caup	2	6	1e-04	0	0.5
rdx	caup	2	6	0	0	0.5
t	caup	2	6	1e-04	0	0.5
alph	caup	2	6	0	0	0.5
elav	caup	2	6	0	0	0.5
shg	caup	2	6	0	0	0.5
shn	caup	2	6	0	0	0.5
th	caup	2	6	0	0	0.5
lmd	caup	2	6	0	0	0.5
enok	caup	2	6	0	0	0.5
loco	caup	2	6	1e-04	0	0.5
disco	caup	2	6	0	0	0.5
Gtp.bp	caup	2	6	0	0	0.5
crol	caup	2	6	0	0	0.5
Sema.1b	caup	2	6	0	0	0.5
dom	caup	2	6	0	0	0.5
Aph.4	caup	2	6	0	0	0.5
Hr78	caup	2	6	0	0	0.5
kuz	caup	2	6	0	0	0.5
mbo	caup	2	6	0	0	0.5
par.6	caup	2	6	0	0	0.5
ast	caup	2	6	0	0	0.5
CG9769	caup	2	6	0	0	0.5
Rbp9	caup	2	6	0	0	0.5
hyx	caup	2	6	0	0	0.5
sced	caup	2	6	3e-04	0	0.5
ninaE	caup	2	6	0	0	0.5
Dscam	caup	2	6	0	0	0.5
Eip63F.1	caup	2	6	0	0	0.5
lic	caup	2	6	0	0	0.5
Idgf5	caup	2	6	0	0	0.5
Idgf4	caup	2	6	0	0	0.5
Mbs	caup	2	6	0	0	0.5
opa	caup	2	6	0	0	0.5
lwr	caup	2	6	1e-04	0	0.5
wee	caup	2	6	0	0	0.5
Cks30A	caup	2	6	0	0	0.5
fax	caup	2	6	1e-04	0	0.5
bun	caup	2	6	0	0	0.5
bnb	caup	2	6	0.001	0	0.5
Apc	caup	2	6	0	0	0.5
ytr	caup	2	6	0	0	0.5
blow	caup	2	6	0	0	0.5
Hph	caup	2	6	0	0	0.5
fs.1.M3	caup	2	6	3e-04	0	0.5
chinmo	caup	2	6	0	0	0.5
CG13850	caup	2	6	0	0	0.5
E2f2	caup	2	6	0	0	0.5
eIF.4a	caup	2	6	1e-04	0	0.5
stil	caup	2	6	0	0	0.5
Sh	caup	2	6	0	0	0.5
l.3.mbt	caup	2	6	0	0	0.5
osa	caup	2	6	4e-04	0	0.5
Cip4	caup	2	6	2e-04	0	0.5
kkv	caup	2	6	0	0	0.5
pcm	caup	2	6	6e-04	0	0.5
Hr46	caup	2	6	0	0	0.5
dib	caup	2	6	0	0	0.5
Idgf1	caup	2	6	0	0	0.5
SelD	caup	2	6	0	0	0.5
eff	caup	2	6	0	0	0.5
