Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	cbt	2	6	0	0	0.5
emp	cbt	2	6	0	0	0.5
CG2678	cbt	2	6	0	0	0.5
crc	cbt	2	6	0	0	0.5
pros	cbt	2	6	3e-04	0	0.5
neur	cbt	2	6	0.0012	0	0.5
Rab5	cbt	2	6	0	0	0.5
Rab7	cbt	2	6	0	0	0.5
Mmp2	cbt	2	6	0	0	0.5
W	cbt	2	6	0	0	0.5
bowl	cbt	2	6	2e-04	0	0.5
fd59A	cbt	2	6	1e-04	0	0.5
e	cbt	2	6	0	0	0.5
ben	cbt	2	6	0	0	0.5
rdo	cbt	2	6	0.0011	0	0.5
lin	cbt	2	6	1e-04	0	0.5
tra	cbt	2	6	0	0	0.5
tra2	cbt	2	6	0.001	0	0.5
cathD	cbt	2	6	1e-04	0	0.5
d	cbt	2	6	0	0	0.5
lva	cbt	2	6	0	0	0.5
pbl	cbt	2	6	6e-04	0	0.5
CG33205	cbt	2	6	0	0	0.5
da	cbt	2	6	0	0	0.5
cactin	cbt	2	6	0	0	0.5
hpo	cbt	2	6	0	0	0.5
Sema.2a	cbt	2	6	0	0	0.5
Eip74EF	cbt	2	6	0	0	0.5
eg	cbt	2	6	5e-04	0	0.5
Arc42	cbt	2	6	0	0	0.5
toy	cbt	2	6	0	0	0.5
Galpha73B	cbt	2	6	2e-04	0	0.5
RhoGAPp190	cbt	2	6	7e-04	0	0.5
MED11	cbt	2	6	0	0	0.5
cher	cbt	2	6	1e-04	0	0.5
BicD	cbt	2	6	0	0	0.5
MYPT.75D	cbt	2	6	2e-04	0	0.5
mus304	cbt	2	6	0	0	0.5
CdsA	cbt	2	6	0.0013	0	0.5
btl	cbt	2	6	2e-04	0	0.5
Cyt.c.d	cbt	2	6	0	0	0.5
tok	cbt	2	6	2e-04	0	0.5
ttk	cbt	2	6	0.0013	0	0.5
tamo	cbt	2	6	0	0	0.5
CG6416	cbt	2	6	0	0	0.5
flfl	cbt	2	6	0	0	0.5
Pvr	cbt	2	6	4e-04	0	0.5
kay	cbt	2	6	0	0	0.5
Jra	cbt	2	6	0	0	0.5
msk	cbt	2	6	0	0	0.5
tll	cbt	2	6	2e-04	0	0.5
Tm1	cbt	2	6	0	0	0.5
srp	cbt	2	6	0	0	0.5
Btk29A	cbt	2	6	0	0	0.5
fred	cbt	2	6	0	0	0.5
Src64B	cbt	2	6	2e-04	0	0.5
Mmp1	cbt	2	6	0	0	0.5
sll	cbt	2	6	0	0	0.5
Hmgs	cbt	2	6	2e-04	0	0.5
caps	cbt	2	6	0	0	0.5
Su.var.2.10	cbt	2	6	0	0	0.5
CycB	cbt	2	6	0	0	0.5
spir	cbt	2	6	0	0	0.5
spn.A	cbt	2	6	0	0	0.5
Ptpmeg	cbt	2	6	0	0	0.5
qua	cbt	2	6	4e-04	0	0.5
msn	cbt	2	6	0	0	0.5
ena	cbt	2	6	0	0	0.5
spen	cbt	2	6	0	0	0.5
emc	cbt	2	6	0	0	0.5
tsh	cbt	2	6	1e-04	0	0.5
Dat	cbt	2	6	4e-04	0	0.5
Lac	cbt	2	6	0.0011	0	0.5
dup	cbt	2	6	0	0	0.5
CG3075	cbt	2	6	0	0	0.5
Akap200	cbt	2	6	0	0	0.5
CG18369	cbt	2	6	0	0	0.5
bnl	cbt	2	6	0	0	0.5
sec23	cbt	2	6	0	0	0.5
Pde8	cbt	2	6	0.0013	0	0.5
Arp66B	cbt	2	6	0	0	0.5
cos	cbt	2	6	0	0	0.5
Borr	cbt	2	6	0	0	0.5
X140up	cbt	2	6	0	0	0.5
Dhc64C	cbt	2	6	0	0	0.5
Not1	cbt	2	6	0	0	0.5
CG9520	cbt	2	6	9e-04	0	0.5
bib	cbt	2	6	6e-04	0	0.5
mib1	cbt	2	6	0	0	0.5
cas	cbt	2	6	0	0	0.5
Abi	cbt	2	6	1e-04	0	0.5
betaTub56D	cbt	2	6	0	0	0.5
nej	cbt	2	6	6e-04	0	0.5
dlg1	cbt	2	6	0	0	0.5
Lcp65Ag1	cbt	2	6	1e-04	0	0.5
Es2	cbt	2	6	1e-04	0	0.5
MED24	cbt	2	6	3e-04	0	0.5
Vhl	cbt	2	6	0	0	0.5
tral	cbt	2	6	0.0011	0	0.5
sns	cbt	2	6	0	0	0.5
mbl	cbt	2	6	0	0	0.5
sav	cbt	2	6	0	0	0.5
lola	cbt	2	6	0	0	0.5
robo	cbt	2	6	3e-04	0	0.5
CG32486	cbt	2	6	7e-04	0	0.5
santa.maria	cbt	2	6	5e-04	0	0.5
stumps	cbt	2	6	0	0	0.5
abd.A	cbt	2	6	0	0	0.5
dock	cbt	2	6	1e-04	0	0.5
Lar	cbt	2	6	0	0	0.5
l.1.G0289	cbt	2	6	0	0	0.5
Abl	cbt	2	6	0	0	0.5
Syb	cbt	2	6	0	0	0.5
dome	cbt	2	6	0	0	0.5
ofs	cbt	2	6	0	0	0.5
MED4	cbt	2	6	0	0	0.5
scrib	cbt	2	6	2e-04	0	0.5
siz	cbt	2	6	0	0	0.5
cbx	cbt	2	6	0	0	0.5
dsx	cbt	2	6	0	0	0.5
Sb	cbt	2	6	0	0	0.5
sax	cbt	2	6	0	0	0.5
foxo	cbt	2	6	0.001	0	0.5
Cyp1	cbt	2	6	0	0	0.5
brm	cbt	2	6	3e-04	0	0.5
rad50	cbt	2	6	4e-04	0	0.5
chico	cbt	2	6	0	0	0.5
cp309	cbt	2	6	0	0	0.5
hdc	cbt	2	6	0	0	0.5
Axn	cbt	2	6	0	0	0.5
Apc2	cbt	2	6	5e-04	0	0.5
PhKgamma	cbt	2	6	0	0	0.5
eya	cbt	2	6	0.0011	0	0.5
sktl	cbt	2	6	0	0	0.5
sqd	cbt	2	6	2e-04	0	0.5
Akt1	cbt	2	6	0	0	0.5
scyl	cbt	2	6	0	0	0.5
cnk	cbt	2	6	0	0	0.5
CG8149	cbt	2	6	0	0	0.5
CG34379	cbt	2	6	1e-04	0	0.5
Yp1	cbt	2	6	0	0	0.5
yrt	cbt	2	6	0	0	0.5
bap	cbt	2	6	3e-04	0	0.5
tud	cbt	2	6	1e-04	0	0.5
ct	cbt	2	6	0	0	0.5
