Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	cbx	2	6	0	0	0.5
emp	cbx	2	6	0	0	0.5
CG2678	cbx	2	6	0	0	0.5
crc	cbx	2	6	0	0	0.5
pros	cbx	2	6	0	0	0.5
neur	cbx	2	6	3e-04	0	0.5
Rab5	cbx	2	6	0	0	0.5
Rab7	cbx	2	6	0	0	0.5
Mmp2	cbx	2	6	0	0	0.5
W	cbx	2	6	3e-04	0	0.5
bowl	cbx	2	6	9e-04	0	0.5
fd59A	cbx	2	6	0	0	0.5
e	cbx	2	6	0	0	0.5
ben	cbx	2	6	0	0	0.5
rdo	cbx	2	6	0	0	0.5
lin	cbx	2	6	0	0	0.5
tra	cbx	2	6	1e-04	0	0.5
tra2	cbx	2	6	0	0	0.5
cathD	cbx	2	6	0	0	0.5
d	cbx	2	6	3e-04	0	0.5
lva	cbx	2	6	0	0	0.5
pbl	cbx	2	6	0	0	0.5
CG33205	cbx	2	6	0	0	0.5
da	cbx	2	6	0	0	0.5
cactin	cbx	2	6	0	0	0.5
hpo	cbx	2	6	0	0	0.5
Sema.2a	cbx	2	6	0	0	0.5
Eip74EF	cbx	2	6	0	0	0.5
eg	cbx	2	6	0	0	0.5
Arc42	cbx	2	6	0	0	0.5
toy	cbx	2	6	0	0	0.5
Galpha73B	cbx	2	6	0	0	0.5
RhoGAPp190	cbx	2	6	0	0	0.5
MED11	cbx	2	6	0	0	0.5
cher	cbx	2	6	0	0	0.5
BicD	cbx	2	6	4e-04	0	0.5
MYPT.75D	cbx	2	6	0	0	0.5
mus304	cbx	2	6	0	0	0.5
CdsA	cbx	2	6	0	0	0.5
btl	cbx	2	6	0	0	0.5
Cyt.c.d	cbx	2	6	0	0	0.5
tok	cbx	2	6	0	0	0.5
ttk	cbx	2	6	0	0	0.5
tamo	cbx	2	6	1e-04	0	0.5
CG6416	cbx	2	6	0	0	0.5
flfl	cbx	2	6	0	0	0.5
Pvr	cbx	2	6	0	0	0.5
kay	cbx	2	6	0	0	0.5
Jra	cbx	2	6	1e-04	0	0.5
msk	cbx	2	6	0	0	0.5
tll	cbx	2	6	6e-04	0	0.5
Tm1	cbx	2	6	0	0	0.5
srp	cbx	2	6	0	0	0.5
Btk29A	cbx	2	6	3e-04	0	0.5
fred	cbx	2	6	3e-04	0	0.5
Src64B	cbx	2	6	0	0	0.5
Mmp1	cbx	2	6	0	0	0.5
sll	cbx	2	6	3e-04	0	0.5
Hmgs	cbx	2	6	0	0	0.5
caps	cbx	2	6	0	0	0.5
