Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	cher	2	6	0	0	0.5
emp	cher	2	6	3e-04	0	0.5
CG2678	cher	2	6	2e-04	0	0.5
crc	cher	2	6	3e-04	0	0.5
pros	cher	2	6	9e-04	0	0.5
neur	cher	2	6	0.0143	0	0.5
Rab5	cher	2	6	3e-04	0	0.5
Rab7	cher	2	6	7e-04	0	0.5
Mmp2	cher	2	6	1e-04	0	0.5
W	cher	2	6	0	0	0.5
bowl	cher	2	6	0.0016	0	0.5
fd59A	cher	2	6	6e-04	0	0.5
e	cher	2	6	4e-04	0	0.5
ben	cher	2	6	0.0011	0	0.5
rdo	cher	2	6	2e-04	0	0.5
lin	cher	2	6	1e-04	0	0.5
tra	cher	2	6	0	0	0.5
tra2	cher	2	6	0	0	0.5
cathD	cher	2	6	1e-04	0	0.5
d	cher	2	6	2e-04	0	0.5
lva	cher	2	6	1e-04	0	0.5
pbl	cher	2	6	1e-04	0	0.5
CG33205	cher	2	6	1e-04	0	0.5
da	cher	2	6	0	0	0.5
cactin	cher	2	6	0.0174	0	0.5
hpo	cher	2	6	0	0	0.5
Sema.2a	cher	2	6	9e-04	0	0.5
Eip74EF	cher	2	6	7e-04	0	0.5
eg	cher	2	6	3e-04	0	0.5
Arc42	cher	2	6	2e-04	0	0.5
toy	cher	2	6	3e-04	0	0.5
Galpha73B	cher	2	6	0	0	0.5
RhoGAPp190	cher	2	6	6e-04	0	0.5
MED11	cher	2	6	8e-04	0	0.5
cher	cher	2	6	0.0011	0	0.5
BicD	cher	2	6	6e-04	0	0.5
MYPT.75D	cher	2	6	0.179	0	0.5
mus304	cher	2	6	0	0	0.5
CdsA	cher	2	6	0	0	0.5
btl	cher	2	6	3e-04	0	0.5
Cyt.c.d	cher	2	6	0.009	0	0.5
tok	cher	2	6	7e-04	0	0.5
ttk	cher	2	6	1e-04	0	0.5
tamo	cher	2	6	6e-04	0	0.5
CG6416	cher	2	6	0	0	0.5
flfl	cher	2	6	2e-04	0	0.5
Pvr	cher	2	6	2e-04	0	0.5
kay	cher	2	6	2e-04	0	0.5
Jra	cher	2	6	0	0	0.5
msk	cher	2	6	0	0	0.5
tll	cher	2	6	0.0011	0	0.5
Tm1	cher	2	6	0.0021	0	0.5
srp	cher	2	6	0	0	0.5
Btk29A	cher	2	6	3e-04	0	0.5
fred	cher	2	6	2e-04	0	0.5
Src64B	cher	2	6	5e-04	0	0.5
Mmp1	cher	2	6	3e-04	0	0.5
sll	cher	2	6	0.0013	0	0.5
Hmgs	cher	2	6	3e-04	0	0.5
caps	cher	2	6	3e-04	0	0.5
Su.var.2.10	cher	2	6	0	0	0.5
CycB	cher	2	6	0.0121	0	0.5
spir	cher	2	6	6e-04	0	0.5
spn.A	cher	2	6	0	0	0.5
Ptpmeg	cher	2	6	8e-04	0	0.5
qua	cher	2	6	0	0	0.5
msn	cher	2	6	0.001	0	0.5
ena	cher	2	6	0	0	0.5
spen	cher	2	6	1e-04	0	0.5
emc	cher	2	6	9e-04	0	0.5
tsh	cher	2	6	0.001	0	0.5
Dat	cher	2	6	3e-04	0	0.5
Lac	cher	2	6	8e-04	0	0.5
dup	cher	2	6	0.0016	0	0.5
CG3075	cher	2	6	3e-04	0	0.5
Akap200	cher	2	6	0.6439	-0.99351	0.5
CG18369	cher	2	6	3e-04	0	0.5
bnl	cher	2	6	0.0034	0	0.5
sec23	cher	2	6	0.0028	0	0.5
Pde8	cher	2	6	0.0088	0	0.5
Arp66B	cher	2	6	8e-04	0	0.5
cos	cher	2	6	0.0032	0	0.5
Borr	cher	2	6	2e-04	0	0.5
X140up	cher	2	6	7e-04	0	0.5
Dhc64C	cher	2	6	0	0	0.5
Not1	cher	2	6	0	0	0.5
CG9520	cher	2	6	0	0	0.5
bib	cher	2	6	0.0038	0	0.5
mib1	cher	2	6	3e-04	0	0.5
cas	cher	2	6	1e-04	0	0.5
Abi	cher	2	6	0	0	0.5
betaTub56D	cher	2	6	3e-04	0	0.5
nej	cher	2	6	0	0	0.5
dlg1	cher	2	6	1e-04	0	0.5
Lcp65Ag1	cher	2	6	0	0	0.5
Es2	cher	2	6	0	0	0.5
MED24	cher	2	6	1e-04	0	0.5
Vhl	cher	2	6	4e-04	0	0.5
tral	cher	2	6	2e-04	0	0.5
sns	cher	2	6	0.0019	0	0.5
mbl	cher	2	6	1e-04	0	0.5
sav	cher	2	6	0	0	0.5
lola	cher	2	6	0.0018	0	0.5
robo	cher	2	6	0	0	0.5
CG32486	cher	2	6	5e-04	0	0.5
santa.maria	cher	2	6	1e-04	0	0.5
stumps	cher	2	6	0	0	0.5
abd.A	cher	2	6	5e-04	0	0.5
dock	cher	2	6	1e-04	0	0.5
Lar	cher	2	6	0.6767	0.98905	0.5
l.1.G0289	cher	2	6	0	0	0.5
Abl	cher	2	6	0	0	0.5
Syb	cher	2	6	0	0	0.5
dome	cher	2	6	0	0	0.5
ofs	cher	2	6	5e-04	0	0.5
MED4	cher	2	6	1e-04	0	0.5
scrib	cher	2	6	4e-04	0	0.5
