Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	chic	2	6	0	0	0.5
emp	chic	2	6	1e-04	0	0.5
CG2678	chic	2	6	1e-04	0	0.5
crc	chic	2	6	0	0	0.5
pros	chic	2	6	2e-04	0	0.5
neur	chic	2	6	0.0011	0	0.5
Rab5	chic	2	6	1e-04	0	0.5
Rab7	chic	2	6	8e-04	0	0.5
Mmp2	chic	2	6	3e-04	0	0.5
W	chic	2	6	5e-04	0	0.5
bowl	chic	2	6	0.0018	0	0.5
fd59A	chic	2	6	3e-04	0	0.5
e	chic	2	6	2e-04	0	0.5
ben	chic	2	6	1e-04	0	0.5
rdo	chic	2	6	6e-04	0	0.5
lin	chic	2	6	2e-04	0	0.5
tra	chic	2	6	0	0	0.5
tra2	chic	2	6	0.001	0	0.5
cathD	chic	2	6	0.0013	0	0.5
d	chic	2	6	0.0015	0	0.5
lva	chic	2	6	0.0022	0	0.5
pbl	chic	2	6	0.0019	0	0.5
CG33205	chic	2	6	9e-04	0	0.5
da	chic	2	6	3e-04	0	0.5
cactin	chic	2	6	1e-04	0	0.5
hpo	chic	2	6	8e-04	0	0.5
Sema.2a	chic	2	6	0.0017	0	0.5
Eip74EF	chic	2	6	4e-04	0	0.5
eg	chic	2	6	3e-04	0	0.5
Arc42	chic	2	6	8e-04	0	0.5
toy	chic	2	6	6e-04	0	0.5
Galpha73B	chic	2	6	6e-04	0	0.5
RhoGAPp190	chic	2	6	0.001	0	0.5
MED11	chic	2	6	5e-04	0	0.5
cher	chic	2	6	0.0121	0	0.5
BicD	chic	2	6	6e-04	0	0.5
MYPT.75D	chic	2	6	0	0	0.5
mus304	chic	2	6	2e-04	0	0.5
CdsA	chic	2	6	0.006	0	0.5
btl	chic	2	6	0.0015	0	0.5
Cyt.c.d	chic	2	6	1e-04	0	0.5
tok	chic	2	6	3e-04	0	0.5
ttk	chic	2	6	7e-04	0	0.5
tamo	chic	2	6	3e-04	0	0.5
CG6416	chic	2	6	1e-04	0	0.5
flfl	chic	2	6	1e-04	0	0.5
Pvr	chic	2	6	0.0025	0	0.5
kay	chic	2	6	0.003	0	0.5
Jra	chic	2	6	1e-04	0	0.5
msk	chic	2	6	0.0017	0	0.5
tll	chic	2	6	2e-04	0	0.5
Tm1	chic	2	6	3e-04	0	0.5
srp	chic	2	6	3e-04	0	0.5
Btk29A	chic	2	6	6e-04	0	0.5
fred	chic	2	6	6e-04	0	0.5
Src64B	chic	2	6	3e-04	0	0.5
Mmp1	chic	2	6	2e-04	0	0.5
sll	chic	2	6	0	0	0.5
Hmgs	chic	2	6	6e-04	0	0.5
caps	chic	2	6	0	0	0.5
Su.var.2.10	chic	2	6	4e-04	0	0.5
CycB	chic	2	6	0.001	0	0.5
spir	chic	2	6	0.0021	0	0.5
spn.A	chic	2	6	3e-04	0	0.5
Ptpmeg	chic	2	6	9e-04	0	0.5
qua	chic	2	6	0	0	0.5
msn	chic	2	6	0.0012	0	0.5
ena	chic	2	6	4e-04	0	0.5
spen	chic	2	6	7e-04	0	0.5
emc	chic	2	6	2e-04	0	0.5
tsh	chic	2	6	0.0019	0	0.5
Dat	chic	2	6	6e-04	0	0.5
Lac	chic	2	6	2e-04	0	0.5
dup	chic	2	6	2e-04	0	0.5
CG3075	chic	2	6	6e-04	0	0.5
Akap200	chic	2	6	9e-04	0	0.5
CG18369	chic	2	6	0	0	0.5
