Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	chico	2	6	0	0	0.5
emp	chico	2	6	0.4253	0	0.5
CG2678	chico	2	6	0	0	0.5
crc	chico	2	6	0	0	0.5
pros	chico	2	6	0	0	0.5
neur	chico	2	6	1e-04	0	0.5
Rab5	chico	2	6	0	0	0.5
Rab7	chico	2	6	0	0	0.5
Mmp2	chico	2	6	0	0	0.5
W	chico	2	6	0	0	0.5
bowl	chico	2	6	0	0	0.5
fd59A	chico	2	6	0	0	0.5
e	chico	2	6	0	0	0.5
ben	chico	2	6	0	0	0.5
rdo	chico	2	6	1e-04	0	0.5
lin	chico	2	6	2e-04	0	0.5
tra	chico	2	6	0	0	0.5
tra2	chico	2	6	0	0	0.5
cathD	chico	2	6	0	0	0.5
d	chico	2	6	0	0	0.5
lva	chico	2	6	0	0	0.5
pbl	chico	2	6	0	0	0.5
CG33205	chico	2	6	5e-04	0	0.5
da	chico	2	6	0	0	0.5
cactin	chico	2	6	1e-04	0	0.5
hpo	chico	2	6	0	0	0.5
Sema.2a	chico	2	6	0	0	0.5
Eip74EF	chico	2	6	0	0	0.5
eg	chico	2	6	2e-04	0	0.5
Arc42	chico	2	6	0	0	0.5
toy	chico	2	6	0	0	0.5
Galpha73B	chico	2	6	3e-04	0	0.5
RhoGAPp190	chico	2	6	0	0	0.5
MED11	chico	2	6	0	0	0.5
cher	chico	2	6	0	0	0.5
BicD	chico	2	6	1e-04	0	0.5
MYPT.75D	chico	2	6	1e-04	0	0.5
mus304	chico	2	6	1e-04	0	0.5
CdsA	chico	2	6	2e-04	0	0.5
btl	chico	2	6	0	0	0.5
Cyt.c.d	chico	2	6	0	0	0.5
tok	chico	2	6	0	0	0.5
ttk	chico	2	6	8e-04	0	0.5
tamo	chico	2	6	0	0	0.5
CG6416	chico	2	6	0	0	0.5
flfl	chico	2	6	0	0	0.5
Pvr	chico	2	6	3e-04	0	0.5
kay	chico	2	6	0	0	0.5
Jra	chico	2	6	0	0	0.5
msk	chico	2	6	0	0	0.5
tll	chico	2	6	0	0	0.5
Tm1	chico	2	6	0	0	0.5
srp	chico	2	6	0	0	0.5
Btk29A	chico	2	6	0	0	0.5
fred	chico	2	6	0	0	0.5
Src64B	chico	2	6	0	0	0.5
Mmp1	chico	2	6	0	0	0.5
sll	chico	2	6	7e-04	0	0.5
Hmgs	chico	2	6	0	0	0.5
caps	chico	2	6	0	0	0.5
Su.var.2.10	chico	2	6	0	0	0.5
CycB	chico	2	6	0	0	0.5
spir	chico	2	6	3e-04	0	0.5
spn.A	chico	2	6	2e-04	0	0.5
Ptpmeg	chico	2	6	0	0	0.5
qua	chico	2	6	0	0	0.5
msn	chico	2	6	8e-04	0	0.5
ena	chico	2	6	0	0	0.5
spen	chico	2	6	0	0	0.5
emc	chico	2	6	0	0	0.5
tsh	chico	2	6	0	0	0.5
Dat	chico	2	6	6e-04	0	0.5
Lac	chico	2	6	0	0	0.5
dup	chico	2	6	2e-04	0	0.5
CG3075	chico	2	6	0	0	0.5
Akap200	chico	2	6	0	0	0.5
CG18369	chico	2	6	2e-04	0	0.5
bnl	chico	2	6	0	0	0.5
sec23	chico	2	6	2e-04	0	0.5
Pde8	chico	2	6	0	0	0.5
Arp66B	chico	2	6	0	0	0.5
cos	chico	2	6	1e-04	0	0.5
Borr	chico	2	6	0	0	0.5
X140up	chico	2	6	0	0	0.5
Dhc64C	chico	2	6	3e-04	0	0.5
Not1	chico	2	6	4e-04	0	0.5
CG9520	chico	2	6	1e-04	0	0.5
bib	chico	2	6	0	0	0.5
mib1	chico	2	6	0	0	0.5
cas	chico	2	6	0	0	0.5
Abi	chico	2	6	0	0	0.5
betaTub56D	chico	2	6	1e-04	0	0.5
nej	chico	2	6	0	0	0.5
dlg1	chico	2	6	0	0	0.5
Lcp65Ag1	chico	2	6	0	0	0.5
Es2	chico	2	6	3e-04	0	0.5
MED24	chico	2	6	0	0	0.5
