Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	chrw	2	6	0	0	0.5
emp	chrw	2	6	0	0	0.5
CG2678	chrw	2	6	0	0	0.5
crc	chrw	2	6	6e-04	0	0.5
pros	chrw	2	6	0	0	0.5
neur	chrw	2	6	0	0	0.5
Rab5	chrw	2	6	0	0	0.5
Rab7	chrw	2	6	0	0	0.5
Mmp2	chrw	2	6	0	0	0.5
W	chrw	2	6	1e-04	0	0.5
bowl	chrw	2	6	1e-04	0	0.5
fd59A	chrw	2	6	0	0	0.5
e	chrw	2	6	0	0	0.5
ben	chrw	2	6	3e-04	0	0.5
rdo	chrw	2	6	0	0	0.5
lin	chrw	2	6	0	0	0.5
tra	chrw	2	6	0	0	0.5
tra2	chrw	2	6	1e-04	0	0.5
cathD	chrw	2	6	0	0	0.5
d	chrw	2	6	2e-04	0	0.5
lva	chrw	2	6	0	0	0.5
pbl	chrw	2	6	0	0	0.5
CG33205	chrw	2	6	0	0	0.5
da	chrw	2	6	0	0	0.5
cactin	chrw	2	6	3e-04	0	0.5
hpo	chrw	2	6	1e-04	0	0.5
Sema.2a	chrw	2	6	0	0	0.5
Eip74EF	chrw	2	6	0	0	0.5
eg	chrw	2	6	0	0	0.5
Arc42	chrw	2	6	0	0	0.5
toy	chrw	2	6	0	0	0.5
Galpha73B	chrw	2	6	5e-04	0	0.5
RhoGAPp190	chrw	2	6	0	0	0.5
MED11	chrw	2	6	0	0	0.5
cher	chrw	2	6	0	0	0.5
BicD	chrw	2	6	0	0	0.5
MYPT.75D	chrw	2	6	0	0	0.5
mus304	chrw	2	6	0	0	0.5
CdsA	chrw	2	6	7e-04	0	0.5
btl	chrw	2	6	0	0	0.5
Cyt.c.d	chrw	2	6	0	0	0.5
tok	chrw	2	6	0	0	0.5
ttk	chrw	2	6	0	0	0.5
tamo	chrw	2	6	0	0	0.5
CG6416	chrw	2	6	0	0	0.5
flfl	chrw	2	6	0	0	0.5
Pvr	chrw	2	6	0	0	0.5
kay	chrw	2	6	3e-04	0	0.5
Jra	chrw	2	6	0	0	0.5
msk	chrw	2	6	0	0	0.5
tll	chrw	2	6	0	0	0.5
Tm1	chrw	2	6	2e-04	0	0.5
srp	chrw	2	6	0	0	0.5
Btk29A	chrw	2	6	0	0	0.5
