Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	cic	2	6	1e-04	0	0.5
emp	cic	2	6	0	0	0.5
CG2678	cic	2	6	0	0	0.5
crc	cic	2	6	0	0	0.5
pros	cic	2	6	0	0	0.5
neur	cic	2	6	0	0	0.5
Rab5	cic	2	6	0	0	0.5
Rab7	cic	2	6	0	0	0.5
Mmp2	cic	2	6	1e-04	0	0.5
W	cic	2	6	0	0	0.5
bowl	cic	2	6	2e-04	0	0.5
fd59A	cic	2	6	0	0	0.5
e	cic	2	6	5e-04	0	0.5
ben	cic	2	6	0	0	0.5
rdo	cic	2	6	6e-04	0	0.5
lin	cic	2	6	3e-04	0	0.5
tra	cic	2	6	6e-04	0	0.5
tra2	cic	2	6	3e-04	0	0.5
cathD	cic	2	6	1e-04	0	0.5
d	cic	2	6	1e-04	0	0.5
lva	cic	2	6	0	0	0.5
pbl	cic	2	6	2e-04	0	0.5
CG33205	cic	2	6	6e-04	0	0.5
da	cic	2	6	0	0	0.5
cactin	cic	2	6	1e-04	0	0.5
hpo	cic	2	6	0	0	0.5
Sema.2a	cic	2	6	0	0	0.5
Eip74EF	cic	2	6	5e-04	0	0.5
eg	cic	2	6	5e-04	0	0.5
Arc42	cic	2	6	0	0	0.5
toy	cic	2	6	0	0	0.5
Galpha73B	cic	2	6	2e-04	0	0.5
RhoGAPp190	cic	2	6	0	0	0.5
MED11	cic	2	6	3e-04	0	0.5
cher	cic	2	6	8e-04	0	0.5
BicD	cic	2	6	0	0	0.5
MYPT.75D	cic	2	6	0	0	0.5
mus304	cic	2	6	1e-04	0	0.5
CdsA	cic	2	6	0	0	0.5
btl	cic	2	6	5e-04	0	0.5
Cyt.c.d	cic	2	6	0	0	0.5
tok	cic	2	6	0	0	0.5
ttk	cic	2	6	0	0	0.5
tamo	cic	2	6	0	0	0.5
CG6416	cic	2	6	3e-04	0	0.5
flfl	cic	2	6	2e-04	0	0.5
Pvr	cic	2	6	0	0	0.5
kay	cic	2	6	0	0	0.5
Jra	cic	2	6	6e-04	0	0.5
msk	cic	2	6	6e-04	0	0.5
tll	cic	2	6	0	0	0.5
Tm1	cic	2	6	0	0	0.5
srp	cic	2	6	0	0	0.5
Btk29A	cic	2	6	8e-04	0	0.5
fred	cic	2	6	5e-04	0	0.5
Src64B	cic	2	6	2e-04	0	0.5
Mmp1	cic	2	6	2e-04	0	0.5
sll	cic	2	6	3e-04	0	0.5
Hmgs	cic	2	6	0	0	0.5
caps	cic	2	6	0	0	0.5
Su.var.2.10	cic	2	6	0	0	0.5
CycB	cic	2	6	0	0	0.5
spir	cic	2	6	2e-04	0	0.5
spn.A	cic	2	6	2e-04	0	0.5
Ptpmeg	cic	2	6	0.0012	0	0.5
qua	cic	2	6	0	0	0.5
msn	cic	2	6	2e-04	0	0.5
ena	cic	2	6	2e-04	0	0.5
spen	cic	2	6	7e-04	0	0.5
emc	cic	2	6	2e-04	0	0.5
tsh	cic	2	6	3e-04	0	0.5
Dat	cic	2	6	0	0	0.5
Lac	cic	2	6	3e-04	0	0.5
dup	cic	2	6	1e-04	0	0.5
CG3075	cic	2	6	4e-04	0	0.5
Akap200	cic	2	6	0.8907	-0.99945	0.5
CG18369	cic	2	6	1e-04	0	0.5
bnl	cic	2	6	0	0	0.5
sec23	cic	2	6	0	0	0.5
Pde8	cic	2	6	1e-04	0	0.5
Arp66B	cic	2	6	1e-04	0	0.5
cos	cic	2	6	3e-04	0	0.5
Borr	cic	2	6	0	0	0.5
X140up	cic	2	6	5e-04	0	0.5
Dhc64C	cic	2	6	1e-04	0	0.5
Not1	cic	2	6	1e-04	0	0.5
CG9520	cic	2	6	0	0	0.5
bib	cic	2	6	0	0	0.5
mib1	cic	2	6	1e-04	0	0.5
cas	cic	2	6	2e-04	0	0.5
Abi	cic	2	6	0.8914	0.99867	0.5
betaTub56D	cic	2	6	4e-04	0	0.5
nej	cic	2	6	1e-04	0	0.5
dlg1	cic	2	6	0	0	0.5
Lcp65Ag1	cic	2	6	4e-04	0	0.5
Es2	cic	2	6	1e-04	0	0.5
MED24	cic	2	6	0	0	0.5
Vhl	cic	2	6	1e-04	0	0.5
tral	cic	2	6	3e-04	0	0.5
sns	cic	2	6	0	0	0.5
mbl	cic	2	6	2e-04	0	0.5
sav	cic	2	6	1e-04	0	0.5
lola	cic	2	6	2e-04	0	0.5
robo	cic	2	6	0	0	0.5
CG32486	cic	2	6	0	0	0.5
santa.maria	cic	2	6	0	0	0.5
stumps	cic	2	6	0	0	0.5
abd.A	cic	2	6	0	0	0.5
dock	cic	2	6	3e-04	0	0.5
Lar	cic	2	6	2e-04	0	0.5
l.1.G0289	cic	2	6	0	0	0.5
Abl	cic	2	6	4e-04	0	0.5
Syb	cic	2	6	0	0	0.5
dome	cic	2	6	0	0	0.5
ofs	cic	2	6	0	0	0.5
MED4	cic	2	6	7e-04	0	0.5
scrib	cic	2	6	0	0	0.5
siz	cic	2	6	2e-04	0	0.5
cbx	cic	2	6	0	0	0.5
dsx	cic	2	6	6e-04	0	0.5
Sb	cic	2	6	4e-04	0	0.5
sax	cic	2	6	0	0	0.5
foxo	cic	2	6	1e-04	0	0.5
Cyp1	cic	2	6	2e-04	0	0.5
brm	cic	2	6	0	0	0.5
rad50	cic	2	6	5e-04	0	0.5
chico	cic	2	6	0	0	0.5
