Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	cnk	2	6	1e-04	0	0.5
emp	cnk	2	6	1e-04	0	0.5
CG2678	cnk	2	6	2e-04	0	0.5
crc	cnk	2	6	0	0	0.5
pros	cnk	2	6	2e-04	0	0.5
neur	cnk	2	6	0	0	0.5
Rab5	cnk	2	6	0	0	0.5
Rab7	cnk	2	6	0	0	0.5
Mmp2	cnk	2	6	0	0	0.5
W	cnk	2	6	1e-04	0	0.5
bowl	cnk	2	6	0	0	0.5
fd59A	cnk	2	6	0	0	0.5
e	cnk	2	6	0	0	0.5
ben	cnk	2	6	0	0	0.5
rdo	cnk	2	6	0	0	0.5
lin	cnk	2	6	0	0	0.5
tra	cnk	2	6	6e-04	0	0.5
tra2	cnk	2	6	1e-04	0	0.5
cathD	cnk	2	6	0	0	0.5
d	cnk	2	6	3e-04	0	0.5
lva	cnk	2	6	0	0	0.5
pbl	cnk	2	6	0	0	0.5
CG33205	cnk	2	6	0	0	0.5
da	cnk	2	6	0	0	0.5
cactin	cnk	2	6	0	0	0.5
hpo	cnk	2	6	2e-04	0	0.5
Sema.2a	cnk	2	6	0	0	0.5
Eip74EF	cnk	2	6	0	0	0.5
eg	cnk	2	6	0	0	0.5
Arc42	cnk	2	6	0	0	0.5
toy	cnk	2	6	0	0	0.5
Galpha73B	cnk	2	6	1e-04	0	0.5
RhoGAPp190	cnk	2	6	0	0	0.5
MED11	cnk	2	6	0	0	0.5
cher	cnk	2	6	0	0	0.5
BicD	cnk	2	6	0	0	0.5
MYPT.75D	cnk	2	6	0	0	0.5
mus304	cnk	2	6	0	0	0.5
CdsA	cnk	2	6	1e-04	0	0.5
btl	cnk	2	6	0	0	0.5
Cyt.c.d	cnk	2	6	0	0	0.5
tok	cnk	2	6	0	0	0.5
ttk	cnk	2	6	0	0	0.5
tamo	cnk	2	6	0	0	0.5
CG6416	cnk	2	6	0	0	0.5
flfl	cnk	2	6	0	0	0.5
Pvr	cnk	2	6	2e-04	0	0.5
kay	cnk	2	6	0	0	0.5
Jra	cnk	2	6	1e-04	0	0.5
msk	cnk	2	6	0	0	0.5
tll	cnk	2	6	2e-04	0	0.5
Tm1	cnk	2	6	0	0	0.5
srp	cnk	2	6	0	0	0.5
Btk29A	cnk	2	6	0	0	0.5
fred	cnk	2	6	0	0	0.5
Src64B	cnk	2	6	0	0	0.5
Mmp1	cnk	2	6	0	0	0.5
sll	cnk	2	6	2e-04	0	0.5
Hmgs	cnk	2	6	3e-04	0	0.5
caps	cnk	2	6	0	0	0.5
Su.var.2.10	cnk	2	6	0	0	0.5
CycB	cnk	2	6	0	0	0.5
spir	cnk	2	6	2e-04	0	0.5
spn.A	cnk	2	6	0	0	0.5
Ptpmeg	cnk	2	6	0	0	0.5
qua	cnk	2	6	0	0	0.5
msn	cnk	2	6	0	0	0.5
ena	cnk	2	6	2e-04	0	0.5
spen	cnk	2	6	0	0	0.5
emc	cnk	2	6	0	0	0.5
tsh	cnk	2	6	0	0	0.5
Dat	cnk	2	6	0	0	0.5
Lac	cnk	2	6	0	0	0.5
dup	cnk	2	6	0	0	0.5
CG3075	cnk	2	6	0	0	0.5
Akap200	cnk	2	6	0	0	0.5
CG18369	cnk	2	6	0	0	0.5
bnl	cnk	2	6	0	0	0.5
sec23	cnk	2	6	0	0	0.5
Pde8	cnk	2	6	0	0	0.5
Arp66B	cnk	2	6	0	0	0.5
cos	cnk	2	6	0	0	0.5
Borr	cnk	2	6	0	0	0.5
X140up	cnk	2	6	0	0	0.5
Dhc64C	cnk	2	6	0	0	0.5
Not1	cnk	2	6	0	0	0.5
CG9520	cnk	2	6	0	0	0.5
bib	cnk	2	6	0	0	0.5
mib1	cnk	2	6	0	0	0.5
cas	cnk	2	6	0	0	0.5
Abi	cnk	2	6	0	0	0.5
betaTub56D	cnk	2	6	0	0	0.5
nej	cnk	2	6	0	0	0.5
dlg1	cnk	2	6	0	0	0.5
Lcp65Ag1	cnk	2	6	4e-04	0	0.5
Es2	cnk	2	6	0	0	0.5
MED24	cnk	2	6	1	0.99918	0.5
Vhl	cnk	2	6	0	0	0.5
tral	cnk	2	6	0	0	0.5
sns	cnk	2	6	4e-04	0	0.5
mbl	cnk	2	6	0	0	0.5
sav	cnk	2	6	0	0	0.5
lola	cnk	2	6	3e-04	0	0.5
robo	cnk	2	6	0	0	0.5
CG32486	cnk	2	6	0	0	0.5
santa.maria	cnk	2	6	0	0	0.5
stumps	cnk	2	6	6e-04	0	0.5
abd.A	cnk	2	6	0	0	0.5
dock	cnk	2	6	0	0	0.5
Lar	cnk	2	6	0	0	0.5
l.1.G0289	cnk	2	6	0	0	0.5
Abl	cnk	2	6	0	0	0.5
Syb	cnk	2	6	3e-04	0	0.5
dome	cnk	2	6	0	0	0.5
ofs	cnk	2	6	0	0	0.5
MED4	cnk	2	6	0	0	0.5
scrib	cnk	2	6	0	0	0.5
siz	cnk	2	6	0	0	0.5
cbx	cnk	2	6	0	0	0.5
dsx	cnk	2	6	0	0	0.5
Sb	cnk	2	6	4e-04	0	0.5
sax	cnk	2	6	0	0	0.5
foxo	cnk	2	6	0	0	0.5
Cyp1	cnk	2	6	0	0	0.5
brm	cnk	2	6	3e-04	0	0.5
rad50	cnk	2	6	0	0	0.5
chico	cnk	2	6	0	0	0.5
cp309	cnk	2	6	4e-04	0	0.5
hdc	cnk	2	6	0	0	0.5
Axn	cnk	2	6	0	0	0.5
Apc2	cnk	2	6	0	0	0.5
PhKgamma	cnk	2	6	0	0	0.5
eya	cnk	2	6	7e-04	0	0.5
sktl	cnk	2	6	0	0	0.5
sqd	cnk	2	6	0	0	0.5
Akt1	cnk	2	6	0	0	0.5
scyl	cnk	2	6	3e-04	0	0.5
cnk	cnk	2	6	0	0	0.5
CG8149	cnk	2	6	0	0	0.5
CG34379	cnk	2	6	0	0	0.5
Yp1	cnk	2	6	1e-04	0	0.5
yrt	cnk	2	6	0	0	0.5
bap	cnk	2	6	0	0	0.5
tud	cnk	2	6	0	0	0.5
ct	cnk	2	6	1e-04	0	0.5
tup	cnk	2	6	0	0	0.5
G.ialpha65A	cnk	2	6	0	0	0.5
knrl	cnk	2	6	1e-04	0	0.5
Pkn	cnk	2	6	0	0	0.5
Sry.delta	cnk	2	6	0	0	0.5
Alh	cnk	2	6	8e-04	0	0.5
pnut	cnk	2	6	0	0	0.5
phyl	cnk	2	6	0	0	0.5
CG17739	cnk	2	6	0	0	0.5
B4	cnk	2	6	0	0	0.5
CG2681	cnk	2	6	0	0	0.5
tow	cnk	2	6	0	0	0.5
hkl	cnk	2	6	0	0	0.5
sina	cnk	2	6	0	0	0.5
ry	cnk	2	6	0	0	0.5
rux	cnk	2	6	3e-04	0	0.5
boss	cnk	2	6	2e-04	0	0.5
Mkp3	cnk	2	6	0	0	0.5
inaC	cnk	2	6	0	0	0.5
sno	cnk	2	6	1e-04	0	0.5
jagn	cnk	2	6	0	0	0.5
dpn	cnk	2	6	0	0	0.5
wrapper	cnk	2	6	0	0	0.5
Ca.alpha1D	cnk	2	6	0	0	0.5
E2f	cnk	2	6	0	0	0.5
Dp	cnk	2	6	1e-04	0	0.5
l.2.efl	cnk	2	6	0	0	0.5
cnc	cnk	2	6	0	0	0.5
Atg5	cnk	2	6	0	0	0.5
acj6	cnk	2	6	0	0	0.5
Trl	cnk	2	6	0	0	0.5
d4	cnk	2	6	0	0	0.5
CG16719	cnk	2	6	0	0	0.5
CadN	cnk	2	6	0	0	0.5
gro	cnk	2	6	0	0	0.5
sec13	cnk	2	6	0	0	0.5
klar	cnk	2	6	0	0	0.5
Rack1	cnk	2	6	0	0	0.5
Sobp	cnk	2	6	0	0	0.5
ash1	cnk	2	6	6e-04	0	0.5
inv	cnk	2	6	1e-04	0	0.5
shot	cnk	2	6	0	0	0.5
Oseg1	cnk	2	6	0	0	0.5
Spred	cnk	2	6	0	0	0.5
puc	cnk	2	6	0	0	0.5
Atg6	cnk	2	6	0	0	0.5
CG3829	cnk	2	6	0	0	0.5
sle	cnk	2	6	0	0	0.5
Cka	cnk	2	6	0	0	0.5
form3	cnk	2	6	0	0	0.5
Pk61C	cnk	2	6	0	0	0.5
Pcaf	cnk	2	6	0	0	0.5
sbb	cnk	2	6	0	0	0.5
Ef1gamma	cnk	2	6	2e-04	0	0.5
FKBP59	cnk	2	6	2e-04	0	0.5
Eip71CD	cnk	2	6	0	0	0.5
xmas.2	cnk	2	6	1e-04	0	0.5
ppan	cnk	2	6	0	0	0.5
Iswi	cnk	2	6	5e-04	0	0.5
ine	cnk	2	6	0	0	0.5
Tina.1	cnk	2	6	0	0	0.5
bon	cnk	2	6	0	0	0.5
pot	cnk	2	6	0	0	0.5
chic	cnk	2	6	0	0	0.5
Hem	cnk	2	6	0	0	0.5
chif	cnk	2	6	0	0	0.5
S6kII	cnk	2	6	1e-04	0	0.5
wal	cnk	2	6	0	0	0.5
wls	cnk	2	6	0	0	0.5
Ddx1	cnk	2	6	0	0	0.5
Sulf1	cnk	2	6	1e-04	0	0.5
CG3987	cnk	2	6	0	0	0.5
Abd.B	cnk	2	6	0	0	0.5
Uba1	cnk	2	6	0	0	0.5
bigmax	cnk	2	6	0	0	0.5
NAT1	cnk	2	6	0	0	0.5
wupA	cnk	2	6	0	0	0.5
Vps28	cnk	2	6	0	0	0.5
G.oalpha47A	cnk	2	6	0	0	0.5
G.salpha60A	cnk	2	6	0	0	0.5
dsf	cnk	2	6	0	0	0.5
Khc	cnk	2	6	0	0	0.5
CG10641	cnk	2	6	5e-04	0	0.5
Alk	cnk	2	6	0	0	0.5
ey	cnk	2	6	1e-04	0	0.5
noc	cnk	2	6	0	0	0.5
ix	cnk	2	6	0	0	0.5
Optix	cnk	2	6	4e-04	0	0.5
sdt	cnk	2	6	0	0	0.5
Sxl	cnk	2	6	0	0	0.5
rib	cnk	2	6	1e-04	0	0.5
sas	cnk	2	6	0	0	0.5
Scgdelta	cnk	2	6	0	0	0.5
sw	cnk	2	6	0	0	0.5
fal	cnk	2	6	0	0	0.5
ea	cnk	2	6	0	0	0.5
Ice	cnk	2	6	0	0	0.5
cic	cnk	2	6	0	0	0.5
Dok	cnk	2	6	0	0	0.5
rhea	cnk	2	6	0	0	0.5
Glycogenin	cnk	2	6	1e-04	0	0.5
cin	cnk	2	6	1e-04	0	0.5
chp	cnk	2	6	0	0	0.5
Dlic2	cnk	2	6	0	0	0.5
Pk92B	cnk	2	6	0	0	0.5
Pak	cnk	2	6	2e-04	0	0.5
Lim1	cnk	2	6	0	0	0.5
CG34450	cnk	2	6	6e-04	0	0.5
Su.H.	cnk	2	6	0	0	0.5
CG12301	cnk	2	6	0	0	0.5
lilli	cnk	2	6	0	0	0.5
toe	cnk	2	6	0	0	0.5
qkr58E.3	cnk	2	6	6e-04	0	0.5
up	cnk	2	6	0	0	0.5
hep	cnk	2	6	0	0	0.5
Dap160	cnk	2	6	0	0	0.5
l.2.gd1	cnk	2	6	0	0	0.5
hkb	cnk	2	6	0	0	0.5
beta4GalNAcTA	cnk	2	6	0	0	0.5
Mer	cnk	2	6	0	0	0.5
Mtl	cnk	2	6	0	0	0.5
spin	cnk	2	6	0	0	0.5
mfas	cnk	2	6	0	0	0.5
frc	cnk	2	6	1e-04	0	0.5
Krn	cnk	2	6	0	0	0.5
mam	cnk	2	6	1e-04	0	0.5
brk	cnk	2	6	0	0	0.5
Ark	cnk	2	6	0	0	0.5
mmy	cnk	2	6	0	0	0.5
mri	cnk	2	6	0	0	0.5
Crk	cnk	2	6	0	0	0.5
ssh	cnk	2	6	0	0	0.5
fs.1.K10	cnk	2	6	0	0	0.5
Psn	cnk	2	6	4e-04	0	0.5
CG9509	cnk	2	6	0	0	0.5
CkIIalpha	cnk	2	6	0	0	0.5
car	cnk	2	6	0	0	0.5
capu	cnk	2	6	0	0	0.5
cact	cnk	2	6	0	0	0.5
Patj	cnk	2	6	0	0	0.5
dpp	cnk	2	6	0	0	0.5
xl6	cnk	2	6	0	0	0.5
dally	cnk	2	6	0	0	0.5
Pi3K92E	cnk	2	6	0	0	0.5
E.bx.	cnk	2	6	2e-04	0	0.5
emb	cnk	2	6	2e-04	0	0.5
CtBP	cnk	2	6	0	0	0.5
Dad	cnk	2	6	1e-04	0	0.5
amx	cnk	2	6	0	0	0.5
Ank2	cnk	2	6	0	0	0.5
CG34417	cnk	2	6	0	0	0.5
scra	cnk	2	6	0	0	0.5
dsd	cnk	2	6	0	0	0.5
Ephrin	cnk	2	6	0.0013	0	0.5
Appl	cnk	2	6	0	0	0.5
sty	cnk	2	6	0	0	0.5
RhoL	cnk	2	6	0	0	0.5
twi	cnk	2	6	0	0	0.5
tub	cnk	2	6	1e-04	0	0.5
ftz.f1	cnk	2	6	0	0	0.5
wg	cnk	2	6	0	0	0.5
LanB1	cnk	2	6	0	0	0.5
LanA	cnk	2	6	3e-04	0	0.5
LanB2	cnk	2	6	1e-04	0	0.5
Chi	cnk	2	6	1e-04	0	0.5
nmo	cnk	2	6	0	0	0.5
ics	cnk	2	6	0	0	0.5
oaf	cnk	2	6	6e-04	0	0.5
dco	cnk	2	6	0	0	0.5
Dys	cnk	2	6	0	0	0.5
drm	cnk	2	6	0	0	0.5
RpL30	cnk	2	6	0	0	0.5
how	cnk	2	6	0	0	0.5
dei	cnk	2	6	0	0	0.5
CG1244	cnk	2	6	0	0	0.5
Chc	cnk	2	6	2e-04	0	0.5
Orct	cnk	2	6	0	0	0.5
sgl	cnk	2	6	0	0	0.5
CG17221	cnk	2	6	0	0	0.5
gkt	cnk	2	6	0	0	0.5
by	cnk	2	6	0	0	0.5
Pka.C3	cnk	2	6	0	0	0.5
vlc	cnk	2	6	0	0	0.5
