Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	cort	2	6	0	0	0.5
emp	cort	2	6	0	0	0.5
CG2678	cort	2	6	8e-04	0	0.5
crc	cort	2	6	7e-04	0	0.5
pros	cort	2	6	2e-04	0	0.5
neur	cort	2	6	0	0	0.5
Rab5	cort	2	6	4e-04	0	0.5
Rab7	cort	2	6	0.0011	0	0.5
Mmp2	cort	2	6	0	0	0.5
W	cort	2	6	6e-04	0	0.5
bowl	cort	2	6	1e-04	0	0.5
fd59A	cort	2	6	4e-04	0	0.5
e	cort	2	6	8e-04	0	0.5
ben	cort	2	6	0	0	0.5
rdo	cort	2	6	0	0	0.5
lin	cort	2	6	0	0	0.5
tra	cort	2	6	0	0	0.5
tra2	cort	2	6	4e-04	0	0.5
cathD	cort	2	6	0.0011	0	0.5
d	cort	2	6	4e-04	0	0.5
lva	cort	2	6	4e-04	0	0.5
pbl	cort	2	6	2e-04	0	0.5
CG33205	cort	2	6	1e-04	0	0.5
da	cort	2	6	4e-04	0	0.5
cactin	cort	2	6	0	0	0.5
hpo	cort	2	6	5e-04	0	0.5
Sema.2a	cort	2	6	0	0	0.5
Eip74EF	cort	2	6	0	0	0.5
eg	cort	2	6	0	0	0.5
Arc42	cort	2	6	0.0012	0	0.5
toy	cort	2	6	4e-04	0	0.5
Galpha73B	cort	2	6	0	0	0.5
RhoGAPp190	cort	2	6	1e-04	0	0.5
MED11	cort	2	6	1e-04	0	0.5
cher	cort	2	6	0	0	0.5
BicD	cort	2	6	5e-04	0	0.5
MYPT.75D	cort	2	6	2e-04	0	0.5
mus304	cort	2	6	5e-04	0	0.5
CdsA	cort	2	6	0	0	0.5
btl	cort	2	6	5e-04	0	0.5
Cyt.c.d	cort	2	6	4e-04	0	0.5
tok	cort	2	6	0	0	0.5
ttk	cort	2	6	1e-04	0	0.5
tamo	cort	2	6	2e-04	0	0.5
CG6416	cort	2	6	5e-04	0	0.5
flfl	cort	2	6	0	0	0.5
Pvr	cort	2	6	4e-04	0	0.5
kay	cort	2	6	0	0	0.5
Jra	cort	2	6	1e-04	0	0.5
msk	cort	2	6	0	0	0.5
tll	cort	2	6	9e-04	0	0.5
Tm1	cort	2	6	7e-04	0	0.5
srp	cort	2	6	0	0	0.5
Btk29A	cort	2	6	2e-04	0	0.5
fred	cort	2	6	1e-04	0	0.5
Src64B	cort	2	6	0	0	0.5
