Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	cp309	2	6	0.0022	0	0.5
emp	cp309	2	6	1e-04	0	0.5
CG2678	cp309	2	6	0	0	0.5
crc	cp309	2	6	3e-04	0	0.5
pros	cp309	2	6	0.0028	0	0.5
neur	cp309	2	6	5e-04	0	0.5
Rab5	cp309	2	6	7e-04	0	0.5
Rab7	cp309	2	6	0	0	0.5
Mmp2	cp309	2	6	4e-04	0	0.5
W	cp309	2	6	9e-04	0	0.5
bowl	cp309	2	6	0.0021	0	0.5
fd59A	cp309	2	6	8e-04	0	0.5
e	cp309	2	6	0.0076	0	0.5
ben	cp309	2	6	9e-04	0	0.5
rdo	cp309	2	6	6e-04	0	0.5
lin	cp309	2	6	0.0098	0	0.5
tra	cp309	2	6	8e-04	0	0.5
tra2	cp309	2	6	4e-04	0	0.5
cathD	cp309	2	6	1e-04	0	0.5
d	cp309	2	6	0.0019	0	0.5
lva	cp309	2	6	9e-04	0	0.5
pbl	cp309	2	6	1e-04	0	0.5
CG33205	cp309	2	6	3e-04	0	0.5
da	cp309	2	6	0	0	0.5
cactin	cp309	2	6	2e-04	0	0.5
hpo	cp309	2	6	8e-04	0	0.5
Sema.2a	cp309	2	6	5e-04	0	0.5
Eip74EF	cp309	2	6	4e-04	0	0.5
eg	cp309	2	6	3e-04	0	0.5
Arc42	cp309	2	6	8e-04	0	0.5
toy	cp309	2	6	0.0015	0	0.5
Galpha73B	cp309	2	6	2e-04	0	0.5
RhoGAPp190	cp309	2	6	0.0011	0	0.5
MED11	cp309	2	6	0.0017	0	0.5
cher	cp309	2	6	1e-04	0	0.5
BicD	cp309	2	6	4e-04	0	0.5
MYPT.75D	cp309	2	6	2e-04	0	0.5
mus304	cp309	2	6	2e-04	0	0.5
CdsA	cp309	2	6	8e-04	0	0.5
btl	cp309	2	6	1e-04	0	0.5
Cyt.c.d	cp309	2	6	0.001	0	0.5
