Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	crol	2	6	6e-04	0	0.5
emp	crol	2	6	0	0	0.5
CG2678	crol	2	6	0	0	0.5
crc	crol	2	6	1e-04	0	0.5
pros	crol	2	6	0	0	0.5
neur	crol	2	6	2e-04	0	0.5
Rab5	crol	2	6	0	0	0.5
Rab7	crol	2	6	0	0	0.5
Mmp2	crol	2	6	1e-04	0	0.5
W	crol	2	6	0	0	0.5
bowl	crol	2	6	1e-04	0	0.5
fd59A	crol	2	6	0	0	0.5
e	crol	2	6	0	0	0.5
ben	crol	2	6	0	0	0.5
rdo	crol	2	6	0	0	0.5
lin	crol	2	6	0	0	0.5
tra	crol	2	6	1e-04	0	0.5
tra2	crol	2	6	0	0	0.5
cathD	crol	2	6	0	0	0.5
d	crol	2	6	0	0	0.5
lva	crol	2	6	0	0	0.5
pbl	crol	2	6	0	0	0.5
CG33205	crol	2	6	0	0	0.5
da	crol	2	6	8e-04	0	0.5
cactin	crol	2	6	0	0	0.5
hpo	crol	2	6	0	0	0.5
Sema.2a	crol	2	6	0	0	0.5
Eip74EF	crol	2	6	0	0	0.5
eg	crol	2	6	0	0	0.5
Arc42	crol	2	6	0	0	0.5
toy	crol	2	6	0	0	0.5
Galpha73B	crol	2	6	4e-04	0	0.5
RhoGAPp190	crol	2	6	0	0	0.5
MED11	crol	2	6	0	0	0.5
cher	crol	2	6	1e-04	0	0.5
BicD	crol	2	6	0	0	0.5
MYPT.75D	crol	2	6	0	0	0.5
mus304	crol	2	6	1e-04	0	0.5
CdsA	crol	2	6	0	0	0.5
btl	crol	2	6	3e-04	0	0.5
Cyt.c.d	crol	2	6	0	0	0.5
tok	crol	2	6	0	0	0.5
ttk	crol	2	6	4e-04	0	0.5
tamo	crol	2	6	0	0	0.5
CG6416	crol	2	6	0	0	0.5
flfl	crol	2	6	1e-04	0	0.5
Pvr	crol	2	6	0	0	0.5
kay	crol	2	6	3e-04	0	0.5
Jra	crol	2	6	0	0	0.5
msk	crol	2	6	0	0	0.5
tll	crol	2	6	0	0	0.5
Tm1	crol	2	6	0	0	0.5
srp	crol	2	6	5e-04	0	0.5
Btk29A	crol	2	6	0	0	0.5
fred	crol	2	6	0	0	0.5
Src64B	crol	2	6	0	0	0.5
Mmp1	crol	2	6	1e-04	0	0.5
sll	crol	2	6	0	0	0.5
Hmgs	crol	2	6	3e-04	0	0.5
caps	crol	2	6	3e-04	0	0.5
Su.var.2.10	crol	2	6	5e-04	0	0.5
CycB	crol	2	6	2e-04	0	0.5
spir	crol	2	6	3e-04	0	0.5
spn.A	crol	2	6	0	0	0.5
Ptpmeg	crol	2	6	3e-04	0	0.5
qua	crol	2	6	0	0	0.5
msn	crol	2	6	0	0	0.5
ena	crol	2	6	0	0	0.5
spen	crol	2	6	0	0	0.5
emc	crol	2	6	0	0	0.5
tsh	crol	2	6	6e-04	0	0.5
Dat	crol	2	6	0	0	0.5
Lac	crol	2	6	0	0	0.5
dup	crol	2	6	4e-04	0	0.5
CG3075	crol	2	6	1e-04	0	0.5
Akap200	crol	2	6	0	0	0.5
CG18369	crol	2	6	0	0	0.5
bnl	crol	2	6	0	0	0.5
sec23	crol	2	6	0	0	0.5
Pde8	crol	2	6	0	0	0.5
Arp66B	crol	2	6	3e-04	0	0.5
cos	crol	2	6	0	0	0.5
Borr	crol	2	6	0	0	0.5
X140up	crol	2	6	2e-04	0	0.5
Dhc64C	crol	2	6	8e-04	0	0.5
Not1	crol	2	6	0	0	0.5
CG9520	crol	2	6	2e-04	0	0.5
bib	crol	2	6	5e-04	0	0.5
mib1	crol	2	6	0	0	0.5
cas	crol	2	6	0	0	0.5
Abi	crol	2	6	7e-04	0	0.5
betaTub56D	crol	2	6	0	0	0.5
nej	crol	2	6	0	0	0.5
dlg1	crol	2	6	0	0	0.5
Lcp65Ag1	crol	2	6	7e-04	0	0.5
Es2	crol	2	6	0	0	0.5
MED24	crol	2	6	0	0	0.5
Vhl	crol	2	6	2e-04	0	0.5
tral	crol	2	6	1e-04	0	0.5
sns	crol	2	6	0	0	0.5
mbl	crol	2	6	0	0	0.5
sav	crol	2	6	0	0	0.5
lola	crol	2	6	0	0	0.5
robo	crol	2	6	3e-04	0	0.5
CG32486	crol	2	6	0	0	0.5
santa.maria	crol	2	6	0	0	0.5
stumps	crol	2	6	2e-04	0	0.5
abd.A	crol	2	6	0	0	0.5
dock	crol	2	6	0	0	0.5
Lar	crol	2	6	7e-04	0	0.5
l.1.G0289	crol	2	6	0	0	0.5
Abl	crol	2	6	1e-04	0	0.5
Syb	crol	2	6	8e-04	0	0.5
dome	crol	2	6	0	0	0.5
ofs	crol	2	6	0	0	0.5
MED4	crol	2	6	0	0	0.5
scrib	crol	2	6	0	0	0.5
siz	crol	2	6	0	0	0.5
cbx	crol	2	6	0	0	0.5
dsx	crol	2	6	0	0	0.5
Sb	crol	2	6	0	0	0.5
sax	crol	2	6	0	0	0.5
foxo	crol	2	6	0	0	0.5
Cyp1	crol	2	6	0	0	0.5
brm	crol	2	6	0.0011	0	0.5
rad50	crol	2	6	0	0	0.5
chico	crol	2	6	4e-04	0	0.5
cp309	crol	2	6	0	0	0.5
hdc	crol	2	6	0	0	0.5
Axn	crol	2	6	0	0	0.5
Apc2	crol	2	6	0	0	0.5
PhKgamma	crol	2	6	0	0	0.5
eya	crol	2	6	0	0	0.5
sktl	crol	2	6	0	0	0.5
sqd	crol	2	6	0	0	0.5
Akt1	crol	2	6	0	0	0.5
scyl	crol	2	6	0.0014	0	0.5
cnk	crol	2	6	0	0	0.5
CG8149	crol	2	6	0	0	0.5
CG34379	crol	2	6	0	0	0.5
Yp1	crol	2	6	0	0	0.5
yrt	crol	2	6	1e-04	0	0.5
bap	crol	2	6	0	0	0.5
tud	crol	2	6	0	0	0.5
ct	crol	2	6	0	0	0.5
tup	crol	2	6	2e-04	0	0.5
G.ialpha65A	crol	2	6	0	0	0.5
knrl	crol	2	6	2e-04	0	0.5
Pkn	crol	2	6	0	0	0.5
Sry.delta	crol	2	6	1e-04	0	0.5
Alh	crol	2	6	0	0	0.5
pnut	crol	2	6	3e-04	0	0.5
phyl	crol	2	6	0	0	0.5
CG17739	crol	2	6	0	0	0.5
B4	crol	2	6	0	0	0.5
CG2681	crol	2	6	0	0	0.5
tow	crol	2	6	0	0	0.5
hkl	crol	2	6	0	0	0.5
sina	crol	2	6	0	0	0.5
ry	crol	2	6	0	0	0.5
rux	crol	2	6	5e-04	0	0.5
boss	crol	2	6	0	0	0.5
Mkp3	crol	2	6	2e-04	0	0.5
inaC	crol	2	6	8e-04	0	0.5
sno	crol	2	6	0	0	0.5
jagn	crol	2	6	1e-04	0	0.5
dpn	crol	2	6	0	0	0.5
wrapper	crol	2	6	6e-04	0	0.5
Ca.alpha1D	crol	2	6	0	0	0.5
E2f	crol	2	6	0	0	0.5
Dp	crol	2	6	0	0	0.5
l.2.efl	crol	2	6	0	0	0.5
cnc	crol	2	6	0	0	0.5
Atg5	crol	2	6	5e-04	0	0.5
acj6	crol	2	6	0	0	0.5
Trl	crol	2	6	0	0	0.5
d4	crol	2	6	2e-04	0	0.5
CG16719	crol	2	6	1e-04	0	0.5
CadN	crol	2	6	0	0	0.5
gro	crol	2	6	0	0	0.5
sec13	crol	2	6	0	0	0.5
klar	crol	2	6	9e-04	0	0.5
Rack1	crol	2	6	0	0	0.5
Sobp	crol	2	6	0	0	0.5
ash1	crol	2	6	0	0	0.5
inv	crol	2	6	0	0	0.5
shot	crol	2	6	0	0	0.5
Oseg1	crol	2	6	0	0	0.5
Spred	crol	2	6	3e-04	0	0.5
puc	crol	2	6	2e-04	0	0.5
Atg6	crol	2	6	0	0	0.5
CG3829	crol	2	6	0.0014	0	0.5
sle	crol	2	6	0	0	0.5
Cka	crol	2	6	0	0	0.5
form3	crol	2	6	0	0	0.5
Pk61C	crol	2	6	0	0	0.5
Pcaf	crol	2	6	0	0	0.5
sbb	crol	2	6	0	0	0.5
Ef1gamma	crol	2	6	8e-04	0	0.5
FKBP59	crol	2	6	2e-04	0	0.5
Eip71CD	crol	2	6	6e-04	0	0.5
xmas.2	crol	2	6	0	0	0.5
ppan	crol	2	6	0	0	0.5
Iswi	crol	2	6	0	0	0.5
ine	crol	2	6	0	0	0.5
Tina.1	crol	2	6	0	0	0.5
bon	crol	2	6	2e-04	0	0.5
pot	crol	2	6	0	0	0.5
chic	crol	2	6	5e-04	0	0.5
Hem	crol	2	6	4e-04	0	0.5
chif	crol	2	6	0	0	0.5
S6kII	crol	2	6	0	0	0.5
wal	crol	2	6	0	0	0.5
wls	crol	2	6	0	0	0.5
Ddx1	crol	2	6	2e-04	0	0.5
Sulf1	crol	2	6	2e-04	0	0.5
CG3987	crol	2	6	0	0	0.5
Abd.B	crol	2	6	0	0	0.5
Uba1	crol	2	6	1e-04	0	0.5
bigmax	crol	2	6	5e-04	0	0.5
NAT1	crol	2	6	0	0	0.5
wupA	crol	2	6	6e-04	0	0.5
Vps28	crol	2	6	0	0	0.5
G.oalpha47A	crol	2	6	2e-04	0	0.5
G.salpha60A	crol	2	6	0	0	0.5
dsf	crol	2	6	2e-04	0	0.5
Khc	crol	2	6	0	0	0.5
CG10641	crol	2	6	0	0	0.5
Alk	crol	2	6	6e-04	0	0.5
ey	crol	2	6	3e-04	0	0.5
noc	crol	2	6	0	0	0.5
ix	crol	2	6	0	0	0.5
Optix	crol	2	6	0	0	0.5
sdt	crol	2	6	0	0	0.5
Sxl	crol	2	6	2e-04	0	0.5
rib	crol	2	6	0	0	0.5
sas	crol	2	6	0	0	0.5
Scgdelta	crol	2	6	4e-04	0	0.5
sw	crol	2	6	0	0	0.5
fal	crol	2	6	0	0	0.5
ea	crol	2	6	0	0	0.5
Ice	crol	2	6	1e-04	0	0.5
cic	crol	2	6	0	0	0.5
Dok	crol	2	6	9e-04	0	0.5
rhea	crol	2	6	0	0	0.5
Glycogenin	crol	2	6	0	0	0.5
cin	crol	2	6	7e-04	0	0.5
chp	crol	2	6	2e-04	0	0.5
Dlic2	crol	2	6	0	0	0.5
Pk92B	crol	2	6	6e-04	0	0.5
Pak	crol	2	6	0.001	0	0.5
Lim1	crol	2	6	0	0	0.5
CG34450	crol	2	6	0	0	0.5
Su.H.	crol	2	6	0	0	0.5
CG12301	crol	2	6	0	0	0.5
lilli	crol	2	6	0	0	0.5
toe	crol	2	6	2e-04	0	0.5
qkr58E.3	crol	2	6	0	0	0.5
up	crol	2	6	0.0013	0	0.5
hep	crol	2	6	0	0	0.5
Dap160	crol	2	6	0	0	0.5
l.2.gd1	crol	2	6	0	0	0.5
hkb	crol	2	6	4e-04	0	0.5
beta4GalNAcTA	crol	2	6	0	0	0.5
Mer	crol	2	6	0	0	0.5
