Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	d	2	6	0.001	0	0.5
emp	d	2	6	0.0088	0	0.5
CG2678	d	2	6	4e-04	0	0.5
crc	d	2	6	5e-04	0	0.5
pros	d	2	6	1e-04	0	0.5
neur	d	2	6	1e-04	0	0.5
Rab5	d	2	6	4e-04	0	0.5
Rab7	d	2	6	0.001	0	0.5
Mmp2	d	2	6	3e-04	0	0.5
W	d	2	6	0.0013	0	0.5
bowl	d	2	6	7e-04	0	0.5
fd59A	d	2	6	0.0044	0	0.5
e	d	2	6	4e-04	0	0.5
ben	d	2	6	2e-04	0	0.5
rdo	d	2	6	0.0024	0	0.5
lin	d	2	6	8e-04	0	0.5
tra	d	2	6	1e-04	0	0.5
tra2	d	2	6	0.0014	0	0.5
cathD	d	2	6	3e-04	0	0.5
d	d	2	6	0.0033	0	0.5
lva	d	2	6	0.0025	0	0.5
pbl	d	2	6	0	0	0.5
CG33205	d	2	6	0.0063	0	0.5
da	d	2	6	8e-04	0	0.5
cactin	d	2	6	0.001	0	0.5
hpo	d	2	6	0.029	0	0.5
Sema.2a	d	2	6	0.0259	0	0.5
Eip74EF	d	2	6	0.0011	0	0.5
eg	d	2	6	2e-04	0	0.5
Arc42	d	2	6	9e-04	0	0.5
toy	d	2	6	8e-04	0	0.5
Galpha73B	d	2	6	7e-04	0	0.5
RhoGAPp190	d	2	6	0	0	0.5
MED11	d	2	6	3e-04	0	0.5
cher	d	2	6	0.1576	0	0.5
BicD	d	2	6	0.0021	0	0.5
MYPT.75D	d	2	6	3e-04	0	0.5
mus304	d	2	6	0.0013	0	0.5
CdsA	d	2	6	0.0372	0	0.5
btl	d	2	6	5e-04	0	0.5
Cyt.c.d	d	2	6	0.0012	0	0.5
tok	d	2	6	0.029	0	0.5
ttk	d	2	6	1e-04	0	0.5
tamo	d	2	6	6e-04	0	0.5
CG6416	d	2	6	0.0021	0	0.5
flfl	d	2	6	0.0013	0	0.5
Pvr	d	2	6	7e-04	0	0.5
kay	d	2	6	0.0166	0	0.5
