Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	d4	2	6	0	0	0.5
emp	d4	2	6	0	0	0.5
CG2678	d4	2	6	0	0	0.5
crc	d4	2	6	0	0	0.5
pros	d4	2	6	2e-04	0	0.5
neur	d4	2	6	0	0	0.5
Rab5	d4	2	6	0	0	0.5
Rab7	d4	2	6	0	0	0.5
Mmp2	d4	2	6	0	0	0.5
W	d4	2	6	0	0	0.5
bowl	d4	2	6	0	0	0.5
fd59A	d4	2	6	0	0	0.5
e	d4	2	6	0	0	0.5
ben	d4	2	6	0	0	0.5
rdo	d4	2	6	1e-04	0	0.5
lin	d4	2	6	0	0	0.5
tra	d4	2	6	0	0	0.5
tra2	d4	2	6	0	0	0.5
cathD	d4	2	6	0	0	0.5
d	d4	2	6	0	0	0.5
lva	d4	2	6	0	0	0.5
pbl	d4	2	6	0	0	0.5
CG33205	d4	2	6	0	0	0.5
da	d4	2	6	0.031	0	0.5
cactin	d4	2	6	2e-04	0	0.5
hpo	d4	2	6	0	0	0.5
Sema.2a	d4	2	6	0	0	0.5
Eip74EF	d4	2	6	0	0	0.5
eg	d4	2	6	1e-04	0	0.5
Arc42	d4	2	6	1e-04	0	0.5
toy	d4	2	6	0	0	0.5
Galpha73B	d4	2	6	0	0	0.5
RhoGAPp190	d4	2	6	0	0	0.5
MED11	d4	2	6	0	0	0.5
cher	d4	2	6	2e-04	0	0.5
BicD	d4	2	6	0	0	0.5
MYPT.75D	d4	2	6	0	0	0.5
mus304	d4	2	6	1e-04	0	0.5
CdsA	d4	2	6	0	0	0.5
btl	d4	2	6	1e-04	0	0.5
Cyt.c.d	d4	2	6	0	0	0.5
tok	d4	2	6	0.4533	0	0.5
ttk	d4	2	6	0	0	0.5
tamo	d4	2	6	2e-04	0	0.5
CG6416	d4	2	6	0	0	0.5
flfl	d4	2	6	0	0	0.5
Pvr	d4	2	6	0	0	0.5
kay	d4	2	6	1e-04	0	0.5
Jra	d4	2	6	0	0	0.5
msk	d4	2	6	0	0	0.5
tll	d4	2	6	0	0	0.5
Tm1	d4	2	6	0	0	0.5
srp	d4	2	6	0	0	0.5
Btk29A	d4	2	6	2e-04	0	0.5
fred	d4	2	6	3e-04	0	0.5
Src64B	d4	2	6	0	0	0.5
Mmp1	d4	2	6	0	0	0.5
sll	d4	2	6	0	0	0.5
Hmgs	d4	2	6	0	0	0.5
caps	d4	2	6	0	0	0.5
Su.var.2.10	d4	2	6	0	0	0.5
CycB	d4	2	6	0	0	0.5
spir	d4	2	6	0	0	0.5
spn.A	d4	2	6	0	0	0.5
Ptpmeg	d4	2	6	0	0	0.5
qua	d4	2	6	0	0	0.5
msn	d4	2	6	0	0	0.5
ena	d4	2	6	1e-04	0	0.5
spen	d4	2	6	0	0	0.5
emc	d4	2	6	0	0	0.5
tsh	d4	2	6	0	0	0.5
Dat	d4	2	6	0	0	0.5
Lac	d4	2	6	0	0	0.5
dup	d4	2	6	0	0	0.5
CG3075	d4	2	6	0	0	0.5
Akap200	d4	2	6	0	0	0.5
CG18369	d4	2	6	0	0	0.5
bnl	d4	2	6	0	0	0.5
sec23	d4	2	6	0.209	0	0.5
Pde8	d4	2	6	1e-04	0	0.5
Arp66B	d4	2	6	0	0	0.5
cos	d4	2	6	0	0	0.5
Borr	d4	2	6	2e-04	0	0.5
X140up	d4	2	6	0	0	0.5
Dhc64C	d4	2	6	0	0	0.5
Not1	d4	2	6	0	0	0.5
CG9520	d4	2	6	1e-04	0	0.5
bib	d4	2	6	0	0	0.5
mib1	d4	2	6	0	0	0.5
cas	d4	2	6	0.0013	0	0.5
Abi	d4	2	6	0	0	0.5
betaTub56D	d4	2	6	0	0	0.5
nej	d4	2	6	0	0	0.5
dlg1	d4	2	6	0	0	0.5
Lcp65Ag1	d4	2	6	0	0	0.5
Es2	d4	2	6	0	0	0.5
MED24	d4	2	6	0	0	0.5
Vhl	d4	2	6	0	0	0.5
tral	d4	2	6	1e-04	0	0.5
sns	d4	2	6	0	0	0.5
mbl	d4	2	6	0	0	0.5
sav	d4	2	6	0	0	0.5
lola	d4	2	6	0	0	0.5
robo	d4	2	6	0	0	0.5
CG32486	d4	2	6	6e-04	0	0.5
santa.maria	d4	2	6	0	0	0.5
stumps	d4	2	6	2e-04	0	0.5
abd.A	d4	2	6	2e-04	0	0.5
dock	d4	2	6	0	0	0.5
Lar	d4	2	6	0	0	0.5
l.1.G0289	d4	2	6	0	0	0.5
Abl	d4	2	6	0	0	0.5
Syb	d4	2	6	0	0	0.5
dome	d4	2	6	0	0	0.5
ofs	d4	2	6	0	0	0.5
MED4	d4	2	6	0	0	0.5
scrib	d4	2	6	2e-04	0	0.5
siz	d4	2	6	0	0	0.5
cbx	d4	2	6	0	0	0.5
dsx	d4	2	6	0	0	0.5
Sb	d4	2	6	0	0	0.5
sax	d4	2	6	0	0	0.5
foxo	d4	2	6	0	0	0.5
Cyp1	d4	2	6	0	0	0.5
brm	d4	2	6	0	0	0.5
rad50	d4	2	6	0	0	0.5
chico	d4	2	6	0	0	0.5
cp309	d4	2	6	1e-04	0	0.5
hdc	d4	2	6	0	0	0.5
Axn	d4	2	6	0	0	0.5
Apc2	d4	2	6	0	0	0.5
PhKgamma	d4	2	6	1e-04	0	0.5
eya	d4	2	6	0	0	0.5
sktl	d4	2	6	0	0	0.5
sqd	d4	2	6	0	0	0.5
Akt1	d4	2	6	0	0	0.5
scyl	d4	2	6	0	0	0.5
cnk	d4	2	6	0	0	0.5
CG8149	d4	2	6	0	0	0.5
CG34379	d4	2	6	5e-04	0	0.5
Yp1	d4	2	6	0	0	0.5
yrt	d4	2	6	0	0	0.5
bap	d4	2	6	0	0	0.5
tud	d4	2	6	0	0	0.5
ct	d4	2	6	4e-04	0	0.5
tup	d4	2	6	0	0	0.5
G.ialpha65A	d4	2	6	0	0	0.5
knrl	d4	2	6	0	0	0.5
Pkn	d4	2	6	0	0	0.5
Sry.delta	d4	2	6	0	0	0.5
Alh	d4	2	6	0	0	0.5
pnut	d4	2	6	3e-04	0	0.5
phyl	d4	2	6	0	0	0.5
CG17739	d4	2	6	0	0	0.5
B4	d4	2	6	0	0	0.5
CG2681	d4	2	6	0	0	0.5
tow	d4	2	6	0	0	0.5
hkl	d4	2	6	0	0	0.5
sina	d4	2	6	3e-04	0	0.5
ry	d4	2	6	0	0	0.5
rux	d4	2	6	0	0	0.5
boss	d4	2	6	0	0	0.5
Mkp3	d4	2	6	0	0	0.5
inaC	d4	2	6	0	0	0.5
sno	d4	2	6	0	0	0.5
jagn	d4	2	6	0	0	0.5
dpn	d4	2	6	2e-04	0	0.5
wrapper	d4	2	6	0	0	0.5
Ca.alpha1D	d4	2	6	5e-04	0	0.5
E2f	d4	2	6	0	0	0.5
Dp	d4	2	6	0	0	0.5
l.2.efl	d4	2	6	0	0	0.5
cnc	d4	2	6	2e-04	0	0.5
Atg5	d4	2	6	1e-04	0	0.5
acj6	d4	2	6	1e-04	0	0.5
Trl	d4	2	6	0	0	0.5
d4	d4	2	6	0	0	0.5
CG16719	d4	2	6	1e-04	0	0.5
CadN	d4	2	6	0	0	0.5
gro	d4	2	6	0	0	0.5
sec13	d4	2	6	0	0	0.5
klar	d4	2	6	0	0	0.5
Rack1	d4	2	6	3e-04	0	0.5
Sobp	d4	2	6	0	0	0.5
ash1	d4	2	6	1e-04	0	0.5
inv	d4	2	6	0	0	0.5
shot	d4	2	6	0	0	0.5
Oseg1	d4	2	6	0	0	0.5
Spred	d4	2	6	0	0	0.5
puc	d4	2	6	0	0	0.5
Atg6	d4	2	6	0	0	0.5
CG3829	d4	2	6	0	0	0.5
sle	d4	2	6	0	0	0.5
Cka	d4	2	6	0	0	0.5
form3	d4	2	6	0	0	0.5
Pk61C	d4	2	6	0	0	0.5
Pcaf	d4	2	6	0	0	0.5
sbb	d4	2	6	0	0	0.5
Ef1gamma	d4	2	6	2e-04	0	0.5
FKBP59	d4	2	6	0	0	0.5
Eip71CD	d4	2	6	0	0	0.5
xmas.2	d4	2	6	0	0	0.5
ppan	d4	2	6	0	0	0.5
Iswi	d4	2	6	0	0	0.5
ine	d4	2	6	0	0	0.5
Tina.1	d4	2	6	3e-04	0	0.5
bon	d4	2	6	0	0	0.5
pot	d4	2	6	0	0	0.5
chic	d4	2	6	1e-04	0	0.5
Hem	d4	2	6	0	0	0.5
chif	d4	2	6	0	0	0.5
S6kII	d4	2	6	0	0	0.5
wal	d4	2	6	0	0	0.5
wls	d4	2	6	0	0	0.5
Ddx1	d4	2	6	0	0	0.5
Sulf1	d4	2	6	0	0	0.5
CG3987	d4	2	6	1e-04	0	0.5
Abd.B	d4	2	6	0	0	0.5
Uba1	d4	2	6	0	0	0.5
bigmax	d4	2	6	3e-04	0	0.5
NAT1	d4	2	6	7e-04	0	0.5
wupA	d4	2	6	3e-04	0	0.5
Vps28	d4	2	6	0	0	0.5
G.oalpha47A	d4	2	6	0	0	0.5
G.salpha60A	d4	2	6	0	0	0.5
dsf	d4	2	6	0	0	0.5
Khc	d4	2	6	0	0	0.5
CG10641	d4	2	6	1e-04	0	0.5
Alk	d4	2	6	0	0	0.5
ey	d4	2	6	2e-04	0	0.5
noc	d4	2	6	1e-04	0	0.5
ix	d4	2	6	0	0	0.5
Optix	d4	2	6	1e-04	0	0.5
sdt	d4	2	6	6e-04	0	0.5
Sxl	d4	2	6	0	0	0.5
rib	d4	2	6	0	0	0.5
sas	d4	2	6	0	0	0.5
Scgdelta	d4	2	6	0	0	0.5
sw	d4	2	6	1e-04	0	0.5
fal	d4	2	6	8e-04	0	0.5
ea	d4	2	6	0	0	0.5
Ice	d4	2	6	8e-04	0	0.5
cic	d4	2	6	0	0	0.5
Dok	d4	2	6	0	0	0.5
rhea	d4	2	6	0	0	0.5
Glycogenin	d4	2	6	2e-04	0	0.5
cin	d4	2	6	0	0	0.5
chp	d4	2	6	4e-04	0	0.5
Dlic2	d4	2	6	1e-04	0	0.5
Pk92B	d4	2	6	0	0	0.5
Pak	d4	2	6	1e-04	0	0.5
Lim1	d4	2	6	0	0	0.5
CG34450	d4	2	6	0	0	0.5
Su.H.	d4	2	6	0	0	0.5
CG12301	d4	2	6	2e-04	0	0.5
lilli	d4	2	6	4e-04	0	0.5
toe	d4	2	6	0	0	0.5
qkr58E.3	d4	2	6	0	0	0.5
up	d4	2	6	0	0	0.5
hep	d4	2	6	0	0	0.5
Dap160	d4	2	6	0	0	0.5
l.2.gd1	d4	2	6	3e-04	0	0.5
hkb	d4	2	6	1e-04	0	0.5
beta4GalNAcTA	d4	2	6	0	0	0.5
Mer	d4	2	6	1e-04	0	0.5
Mtl	d4	2	6	0	0	0.5
spin	d4	2	6	1e-04	0	0.5
mfas	d4	2	6	0	0	0.5
frc	d4	2	6	0	0	0.5
Krn	d4	2	6	0	0	0.5
mam	d4	2	6	0	0	0.5
brk	d4	2	6	0	0	0.5
Ark	d4	2	6	0	0	0.5
mmy	d4	2	6	0	0	0.5
mri	d4	2	6	0	0	0.5
Crk	d4	2	6	0	0	0.5
ssh	d4	2	6	0	0	0.5
fs.1.K10	d4	2	6	2e-04	0	0.5
Psn	d4	2	6	0	0	0.5
CG9509	d4	2	6	0	0	0.5
CkIIalpha	d4	2	6	0	0	0.5
car	d4	2	6	0	0	0.5
capu	d4	2	6	0	0	0.5
cact	d4	2	6	0	0	0.5
Patj	d4	2	6	0	0	0.5
dpp	d4	2	6	0	0	0.5
xl6	d4	2	6	0	0	0.5
dally	d4	2	6	0	0	0.5
Pi3K92E	d4	2	6	0	0	0.5
E.bx.	d4	2	6	2e-04	0	0.5
emb	d4	2	6	0	0	0.5
CtBP	d4	2	6	0	0	0.5
Dad	d4	2	6	3e-04	0	0.5
amx	d4	2	6	0	0	0.5
Ank2	d4	2	6	0	0	0.5
CG34417	d4	2	6	2e-04	0	0.5
scra	d4	2	6	4e-04	0	0.5
dsd	d4	2	6	0	0	0.5
Ephrin	d4	2	6	3e-04	0	0.5
Appl	d4	2	6	0	0	0.5
sty	d4	2	6	1e-04	0	0.5
RhoL	d4	2	6	0	0	0.5
twi	d4	2	6	0	0	0.5
tub	d4	2	6	0	0	0.5
ftz.f1	d4	2	6	0	0	0.5
wg	d4	2	6	0	0	0.5
LanB1	d4	2	6	0	0	0.5
LanA	d4	2	6	0	0	0.5
LanB2	d4	2	6	0	0	0.5
Chi	d4	2	6	0	0	0.5
nmo	d4	2	6	0	0	0.5
ics	d4	2	6	0	0	0.5
oaf	d4	2	6	0	0	0.5
dco	d4	2	6	2e-04	0	0.5
Dys	d4	2	6	2e-04	0	0.5
drm	d4	2	6	0	0	0.5
RpL30	d4	2	6	0	0	0.5
how	d4	2	6	0	0	0.5
dei	d4	2	6	0	0	0.5
CG1244	d4	2	6	0	0	0.5
Chc	d4	2	6	0	0	0.5
Orct	d4	2	6	0	0	0.5
sgl	d4	2	6	0	0	0.5
CG17221	d4	2	6	0	0	0.5
gkt	d4	2	6	0	0	0.5
by	d4	2	6	0	0	0.5
Pka.C3	d4	2	6	1e-04	0	0.5
vlc	d4	2	6	1e-04	0	0.5
fl.2.d	d4	2	6	0	0	0.5
Nf1	d4	2	6	0	0	0.5
CG6372	d4	2	6	0	0	0.5
Rho1	d4	2	6	0	0	0.5
kuk	d4	2	6	0	0	0.5
l.2.gl	d4	2	6	0	0	0.5
Ald	d4	2	6	0	0	0.5
jumu	d4	2	6	1e-04	0	0.5
glu	d4	2	6	0	0	0.5
fs.2.ltoPP43	d4	2	6	0	0	0.5
CycE	d4	2	6	0	0	0.5
CG8247	d4	2	6	1e-04	0	0.5
CSN4	d4	2	6	0	0	0.5
X18w	d4	2	6	5e-04	0	0.5
bs	d4	2	6	0	0	0.5
Nrt	d4	2	6	3e-04	0	0.5
mask	d4	2	6	1e-04	0	0.5
gl	d4	2	6	0	0	0.5
Cp1	d4	2	6	0	0	0.5
ex	d4	2	6	1e-04	0	0.5
jing	d4	2	6	0	0	0.5
shrb	d4	2	6	0	0	0.5
raw	d4	2	6	0	0	0.5
CG9445	d4	2	6	0	0	0.5
gbb	d4	2	6	8e-04	0	0.5
Hs2st	d4	2	6	0	0	0.5
sls	d4	2	6	0	0	0.5
kis	d4	2	6	0	0	0.5
run	d4	2	6	1e-04	0	0.5
pnr	d4	2	6	0	0	0.5
pn	d4	2	6	0	0	0.5
pnt	d4	2	6	0	0	0.5
Fmr1	d4	2	6	0	0	0.5
Myo31DF	d4	2	6	0	0	0.5
ALiX	d4	2	6	0	0	0.5
sgg	d4	2	6	0	0	0.5
mbt	d4	2	6	1e-04	0	0.5
Sin3A	d4	2	6	2e-04	0	0.5
dnc	d4	2	6	2e-04	0	0.5
morgue	d4	2	6	0	0	0.5
Set2	d4	2	6	0	0	0.5
exu	d4	2	6	1e-04	0	0.5
odd	d4	2	6	1e-04	0	0.5
esc	d4	2	6	0	0	0.5
dah	d4	2	6	0	0	0.5
Taf4	d4	2	6	0	0	0.5
Jafrac2	d4	2	6	0	0	0.5
Fas3	d4	2	6	0	0	0.5
wus	d4	2	6	0	0	0.5
Wnt5	d4	2	6	0	0	0.5
sprt	d4	2	6	0	0	0.5
jar	d4	2	6	0	0	0.5
v	d4	2	6	0	0	0.5
Snap	d4	2	6	0	0	0.5
vap	d4	2	6	1e-04	0	0.5
Src42A	d4	2	6	3e-04	0	0.5
esg	d4	2	6	0	0	0.5
zfh1	d4	2	6	0	0	0.5
alien	d4	2	6	2e-04	0	0.5
peb	d4	2	6	0	0	0.5
par.1	d4	2	6	0	0	0.5
hyd	d4	2	6	1e-04	0	0.5
trc	d4	2	6	0	0	0.5
Eip63E	d4	2	6	0	0	0.5
ird5	d4	2	6	0	0	0.5
bl	d4	2	6	0	0	0.5
Syx1A	d4	2	6	0	0	0.5
drl	d4	2	6	0	0	0.5
rg	d4	2	6	1e-04	0	0.5
apt	d4	2	6	0	0	0.5
svr	d4	2	6	0	0	0.5
sar1	d4	2	6	2e-04	0	0.5
Tab2	d4	2	6	0	0	0.5
zfh2	d4	2	6	0	0	0.5
dj	d4	2	6	0	0	0.5
tum	d4	2	6	0	0	0.5
yellow.f	d4	2	6	0	0	0.5
p53	d4	2	6	0	0	0.5
ImpE3	d4	2	6	2e-04	0	0.5
cbt	d4	2	6	0	0	0.5
dl	d4	2	6	2e-04	0	0.5
Dl	d4	2	6	0	0	0.5
Sur	d4	2	6	3e-04	0	0.5
Rpd3	d4	2	6	2e-04	0	0.5
CG4945	d4	2	6	1e-04	0	0.5
eve	d4	2	6	2e-04	0	0.5
Stat92E	d4	2	6	5e-04	0	0.5
ken	d4	2	6	0	0	0.5
dpld	d4	2	6	0	0	0.5
CG1942	d4	2	6	2e-04	0	0.5
Dcp.1	d4	2	6	0	0	0.5
Tak1	d4	2	6	0	0	0.5
cg	d4	2	6	0	0	0.5
fw	d4	2	6	0	0	0.5
tutl	d4	2	6	1e-04	0	0.5
bhr	d4	2	6	0	0	0.5
ash2	d4	2	6	0	0	0.5
mth	d4	2	6	0	0	0.5
numb	d4	2	6	0	0	0.5
X14.3.3zeta	d4	2	6	0	0	0.5
Lis.1	d4	2	6	0	0	0.5
alpha.Spec	d4	2	6	0	0	0.5
twf	d4	2	6	0	0	0.5
Bap60	d4	2	6	3e-04	0	0.5
drk	d4	2	6	1e-04	0	0.5
Nrx.IV	d4	2	6	0	0	0.5
trn	d4	2	6	0	0	0.5
chn	d4	2	6	0	0	0.5
RhoGAP68F	d4	2	6	0	0	0.5
CycA	d4	2	6	1e-04	0	0.5
LIMK1	d4	2	6	3e-04	0	0.5
Rca1	d4	2	6	0	0	0.5
pelo	d4	2	6	0	0	0.5
CG32082	d4	2	6	0	0	0.5
pyd	d4	2	6	0	0	0.5
Mlc1	d4	2	6	0	0	0.5
meso18E	d4	2	6	3e-04	0	0.5
rdx	d4	2	6	2e-04	0	0.5
t	d4	2	6	1e-04	0	0.5
alph	d4	2	6	0	0	0.5
elav	d4	2	6	0	0	0.5
shg	d4	2	6	0	0	0.5
shn	d4	2	6	0	0	0.5
th	d4	2	6	1e-04	0	0.5
lmd	d4	2	6	1e-04	0	0.5
enok	d4	2	6	0	0	0.5
loco	d4	2	6	0	0	0.5
disco	d4	2	6	2e-04	0	0.5
Gtp.bp	d4	2	6	0	0	0.5
crol	d4	2	6	2e-04	0	0.5
Sema.1b	d4	2	6	1e-04	0	0.5
dom	d4	2	6	0	0	0.5
Aph.4	d4	2	6	0	0	0.5
Hr78	d4	2	6	0	0	0.5
kuz	d4	2	6	0	0	0.5
mbo	d4	2	6	0	0	0.5
par.6	d4	2	6	0	0	0.5
ast	d4	2	6	2e-04	0	0.5
CG9769	d4	2	6	0	0	0.5
Rbp9	d4	2	6	0	0	0.5
hyx	d4	2	6	0	0	0.5
sced	d4	2	6	0	0	0.5
ninaE	d4	2	6	0	0	0.5
Dscam	d4	2	6	0	0	0.5
Eip63F.1	d4	2	6	0	0	0.5
lic	d4	2	6	0	0	0.5
Idgf5	d4	2	6	0	0	0.5
Idgf4	d4	2	6	0	0	0.5
Mbs	d4	2	6	0	0	0.5
opa	d4	2	6	0	0	0.5
lwr	d4	2	6	0	0	0.5
wee	d4	2	6	0	0	0.5
Cks30A	d4	2	6	0	0	0.5
fax	d4	2	6	0	0	0.5
bun	d4	2	6	0	0	0.5
bnb	d4	2	6	0	0	0.5
Apc	d4	2	6	0	0	0.5
ytr	d4	2	6	0	0	0.5
blow	d4	2	6	1e-04	0	0.5
Hph	d4	2	6	2e-04	0	0.5
fs.1.M3	d4	2	6	6e-04	0	0.5
chinmo	d4	2	6	0	0	0.5
CG13850	d4	2	6	0	0	0.5
E2f2	d4	2	6	1e-04	0	0.5
eIF.4a	d4	2	6	0	0	0.5
stil	d4	2	6	0	0	0.5
Sh	d4	2	6	0	0	0.5
l.3.mbt	d4	2	6	0	0	0.5
osa	d4	2	6	0	0	0.5
Cip4	d4	2	6	0	0	0.5
kkv	d4	2	6	0	0	0.5
pcm	d4	2	6	6e-04	0	0.5
Hr46	d4	2	6	0	0	0.5
dib	d4	2	6	4e-04	0	0.5
Idgf1	d4	2	6	4e-04	0	0.5
SelD	d4	2	6	0	0	0.5
eff	d4	2	6	4e-04	0	0.5
glec	d4	2	6	0	0	0.5
E.z.	d4	2	6	0.3069	0	0.5
Pink1	d4	2	6	0	0	0.5
caup	d4	2	6	0	0	0.5
pav	d4	2	6	0	0	0.5
PebIII	d4	2	6	0	0	0.5
flw	d4	2	6	0	0	0.5
aft	d4	2	6	0	0	0.5
fog	d4	2	6	3e-04	0	0.5
ksr	d4	2	6	1e-04	0	0.5
Caf1	d4	2	6	0	0	0.5
grp	d4	2	6	0	0	0.5
Ggamma1	d4	2	6	0	0	0.5
cort	d4	2	6	0	0	0.5
brat	d4	2	6	1e-04	0	0.5
NetB	d4	2	6	3e-04	0	0.5
Arc.p34	d4	2	6	2e-04	0	0.5
fru	d4	2	6	1e-04	0	0.5
CG12896	d4	2	6	2e-04	0	0.5
Rheb	d4	2	6	0	0	0.5
bt	d4	2	6	0	0	0.5
dmt	d4	2	6	0	0	0.5
CG14995	d4	2	6	0	0	0.5
tou	d4	2	6	0	0	0.5
Mhc	d4	2	6	0	0	0.5
Msp.300	d4	2	6	0	0	0.5
Pgant35A	d4	2	6	0	0	0.5
Pen	d4	2	6	0	0	0.5
tld	d4	2	6	0	0	0.5
Tl	d4	2	6	0	0	0.5
tkv	d4	2	6	0	0	0.5
CG4500	d4	2	6	0	0	0.5
CG8216	d4	2	6	0	0	0.5
snf	d4	2	6	6e-04	0	0.5
CG9104	d4	2	6	1e-04	0	0.5
