Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	da	2	6	0	0	0.5
emp	da	2	6	0	0	0.5
CG2678	da	2	6	0	0	0.5
crc	da	2	6	0	0	0.5
pros	da	2	6	1e-04	0	0.5
neur	da	2	6	0	0	0.5
Rab5	da	2	6	0	0	0.5
Rab7	da	2	6	0	0	0.5
Mmp2	da	2	6	0	0	0.5
W	da	2	6	0	0	0.5
bowl	da	2	6	0	0	0.5
fd59A	da	2	6	0	0	0.5
e	da	2	6	0	0	0.5
ben	da	2	6	1e-04	0	0.5
rdo	da	2	6	1e-04	0	0.5
lin	da	2	6	0	0	0.5
tra	da	2	6	2e-04	0	0.5
tra2	da	2	6	0	0	0.5
cathD	da	2	6	0	0	0.5
d	da	2	6	0	0	0.5
lva	da	2	6	0	0	0.5
pbl	da	2	6	0	0	0.5
CG33205	da	2	6	0	0	0.5
da	da	2	6	0	0	0.5
cactin	da	2	6	0	0	0.5
hpo	da	2	6	2e-04	0	0.5
Sema.2a	da	2	6	0	0	0.5
Eip74EF	da	2	6	0	0	0.5
eg	da	2	6	2e-04	0	0.5
Arc42	da	2	6	3e-04	0	0.5
toy	da	2	6	0	0	0.5
Galpha73B	da	2	6	0	0	0.5
RhoGAPp190	da	2	6	0	0	0.5
MED11	da	2	6	0	0	0.5
cher	da	2	6	0	0	0.5
BicD	da	2	6	0	0	0.5
MYPT.75D	da	2	6	0	0	0.5
mus304	da	2	6	0	0	0.5
CdsA	da	2	6	0	0	0.5
btl	da	2	6	0	0	0.5
Cyt.c.d	da	2	6	0	0	0.5
tok	da	2	6	3e-04	0	0.5
ttk	da	2	6	2e-04	0	0.5
tamo	da	2	6	0	0	0.5
CG6416	da	2	6	0	0	0.5
flfl	da	2	6	0	0	0.5
Pvr	da	2	6	2e-04	0	0.5
kay	da	2	6	0	0	0.5
Jra	da	2	6	1e-04	0	0.5
msk	da	2	6	0	0	0.5
tll	da	2	6	0	0	0.5
Tm1	da	2	6	0	0	0.5
srp	da	2	6	0	0	0.5
Btk29A	da	2	6	0	0	0.5
fred	da	2	6	0	0	0.5
Src64B	da	2	6	0	0	0.5
Mmp1	da	2	6	0	0	0.5
sll	da	2	6	1e-04	0	0.5
Hmgs	da	2	6	0	0	0.5
caps	da	2	6	1e-04	0	0.5
Su.var.2.10	da	2	6	0	0	0.5
CycB	da	2	6	0	0	0.5
spir	da	2	6	0	0	0.5
spn.A	da	2	6	0	0	0.5
Ptpmeg	da	2	6	0	0	0.5
qua	da	2	6	0	0	0.5
msn	da	2	6	0	0	0.5
ena	da	2	6	0	0	0.5
spen	da	2	6	0	0	0.5
emc	da	2	6	0	0	0.5
tsh	da	2	6	0	0	0.5
Dat	da	2	6	0	0	0.5
Lac	da	2	6	3e-04	0	0.5
dup	da	2	6	1e-04	0	0.5
CG3075	da	2	6	0	0	0.5
Akap200	da	2	6	0	0	0.5
CG18369	da	2	6	0	0	0.5
bnl	da	2	6	0	0	0.5
sec23	da	2	6	0	0	0.5
