Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	dco	2	6	1	-0.99803	0.5
emp	dco	2	6	0	0	0.5
CG2678	dco	2	6	2e-04	0	0.5
crc	dco	2	6	2e-04	0	0.5
pros	dco	2	6	5e-04	0	0.5
neur	dco	2	6	0	0	0.5
Rab5	dco	2	6	3e-04	0	0.5
Rab7	dco	2	6	0	0	0.5
Mmp2	dco	2	6	0	0	0.5
W	dco	2	6	0	0	0.5
bowl	dco	2	6	0	0	0.5
fd59A	dco	2	6	0	0	0.5
e	dco	2	6	0	0	0.5
ben	dco	2	6	0	0	0.5
rdo	dco	2	6	3e-04	0	0.5
lin	dco	2	6	0	0	0.5
tra	dco	2	6	0	0	0.5
tra2	dco	2	6	4e-04	0	0.5
cathD	dco	2	6	0	0	0.5
d	dco	2	6	7e-04	0	0.5
lva	dco	2	6	2e-04	0	0.5
pbl	dco	2	6	0	0	0.5
CG33205	dco	2	6	0	0	0.5
da	dco	2	6	0	0	0.5
cactin	dco	2	6	0	0	0.5
hpo	dco	2	6	6e-04	0	0.5
Sema.2a	dco	2	6	1e-04	0	0.5
Eip74EF	dco	2	6	0	0	0.5
eg	dco	2	6	9e-04	0	0.5
Arc42	dco	2	6	0.0011	0	0.5
toy	dco	2	6	0	0	0.5
Galpha73B	dco	2	6	2e-04	0	0.5
RhoGAPp190	dco	2	6	0	0	0.5
MED11	dco	2	6	0	0	0.5
cher	dco	2	6	1e-04	0	0.5
BicD	dco	2	6	0	0	0.5
MYPT.75D	dco	2	6	0.001	0	0.5
mus304	dco	2	6	0	0	0.5
CdsA	dco	2	6	0	0	0.5
btl	dco	2	6	0	0	0.5
Cyt.c.d	dco	2	6	2e-04	0	0.5
tok	dco	2	6	0	0	0.5
ttk	dco	2	6	7e-04	0	0.5
tamo	dco	2	6	1e-04	0	0.5
CG6416	dco	2	6	0	0	0.5
flfl	dco	2	6	0	0	0.5
Pvr	dco	2	6	0.0018	0	0.5
kay	dco	2	6	0.001	0	0.5
Jra	dco	2	6	1e-04	0	0.5
msk	dco	2	6	4e-04	0	0.5
tll	dco	2	6	0.001	0	0.5
Tm1	dco	2	6	0	0	0.5
srp	dco	2	6	0	0	0.5
Btk29A	dco	2	6	5e-04	0	0.5
fred	dco	2	6	0	0	0.5
Src64B	dco	2	6	0	0	0.5
Mmp1	dco	2	6	0	0	0.5
sll	dco	2	6	0	0	0.5
Hmgs	dco	2	6	0	0	0.5
caps	dco	2	6	0	0	0.5
Su.var.2.10	dco	2	6	1e-04	0	0.5
CycB	dco	2	6	1e-04	0	0.5
spir	dco	2	6	4e-04	0	0.5
spn.A	dco	2	6	0	0	0.5
Ptpmeg	dco	2	6	0	0	0.5
qua	dco	2	6	0	0	0.5
msn	dco	2	6	0	0	0.5
ena	dco	2	6	0	0	0.5
spen	dco	2	6	2e-04	0	0.5
emc	dco	2	6	5e-04	0	0.5
tsh	dco	2	6	3e-04	0	0.5
Dat	dco	2	6	0	0	0.5
Lac	dco	2	6	2e-04	0	0.5
dup	dco	2	6	0.0016	0	0.5
CG3075	dco	2	6	0.0011	0	0.5
Akap200	dco	2	6	0	0	0.5
CG18369	dco	2	6	3e-04	0	0.5
bnl	dco	2	6	4e-04	0	0.5
sec23	dco	2	6	0	0	0.5
Pde8	dco	2	6	3e-04	0	0.5
Arp66B	dco	2	6	3e-04	0	0.5
cos	dco	2	6	1e-04	0	0.5
Borr	dco	2	6	2e-04	0	0.5
X140up	dco	2	6	0	0	0.5
Dhc64C	dco	2	6	0	0	0.5
Not1	dco	2	6	0	0	0.5
CG9520	dco	2	6	5e-04	0	0.5
bib	dco	2	6	1e-04	0	0.5
mib1	dco	2	6	0	0	0.5
cas	dco	2	6	0	0	0.5
Abi	dco	2	6	7e-04	0	0.5
betaTub56D	dco	2	6	7e-04	0	0.5
nej	dco	2	6	0	0	0.5
dlg1	dco	2	6	4e-04	0	0.5
Lcp65Ag1	dco	2	6	3e-04	0	0.5
Es2	dco	2	6	0	0	0.5
MED24	dco	2	6	0	0	0.5
Vhl	dco	2	6	7e-04	0	0.5
tral	dco	2	6	2e-04	0	0.5
sns	dco	2	6	0	0	0.5
mbl	dco	2	6	0	0	0.5
sav	dco	2	6	7e-04	0	0.5
lola	dco	2	6	0	0	0.5
robo	dco	2	6	0	0	0.5
CG32486	dco	2	6	1e-04	0	0.5
santa.maria	dco	2	6	0	0	0.5
stumps	dco	2	6	0	0	0.5
abd.A	dco	2	6	0	0	0.5
dock	dco	2	6	0	0	0.5
Lar	dco	2	6	0	0	0.5
l.1.G0289	dco	2	6	0	0	0.5
Abl	dco	2	6	1e-04	0	0.5
Syb	dco	2	6	0.0012	0	0.5
dome	dco	2	6	0	0	0.5
ofs	dco	2	6	4e-04	0	0.5
MED4	dco	2	6	0	0	0.5
scrib	dco	2	6	0	0	0.5
siz	dco	2	6	0	0	0.5
cbx	dco	2	6	1e-04	0	0.5
dsx	dco	2	6	5e-04	0	0.5
Sb	dco	2	6	2e-04	0	0.5
sax	dco	2	6	0	0	0.5
foxo	dco	2	6	8e-04	0	0.5
Cyp1	dco	2	6	1e-04	0	0.5
brm	dco	2	6	7e-04	0	0.5
rad50	dco	2	6	6e-04	0	0.5
chico	dco	2	6	3e-04	0	0.5
cp309	dco	2	6	6e-04	0	0.5
hdc	dco	2	6	0	0	0.5
Axn	dco	2	6	6e-04	0	0.5
Apc2	dco	2	6	0	0	0.5
PhKgamma	dco	2	6	0	0	0.5
eya	dco	2	6	0	0	0.5
sktl	dco	2	6	0	0	0.5
sqd	dco	2	6	0	0	0.5
Akt1	dco	2	6	0	0	0.5
scyl	dco	2	6	0	0	0.5
cnk	dco	2	6	3e-04	0	0.5
CG8149	dco	2	6	0	0	0.5
CG34379	dco	2	6	0.0011	0	0.5
Yp1	dco	2	6	5e-04	0	0.5
yrt	dco	2	6	5e-04	0	0.5
bap	dco	2	6	0	0	0.5
tud	dco	2	6	0	0	0.5
ct	dco	2	6	2e-04	0	0.5
tup	dco	2	6	0	0	0.5
G.ialpha65A	dco	2	6	0	0	0.5
knrl	dco	2	6	0	0	0.5
Pkn	dco	2	6	0	0	0.5
Sry.delta	dco	2	6	0	0	0.5
Alh	dco	2	6	0	0	0.5
pnut	dco	2	6	0	0	0.5
phyl	dco	2	6	3e-04	0	0.5
CG17739	dco	2	6	0	0	0.5
B4	dco	2	6	0	0	0.5
CG2681	dco	2	6	0	0	0.5
tow	dco	2	6	1e-04	0	0.5
hkl	dco	2	6	0	0	0.5
sina	dco	2	6	1e-04	0	0.5
ry	dco	2	6	3e-04	0	0.5
rux	dco	2	6	0	0	0.5
boss	dco	2	6	0	0	0.5
Mkp3	dco	2	6	0	0	0.5
inaC	dco	2	6	3e-04	0	0.5
sno	dco	2	6	0.0014	0	0.5
jagn	dco	2	6	7e-04	0	0.5
dpn	dco	2	6	6e-04	0	0.5
wrapper	dco	2	6	1e-04	0	0.5
Ca.alpha1D	dco	2	6	2e-04	0	0.5
E2f	dco	2	6	0	0	0.5
Dp	dco	2	6	2e-04	0	0.5
l.2.efl	dco	2	6	0.0017	0	0.5
cnc	dco	2	6	0	0	0.5
Atg5	dco	2	6	0	0	0.5
acj6	dco	2	6	4e-04	0	0.5
Trl	dco	2	6	0	0	0.5
d4	dco	2	6	0	0	0.5
CG16719	dco	2	6	0	0	0.5
CadN	dco	2	6	4e-04	0	0.5
gro	dco	2	6	1e-04	0	0.5
sec13	dco	2	6	0	0	0.5
klar	dco	2	6	0	0	0.5
Rack1	dco	2	6	0	0	0.5
Sobp	dco	2	6	1e-04	0	0.5
ash1	dco	2	6	0	0	0.5
inv	dco	2	6	0	0	0.5
shot	dco	2	6	3e-04	0	0.5
Oseg1	dco	2	6	0	0	0.5
Spred	dco	2	6	1e-04	0	0.5
puc	dco	2	6	0	0	0.5
Atg6	dco	2	6	2e-04	0	0.5
CG3829	dco	2	6	2e-04	0	0.5
sle	dco	2	6	0	0	0.5
Cka	dco	2	6	2e-04	0	0.5
form3	dco	2	6	0	0	0.5
Pk61C	dco	2	6	9e-04	0	0.5
Pcaf	dco	2	6	0	0	0.5
sbb	dco	2	6	0	0	0.5
Ef1gamma	dco	2	6	1e-04	0	0.5
FKBP59	dco	2	6	4e-04	0	0.5
Eip71CD	dco	2	6	0	0	0.5
xmas.2	dco	2	6	0	0	0.5
ppan	dco	2	6	0	0	0.5
Iswi	dco	2	6	4e-04	0	0.5
ine	dco	2	6	6e-04	0	0.5
Tina.1	dco	2	6	4e-04	0	0.5
bon	dco	2	6	0	0	0.5
pot	dco	2	6	0	0	0.5
chic	dco	2	6	1e-04	0	0.5
Hem	dco	2	6	0	0	0.5
chif	dco	2	6	0	0	0.5
S6kII	dco	2	6	0	0	0.5
wal	dco	2	6	0	0	0.5
wls	dco	2	6	0	0	0.5
Ddx1	dco	2	6	0	0	0.5
Sulf1	dco	2	6	0	0	0.5
CG3987	dco	2	6	4e-04	0	0.5
Abd.B	dco	2	6	0	0	0.5
Uba1	dco	2	6	4e-04	0	0.5
bigmax	dco	2	6	2e-04	0	0.5
NAT1	dco	2	6	1e-04	0	0.5
wupA	dco	2	6	0	0	0.5
Vps28	dco	2	6	1e-04	0	0.5
G.oalpha47A	dco	2	6	0	0	0.5
G.salpha60A	dco	2	6	0	0	0.5
dsf	dco	2	6	1e-04	0	0.5
Khc	dco	2	6	0	0	0.5
CG10641	dco	2	6	0	0	0.5
Alk	dco	2	6	0	0	0.5
ey	dco	2	6	0	0	0.5
noc	dco	2	6	0	0	0.5
ix	dco	2	6	0	0	0.5
Optix	dco	2	6	0	0	0.5
sdt	dco	2	6	3e-04	0	0.5
Sxl	dco	2	6	0	0	0.5
rib	dco	2	6	2e-04	0	0.5
sas	dco	2	6	0.0017	0	0.5
Scgdelta	dco	2	6	0	0	0.5
sw	dco	2	6	0	0	0.5
fal	dco	2	6	0	0	0.5
ea	dco	2	6	0.001	0	0.5
Ice	dco	2	6	0	0	0.5
cic	dco	2	6	0	0	0.5
Dok	dco	2	6	0	0	0.5
rhea	dco	2	6	0	0	0.5
Glycogenin	dco	2	6	0	0	0.5
cin	dco	2	6	0	0	0.5
chp	dco	2	6	5e-04	0	0.5
Dlic2	dco	2	6	0	0	0.5
Pk92B	dco	2	6	0	0	0.5
Pak	dco	2	6	0	0	0.5
Lim1	dco	2	6	0	0	0.5
CG34450	dco	2	6	0	0	0.5
Su.H.	dco	2	6	0	0	0.5
CG12301	dco	2	6	0.0012	0	0.5
lilli	dco	2	6	0	0	0.5
toe	dco	2	6	0	0	0.5
qkr58E.3	dco	2	6	0	0	0.5
up	dco	2	6	5e-04	0	0.5
hep	dco	2	6	0	0	0.5
Dap160	dco	2	6	0	0	0.5
l.2.gd1	dco	2	6	0	0	0.5
hkb	dco	2	6	0	0	0.5
beta4GalNAcTA	dco	2	6	0	0	0.5
Mer	dco	2	6	0	0	0.5
Mtl	dco	2	6	2e-04	0	0.5
spin	dco	2	6	1e-04	0	0.5
mfas	dco	2	6	2e-04	0	0.5
frc	dco	2	6	2e-04	0	0.5
Krn	dco	2	6	0	0	0.5
mam	dco	2	6	0	0	0.5
brk	dco	2	6	0.0016	0	0.5
Ark	dco	2	6	0	0	0.5
mmy	dco	2	6	0	0	0.5
mri	dco	2	6	0	0	0.5
Crk	dco	2	6	0	0	0.5
ssh	dco	2	6	0	0	0.5
fs.1.K10	dco	2	6	6e-04	0	0.5
Psn	dco	2	6	0	0	0.5
CG9509	dco	2	6	2e-04	0	0.5
CkIIalpha	dco	2	6	0.0012	0	0.5
car	dco	2	6	4e-04	0	0.5
capu	dco	2	6	1e-04	0	0.5
cact	dco	2	6	3e-04	0	0.5
Patj	dco	2	6	2e-04	0	0.5
dpp	dco	2	6	9e-04	0	0.5
xl6	dco	2	6	0	0	0.5
dally	dco	2	6	0	0	0.5
Pi3K92E	dco	2	6	6e-04	0	0.5
E.bx.	dco	2	6	2e-04	0	0.5
emb	dco	2	6	0	0	0.5
CtBP	dco	2	6	0.0012	0	0.5
Dad	dco	2	6	0.001	0	0.5
amx	dco	2	6	0	0	0.5
Ank2	dco	2	6	0	0	0.5
CG34417	dco	2	6	1e-04	0	0.5
scra	dco	2	6	0	0	0.5
dsd	dco	2	6	0	0	0.5
Ephrin	dco	2	6	0	0	0.5
Appl	dco	2	6	0	0	0.5
sty	dco	2	6	0	0	0.5
RhoL	dco	2	6	0	0	0.5
twi	dco	2	6	0	0	0.5
tub	dco	2	6	0	0	0.5
ftz.f1	dco	2	6	0	0	0.5
wg	dco	2	6	2e-04	0	0.5
LanB1	dco	2	6	4e-04	0	0.5
LanA	dco	2	6	3e-04	0	0.5
LanB2	dco	2	6	7e-04	0	0.5
Chi	dco	2	6	0	0	0.5
nmo	dco	2	6	0	0	0.5
ics	dco	2	6	0	0	0.5
oaf	dco	2	6	1e-04	0	0.5
dco	dco	2	6	0	0	0.5
Dys	dco	2	6	0	0	0.5
drm	dco	2	6	1e-04	0	0.5
RpL30	dco	2	6	2e-04	0	0.5
how	dco	2	6	0	0	0.5
dei	dco	2	6	0	0	0.5
CG1244	dco	2	6	1e-04	0	0.5
Chc	dco	2	6	0	0	0.5
Orct	dco	2	6	0	0	0.5
sgl	dco	2	6	0	0	0.5
CG17221	dco	2	6	0	0	0.5
gkt	dco	2	6	0	0	0.5
by	dco	2	6	6e-04	0	0.5
Pka.C3	dco	2	6	0	0	0.5
vlc	dco	2	6	2e-04	0	0.5
fl.2.d	dco	2	6	1e-04	0	0.5
Nf1	dco	2	6	0	0	0.5
CG6372	dco	2	6	0	0	0.5
Rho1	dco	2	6	0	0	0.5
kuk	dco	2	6	0	0	0.5
l.2.gl	dco	2	6	2e-04	0	0.5
Ald	dco	2	6	0	0	0.5
jumu	dco	2	6	8e-04	0	0.5
glu	dco	2	6	1e-04	0	0.5
fs.2.ltoPP43	dco	2	6	0	0	0.5
CycE	dco	2	6	0	0	0.5
CG8247	dco	2	6	0	0	0.5
CSN4	dco	2	6	6e-04	0	0.5
X18w	dco	2	6	3e-04	0	0.5
bs	dco	2	6	0	0	0.5
Nrt	dco	2	6	0	0	0.5
mask	dco	2	6	2e-04	0	0.5
gl	dco	2	6	0	0	0.5
Cp1	dco	2	6	7e-04	0	0.5
ex	dco	2	6	0	0	0.5
jing	dco	2	6	2e-04	0	0.5
shrb	dco	2	6	0	0	0.5
raw	dco	2	6	6e-04	0	0.5
CG9445	dco	2	6	0	0	0.5
gbb	dco	2	6	0	0	0.5
Hs2st	dco	2	6	0.0013	0	0.5
sls	dco	2	6	0	0	0.5
kis	dco	2	6	0	0	0.5
run	dco	2	6	0	0	0.5
pnr	dco	2	6	1e-04	0	0.5
pn	dco	2	6	0.0012	0	0.5
pnt	dco	2	6	0	0	0.5
Fmr1	dco	2	6	0	0	0.5
Myo31DF	dco	2	6	5e-04	0	0.5
ALiX	dco	2	6	1e-04	0	0.5
sgg	dco	2	6	1e-04	0	0.5
mbt	dco	2	6	0	0	0.5
Sin3A	dco	2	6	3e-04	0	0.5
dnc	dco	2	6	0	0	0.5
morgue	dco	2	6	0	0	0.5
Set2	dco	2	6	4e-04	0	0.5
exu	dco	2	6	0	0	0.5
odd	dco	2	6	0	0	0.5
esc	dco	2	6	0	0	0.5
dah	dco	2	6	0	0	0.5
Taf4	dco	2	6	1e-04	0	0.5
Jafrac2	dco	2	6	0	0	0.5
Fas3	dco	2	6	0	0	0.5
wus	dco	2	6	0	0	0.5
Wnt5	dco	2	6	0	0	0.5
sprt	dco	2	6	0	0	0.5
jar	dco	2	6	0	0	0.5
v	dco	2	6	1e-04	0	0.5
Snap	dco	2	6	0	0	0.5
vap	dco	2	6	3e-04	0	0.5
Src42A	dco	2	6	0	0	0.5
esg	dco	2	6	0	0	0.5
zfh1	dco	2	6	6e-04	0	0.5
alien	dco	2	6	0	0	0.5
peb	dco	2	6	1e-04	0	0.5
par.1	dco	2	6	8e-04	0	0.5
hyd	dco	2	6	2e-04	0	0.5
trc	dco	2	6	0	0	0.5
Eip63E	dco	2	6	3e-04	0	0.5
ird5	dco	2	6	9e-04	0	0.5
bl	dco	2	6	0	0	0.5
Syx1A	dco	2	6	6e-04	0	0.5
drl	dco	2	6	0.0016	0	0.5
rg	dco	2	6	0	0	0.5
apt	dco	2	6	5e-04	0	0.5
svr	dco	2	6	0	0	0.5
sar1	dco	2	6	0	0	0.5
Tab2	dco	2	6	0	0	0.5
zfh2	dco	2	6	0	0	0.5
dj	dco	2	6	8e-04	0	0.5
tum	dco	2	6	1e-04	0	0.5
yellow.f	dco	2	6	0	0	0.5
p53	dco	2	6	0	0	0.5
ImpE3	dco	2	6	0	0	0.5
cbt	dco	2	6	0	0	0.5
dl	dco	2	6	0	0	0.5
Dl	dco	2	6	0	0	0.5
Sur	dco	2	6	0	0	0.5
Rpd3	dco	2	6	4e-04	0	0.5
CG4945	dco	2	6	0	0	0.5
eve	dco	2	6	2e-04	0	0.5
Stat92E	dco	2	6	4e-04	0	0.5
ken	dco	2	6	0	0	0.5
dpld	dco	2	6	0	0	0.5
CG1942	dco	2	6	0	0	0.5
Dcp.1	dco	2	6	0	0	0.5
Tak1	dco	2	6	0	0	0.5
cg	dco	2	6	2e-04	0	0.5
fw	dco	2	6	0	0	0.5
tutl	dco	2	6	0	0	0.5
bhr	dco	2	6	0	0	0.5
ash2	dco	2	6	1e-04	0	0.5
mth	dco	2	6	0	0	0.5
numb	dco	2	6	0	0	0.5
X14.3.3zeta	dco	2	6	0	0	0.5
Lis.1	dco	2	6	0	0	0.5
alpha.Spec	dco	2	6	0	0	0.5
twf	dco	2	6	5e-04	0	0.5
Bap60	dco	2	6	0	0	0.5
drk	dco	2	6	0.0028	0	0.5
Nrx.IV	dco	2	6	7e-04	0	0.5
trn	dco	2	6	0	0	0.5
chn	dco	2	6	0	0	0.5
RhoGAP68F	dco	2	6	0	0	0.5
CycA	dco	2	6	1e-04	0	0.5
LIMK1	dco	2	6	0	0	0.5
Rca1	dco	2	6	0	0	0.5
pelo	dco	2	6	3e-04	0	0.5
CG32082	dco	2	6	0	0	0.5
pyd	dco	2	6	4e-04	0	0.5
Mlc1	dco	2	6	3e-04	0	0.5
meso18E	dco	2	6	0	0	0.5
rdx	dco	2	6	0	0	0.5
t	dco	2	6	2e-04	0	0.5
alph	dco	2	6	0.0011	0	0.5
elav	dco	2	6	0	0	0.5
shg	dco	2	6	0	0	0.5
shn	dco	2	6	2e-04	0	0.5
th	dco	2	6	0	0	0.5
lmd	dco	2	6	0	0	0.5
enok	dco	2	6	0.0018	0	0.5
loco	dco	2	6	0	0	0.5
disco	dco	2	6	0	0	0.5
Gtp.bp	dco	2	6	0	0	0.5
crol	dco	2	6	0	0	0.5
Sema.1b	dco	2	6	0	0	0.5
dom	dco	2	6	0	0	0.5
Aph.4	dco	2	6	0	0	0.5
Hr78	dco	2	6	1e-04	0	0.5
kuz	dco	2	6	0	0	0.5
mbo	dco	2	6	3e-04	0	0.5
par.6	dco	2	6	5e-04	0	0.5
ast	dco	2	6	0	0	0.5
CG9769	dco	2	6	0	0	0.5
Rbp9	dco	2	6	0.0011	0	0.5
hyx	dco	2	6	0	0	0.5
sced	dco	2	6	4e-04	0	0.5
ninaE	dco	2	6	0	0	0.5
Dscam	dco	2	6	0	0	0.5
Eip63F.1	dco	2	6	0	0	0.5
lic	dco	2	6	0	0	0.5
Idgf5	dco	2	6	3e-04	0	0.5
Idgf4	dco	2	6	0	0	0.5
Mbs	dco	2	6	0.0016	0	0.5
opa	dco	2	6	0	0	0.5
lwr	dco	2	6	4e-04	0	0.5
wee	dco	2	6	5e-04	0	0.5
Cks30A	dco	2	6	0	0	0.5
fax	dco	2	6	0	0	0.5
bun	dco	2	6	4e-04	0	0.5
bnb	dco	2	6	7e-04	0	0.5
Apc	dco	2	6	0.0014	0	0.5
ytr	dco	2	6	1e-04	0	0.5
blow	dco	2	6	1e-04	0	0.5
Hph	dco	2	6	0	0	0.5
fs.1.M3	dco	2	6	0.0013	0	0.5
chinmo	dco	2	6	1e-04	0	0.5
CG13850	dco	2	6	0	0	0.5
