Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	dec.1	2	6	5e-04	0	0.5
emp	dec.1	2	6	1e-04	0	0.5
CG2678	dec.1	2	6	1e-04	0	0.5
crc	dec.1	2	6	0.0011	0	0.5
pros	dec.1	2	6	3e-04	0	0.5
neur	dec.1	2	6	2e-04	0	0.5
Rab5	dec.1	2	6	0	0	0.5
Rab7	dec.1	2	6	0	0	0.5
Mmp2	dec.1	2	6	1e-04	0	0.5
W	dec.1	2	6	0	0	0.5
bowl	dec.1	2	6	3e-04	0	0.5
fd59A	dec.1	2	6	0	0	0.5
e	dec.1	2	6	8e-04	0	0.5
ben	dec.1	2	6	0.0021	0	0.5
rdo	dec.1	2	6	4e-04	0	0.5
lin	dec.1	2	6	3e-04	0	0.5
tra	dec.1	2	6	6e-04	0	0.5
tra2	dec.1	2	6	0	0	0.5
cathD	dec.1	2	6	2e-04	0	0.5
d	dec.1	2	6	3e-04	0	0.5
lva	dec.1	2	6	0	0	0.5
pbl	dec.1	2	6	2e-04	0	0.5
CG33205	dec.1	2	6	4e-04	0	0.5
da	dec.1	2	6	0.0014	0	0.5
cactin	dec.1	2	6	2e-04	0	0.5
hpo	dec.1	2	6	0	0	0.5
Sema.2a	dec.1	2	6	0	0	0.5
Eip74EF	dec.1	2	6	0	0	0.5
eg	dec.1	2	6	4e-04	0	0.5
Arc42	dec.1	2	6	4e-04	0	0.5
toy	dec.1	2	6	0.0023	0	0.5
Galpha73B	dec.1	2	6	0	0	0.5
RhoGAPp190	dec.1	2	6	0	0	0.5
MED11	dec.1	2	6	0.001	0	0.5
cher	dec.1	2	6	4e-04	0	0.5
BicD	dec.1	2	6	8e-04	0	0.5
MYPT.75D	dec.1	2	6	1e-04	0	0.5
mus304	dec.1	2	6	0.001	0	0.5
CdsA	dec.1	2	6	2e-04	0	0.5
btl	dec.1	2	6	0	0	0.5
Cyt.c.d	dec.1	2	6	0.0016	0	0.5
tok	dec.1	2	6	0.0011	0	0.5
ttk	dec.1	2	6	5e-04	0	0.5
tamo	dec.1	2	6	1e-04	0	0.5
CG6416	dec.1	2	6	2e-04	0	0.5
flfl	dec.1	2	6	0	0	0.5
Pvr	dec.1	2	6	0	0	0.5
kay	dec.1	2	6	0	0	0.5
Jra	dec.1	2	6	7e-04	0	0.5
msk	dec.1	2	6	0.0022	0	0.5
tll	dec.1	2	6	0	0	0.5
Tm1	dec.1	2	6	0	0	0.5
srp	dec.1	2	6	0	0	0.5
Btk29A	dec.1	2	6	1e-04	0	0.5
fred	dec.1	2	6	3e-04	0	0.5
Src64B	dec.1	2	6	5e-04	0	0.5
Mmp1	dec.1	2	6	7e-04	0	0.5
sll	dec.1	2	6	0	0	0.5
Hmgs	dec.1	2	6	2e-04	0	0.5
caps	dec.1	2	6	0.0029	0	0.5
Su.var.2.10	dec.1	2	6	3e-04	0	0.5
CycB	dec.1	2	6	4e-04	0	0.5
spir	dec.1	2	6	4e-04	0	0.5
spn.A	dec.1	2	6	0.0011	0	0.5
Ptpmeg	dec.1	2	6	6e-04	0	0.5
qua	dec.1	2	6	2e-04	0	0.5
msn	dec.1	2	6	0	0	0.5
ena	dec.1	2	6	0	0	0.5
spen	dec.1	2	6	0	0	0.5
emc	dec.1	2	6	1e-04	0	0.5
tsh	dec.1	2	6	1e-04	0	0.5
Dat	dec.1	2	6	0	0	0.5
Lac	dec.1	2	6	0	0	0.5
dup	dec.1	2	6	0	0	0.5
CG3075	dec.1	2	6	0	0	0.5
Akap200	dec.1	2	6	0	0	0.5
CG18369	dec.1	2	6	0	0	0.5
bnl	dec.1	2	6	0	0	0.5
sec23	dec.1	2	6	0	0	0.5
Pde8	dec.1	2	6	0	0	0.5
Arp66B	dec.1	2	6	0	0	0.5
cos	dec.1	2	6	0	0	0.5
Borr	dec.1	2	6	2e-04	0	0.5
X140up	dec.1	2	6	0	0	0.5
Dhc64C	dec.1	2	6	2e-04	0	0.5
Not1	dec.1	2	6	1e-04	0	0.5
CG9520	dec.1	2	6	1e-04	0	0.5
bib	dec.1	2	6	1e-04	0	0.5
mib1	dec.1	2	6	3e-04	0	0.5
cas	dec.1	2	6	2e-04	0	0.5
Abi	dec.1	2	6	2e-04	0	0.5
betaTub56D	dec.1	2	6	0.0013	0	0.5
nej	dec.1	2	6	3e-04	0	0.5
dlg1	dec.1	2	6	0	0	0.5
Lcp65Ag1	dec.1	2	6	5e-04	0	0.5
Es2	dec.1	2	6	2e-04	0	0.5
MED24	dec.1	2	6	1e-04	0	0.5
Vhl	dec.1	2	6	0	0	0.5
tral	dec.1	2	6	1e-04	0	0.5
sns	dec.1	2	6	0.0012	0	0.5
mbl	dec.1	2	6	0	0	0.5
sav	dec.1	2	6	1e-04	0	0.5
lola	dec.1	2	6	2e-04	0	0.5
robo	dec.1	2	6	0	0	0.5
CG32486	dec.1	2	6	0	0	0.5
santa.maria	dec.1	2	6	2e-04	0	0.5
stumps	dec.1	2	6	0	0	0.5
abd.A	dec.1	2	6	7e-04	0	0.5
dock	dec.1	2	6	3e-04	0	0.5
Lar	dec.1	2	6	0	0	0.5
l.1.G0289	dec.1	2	6	7e-04	0	0.5
Abl	dec.1	2	6	1e-04	0	0.5
Syb	dec.1	2	6	0	0	0.5
dome	dec.1	2	6	1e-04	0	0.5
ofs	dec.1	2	6	2e-04	0	0.5
MED4	dec.1	2	6	1e-04	0	0.5
scrib	dec.1	2	6	0	0	0.5
siz	dec.1	2	6	1e-04	0	0.5
cbx	dec.1	2	6	5e-04	0	0.5
dsx	dec.1	2	6	6e-04	0	0.5
Sb	dec.1	2	6	2e-04	0	0.5
sax	dec.1	2	6	0	0	0.5
foxo	dec.1	2	6	0	0	0.5
Cyp1	dec.1	2	6	0	0	0.5
brm	dec.1	2	6	0	0	0.5
rad50	dec.1	2	6	1e-04	0	0.5
chico	dec.1	2	6	0.0523	0	0.5
cp309	dec.1	2	6	3e-04	0	0.5
hdc	dec.1	2	6	9e-04	0	0.5
Axn	dec.1	2	6	0	0	0.5
Apc2	dec.1	2	6	2e-04	0	0.5
PhKgamma	dec.1	2	6	0	0	0.5
eya	dec.1	2	6	1e-04	0	0.5
sktl	dec.1	2	6	5e-04	0	0.5
sqd	dec.1	2	6	0	0	0.5
Akt1	dec.1	2	6	2e-04	0	0.5
scyl	dec.1	2	6	7e-04	0	0.5
cnk	dec.1	2	6	1e-04	0	0.5
CG8149	dec.1	2	6	0	0	0.5
CG34379	dec.1	2	6	5e-04	0	0.5
Yp1	dec.1	2	6	9e-04	0	0.5
yrt	dec.1	2	6	6e-04	0	0.5
bap	dec.1	2	6	6e-04	0	0.5
tud	dec.1	2	6	5e-04	0	0.5
ct	dec.1	2	6	0	0	0.5
tup	dec.1	2	6	0.0013	0	0.5
G.ialpha65A	dec.1	2	6	0	0	0.5
knrl	dec.1	2	6	0	0	0.5
Pkn	dec.1	2	6	0	0	0.5
Sry.delta	dec.1	2	6	3e-04	0	0.5
Alh	dec.1	2	6	2e-04	0	0.5
pnut	dec.1	2	6	1e-04	0	0.5
phyl	dec.1	2	6	0.0306	0	0.5
CG17739	dec.1	2	6	1e-04	0	0.5
B4	dec.1	2	6	0	0	0.5
CG2681	dec.1	2	6	0.0012	0	0.5
tow	dec.1	2	6	0	0	0.5
hkl	dec.1	2	6	1e-04	0	0.5
sina	dec.1	2	6	0	0	0.5
ry	dec.1	2	6	0	0	0.5
rux	dec.1	2	6	0	0	0.5
boss	dec.1	2	6	6e-04	0	0.5
Mkp3	dec.1	2	6	1e-04	0	0.5
inaC	dec.1	2	6	6e-04	0	0.5
sno	dec.1	2	6	1e-04	0	0.5
jagn	dec.1	2	6	3e-04	0	0.5
dpn	dec.1	2	6	7e-04	0	0.5
wrapper	dec.1	2	6	0	0	0.5
Ca.alpha1D	dec.1	2	6	3e-04	0	0.5
E2f	dec.1	2	6	9e-04	0	0.5
Dp	dec.1	2	6	0	0	0.5
l.2.efl	dec.1	2	6	0	0	0.5
cnc	dec.1	2	6	0	0	0.5
Atg5	dec.1	2	6	3e-04	0	0.5
acj6	dec.1	2	6	1e-04	0	0.5
Trl	dec.1	2	6	0	0	0.5
d4	dec.1	2	6	2e-04	0	0.5
CG16719	dec.1	2	6	0	0	0.5
CadN	dec.1	2	6	1e-04	0	0.5
gro	dec.1	2	6	4e-04	0	0.5
sec13	dec.1	2	6	1e-04	0	0.5
klar	dec.1	2	6	0.0012	0	0.5
Rack1	dec.1	2	6	5e-04	0	0.5
Sobp	dec.1	2	6	3e-04	0	0.5
ash1	dec.1	2	6	3e-04	0	0.5
inv	dec.1	2	6	2e-04	0	0.5
shot	dec.1	2	6	5e-04	0	0.5
Oseg1	dec.1	2	6	5e-04	0	0.5
Spred	dec.1	2	6	0.6549	0.99732	0.5
puc	dec.1	2	6	9e-04	0	0.5
Atg6	dec.1	2	6	3e-04	0	0.5
CG3829	dec.1	2	6	5e-04	0	0.5
sle	dec.1	2	6	1e-04	0	0.5
Cka	dec.1	2	6	0.0014	0	0.5
form3	dec.1	2	6	0	0	0.5
Pk61C	dec.1	2	6	3e-04	0	0.5
Pcaf	dec.1	2	6	0.0019	0	0.5
sbb	dec.1	2	6	1e-04	0	0.5
Ef1gamma	dec.1	2	6	7e-04	0	0.5
FKBP59	dec.1	2	6	0	0	0.5
Eip71CD	dec.1	2	6	3e-04	0	0.5
xmas.2	dec.1	2	6	2e-04	0	0.5
ppan	dec.1	2	6	2e-04	0	0.5
Iswi	dec.1	2	6	8e-04	0	0.5
ine	dec.1	2	6	0	0	0.5
Tina.1	dec.1	2	6	1e-04	0	0.5
bon	dec.1	2	6	2e-04	0	0.5
pot	dec.1	2	6	0	0	0.5
chic	dec.1	2	6	1e-04	0	0.5
Hem	dec.1	2	6	0	0	0.5
chif	dec.1	2	6	1e-04	0	0.5
S6kII	dec.1	2	6	4e-04	0	0.5
wal	dec.1	2	6	4e-04	0	0.5
wls	dec.1	2	6	2e-04	0	0.5
Ddx1	dec.1	2	6	0	0	0.5
Sulf1	dec.1	2	6	9e-04	0	0.5
CG3987	dec.1	2	6	0	0	0.5
Abd.B	dec.1	2	6	3e-04	0	0.5
Uba1	dec.1	2	6	0	0	0.5
bigmax	dec.1	2	6	4e-04	0	0.5
NAT1	dec.1	2	6	8e-04	0	0.5
wupA	dec.1	2	6	1e-04	0	0.5
Vps28	dec.1	2	6	0	0	0.5
G.oalpha47A	dec.1	2	6	5e-04	0	0.5
G.salpha60A	dec.1	2	6	0	0	0.5
dsf	dec.1	2	6	0.001	0	0.5
Khc	dec.1	2	6	0	0	0.5
CG10641	dec.1	2	6	1e-04	0	0.5
Alk	dec.1	2	6	0	0	0.5
ey	dec.1	2	6	2e-04	0	0.5
noc	dec.1	2	6	0	0	0.5
ix	dec.1	2	6	1e-04	0	0.5
Optix	dec.1	2	6	0	0	0.5
sdt	dec.1	2	6	2e-04	0	0.5
Sxl	dec.1	2	6	0	0	0.5
rib	dec.1	2	6	1e-04	0	0.5
sas	dec.1	2	6	9e-04	0	0.5
Scgdelta	dec.1	2	6	9e-04	0	0.5
sw	dec.1	2	6	0	0	0.5
fal	dec.1	2	6	1e-04	0	0.5
ea	dec.1	2	6	1e-04	0	0.5
Ice	dec.1	2	6	0	0	0.5
cic	dec.1	2	6	0	0	0.5
Dok	dec.1	2	6	0	0	0.5
rhea	dec.1	2	6	1e-04	0	0.5
Glycogenin	dec.1	2	6	9e-04	0	0.5
cin	dec.1	2	6	4e-04	0	0.5
chp	dec.1	2	6	0.0012	0	0.5
Dlic2	dec.1	2	6	0.0155	0	0.5
Pk92B	dec.1	2	6	5e-04	0	0.5
Pak	dec.1	2	6	2e-04	0	0.5
Lim1	dec.1	2	6	1e-04	0	0.5
CG34450	dec.1	2	6	6e-04	0	0.5
Su.H.	dec.1	2	6	0	0	0.5
CG12301	dec.1	2	6	0	0	0.5
lilli	dec.1	2	6	5e-04	0	0.5
toe	dec.1	2	6	0.0013	0	0.5
qkr58E.3	dec.1	2	6	3e-04	0	0.5
up	dec.1	2	6	1e-04	0	0.5
hep	dec.1	2	6	5e-04	0	0.5
Dap160	dec.1	2	6	1e-04	0	0.5
l.2.gd1	dec.1	2	6	0	0	0.5
hkb	dec.1	2	6	8e-04	0	0.5
beta4GalNAcTA	dec.1	2	6	2e-04	0	0.5
Mer	dec.1	2	6	2e-04	0	0.5
Mtl	dec.1	2	6	0	0	0.5
spin	dec.1	2	6	1e-04	0	0.5
mfas	dec.1	2	6	0	0	0.5
frc	dec.1	2	6	0	0	0.5
Krn	dec.1	2	6	0	0	0.5
mam	dec.1	2	6	3e-04	0	0.5
brk	dec.1	2	6	1e-04	0	0.5
Ark	dec.1	2	6	0	0	0.5
mmy	dec.1	2	6	0	0	0.5
mri	dec.1	2	6	5e-04	0	0.5
Crk	dec.1	2	6	2e-04	0	0.5
ssh	dec.1	2	6	0	0	0.5
fs.1.K10	dec.1	2	6	0	0	0.5
Psn	dec.1	2	6	2e-04	0	0.5
CG9509	dec.1	2	6	2e-04	0	0.5
CkIIalpha	dec.1	2	6	5e-04	0	0.5
car	dec.1	2	6	1e-04	0	0.5
capu	dec.1	2	6	7e-04	0	0.5
cact	dec.1	2	6	2e-04	0	0.5
Patj	dec.1	2	6	0.0015	0	0.5
dpp	dec.1	2	6	6e-04	0	0.5
xl6	dec.1	2	6	0	0	0.5
dally	dec.1	2	6	0	0	0.5
Pi3K92E	dec.1	2	6	0	0	0.5
E.bx.	dec.1	2	6	0.0012	0	0.5
emb	dec.1	2	6	0	0	0.5
CtBP	dec.1	2	6	0.0011	0	0.5
Dad	dec.1	2	6	4e-04	0	0.5
amx	dec.1	2	6	0	0	0.5
Ank2	dec.1	2	6	2e-04	0	0.5
CG34417	dec.1	2	6	0	0	0.5
scra	dec.1	2	6	0	0	0.5
dsd	dec.1	2	6	3e-04	0	0.5
Ephrin	dec.1	2	6	0	0	0.5
Appl	dec.1	2	6	6e-04	0	0.5
sty	dec.1	2	6	6e-04	0	0.5
RhoL	dec.1	2	6	6e-04	0	0.5
twi	dec.1	2	6	5e-04	0	0.5
tub	dec.1	2	6	2e-04	0	0.5
ftz.f1	dec.1	2	6	1e-04	0	0.5
wg	dec.1	2	6	1e-04	0	0.5
LanB1	dec.1	2	6	5e-04	0	0.5
LanA	dec.1	2	6	9e-04	0	0.5
LanB2	dec.1	2	6	6e-04	0	0.5
Chi	dec.1	2	6	4e-04	0	0.5
nmo	dec.1	2	6	1e-04	0	0.5
ics	dec.1	2	6	6e-04	0	0.5
oaf	dec.1	2	6	0.0011	0	0.5
dco	dec.1	2	6	0	0	0.5
Dys	dec.1	2	6	6e-04	0	0.5
drm	dec.1	2	6	1e-04	0	0.5
RpL30	dec.1	2	6	1e-04	0	0.5
how	dec.1	2	6	2e-04	0	0.5
dei	dec.1	2	6	1e-04	0	0.5
CG1244	dec.1	2	6	0.0021	0	0.5
Chc	dec.1	2	6	4e-04	0	0.5
Orct	dec.1	2	6	1e-04	0	0.5
sgl	dec.1	2	6	0	0	0.5
CG17221	dec.1	2	6	2e-04	0	0.5
gkt	dec.1	2	6	3e-04	0	0.5
by	dec.1	2	6	5e-04	0	0.5
Pka.C3	dec.1	2	6	3e-04	0	0.5
vlc	dec.1	2	6	0	0	0.5
fl.2.d	dec.1	2	6	0	0	0.5
Nf1	dec.1	2	6	0	0	0.5
CG6372	dec.1	2	6	2e-04	0	0.5
Rho1	dec.1	2	6	5e-04	0	0.5
kuk	dec.1	2	6	0	0	0.5
l.2.gl	dec.1	2	6	0	0	0.5
Ald	dec.1	2	6	0	0	0.5
jumu	dec.1	2	6	1e-04	0	0.5
glu	dec.1	2	6	4e-04	0	0.5
fs.2.ltoPP43	dec.1	2	6	2e-04	0	0.5
CycE	dec.1	2	6	9e-04	0	0.5
CG8247	dec.1	2	6	0.0015	0	0.5
CSN4	dec.1	2	6	0	0	0.5
X18w	dec.1	2	6	0	0	0.5
bs	dec.1	2	6	5e-04	0	0.5
Nrt	dec.1	2	6	0	0	0.5
mask	dec.1	2	6	2e-04	0	0.5
gl	dec.1	2	6	3e-04	0	0.5
Cp1	dec.1	2	6	5e-04	0	0.5
ex	dec.1	2	6	3e-04	0	0.5
jing	dec.1	2	6	4e-04	0	0.5
shrb	dec.1	2	6	2e-04	0	0.5
raw	dec.1	2	6	0	0	0.5
CG9445	dec.1	2	6	7e-04	0	0.5
gbb	dec.1	2	6	1e-04	0	0.5
Hs2st	dec.1	2	6	1e-04	0	0.5
sls	dec.1	2	6	0	0	0.5
kis	dec.1	2	6	1e-04	0	0.5
run	dec.1	2	6	0.0019	0	0.5
pnr	dec.1	2	6	3e-04	0	0.5
pn	dec.1	2	6	0	0	0.5
pnt	dec.1	2	6	4e-04	0	0.5
Fmr1	dec.1	2	6	2e-04	0	0.5
Myo31DF	dec.1	2	6	0	0	0.5
ALiX	dec.1	2	6	0.0014	0	0.5
sgg	dec.1	2	6	0	0	0.5
mbt	dec.1	2	6	0.0013	0	0.5
Sin3A	dec.1	2	6	5e-04	0	0.5
dnc	dec.1	2	6	4e-04	0	0.5
morgue	dec.1	2	6	7e-04	0	0.5
Set2	dec.1	2	6	1e-04	0	0.5
