Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	dei	2	6	0	0	0.5
emp	dei	2	6	4e-04	0	0.5
CG2678	dei	2	6	0.0014	0	0.5
crc	dei	2	6	3e-04	0	0.5
pros	dei	2	6	1e-04	0	0.5
neur	dei	2	6	0	0	0.5
Rab5	dei	2	6	9e-04	0	0.5
Rab7	dei	2	6	0	0	0.5
Mmp2	dei	2	6	1e-04	0	0.5
W	dei	2	6	7e-04	0	0.5
bowl	dei	2	6	4e-04	0	0.5
fd59A	dei	2	6	3e-04	0	0.5
e	dei	2	6	4e-04	0	0.5
ben	dei	2	6	5e-04	0	0.5
rdo	dei	2	6	1e-04	0	0.5
lin	dei	2	6	2e-04	0	0.5
tra	dei	2	6	0	0	0.5
tra2	dei	2	6	0	0	0.5
cathD	dei	2	6	0	0	0.5
d	dei	2	6	3e-04	0	0.5
lva	dei	2	6	0	0	0.5
pbl	dei	2	6	0	0	0.5
CG33205	dei	2	6	0	0	0.5
da	dei	2	6	0	0	0.5
cactin	dei	2	6	0	0	0.5
hpo	dei	2	6	0	0	0.5
Sema.2a	dei	2	6	0	0	0.5
Eip74EF	dei	2	6	0	0	0.5
eg	dei	2	6	0	0	0.5
Arc42	dei	2	6	0	0	0.5
toy	dei	2	6	1e-04	0	0.5
Galpha73B	dei	2	6	0	0	0.5
RhoGAPp190	dei	2	6	0	0	0.5
MED11	dei	2	6	0.0014	0	0.5
cher	dei	2	6	2e-04	0	0.5
BicD	dei	2	6	5e-04	0	0.5
MYPT.75D	dei	2	6	6e-04	0	0.5
mus304	dei	2	6	0	0	0.5
CdsA	dei	2	6	0	0	0.5
btl	dei	2	6	0	0	0.5
Cyt.c.d	dei	2	6	0	0	0.5
tok	dei	2	6	0	0	0.5
ttk	dei	2	6	7e-04	0	0.5
tamo	dei	2	6	4e-04	0	0.5
CG6416	dei	2	6	0	0	0.5
flfl	dei	2	6	0	0	0.5
Pvr	dei	2	6	0	0	0.5
kay	dei	2	6	0	0	0.5
Jra	dei	2	6	0	0	0.5
msk	dei	2	6	0	0	0.5
tll	dei	2	6	0	0	0.5
Tm1	dei	2	6	0	0	0.5
srp	dei	2	6	0	0	0.5
Btk29A	dei	2	6	0	0	0.5
fred	dei	2	6	8e-04	0	0.5
Src64B	dei	2	6	0	0	0.5
Mmp1	dei	2	6	0	0	0.5
sll	dei	2	6	9e-04	0	0.5
Hmgs	dei	2	6	2e-04	0	0.5
caps	dei	2	6	6e-04	0	0.5
Su.var.2.10	dei	2	6	4e-04	0	0.5
CycB	dei	2	6	0	0	0.5
spir	dei	2	6	0	0	0.5
spn.A	dei	2	6	0	0	0.5
Ptpmeg	dei	2	6	2e-04	0	0.5
qua	dei	2	6	5e-04	0	0.5
msn	dei	2	6	0	0	0.5
ena	dei	2	6	0	0	0.5
spen	dei	2	6	0	0	0.5
emc	dei	2	6	0	0	0.5
tsh	dei	2	6	0	0	0.5
Dat	dei	2	6	0	0	0.5
Lac	dei	2	6	7e-04	0	0.5
dup	dei	2	6	2e-04	0	0.5
CG3075	dei	2	6	0	0	0.5
Akap200	dei	2	6	4e-04	0	0.5
CG18369	dei	2	6	0	0	0.5
bnl	dei	2	6	3e-04	0	0.5
sec23	dei	2	6	0	0	0.5
Pde8	dei	2	6	0	0	0.5
Arp66B	dei	2	6	0	0	0.5
cos	dei	2	6	0	0	0.5
Borr	dei	2	6	0	0	0.5
X140up	dei	2	6	7e-04	0	0.5
Dhc64C	dei	2	6	0	0	0.5
Not1	dei	2	6	0	0	0.5
CG9520	dei	2	6	1e-04	0	0.5
bib	dei	2	6	0	0	0.5
mib1	dei	2	6	0	0	0.5
cas	dei	2	6	1e-04	0	0.5
Abi	dei	2	6	6e-04	0	0.5
betaTub56D	dei	2	6	0	0	0.5
nej	dei	2	6	0	0	0.5
dlg1	dei	2	6	0	0	0.5
Lcp65Ag1	dei	2	6	0	0	0.5
Es2	dei	2	6	2e-04	0	0.5
MED24	dei	2	6	7e-04	0	0.5
Vhl	dei	2	6	3e-04	0	0.5
tral	dei	2	6	7e-04	0	0.5
sns	dei	2	6	0	0	0.5
mbl	dei	2	6	0	0	0.5
sav	dei	2	6	0	0	0.5
lola	dei	2	6	1	0.99902	0.5
robo	dei	2	6	0	0	0.5
CG32486	dei	2	6	0	0	0.5
santa.maria	dei	2	6	4e-04	0	0.5
