Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	dib	2	6	0	0	0.5
emp	dib	2	6	4e-04	0	0.5
CG2678	dib	2	6	1e-04	0	0.5
crc	dib	2	6	0	0	0.5
pros	dib	2	6	0	0	0.5
neur	dib	2	6	0	0	0.5
Rab5	dib	2	6	0	0	0.5
Rab7	dib	2	6	5e-04	0	0.5
Mmp2	dib	2	6	0	0	0.5
W	dib	2	6	0	0	0.5
bowl	dib	2	6	0	0	0.5
fd59A	dib	2	6	1e-04	0	0.5
e	dib	2	6	0	0	0.5
ben	dib	2	6	0	0	0.5
rdo	dib	2	6	0	0	0.5
lin	dib	2	6	0	0	0.5
tra	dib	2	6	0	0	0.5
tra2	dib	2	6	0.001	0	0.5
cathD	dib	2	6	0	0	0.5
d	dib	2	6	0	0	0.5
lva	dib	2	6	0	0	0.5
pbl	dib	2	6	1e-04	0	0.5
CG33205	dib	2	6	2e-04	0	0.5
da	dib	2	6	1e-04	0	0.5
cactin	dib	2	6	0	0	0.5
hpo	dib	2	6	0	0	0.5
Sema.2a	dib	2	6	0	0	0.5
Eip74EF	dib	2	6	1e-04	0	0.5
eg	dib	2	6	3e-04	0	0.5
Arc42	dib	2	6	2e-04	0	0.5
toy	dib	2	6	8e-04	0	0.5
Galpha73B	dib	2	6	0	0	0.5
RhoGAPp190	dib	2	6	0	0	0.5
MED11	dib	2	6	1e-04	0	0.5
cher	dib	2	6	1e-04	0	0.5
BicD	dib	2	6	0	0	0.5
MYPT.75D	dib	2	6	0	0	0.5
mus304	dib	2	6	0	0	0.5
CdsA	dib	2	6	0	0	0.5
btl	dib	2	6	0	0	0.5
Cyt.c.d	dib	2	6	0	0	0.5
tok	dib	2	6	0	0	0.5
ttk	dib	2	6	8e-04	0	0.5
tamo	dib	2	6	0.0011	0	0.5
CG6416	dib	2	6	0	0	0.5
flfl	dib	2	6	6e-04	0	0.5
Pvr	dib	2	6	0	0	0.5
kay	dib	2	6	0	0	0.5
Jra	dib	2	6	0	0	0.5
msk	dib	2	6	0	0	0.5
tll	dib	2	6	2e-04	0	0.5
Tm1	dib	2	6	0	0	0.5
srp	dib	2	6	5e-04	0	0.5
Btk29A	dib	2	6	0	0	0.5
fred	dib	2	6	0	0	0.5
Src64B	dib	2	6	5e-04	0	0.5
Mmp1	dib	2	6	0	0	0.5
sll	dib	2	6	0	0	0.5
Hmgs	dib	2	6	5e-04	0	0.5
caps	dib	2	6	0	0	0.5
Su.var.2.10	dib	2	6	0	0	0.5
CycB	dib	2	6	0	0	0.5
spir	dib	2	6	2e-04	0	0.5
spn.A	dib	2	6	0	0	0.5
Ptpmeg	dib	2	6	0	0	0.5
qua	dib	2	6	0	0	0.5
msn	dib	2	6	0	0	0.5
ena	dib	2	6	0	0	0.5
spen	dib	2	6	0	0	0.5
emc	dib	2	6	0	0	0.5
tsh	dib	2	6	0	0	0.5
Dat	dib	2	6	0	0	0.5
Lac	dib	2	6	0	0	0.5
dup	dib	2	6	0	0	0.5
CG3075	dib	2	6	2e-04	0	0.5
Akap200	dib	2	6	0	0	0.5
CG18369	dib	2	6	0	0	0.5
bnl	dib	2	6	0	0	0.5
sec23	dib	2	6	2e-04	0	0.5
Pde8	dib	2	6	5e-04	0	0.5
Arp66B	dib	2	6	7e-04	0	0.5
cos	dib	2	6	0	0	0.5
Borr	dib	2	6	0	0	0.5
X140up	dib	2	6	0	0	0.5
Dhc64C	dib	2	6	0	0	0.5
