Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	disco	2	6	0	0	0.5
emp	disco	2	6	5e-04	0	0.5
CG2678	disco	2	6	0	0	0.5
crc	disco	2	6	3e-04	0	0.5
pros	disco	2	6	0	0	0.5
neur	disco	2	6	0	0	0.5
Rab5	disco	2	6	3e-04	0	0.5
Rab7	disco	2	6	0	0	0.5
Mmp2	disco	2	6	0	0	0.5
W	disco	2	6	0	0	0.5
bowl	disco	2	6	0	0	0.5
fd59A	disco	2	6	0	0	0.5
e	disco	2	6	0	0	0.5
ben	disco	2	6	0	0	0.5
rdo	disco	2	6	6e-04	0	0.5
lin	disco	2	6	0	0	0.5
tra	disco	2	6	0	0	0.5
tra2	disco	2	6	0	0	0.5
cathD	disco	2	6	0	0	0.5
d	disco	2	6	0	0	0.5
lva	disco	2	6	0	0	0.5
pbl	disco	2	6	0	0	0.5
CG33205	disco	2	6	0	0	0.5
da	disco	2	6	0	0	0.5
cactin	disco	2	6	1e-04	0	0.5
hpo	disco	2	6	0	0	0.5
Sema.2a	disco	2	6	0	0	0.5
Eip74EF	disco	2	6	1e-04	0	0.5
eg	disco	2	6	0	0	0.5
Arc42	disco	2	6	0	0	0.5
toy	disco	2	6	8e-04	0	0.5
Galpha73B	disco	2	6	0	0	0.5
RhoGAPp190	disco	2	6	0	0	0.5
MED11	disco	2	6	0	0	0.5
cher	disco	2	6	0	0	0.5
BicD	disco	2	6	0	0	0.5
MYPT.75D	disco	2	6	0	0	0.5
mus304	disco	2	6	1e-04	0	0.5
CdsA	disco	2	6	0	0	0.5
btl	disco	2	6	0	0	0.5
Cyt.c.d	disco	2	6	0	0	0.5
tok	disco	2	6	3e-04	0	0.5
ttk	disco	2	6	0	0	0.5
tamo	disco	2	6	0	0	0.5
CG6416	disco	2	6	0	0	0.5
flfl	disco	2	6	0	0	0.5
Pvr	disco	2	6	0	0	0.5
kay	disco	2	6	0	0	0.5
Jra	disco	2	6	2e-04	0	0.5
msk	disco	2	6	2e-04	0	0.5
tll	disco	2	6	0	0	0.5
Tm1	disco	2	6	0	0	0.5
srp	disco	2	6	0	0	0.5
Btk29A	disco	2	6	5e-04	0	0.5
fred	disco	2	6	1e-04	0	0.5
Src64B	disco	2	6	2e-04	0	0.5
Mmp1	disco	2	6	0	0	0.5
