Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	dnc	2	6	2e-04	0	0.5
emp	dnc	2	6	0	0	0.5
CG2678	dnc	2	6	4e-04	0	0.5
crc	dnc	2	6	0	0	0.5
pros	dnc	2	6	5e-04	0	0.5
neur	dnc	2	6	2e-04	0	0.5
Rab5	dnc	2	6	6e-04	0	0.5
Rab7	dnc	2	6	0	0	0.5
Mmp2	dnc	2	6	5e-04	0	0.5
W	dnc	2	6	0	0	0.5
bowl	dnc	2	6	0	0	0.5
fd59A	dnc	2	6	0	0	0.5
e	dnc	2	6	0.0017	0	0.5
ben	dnc	2	6	3e-04	0	0.5
rdo	dnc	2	6	0	0	0.5
lin	dnc	2	6	0	0	0.5
tra	dnc	2	6	0	0	0.5
tra2	dnc	2	6	0	0	0.5
cathD	dnc	2	6	0	0	0.5
d	dnc	2	6	0.0024	0	0.5
lva	dnc	2	6	0	0	0.5
pbl	dnc	2	6	0	0	0.5
CG33205	dnc	2	6	3e-04	0	0.5
da	dnc	2	6	0.0012	0	0.5
cactin	dnc	2	6	5e-04	0	0.5
hpo	dnc	2	6	0.0029	0	0.5
Sema.2a	dnc	2	6	0	0	0.5
Eip74EF	dnc	2	6	2e-04	0	0.5
eg	dnc	2	6	4e-04	0	0.5
Arc42	dnc	2	6	7e-04	0	0.5
toy	dnc	2	6	8e-04	0	0.5
Galpha73B	dnc	2	6	1e-04	0	0.5
RhoGAPp190	dnc	2	6	0.001	0	0.5
MED11	dnc	2	6	8e-04	0	0.5
cher	dnc	2	6	0	0	0.5
BicD	dnc	2	6	0	0	0.5
MYPT.75D	dnc	2	6	0.1644	0	0.5
mus304	dnc	2	6	0	0	0.5
CdsA	dnc	2	6	1e-04	0	0.5
btl	dnc	2	6	7e-04	0	0.5
Cyt.c.d	dnc	2	6	2e-04	0	0.5
tok	dnc	2	6	0	0	0.5
ttk	dnc	2	6	1e-04	0	0.5
tamo	dnc	2	6	0	0	0.5
CG6416	dnc	2	6	1e-04	0	0.5
flfl	dnc	2	6	0.0012	0	0.5
Pvr	dnc	2	6	0	0	0.5
kay	dnc	2	6	1e-04	0	0.5
Jra	dnc	2	6	0	0	0.5
msk	dnc	2	6	0	0	0.5
tll	dnc	2	6	0	0	0.5
Tm1	dnc	2	6	0	0	0.5
srp	dnc	2	6	1e-04	0	0.5
Btk29A	dnc	2	6	5e-04	0	0.5
fred	dnc	2	6	1e-04	0	0.5
Src64B	dnc	2	6	1e-04	0	0.5
Mmp1	dnc	2	6	0	0	0.5
sll	dnc	2	6	0.0021	0	0.5
Hmgs	dnc	2	6	0	0	0.5
caps	dnc	2	6	3e-04	0	0.5
Su.var.2.10	dnc	2	6	0	0	0.5
CycB	dnc	2	6	0.0016	0	0.5
spir	dnc	2	6	0	0	0.5
spn.A	dnc	2	6	4e-04	0	0.5
Ptpmeg	dnc	2	6	0	0	0.5
qua	dnc	2	6	0.0011	0	0.5
msn	dnc	2	6	3e-04	0	0.5
ena	dnc	2	6	0	0	0.5
spen	dnc	2	6	4e-04	0	0.5
emc	dnc	2	6	6e-04	0	0.5
tsh	dnc	2	6	1e-04	0	0.5
Dat	dnc	2	6	0	0	0.5
Lac	dnc	2	6	0	0	0.5
dup	dnc	2	6	0	0	0.5
CG3075	dnc	2	6	3e-04	0	0.5
Akap200	dnc	2	6	0	0	0.5
CG18369	dnc	2	6	0	0	0.5
bnl	dnc	2	6	0	0	0.5
sec23	dnc	2	6	0	0	0.5
Pde8	dnc	2	6	0	0	0.5
Arp66B	dnc	2	6	5e-04	0	0.5
cos	dnc	2	6	8e-04	0	0.5
Borr	dnc	2	6	0	0	0.5
X140up	dnc	2	6	0.0011	0	0.5
Dhc64C	dnc	2	6	0	0	0.5
Not1	dnc	2	6	0	0	0.5
CG9520	dnc	2	6	0	0	0.5
