Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	dom	2	6	0	0	0.5
emp	dom	2	6	0	0	0.5
CG2678	dom	2	6	0.517	0.999	0.5
crc	dom	2	6	0	0	0.5
pros	dom	2	6	0	0	0.5
neur	dom	2	6	0	0	0.5
Rab5	dom	2	6	1e-04	0	0.5
Rab7	dom	2	6	3e-04	0	0.5
Mmp2	dom	2	6	1e-04	0	0.5
W	dom	2	6	0	0	0.5
bowl	dom	2	6	0	0	0.5
fd59A	dom	2	6	0	0	0.5
e	dom	2	6	0	0	0.5
ben	dom	2	6	0	0	0.5
rdo	dom	2	6	0	0	0.5
lin	dom	2	6	0	0	0.5
tra	dom	2	6	0	0	0.5
tra2	dom	2	6	1e-04	0	0.5
cathD	dom	2	6	2e-04	0	0.5
d	dom	2	6	3e-04	0	0.5
lva	dom	2	6	1e-04	0	0.5
pbl	dom	2	6	0	0	0.5
CG33205	dom	2	6	1e-04	0	0.5
da	dom	2	6	1e-04	0	0.5
cactin	dom	2	6	3e-04	0	0.5
hpo	dom	2	6	0	0	0.5
Sema.2a	dom	2	6	0	0	0.5
Eip74EF	dom	2	6	0	0	0.5
eg	dom	2	6	0	0	0.5
Arc42	dom	2	6	0	0	0.5
toy	dom	2	6	1e-04	0	0.5
Galpha73B	dom	2	6	0	0	0.5
RhoGAPp190	dom	2	6	0	0	0.5
MED11	dom	2	6	0	0	0.5
cher	dom	2	6	0	0	0.5
BicD	dom	2	6	6e-04	0	0.5
MYPT.75D	dom	2	6	0	0	0.5
mus304	dom	2	6	0	0	0.5
CdsA	dom	2	6	0	0	0.5
btl	dom	2	6	0	0	0.5
Cyt.c.d	dom	2	6	0	0	0.5
tok	dom	2	6	1e-04	0	0.5
ttk	dom	2	6	0	0	0.5
tamo	dom	2	6	0	0	0.5
CG6416	dom	2	6	0	0	0.5
flfl	dom	2	6	0	0	0.5
Pvr	dom	2	6	0	0	0.5
kay	dom	2	6	0	0	0.5
Jra	dom	2	6	0	0	0.5
msk	dom	2	6	0	0	0.5
tll	dom	2	6	0	0	0.5
Tm1	dom	2	6	0	0	0.5
srp	dom	2	6	0	0	0.5
Btk29A	dom	2	6	0	0	0.5
fred	dom	2	6	0	0	0.5
Src64B	dom	2	6	0	0	0.5
Mmp1	dom	2	6	0	0	0.5
sll	dom	2	6	0	0	0.5
Hmgs	dom	2	6	0	0	0.5
caps	dom	2	6	0	0	0.5
Su.var.2.10	dom	2	6	0	0	0.5
CycB	dom	2	6	0	0	0.5
spir	dom	2	6	0	0	0.5
spn.A	dom	2	6	2e-04	0	0.5
Ptpmeg	dom	2	6	0	0	0.5
qua	dom	2	6	4e-04	0	0.5
msn	dom	2	6	7e-04	0	0.5
ena	dom	2	6	0	0	0.5
spen	dom	2	6	0	0	0.5
emc	dom	2	6	0	0	0.5
tsh	dom	2	6	0	0	0.5
Dat	dom	2	6	0	0	0.5
Lac	dom	2	6	1e-04	0	0.5
dup	dom	2	6	0	0	0.5
CG3075	dom	2	6	2e-04	0	0.5
Akap200	dom	2	6	0	0	0.5
CG18369	dom	2	6	0	0	0.5
bnl	dom	2	6	0	0	0.5
sec23	dom	2	6	0	0	0.5
Pde8	dom	2	6	0	0	0.5
Arp66B	dom	2	6	0	0	0.5
cos	dom	2	6	0	0	0.5
Borr	dom	2	6	0	0	0.5
X140up	dom	2	6	0	0	0.5
Dhc64C	dom	2	6	0	0	0.5
Not1	dom	2	6	4e-04	0	0.5
CG9520	dom	2	6	0	0	0.5
bib	dom	2	6	3e-04	0	0.5
mib1	dom	2	6	0	0	0.5
cas	dom	2	6	4e-04	0	0.5
Abi	dom	2	6	0	0	0.5
betaTub56D	dom	2	6	2e-04	0	0.5
nej	dom	2	6	0	0	0.5
dlg1	dom	2	6	2e-04	0	0.5
Lcp65Ag1	dom	2	6	0	0	0.5
Es2	dom	2	6	0	0	0.5
MED24	dom	2	6	0	0	0.5
Vhl	dom	2	6	0	0	0.5
tral	dom	2	6	0	0	0.5
sns	dom	2	6	0	0	0.5
mbl	dom	2	6	0	0	0.5
sav	dom	2	6	0	0	0.5
lola	dom	2	6	4e-04	0	0.5
robo	dom	2	6	0	0	0.5
CG32486	dom	2	6	0	0	0.5
santa.maria	dom	2	6	0	0	0.5
stumps	dom	2	6	1e-04	0	0.5
abd.A	dom	2	6	2e-04	0	0.5
dock	dom	2	6	0	0	0.5
Lar	dom	2	6	0	0	0.5
l.1.G0289	dom	2	6	0	0	0.5
Abl	dom	2	6	0	0	0.5
Syb	dom	2	6	0	0	0.5
dome	dom	2	6	0	0	0.5
ofs	dom	2	6	1e-04	0	0.5
MED4	dom	2	6	0	0	0.5
scrib	dom	2	6	0	0	0.5
siz	dom	2	6	0	0	0.5
cbx	dom	2	6	0	0	0.5
dsx	dom	2	6	1e-04	0	0.5
Sb	dom	2	6	0	0	0.5
sax	dom	2	6	0	0	0.5
foxo	dom	2	6	0	0	0.5
Cyp1	dom	2	6	0	0	0.5
brm	dom	2	6	3e-04	0	0.5
rad50	dom	2	6	0	0	0.5
chico	dom	2	6	0	0	0.5
cp309	dom	2	6	0	0	0.5
hdc	dom	2	6	1e-04	0	0.5
Axn	dom	2	6	0	0	0.5
Apc2	dom	2	6	0	0	0.5
PhKgamma	dom	2	6	0	0	0.5
eya	dom	2	6	0	0	0.5
