Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	dome	2	6	0	0	0.5
emp	dome	2	6	0	0	0.5
CG2678	dome	2	6	2e-04	0	0.5
crc	dome	2	6	0	0	0.5
pros	dome	2	6	0	0	0.5
neur	dome	2	6	0	0	0.5
Rab5	dome	2	6	1e-04	0	0.5
Rab7	dome	2	6	1e-04	0	0.5
Mmp2	dome	2	6	0	0	0.5
W	dome	2	6	5e-04	0	0.5
bowl	dome	2	6	0	0	0.5
fd59A	dome	2	6	0	0	0.5
e	dome	2	6	0	0	0.5
ben	dome	2	6	0	0	0.5
rdo	dome	2	6	0	0	0.5
lin	dome	2	6	0	0	0.5
tra	dome	2	6	0	0	0.5
tra2	dome	2	6	0	0	0.5
cathD	dome	2	6	0	0	0.5
d	dome	2	6	3e-04	0	0.5
lva	dome	2	6	3e-04	0	0.5
pbl	dome	2	6	1e-04	0	0.5
CG33205	dome	2	6	3e-04	0	0.5
da	dome	2	6	0	0	0.5
cactin	dome	2	6	0	0	0.5
hpo	dome	2	6	6e-04	0	0.5
Sema.2a	dome	2	6	0	0	0.5
Eip74EF	dome	2	6	0	0	0.5
eg	dome	2	6	6e-04	0	0.5
Arc42	dome	2	6	3e-04	0	0.5
toy	dome	2	6	0	0	0.5
Galpha73B	dome	2	6	0	0	0.5
RhoGAPp190	dome	2	6	7e-04	0	0.5
MED11	dome	2	6	0	0	0.5
cher	dome	2	6	0	0	0.5
BicD	dome	2	6	0	0	0.5
MYPT.75D	dome	2	6	0	0	0.5
mus304	dome	2	6	0	0	0.5
CdsA	dome	2	6	7e-04	0	0.5
btl	dome	2	6	3e-04	0	0.5
Cyt.c.d	dome	2	6	0	0	0.5
tok	dome	2	6	0	0	0.5
ttk	dome	2	6	0	0	0.5
tamo	dome	2	6	0	0	0.5
CG6416	dome	2	6	1e-04	0	0.5
flfl	dome	2	6	0	0	0.5
Pvr	dome	2	6	0	0	0.5
kay	dome	2	6	4e-04	0	0.5
Jra	dome	2	6	0	0	0.5
msk	dome	2	6	0	0	0.5
tll	dome	2	6	2e-04	0	0.5
Tm1	dome	2	6	0	0	0.5
srp	dome	2	6	0	0	0.5
Btk29A	dome	2	6	0	0	0.5
fred	dome	2	6	1e-04	0	0.5
Src64B	dome	2	6	1e-04	0	0.5
Mmp1	dome	2	6	7e-04	0	0.5
sll	dome	2	6	0	0	0.5
Hmgs	dome	2	6	3e-04	0	0.5
caps	dome	2	6	0	0	0.5
Su.var.2.10	dome	2	6	0	0	0.5
CycB	dome	2	6	8e-04	0	0.5
spir	dome	2	6	7e-04	0	0.5
spn.A	dome	2	6	1e-04	0	0.5
Ptpmeg	dome	2	6	0	0	0.5
qua	dome	2	6	0	0	0.5
msn	dome	2	6	0	0	0.5
ena	dome	2	6	4e-04	0	0.5
spen	dome	2	6	0	0	0.5
emc	dome	2	6	0	0	0.5
tsh	dome	2	6	0	0	0.5
Dat	dome	2	6	2e-04	0	0.5
Lac	dome	2	6	0	0	0.5
dup	dome	2	6	0	0	0.5
CG3075	dome	2	6	2e-04	0	0.5
Akap200	dome	2	6	0	0	0.5
CG18369	dome	2	6	2e-04	0	0.5
bnl	dome	2	6	1e-04	0	0.5
sec23	dome	2	6	1e-04	0	0.5
Pde8	dome	2	6	1e-04	0	0.5
Arp66B	dome	2	6	0	0	0.5
cos	dome	2	6	1e-04	0	0.5
Borr	dome	2	6	0	0	0.5
X140up	dome	2	6	0	0	0.5
Dhc64C	dome	2	6	0	0	0.5
Not1	dome	2	6	1e-04	0	0.5
CG9520	dome	2	6	0	0	0.5
bib	dome	2	6	0	0	0.5
mib1	dome	2	6	0	0	0.5
cas	dome	2	6	0	0	0.5
Abi	dome	2	6	0	0	0.5
betaTub56D	dome	2	6	0	0	0.5
nej	dome	2	6	0	0	0.5
dlg1	dome	2	6	0	0	0.5
Lcp65Ag1	dome	2	6	0	0	0.5
Es2	dome	2	6	0	0	0.5
MED24	dome	2	6	3e-04	0	0.5
Vhl	dome	2	6	0	0	0.5
tral	dome	2	6	0	0	0.5
sns	dome	2	6	5e-04	0	0.5
mbl	dome	2	6	0	0	0.5
sav	dome	2	6	1e-04	0	0.5
lola	dome	2	6	7e-04	0	0.5
robo	dome	2	6	0	0	0.5
CG32486	dome	2	6	1e-04	0	0.5
santa.maria	dome	2	6	0	0	0.5
stumps	dome	2	6	0.0019	0	0.5
abd.A	dome	2	6	2e-04	0	0.5
dock	dome	2	6	0	0	0.5
Lar	dome	2	6	0	0	0.5
l.1.G0289	dome	2	6	0	0	0.5
Abl	dome	2	6	0	0	0.5
Syb	dome	2	6	0	0	0.5
dome	dome	2	6	0	0	0.5
ofs	dome	2	6	0	0	0.5
MED4	dome	2	6	0	0	0.5
scrib	dome	2	6	0	0	0.5
siz	dome	2	6	0	0	0.5
cbx	dome	2	6	0	0	0.5
dsx	dome	2	6	0	0	0.5
Sb	dome	2	6	0	0	0.5
sax	dome	2	6	0	0	0.5
foxo	dome	2	6	0	0	0.5
Cyp1	dome	2	6	0	0	0.5
brm	dome	2	6	0	0	0.5
rad50	dome	2	6	7e-04	0	0.5
chico	dome	2	6	0	0	0.5
cp309	dome	2	6	1e-04	0	0.5
hdc	dome	2	6	0	0	0.5
Axn	dome	2	6	0	0	0.5
Apc2	dome	2	6	0	0	0.5
PhKgamma	dome	2	6	0	0	0.5
eya	dome	2	6	0	0	0.5
sktl	dome	2	6	0	0	0.5
sqd	dome	2	6	0	0	0.5
Akt1	dome	2	6	1e-04	0	0.5
scyl	dome	2	6	1e-04	0	0.5
cnk	dome	2	6	0	0	0.5
CG8149	dome	2	6	0	0	0.5
CG34379	dome	2	6	0	0	0.5
Yp1	dome	2	6	1e-04	0	0.5
yrt	dome	2	6	0	0	0.5
bap	dome	2	6	0	0	0.5
tud	dome	2	6	0	0	0.5
ct	dome	2	6	0	0	0.5
tup	dome	2	6	0	0	0.5
G.ialpha65A	dome	2	6	0	0	0.5
knrl	dome	2	6	0	0	0.5
Pkn	dome	2	6	0	0	0.5
Sry.delta	dome	2	6	0	0	0.5
Alh	dome	2	6	0	0	0.5
pnut	dome	2	6	3e-04	0	0.5
phyl	dome	2	6	1e-04	0	0.5
CG17739	dome	2	6	0	0	0.5
B4	dome	2	6	0	0	0.5
CG2681	dome	2	6	0	0	0.5
tow	dome	2	6	0	0	0.5
hkl	dome	2	6	0	0	0.5
sina	dome	2	6	2e-04	0	0.5
ry	dome	2	6	0	0	0.5
rux	dome	2	6	0	0	0.5
boss	dome	2	6	0	0	0.5
Mkp3	dome	2	6	1e-04	0	0.5
inaC	dome	2	6	0	0	0.5
sno	dome	2	6	0	0	0.5
jagn	dome	2	6	0	0	0.5
dpn	dome	2	6	0	0	0.5
wrapper	dome	2	6	0	0	0.5
Ca.alpha1D	dome	2	6	1e-04	0	0.5
E2f	dome	2	6	0	0	0.5
Dp	dome	2	6	0	0	0.5
l.2.efl	dome	2	6	1e-04	0	0.5
cnc	dome	2	6	4e-04	0	0.5
Atg5	dome	2	6	0	0	0.5
acj6	dome	2	6	0	0	0.5
Trl	dome	2	6	0	0	0.5
d4	dome	2	6	0.0013	0	0.5
CG16719	dome	2	6	0	0	0.5
CadN	dome	2	6	0	0	0.5
gro	dome	2	6	1e-04	0	0.5
sec13	dome	2	6	0	0	0.5
klar	dome	2	6	1e-04	0	0.5
Rack1	dome	2	6	0	0	0.5
Sobp	dome	2	6	0	0	0.5
ash1	dome	2	6	3e-04	0	0.5
inv	dome	2	6	0	0	0.5
shot	dome	2	6	0	0	0.5
Oseg1	dome	2	6	0	0	0.5
Spred	dome	2	6	0	0	0.5
puc	dome	2	6	0	0	0.5
Atg6	dome	2	6	2e-04	0	0.5
CG3829	dome	2	6	0	0	0.5
sle	dome	2	6	0	0	0.5
Cka	dome	2	6	0	0	0.5
form3	dome	2	6	0	0	0.5
Pk61C	dome	2	6	0	0	0.5
Pcaf	dome	2	6	2e-04	0	0.5
sbb	dome	2	6	2e-04	0	0.5
Ef1gamma	dome	2	6	5e-04	0	0.5
FKBP59	dome	2	6	0	0	0.5
Eip71CD	dome	2	6	0	0	0.5
xmas.2	dome	2	6	0	0	0.5
