Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	dos	2	6	0	0	0.5
emp	dos	2	6	0	0	0.5
CG2678	dos	2	6	1e-04	0	0.5
crc	dos	2	6	7e-04	0	0.5
pros	dos	2	6	0	0	0.5
neur	dos	2	6	0	0	0.5
Rab5	dos	2	6	0	0	0.5
Rab7	dos	2	6	0	0	0.5
Mmp2	dos	2	6	0	0	0.5
W	dos	2	6	0	0	0.5
bowl	dos	2	6	0	0	0.5
fd59A	dos	2	6	1e-04	0	0.5
e	dos	2	6	0	0	0.5
ben	dos	2	6	0	0	0.5
rdo	dos	2	6	0	0	0.5
lin	dos	2	6	0.001	0	0.5
tra	dos	2	6	8e-04	0	0.5
tra2	dos	2	6	1e-04	0	0.5
cathD	dos	2	6	0	0	0.5
d	dos	2	6	4e-04	0	0.5
lva	dos	2	6	0	0	0.5
pbl	dos	2	6	0	0	0.5
CG33205	dos	2	6	0	0	0.5
da	dos	2	6	0	0	0.5
cactin	dos	2	6	0	0	0.5
hpo	dos	2	6	1e-04	0	0.5
Sema.2a	dos	2	6	1e-04	0	0.5
Eip74EF	dos	2	6	6e-04	0	0.5
eg	dos	2	6	0	0	0.5
Arc42	dos	2	6	1e-04	0	0.5
toy	dos	2	6	0	0	0.5
Galpha73B	dos	2	6	0	0	0.5
RhoGAPp190	dos	2	6	0	0	0.5
MED11	dos	2	6	0	0	0.5
cher	dos	2	6	0	0	0.5
BicD	dos	2	6	0	0	0.5
MYPT.75D	dos	2	6	1e-04	0	0.5
mus304	dos	2	6	0	0	0.5
CdsA	dos	2	6	9e-04	0	0.5
btl	dos	2	6	0	0	0.5
Cyt.c.d	dos	2	6	0	0	0.5
tok	dos	2	6	0	0	0.5
ttk	dos	2	6	0	0	0.5
tamo	dos	2	6	0.0015	0	0.5
CG6416	dos	2	6	0	0	0.5
flfl	dos	2	6	0	0	0.5
Pvr	dos	2	6	0	0	0.5
kay	dos	2	6	0	0	0.5
Jra	dos	2	6	0	0	0.5
msk	dos	2	6	0	0	0.5
tll	dos	2	6	0	0	0.5
Tm1	dos	2	6	2e-04	0	0.5
srp	dos	2	6	4e-04	0	0.5
Btk29A	dos	2	6	1e-04	0	0.5
fred	dos	2	6	0	0	0.5
Src64B	dos	2	6	0	0	0.5
Mmp1	dos	2	6	0	0	0.5
sll	dos	2	6	3e-04	0	0.5
Hmgs	dos	2	6	0	0	0.5
caps	dos	2	6	0	0	0.5
Su.var.2.10	dos	2	6	0	0	0.5
CycB	dos	2	6	2e-04	0	0.5
spir	dos	2	6	0	0	0.5
spn.A	dos	2	6	0.2773	0	0.5
Ptpmeg	dos	2	6	6e-04	0	0.5
qua	dos	2	6	7e-04	0	0.5
msn	dos	2	6	0	0	0.5
ena	dos	2	6	0.0015	0	0.5
spen	dos	2	6	0	0	0.5
emc	dos	2	6	5e-04	0	0.5
tsh	dos	2	6	0	0	0.5
Dat	dos	2	6	0	0	0.5
Lac	dos	2	6	4e-04	0	0.5
dup	dos	2	6	0	0	0.5
CG3075	dos	2	6	0	0	0.5
Akap200	dos	2	6	0	0	0.5
CG18369	dos	2	6	1e-04	0	0.5
bnl	dos	2	6	0	0	0.5
sec23	dos	2	6	0	0	0.5
Pde8	dos	2	6	3e-04	0	0.5
Arp66B	dos	2	6	0	0	0.5
cos	dos	2	6	0	0	0.5
Borr	dos	2	6	2e-04	0	0.5
X140up	dos	2	6	6e-04	0	0.5
Dhc64C	dos	2	6	1e-04	0	0.5
Not1	dos	2	6	2e-04	0	0.5
CG9520	dos	2	6	0	0	0.5
bib	dos	2	6	0	0	0.5
mib1	dos	2	6	0	0	0.5
cas	dos	2	6	0	0	0.5
Abi	dos	2	6	0	0	0.5
betaTub56D	dos	2	6	0	0	0.5
nej	dos	2	6	0	0	0.5
dlg1	dos	2	6	0	0	0.5
Lcp65Ag1	dos	2	6	0	0	0.5
Es2	dos	2	6	0	0	0.5
MED24	dos	2	6	0	0	0.5
Vhl	dos	2	6	0	0	0.5
tral	dos	2	6	6e-04	0	0.5
sns	dos	2	6	0	0	0.5
mbl	dos	2	6	0	0	0.5
sav	dos	2	6	3e-04	0	0.5
lola	dos	2	6	1e-04	0	0.5
robo	dos	2	6	0	0	0.5
CG32486	dos	2	6	0	0	0.5
santa.maria	dos	2	6	0	0	0.5
stumps	dos	2	6	0	0	0.5
abd.A	dos	2	6	1e-04	0	0.5
dock	dos	2	6	0	0	0.5
Lar	dos	2	6	6e-04	0	0.5
l.1.G0289	dos	2	6	0	0	0.5
Abl	dos	2	6	6e-04	0	0.5
Syb	dos	2	6	0	0	0.5
dome	dos	2	6	0	0	0.5
ofs	dos	2	6	0	0	0.5
MED4	dos	2	6	0	0	0.5
scrib	dos	2	6	0	0	0.5
siz	dos	2	6	0	0	0.5
cbx	dos	2	6	0	0	0.5
dsx	dos	2	6	0	0	0.5
