Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	dpld	2	6	0	0	0.5
emp	dpld	2	6	1e-04	0	0.5
CG2678	dpld	2	6	2e-04	0	0.5
crc	dpld	2	6	1e-04	0	0.5
pros	dpld	2	6	1e-04	0	0.5
neur	dpld	2	6	1e-04	0	0.5
Rab5	dpld	2	6	0	0	0.5
Rab7	dpld	2	6	1e-04	0	0.5
Mmp2	dpld	2	6	0	0	0.5
W	dpld	2	6	0	0	0.5
bowl	dpld	2	6	1e-04	0	0.5
fd59A	dpld	2	6	1e-04	0	0.5
e	dpld	2	6	0	0	0.5
ben	dpld	2	6	0	0	0.5
rdo	dpld	2	6	1e-04	0	0.5
lin	dpld	2	6	0	0	0.5
tra	dpld	2	6	0	0	0.5
tra2	dpld	2	6	1e-04	0	0.5
cathD	dpld	2	6	4e-04	0	0.5
d	dpld	2	6	0	0	0.5
lva	dpld	2	6	0	0	0.5
pbl	dpld	2	6	0	0	0.5
CG33205	dpld	2	6	0	0	0.5
da	dpld	2	6	0	0	0.5
cactin	dpld	2	6	0	0	0.5
hpo	dpld	2	6	0	0	0.5
Sema.2a	dpld	2	6	0	0	0.5
Eip74EF	dpld	2	6	0	0	0.5
eg	dpld	2	6	0	0	0.5
Arc42	dpld	2	6	0	0	0.5
toy	dpld	2	6	6e-04	0	0.5
Galpha73B	dpld	2	6	0	0	0.5
RhoGAPp190	dpld	2	6	1e-04	0	0.5
MED11	dpld	2	6	0	0	0.5
cher	dpld	2	6	0	0	0.5
BicD	dpld	2	6	0	0	0.5
MYPT.75D	dpld	2	6	0	0	0.5
mus304	dpld	2	6	2e-04	0	0.5
CdsA	dpld	2	6	0	0	0.5
btl	dpld	2	6	1e-04	0	0.5
Cyt.c.d	dpld	2	6	0	0	0.5
tok	dpld	2	6	0	0	0.5
ttk	dpld	2	6	0	0	0.5
tamo	dpld	2	6	5e-04	0	0.5
CG6416	dpld	2	6	0	0	0.5
flfl	dpld	2	6	4e-04	0	0.5
Pvr	dpld	2	6	2e-04	0	0.5
kay	dpld	2	6	0	0	0.5
Jra	dpld	2	6	0	0	0.5
msk	dpld	2	6	1e-04	0	0.5
tll	dpld	2	6	0	0	0.5
Tm1	dpld	2	6	0	0	0.5
srp	dpld	2	6	0	0	0.5
Btk29A	dpld	2	6	1e-04	0	0.5
fred	dpld	2	6	0	0	0.5
Src64B	dpld	2	6	0	0	0.5
