Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	dpn	2	6	0.0047	0	0.5
emp	dpn	2	6	7e-04	0	0.5
CG2678	dpn	2	6	2e-04	0	0.5
crc	dpn	2	6	2e-04	0	0.5
pros	dpn	2	6	1e-04	0	0.5
neur	dpn	2	6	0.004	0	0.5
Rab5	dpn	2	6	0	0	0.5
Rab7	dpn	2	6	0.001	0	0.5
Mmp2	dpn	2	6	0.0012	0	0.5
W	dpn	2	6	0.001	0	0.5
bowl	dpn	2	6	2e-04	0	0.5
fd59A	dpn	2	6	0	0	0.5
e	dpn	2	6	4e-04	0	0.5
ben	dpn	2	6	0	0	0.5
rdo	dpn	2	6	0	0	0.5
lin	dpn	2	6	0.0018	0	0.5
tra	dpn	2	6	0	0	0.5
tra2	dpn	2	6	0	0	0.5
cathD	dpn	2	6	0	0	0.5
d	dpn	2	6	0	0	0.5
lva	dpn	2	6	2e-04	0	0.5
pbl	dpn	2	6	0	0	0.5
CG33205	dpn	2	6	0.0024	0	0.5
da	dpn	2	6	0.0036	0	0.5
cactin	dpn	2	6	1e-04	0	0.5
hpo	dpn	2	6	9e-04	0	0.5
Sema.2a	dpn	2	6	0.001	0	0.5
Eip74EF	dpn	2	6	2e-04	0	0.5
eg	dpn	2	6	0	0	0.5
Arc42	dpn	2	6	2e-04	0	0.5
toy	dpn	2	6	1e-04	0	0.5
Galpha73B	dpn	2	6	3e-04	0	0.5
RhoGAPp190	dpn	2	6	8e-04	0	0.5
MED11	dpn	2	6	0	0	0.5
cher	dpn	2	6	0.0012	0	0.5
BicD	dpn	2	6	0	0	0.5
MYPT.75D	dpn	2	6	0	0	0.5
mus304	dpn	2	6	4e-04	0	0.5
CdsA	dpn	2	6	0	0	0.5
btl	dpn	2	6	0	0	0.5
Cyt.c.d	dpn	2	6	5e-04	0	0.5
tok	dpn	2	6	0.0016	0	0.5
ttk	dpn	2	6	6e-04	0	0.5
tamo	dpn	2	6	3e-04	0	0.5
CG6416	dpn	2	6	7e-04	0	0.5
flfl	dpn	2	6	8e-04	0	0.5
Pvr	dpn	2	6	2e-04	0	0.5
kay	dpn	2	6	4e-04	0	0.5
Jra	dpn	2	6	0.0012	0	0.5
msk	dpn	2	6	2e-04	0	0.5
tll	dpn	2	6	4e-04	0	0.5
Tm1	dpn	2	6	0	0	0.5
srp	dpn	2	6	0	0	0.5
Btk29A	dpn	2	6	5e-04	0	0.5
fred	dpn	2	6	2e-04	0	0.5
Src64B	dpn	2	6	0	0	0.5
Mmp1	dpn	2	6	1e-04	0	0.5
sll	dpn	2	6	0	0	0.5
Hmgs	dpn	2	6	1e-04	0	0.5
caps	dpn	2	6	5e-04	0	0.5
Su.var.2.10	dpn	2	6	1e-04	0	0.5
CycB	dpn	2	6	0.0029	0	0.5
spir	dpn	2	6	8e-04	0	0.5
spn.A	dpn	2	6	4e-04	0	0.5
Ptpmeg	dpn	2	6	0	0	0.5
qua	dpn	2	6	1e-04	0	0.5
msn	dpn	2	6	1e-04	0	0.5
ena	dpn	2	6	0	0	0.5
spen	dpn	2	6	5e-04	0	0.5
emc	dpn	2	6	4e-04	0	0.5
tsh	dpn	2	6	6e-04	0	0.5
Dat	dpn	2	6	0	0	0.5
Lac	dpn	2	6	1e-04	0	0.5
dup	dpn	2	6	7e-04	0	0.5
CG3075	dpn	2	6	3e-04	0	0.5
Akap200	dpn	2	6	0	0	0.5
CG18369	dpn	2	6	8e-04	0	0.5
bnl	dpn	2	6	2e-04	0	0.5
sec23	dpn	2	6	0	0	0.5
Pde8	dpn	2	6	2e-04	0	0.5
Arp66B	dpn	2	6	7e-04	0	0.5
cos	dpn	2	6	0.0013	0	0.5
Borr	dpn	2	6	2e-04	0	0.5
X140up	dpn	2	6	6e-04	0	0.5
Dhc64C	dpn	2	6	1e-04	0	0.5
Not1	dpn	2	6	0.0079	0	0.5
CG9520	dpn	2	6	2e-04	0	0.5
bib	dpn	2	6	4e-04	0	0.5
mib1	dpn	2	6	0	0	0.5
cas	dpn	2	6	0	0	0.5
Abi	dpn	2	6	0.0014	0	0.5
betaTub56D	dpn	2	6	1e-04	0	0.5
nej	dpn	2	6	3e-04	0	0.5
dlg1	dpn	2	6	0.0011	0	0.5
Lcp65Ag1	dpn	2	6	4e-04	0	0.5
Es2	dpn	2	6	0.0015	0	0.5
MED24	dpn	2	6	5e-04	0	0.5
Vhl	dpn	2	6	3e-04	0	0.5
tral	dpn	2	6	0.4383	0	0.5
sns	dpn	2	6	1e-04	0	0.5
mbl	dpn	2	6	9e-04	0	0.5
sav	dpn	2	6	7e-04	0	0.5
lola	dpn	2	6	4e-04	0	0.5
robo	dpn	2	6	0	0	0.5
CG32486	dpn	2	6	4e-04	0	0.5
santa.maria	dpn	2	6	1e-04	0	0.5
stumps	dpn	2	6	0	0	0.5
abd.A	dpn	2	6	0	0	0.5
dock	dpn	2	6	3e-04	0	0.5
Lar	dpn	2	6	6e-04	0	0.5
l.1.G0289	dpn	2	6	9e-04	0	0.5
Abl	dpn	2	6	0	0	0.5
Syb	dpn	2	6	0.0014	0	0.5
dome	dpn	2	6	8e-04	0	0.5
ofs	dpn	2	6	7e-04	0	0.5
MED4	dpn	2	6	0	0	0.5
scrib	dpn	2	6	5e-04	0	0.5
siz	dpn	2	6	3e-04	0	0.5
cbx	dpn	2	6	0.0016	0	0.5
dsx	dpn	2	6	0.0018	0	0.5
Sb	dpn	2	6	1e-04	0	0.5
sax	dpn	2	6	5e-04	0	0.5
foxo	dpn	2	6	0	0	0.5
Cyp1	dpn	2	6	4e-04	0	0.5
brm	dpn	2	6	0.0011	0	0.5
rad50	dpn	2	6	2e-04	0	0.5
chico	dpn	2	6	0	0	0.5
cp309	dpn	2	6	3e-04	0	0.5
hdc	dpn	2	6	5e-04	0	0.5
Axn	dpn	2	6	8e-04	0	0.5
Apc2	dpn	2	6	5e-04	0	0.5
PhKgamma	dpn	2	6	6e-04	0	0.5
eya	dpn	2	6	0	0	0.5
sktl	dpn	2	6	2e-04	0	0.5
sqd	dpn	2	6	0	0	0.5
Akt1	dpn	2	6	2e-04	0	0.5
scyl	dpn	2	6	2e-04	0	0.5
cnk	dpn	2	6	0.0026	0	0.5
CG8149	dpn	2	6	0	0	0.5
CG34379	dpn	2	6	0.0025	0	0.5
Yp1	dpn	2	6	0	0	0.5
yrt	dpn	2	6	0.002	0	0.5
bap	dpn	2	6	4e-04	0	0.5
tud	dpn	2	6	1e-04	0	0.5
ct	dpn	2	6	9e-04	0	0.5
tup	dpn	2	6	0.001	0	0.5
G.ialpha65A	dpn	2	6	1e-04	0	0.5
knrl	dpn	2	6	1e-04	0	0.5
Pkn	dpn	2	6	3e-04	0	0.5
Sry.delta	dpn	2	6	2e-04	0	0.5
Alh	dpn	2	6	6e-04	0	0.5
pnut	dpn	2	6	3e-04	0	0.5
phyl	dpn	2	6	1e-04	0	0.5
CG17739	dpn	2	6	4e-04	0	0.5
B4	dpn	2	6	2e-04	0	0.5
CG2681	dpn	2	6	6e-04	0	0.5
tow	dpn	2	6	0	0	0.5
hkl	dpn	2	6	1e-04	0	0.5
sina	dpn	2	6	0	0	0.5
ry	dpn	2	6	1e-04	0	0.5
rux	dpn	2	6	0	0	0.5
boss	dpn	2	6	0.0011	0	0.5
Mkp3	dpn	2	6	1e-04	0	0.5
inaC	dpn	2	6	0	0	0.5
sno	dpn	2	6	2e-04	0	0.5
jagn	dpn	2	6	0	0	0.5
dpn	dpn	2	6	0	0	0.5
wrapper	dpn	2	6	1e-04	0	0.5
