Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	drl	2	6	0.027	0	0.5
emp	drl	2	6	2e-04	0	0.5
CG2678	drl	2	6	3e-04	0	0.5
crc	drl	2	6	0	0	0.5
pros	drl	2	6	0.0127	0	0.5
neur	drl	2	6	0.0026	0	0.5
Rab5	drl	2	6	2e-04	0	0.5
Rab7	drl	2	6	0.0021	0	0.5
Mmp2	drl	2	6	1e-04	0	0.5
W	drl	2	6	9e-04	0	0.5
bowl	drl	2	6	0.0019	0	0.5
fd59A	drl	2	6	2e-04	0	0.5
e	drl	2	6	1e-04	0	0.5
ben	drl	2	6	9e-04	0	0.5
rdo	drl	2	6	8e-04	0	0.5
lin	drl	2	6	0.0026	0	0.5
tra	drl	2	6	0.0028	0	0.5
tra2	drl	2	6	0.0031	0	0.5
cathD	drl	2	6	4e-04	0	0.5
d	drl	2	6	0.0042	0	0.5
lva	drl	2	6	6e-04	0	0.5
pbl	drl	2	6	0	0	0.5
CG33205	drl	2	6	0.0172	0	0.5
da	drl	2	6	0	0	0.5
cactin	drl	2	6	4e-04	0	0.5
hpo	drl	2	6	0.002	0	0.5
Sema.2a	drl	2	6	0.003	0	0.5
Eip74EF	drl	2	6	0	0	0.5
eg	drl	2	6	0	0	0.5
Arc42	drl	2	6	0.0025	0	0.5
toy	drl	2	6	2e-04	0	0.5
Galpha73B	drl	2	6	0	0	0.5
RhoGAPp190	drl	2	6	1e-04	0	0.5
MED11	drl	2	6	9e-04	0	0.5
cher	drl	2	6	4e-04	0	0.5
BicD	drl	2	6	7e-04	0	0.5
MYPT.75D	drl	2	6	0.002	0	0.5
mus304	drl	2	6	5e-04	0	0.5
CdsA	drl	2	6	8e-04	0	0.5
btl	drl	2	6	1e-04	0	0.5
Cyt.c.d	drl	2	6	0.0013	0	0.5
tok	drl	2	6	4e-04	0	0.5
ttk	drl	2	6	5e-04	0	0.5
tamo	drl	2	6	3e-04	0	0.5
CG6416	drl	2	6	0.1307	0	0.5
flfl	drl	2	6	2e-04	0	0.5
Pvr	drl	2	6	1e-04	0	0.5
kay	drl	2	6	0.0027	0	0.5
Jra	drl	2	6	0.0585	0	0.5
msk	drl	2	6	0.0012	0	0.5
tll	drl	2	6	0.0221	0	0.5
Tm1	drl	2	6	0	0	0.5
srp	drl	2	6	3e-04	0	0.5
Btk29A	drl	2	6	2e-04	0	0.5
fred	drl	2	6	3e-04	0	0.5
Src64B	drl	2	6	1e-04	0	0.5
Mmp1	drl	2	6	7e-04	0	0.5
sll	drl	2	6	0	0	0.5
Hmgs	drl	2	6	2e-04	0	0.5
caps	drl	2	6	5e-04	0	0.5
Su.var.2.10	drl	2	6	0	0	0.5
CycB	drl	2	6	0.0015	0	0.5
spir	drl	2	6	2e-04	0	0.5
spn.A	drl	2	6	1e-04	0	0.5
Ptpmeg	drl	2	6	0.0061	0	0.5
qua	drl	2	6	9e-04	0	0.5
msn	drl	2	6	0.0028	0	0.5
ena	drl	2	6	0	0	0.5
spen	drl	2	6	0.0015	0	0.5
emc	drl	2	6	0.0012	0	0.5
tsh	drl	2	6	4e-04	0	0.5
Dat	drl	2	6	0.0019	0	0.5
Lac	drl	2	6	0.0146	0	0.5
dup	drl	2	6	3e-04	0	0.5
CG3075	drl	2	6	0.0031	0	0.5
Akap200	drl	2	6	0.0054	0	0.5
CG18369	drl	2	6	0.0015	0	0.5
bnl	drl	2	6	0	0	0.5
sec23	drl	2	6	0	0	0.5
Pde8	drl	2	6	1e-04	0	0.5
Arp66B	drl	2	6	6e-04	0	0.5
cos	drl	2	6	0.0021	0	0.5
Borr	drl	2	6	5e-04	0	0.5
X140up	drl	2	6	1e-04	0	0.5
Dhc64C	drl	2	6	0	0	0.5
Not1	drl	2	6	0.0021	0	0.5
CG9520	drl	2	6	4e-04	0	0.5
bib	drl	2	6	9e-04	0	0.5
mib1	drl	2	6	0.0035	0	0.5
cas	drl	2	6	5e-04	0	0.5
Abi	drl	2	6	7e-04	0	0.5
betaTub56D	drl	2	6	0.0011	0	0.5
nej	drl	2	6	4e-04	0	0.5
dlg1	drl	2	6	1e-04	0	0.5
Lcp65Ag1	drl	2	6	6e-04	0	0.5
Es2	drl	2	6	0.0013	0	0.5
MED24	drl	2	6	4e-04	0	0.5
Vhl	drl	2	6	2e-04	0	0.5
tral	drl	2	6	3e-04	0	0.5
sns	drl	2	6	6e-04	0	0.5
mbl	drl	2	6	9e-04	0	0.5
sav	drl	2	6	0	0	0.5
lola	drl	2	6	1e-04	0	0.5
robo	drl	2	6	0.0029	0	0.5
CG32486	drl	2	6	0.0011	0	0.5
santa.maria	drl	2	6	4e-04	0	0.5
stumps	drl	2	6	0.0011	0	0.5
abd.A	drl	2	6	8e-04	0	0.5
dock	drl	2	6	0.001	0	0.5
Lar	drl	2	6	4e-04	0	0.5
l.1.G0289	drl	2	6	0.0019	0	0.5
Abl	drl	2	6	0	0	0.5
Syb	drl	2	6	0.0012	0	0.5
dome	drl	2	6	3e-04	0	0.5
ofs	drl	2	6	0.0016	0	0.5
MED4	drl	2	6	0.0016	0	0.5
scrib	drl	2	6	0.0014	0	0.5
siz	drl	2	6	0.0021	0	0.5
cbx	drl	2	6	0.0028	0	0.5
dsx	drl	2	6	0.0039	0	0.5
Sb	drl	2	6	0	0	0.5
sax	drl	2	6	0.0038	0	0.5
foxo	drl	2	6	0	0	0.5
Cyp1	drl	2	6	1e-04	0	0.5
brm	drl	2	6	4e-04	0	0.5
rad50	drl	2	6	3e-04	0	0.5
chico	drl	2	6	3e-04	0	0.5
cp309	drl	2	6	0.001	0	0.5
hdc	drl	2	6	2e-04	0	0.5
Axn	drl	2	6	0.0045	0	0.5
Apc2	drl	2	6	5e-04	0	0.5
PhKgamma	drl	2	6	0	0	0.5
eya	drl	2	6	1e-04	0	0.5
sktl	drl	2	6	3e-04	0	0.5
sqd	drl	2	6	0.001	0	0.5
Akt1	drl	2	6	9e-04	0	0.5
scyl	drl	2	6	0.0028	0	0.5
cnk	drl	2	6	0	0	0.5
CG8149	drl	2	6	4e-04	0	0.5
CG34379	drl	2	6	0.0013	0	0.5
Yp1	drl	2	6	0.0014	0	0.5
yrt	drl	2	6	0.0133	0	0.5
bap	drl	2	6	5e-04	0	0.5
tud	drl	2	6	4e-04	0	0.5
ct	drl	2	6	0.0086	0	0.5
tup	drl	2	6	9e-04	0	0.5
G.ialpha65A	drl	2	6	0.0013	0	0.5
knrl	drl	2	6	8e-04	0	0.5
Pkn	drl	2	6	2e-04	0	0.5
Sry.delta	drl	2	6	0.0037	0	0.5
Alh	drl	2	6	0.0052	0	0.5
pnut	drl	2	6	0	0	0.5
phyl	drl	2	6	2e-04	0	0.5
CG17739	drl	2	6	0.0063	0	0.5
B4	drl	2	6	1e-04	0	0.5
CG2681	drl	2	6	0.0011	0	0.5
tow	drl	2	6	3e-04	0	0.5
hkl	drl	2	6	0.0213	0	0.5
sina	drl	2	6	0.002	0	0.5
ry	drl	2	6	5e-04	0	0.5
rux	drl	2	6	3e-04	0	0.5
boss	drl	2	6	0.0011	0	0.5
Mkp3	drl	2	6	0.0014	0	0.5
inaC	drl	2	6	4e-04	0	0.5
sno	drl	2	6	8e-04	0	0.5
jagn	drl	2	6	0	0	0.5
dpn	drl	2	6	0.0047	0	0.5
wrapper	drl	2	6	2e-04	0	0.5
Ca.alpha1D	drl	2	6	0	0	0.5
E2f	drl	2	6	0	0	0.5
Dp	drl	2	6	4e-04	0	0.5
l.2.efl	drl	2	6	0.0062	0	0.5
cnc	drl	2	6	7e-04	0	0.5
Atg5	drl	2	6	0	0	0.5
acj6	drl	2	6	0.003	0	0.5
Trl	drl	2	6	0.0157	0	0.5
d4	drl	2	6	0.0013	0	0.5
CG16719	drl	2	6	7e-04	0	0.5
CadN	drl	2	6	0	0	0.5
gro	drl	2	6	0	0	0.5
sec13	drl	2	6	0.0015	0	0.5
klar	drl	2	6	2e-04	0	0.5
Rack1	drl	2	6	3e-04	0	0.5
Sobp	drl	2	6	6e-04	0	0.5
ash1	drl	2	6	0	0	0.5
inv	drl	2	6	0.0026	0	0.5
shot	drl	2	6	9e-04	0	0.5
Oseg1	drl	2	6	0	0	0.5
Spred	drl	2	6	9e-04	0	0.5
puc	drl	2	6	4e-04	0	0.5
Atg6	drl	2	6	7e-04	0	0.5
CG3829	drl	2	6	0.0012	0	0.5
sle	drl	2	6	7e-04	0	0.5
Cka	drl	2	6	6e-04	0	0.5
form3	drl	2	6	9e-04	0	0.5
Pk61C	drl	2	6	3e-04	0	0.5
