Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	dsd	2	6	0.0024	0	0.5
emp	dsd	2	6	6e-04	0	0.5
CG2678	dsd	2	6	0.0011	0	0.5
crc	dsd	2	6	1e-04	0	0.5
pros	dsd	2	6	4e-04	0	0.5
neur	dsd	2	6	3e-04	0	0.5
Rab5	dsd	2	6	1e-04	0	0.5
Rab7	dsd	2	6	8e-04	0	0.5
Mmp2	dsd	2	6	2e-04	0	0.5
W	dsd	2	6	2e-04	0	0.5
bowl	dsd	2	6	0	0	0.5
fd59A	dsd	2	6	4e-04	0	0.5
e	dsd	2	6	4e-04	0	0.5
ben	dsd	2	6	0.0017	0	0.5
rdo	dsd	2	6	9e-04	0	0.5
lin	dsd	2	6	2e-04	0	0.5
tra	dsd	2	6	0.0012	0	0.5
tra2	dsd	2	6	2e-04	0	0.5
cathD	dsd	2	6	7e-04	0	0.5
d	dsd	2	6	0.0034	0	0.5
lva	dsd	2	6	1e-04	0	0.5
pbl	dsd	2	6	6e-04	0	0.5
CG33205	dsd	2	6	0.0061	0	0.5
da	dsd	2	6	0	0	0.5
cactin	dsd	2	6	1e-04	0	0.5
hpo	dsd	2	6	0.0011	0	0.5
Sema.2a	dsd	2	6	8e-04	0	0.5
Eip74EF	dsd	2	6	2e-04	0	0.5
eg	dsd	2	6	3e-04	0	0.5
Arc42	dsd	2	6	8e-04	0	0.5
toy	dsd	2	6	4e-04	0	0.5
Galpha73B	dsd	2	6	3e-04	0	0.5
RhoGAPp190	dsd	2	6	6e-04	0	0.5
MED11	dsd	2	6	4e-04	0	0.5
cher	dsd	2	6	0.0012	0	0.5
BicD	dsd	2	6	0.0019	0	0.5
MYPT.75D	dsd	2	6	7e-04	0	0.5
mus304	dsd	2	6	8e-04	0	0.5
CdsA	dsd	2	6	6e-04	0	0.5
btl	dsd	2	6	5e-04	0	0.5
Cyt.c.d	dsd	2	6	9e-04	0	0.5
tok	dsd	2	6	6e-04	0	0.5
ttk	dsd	2	6	1e-04	0	0.5
tamo	dsd	2	6	0	0	0.5
