Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	eff	2	6	3e-04	0	0.5
emp	eff	2	6	0.0015	0	0.5
CG2678	eff	2	6	0.0082	0	0.5
crc	eff	2	6	4e-04	0	0.5
pros	eff	2	6	0.001	0	0.5
neur	eff	2	6	0.0013	0	0.5
Rab5	eff	2	6	6e-04	0	0.5
Rab7	eff	2	6	6e-04	0	0.5
Mmp2	eff	2	6	6e-04	0	0.5
W	eff	2	6	6e-04	0	0.5
bowl	eff	2	6	5e-04	0	0.5
fd59A	eff	2	6	4e-04	0	0.5
e	eff	2	6	2e-04	0	0.5
ben	eff	2	6	8e-04	0	0.5
rdo	eff	2	6	6e-04	0	0.5
lin	eff	2	6	5e-04	0	0.5
tra	eff	2	6	0.0012	0	0.5
tra2	eff	2	6	0.001	0	0.5
cathD	eff	2	6	0.001	0	0.5
d	eff	2	6	0.0016	0	0.5
lva	eff	2	6	6e-04	0	0.5
pbl	eff	2	6	0.001	0	0.5
CG33205	eff	2	6	2e-04	0	0.5
da	eff	2	6	0.0068	0	0.5
cactin	eff	2	6	0.0011	0	0.5
hpo	eff	2	6	3e-04	0	0.5
Sema.2a	eff	2	6	2e-04	0	0.5
Eip74EF	eff	2	6	0.0013	0	0.5
eg	eff	2	6	1e-04	0	0.5
Arc42	eff	2	6	3e-04	0	0.5
toy	eff	2	6	0	0	0.5
Galpha73B	eff	2	6	1e-04	0	0.5
RhoGAPp190	eff	2	6	6e-04	0	0.5
MED11	eff	2	6	2e-04	0	0.5
cher	eff	2	6	8e-04	0	0.5
BicD	eff	2	6	9e-04	0	0.5
MYPT.75D	eff	2	6	0.0011	0	0.5
mus304	eff	2	6	0.0018	0	0.5
CdsA	eff	2	6	7e-04	0	0.5
btl	eff	2	6	4e-04	0	0.5
Cyt.c.d	eff	2	6	0.0023	0	0.5
tok	eff	2	6	0.003	0	0.5
ttk	eff	2	6	0.001	0	0.5
tamo	eff	2	6	3e-04	0	0.5
CG6416	eff	2	6	2e-04	0	0.5
flfl	eff	2	6	0.0022	0	0.5
Pvr	eff	2	6	8e-04	0	0.5
kay	eff	2	6	4e-04	0	0.5
Jra	eff	2	6	5e-04	0	0.5
msk	eff	2	6	4e-04	0	0.5
tll	eff	2	6	2e-04	0	0.5
Tm1	eff	2	6	0	0	0.5
srp	eff	2	6	6e-04	0	0.5
Btk29A	eff	2	6	0.0019	0	0.5
fred	eff	2	6	8e-04	0	0.5
Src64B	eff	2	6	6e-04	0	0.5
Mmp1	eff	2	6	0.0015	0	0.5
sll	eff	2	6	0.0011	0	0.5
Hmgs	eff	2	6	8e-04	0	0.5
caps	eff	2	6	5e-04	0	0.5
Su.var.2.10	eff	2	6	0.0013	0	0.5
CycB	eff	2	6	2e-04	0	0.5
spir	eff	2	6	6e-04	0	0.5
spn.A	eff	2	6	0.0125	0	0.5
Ptpmeg	eff	2	6	5e-04	0	0.5
qua	eff	2	6	0.0013	0	0.5
msn	eff	2	6	2e-04	0	0.5
ena	eff	2	6	4e-04	0	0.5
spen	eff	2	6	3e-04	0	0.5
emc	eff	2	6	5e-04	0	0.5
tsh	eff	2	6	0.0015	0	0.5
Dat	eff	2	6	6e-04	0	0.5
Lac	eff	2	6	3e-04	0	0.5
dup	eff	2	6	5e-04	0	0.5
CG3075	eff	2	6	6e-04	0	0.5
Akap200	eff	2	6	6e-04	0	0.5
CG18369	eff	2	6	0.0101	0	0.5
bnl	eff	2	6	4e-04	0	0.5
sec23	eff	2	6	0.0064	0	0.5
Pde8	eff	2	6	7e-04	0	0.5
Arp66B	eff	2	6	7e-04	0	0.5
cos	eff	2	6	0.0014	0	0.5
Borr	eff	2	6	2e-04	0	0.5
X140up	eff	2	6	6e-04	0	0.5
Dhc64C	eff	2	6	4e-04	0	0.5
Not1	eff	2	6	0.0051	0	0.5
CG9520	eff	2	6	9e-04	0	0.5
bib	eff	2	6	0.0025	0	0.5
mib1	eff	2	6	7e-04	0	0.5
cas	eff	2	6	2e-04	0	0.5
Abi	eff	2	6	8e-04	0	0.5
betaTub56D	eff	2	6	0.0039	0	0.5
nej	eff	2	6	1e-04	0	0.5
dlg1	eff	2	6	3e-04	0	0.5
Lcp65Ag1	eff	2	6	5e-04	0	0.5
Es2	eff	2	6	0.0024	0	0.5
MED24	eff	2	6	9e-04	0	0.5
Vhl	eff	2	6	5e-04	0	0.5
tral	eff	2	6	4e-04	0	0.5
sns	eff	2	6	4e-04	0	0.5
mbl	eff	2	6	0.0085	0	0.5
sav	eff	2	6	4e-04	0	0.5
lola	eff	2	6	4e-04	0	0.5
robo	eff	2	6	4e-04	0	0.5
CG32486	eff	2	6	5e-04	0	0.5
santa.maria	eff	2	6	9e-04	0	0.5
stumps	eff	2	6	0.001	0	0.5
abd.A	eff	2	6	7e-04	0	0.5
dock	eff	2	6	3e-04	0	0.5
Lar	eff	2	6	0.0012	0	0.5
l.1.G0289	eff	2	6	9e-04	0	0.5
Abl	eff	2	6	0.001	0	0.5
Syb	eff	2	6	0.0025	0	0.5
dome	eff	2	6	5e-04	0	0.5
ofs	eff	2	6	5e-04	0	0.5
MED4	eff	2	6	3e-04	0	0.5
scrib	eff	2	6	0.0027	0	0.5
siz	eff	2	6	1e-04	0	0.5
cbx	eff	2	6	5e-04	0	0.5
dsx	eff	2	6	6e-04	0	0.5
