Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	emb	2	6	0.0029	0	0.5
emp	emb	2	6	3e-04	0	0.5
CG2678	emb	2	6	2e-04	0	0.5
crc	emb	2	6	3e-04	0	0.5
pros	emb	2	6	2e-04	0	0.5
neur	emb	2	6	3e-04	0	0.5
Rab5	emb	2	6	4e-04	0	0.5
Rab7	emb	2	6	2e-04	0	0.5
Mmp2	emb	2	6	8e-04	0	0.5
W	emb	2	6	0.0016	0	0.5
bowl	emb	2	6	0.0011	0	0.5
fd59A	emb	2	6	5e-04	0	0.5
e	emb	2	6	6e-04	0	0.5
ben	emb	2	6	0.0036	0	0.5
rdo	emb	2	6	8e-04	0	0.5
lin	emb	2	6	0.0024	0	0.5
tra	emb	2	6	0.004	0	0.5
tra2	emb	2	6	0.002	0	0.5
cathD	emb	2	6	6e-04	0	0.5
d	emb	2	6	0.0056	0	0.5
lva	emb	2	6	3e-04	0	0.5
pbl	emb	2	6	4e-04	0	0.5
CG33205	emb	2	6	0.0228	0	0.5
da	emb	2	6	5e-04	0	0.5
cactin	emb	2	6	7e-04	0	0.5
hpo	emb	2	6	6e-04	0	0.5
Sema.2a	emb	2	6	0.0202	0	0.5
Eip74EF	emb	2	6	8e-04	0	0.5
eg	emb	2	6	0	0	0.5
Arc42	emb	2	6	5e-04	0	0.5
toy	emb	2	6	0.0013	0	0.5
Galpha73B	emb	2	6	4e-04	0	0.5
RhoGAPp190	emb	2	6	0.0023	0	0.5
MED11	emb	2	6	2e-04	0	0.5
cher	emb	2	6	0.0076	0	0.5
BicD	emb	2	6	0.0014	0	0.5
MYPT.75D	emb	2	6	0.0019	0	0.5
mus304	emb	2	6	0	0	0.5
CdsA	emb	2	6	0.0048	0	0.5
btl	emb	2	6	0.001	0	0.5
Cyt.c.d	emb	2	6	0.0012	0	0.5
tok	emb	2	6	3e-04	0	0.5
ttk	emb	2	6	6e-04	0	0.5
tamo	emb	2	6	2e-04	0	0.5
CG6416	emb	2	6	0.0022	0	0.5
flfl	emb	2	6	0.0013	0	0.5
Pvr	emb	2	6	9e-04	0	0.5
kay	emb	2	6	0.0272	0	0.5
Jra	emb	2	6	2e-04	0	0.5
msk	emb	2	6	9e-04	0	0.5
tll	emb	2	6	0.0059	0	0.5
Tm1	emb	2	6	5e-04	0	0.5
srp	emb	2	6	0.0013	0	0.5
Btk29A	emb	2	6	0.0031	0	0.5
fred	emb	2	6	1e-04	0	0.5
Src64B	emb	2	6	3e-04	0	0.5
Mmp1	emb	2	6	7e-04	0	0.5
sll	emb	2	6	0.002	0	0.5
Hmgs	emb	2	6	6e-04	0	0.5
caps	emb	2	6	5e-04	0	0.5
Su.var.2.10	emb	2	6	7e-04	0	0.5
CycB	emb	2	6	4e-04	0	0.5
spir	emb	2	6	6e-04	0	0.5
spn.A	emb	2	6	3e-04	0	0.5
Ptpmeg	emb	2	6	2e-04	0	0.5
qua	emb	2	6	5e-04	0	0.5
msn	emb	2	6	0.0106	0	0.5
ena	emb	2	6	1e-04	0	0.5
spen	emb	2	6	0.0028	0	0.5
emc	emb	2	6	0.0022	0	0.5
tsh	emb	2	6	0.002	0	0.5
Dat	emb	2	6	0.0025	0	0.5
Lac	emb	2	6	0.0146	0	0.5
dup	emb	2	6	5e-04	0	0.5
CG3075	emb	2	6	4e-04	0	0.5
Akap200	emb	2	6	0.0452	0	0.5
CG18369	emb	2	6	0.001	0	0.5
bnl	emb	2	6	3e-04	0	0.5
sec23	emb	2	6	8e-04	0	0.5
Pde8	emb	2	6	9e-04	0	0.5
Arp66B	emb	2	6	8e-04	0	0.5
cos	emb	2	6	8e-04	0	0.5
Borr	emb	2	6	0.0014	0	0.5
X140up	emb	2	6	5e-04	0	0.5
Dhc64C	emb	2	6	2e-04	0	0.5
Not1	emb	2	6	0.0012	0	0.5
CG9520	emb	2	6	0	0	0.5
bib	emb	2	6	0.0022	0	0.5
mib1	emb	2	6	0.035	0	0.5
cas	emb	2	6	0.0021	0	0.5
Abi	emb	2	6	9e-04	0	0.5
betaTub56D	emb	2	6	0.0018	0	0.5
nej	emb	2	6	6e-04	0	0.5
dlg1	emb	2	6	0.0012	0	0.5
Lcp65Ag1	emb	2	6	0.0013	0	0.5
Es2	emb	2	6	0.0012	0	0.5
MED24	emb	2	6	2e-04	0	0.5
Vhl	emb	2	6	0.0013	0	0.5
tral	emb	2	6	6e-04	0	0.5
sns	emb	2	6	0.0019	0	0.5
mbl	emb	2	6	8e-04	0	0.5
sav	emb	2	6	7e-04	0	0.5
lola	emb	2	6	4e-04	0	0.5
robo	emb	2	6	0.0024	0	0.5
CG32486	emb	2	6	0.0023	0	0.5
santa.maria	emb	2	6	0.0013	0	0.5
stumps	emb	2	6	0	0	0.5
abd.A	emb	2	6	3e-04	0	0.5
dock	emb	2	6	0.001	0	0.5
Lar	emb	2	6	0.0017	0	0.5
l.1.G0289	emb	2	6	6e-04	0	0.5
Abl	emb	2	6	5e-04	0	0.5
Syb	emb	2	6	1e-04	0	0.5
dome	emb	2	6	0.001	0	0.5
ofs	emb	2	6	6e-04	0	0.5
MED4	emb	2	6	8e-04	0	0.5
scrib	emb	2	6	0.0017	0	0.5
siz	emb	2	6	3e-04	0	0.5
cbx	emb	2	6	9e-04	0	0.5
dsx	emb	2	6	5e-04	0	0.5
Sb	emb	2	6	7e-04	0	0.5
sax	emb	2	6	0.0028	0	0.5
foxo	emb	2	6	7e-04	0	0.5
Cyp1	emb	2	6	7e-04	0	0.5
brm	emb	2	6	5e-04	0	0.5
rad50	emb	2	6	1e-04	0	0.5
chico	emb	2	6	8e-04	0	0.5
cp309	emb	2	6	2e-04	0	0.5
hdc	emb	2	6	0.0017	0	0.5
Axn	emb	2	6	0.0014	0	0.5
Apc2	emb	2	6	0.001	0	0.5
PhKgamma	emb	2	6	7e-04	0	0.5
eya	emb	2	6	8e-04	0	0.5
sktl	emb	2	6	5e-04	0	0.5
sqd	emb	2	6	5e-04	0	0.5
Akt1	emb	2	6	6e-04	0	0.5
scyl	emb	2	6	1e-04	0	0.5
cnk	emb	2	6	5e-04	0	0.5
CG8149	emb	2	6	0.0022	0	0.5
CG34379	emb	2	6	9e-04	0	0.5
Yp1	emb	2	6	0.0023	0	0.5
yrt	emb	2	6	6e-04	0	0.5
bap	emb	2	6	9e-04	0	0.5
tud	emb	2	6	0.0012	0	0.5
ct	emb	2	6	0.0019	0	0.5
tup	emb	2	6	0.0016	0	0.5
G.ialpha65A	emb	2	6	0.0013	0	0.5
knrl	emb	2	6	3e-04	0	0.5
Pkn	emb	2	6	0.0023	0	0.5
Sry.delta	emb	2	6	0.001	0	0.5
Alh	emb	2	6	6e-04	0	0.5
pnut	emb	2	6	3e-04	0	0.5
phyl	emb	2	6	0.0015	0	0.5
CG17739	emb	2	6	0.0012	0	0.5
B4	emb	2	6	3e-04	0	0.5
CG2681	emb	2	6	7e-04	0	0.5
tow	emb	2	6	8e-04	0	0.5
hkl	emb	2	6	0.0036	0	0.5
sina	emb	2	6	7e-04	0	0.5
ry	emb	2	6	5e-04	0	0.5
rux	emb	2	6	5e-04	0	0.5
boss	emb	2	6	1e-04	0	0.5
Mkp3	emb	2	6	5e-04	0	0.5
inaC	emb	2	6	0.0036	0	0.5
sno	emb	2	6	2e-04	0	0.5
jagn	emb	2	6	0.0033	0	0.5
dpn	emb	2	6	0.0019	0	0.5
wrapper	emb	2	6	4e-04	0	0.5
Ca.alpha1D	emb	2	6	0.001	0	0.5
E2f	emb	2	6	5e-04	0	0.5
Dp	emb	2	6	5e-04	0	0.5
l.2.efl	emb	2	6	0.0017	0	0.5
cnc	emb	2	6	4e-04	0	0.5
Atg5	emb	2	6	3e-04	0	0.5
acj6	emb	2	6	5e-04	0	0.5
Trl	emb	2	6	0.0454	0	0.5
d4	emb	2	6	0.0016	0	0.5
CG16719	emb	2	6	6e-04	0	0.5
CadN	emb	2	6	8e-04	0	0.5
gro	emb	2	6	0.0013	0	0.5
sec13	emb	2	6	0.0233	0	0.5
klar	emb	2	6	6e-04	0	0.5
Rack1	emb	2	6	5e-04	0	0.5
Sobp	emb	2	6	0.0014	0	0.5
ash1	emb	2	6	0.0012	0	0.5
inv	emb	2	6	6e-04	0	0.5
shot	emb	2	6	9e-04	0	0.5
Oseg1	emb	2	6	3e-04	0	0.5
Spred	emb	2	6	0.0038	0	0.5
puc	emb	2	6	0.0064	0	0.5
Atg6	emb	2	6	2e-04	0	0.5
CG3829	emb	2	6	0.0013	0	0.5
sle	emb	2	6	3e-04	0	0.5
Cka	emb	2	6	0.0022	0	0.5
form3	emb	2	6	0.0052	0	0.5
Pk61C	emb	2	6	0	0	0.5
Pcaf	emb	2	6	1e-04	0	0.5
sbb	emb	2	6	3e-04	0	0.5
Ef1gamma	emb	2	6	0.0021	0	0.5
FKBP59	emb	2	6	0.001	0	0.5
Eip71CD	emb	2	6	0.0015	0	0.5
xmas.2	emb	2	6	3e-04	0	0.5
ppan	emb	2	6	0.0014	0	0.5
Iswi	emb	2	6	0.0014	0	0.5
ine	emb	2	6	0.0022	0	0.5
Tina.1	emb	2	6	4e-04	0	0.5
bon	emb	2	6	4e-04	0	0.5
pot	emb	2	6	0	0	0.5
chic	emb	2	6	2e-04	0	0.5
Hem	emb	2	6	0.001	0	0.5
chif	emb	2	6	0.0022	0	0.5
S6kII	emb	2	6	0.0013	0	0.5
wal	emb	2	6	7e-04	0	0.5
wls	emb	2	6	0.0013	0	0.5
Ddx1	emb	2	6	3e-04	0	0.5
Sulf1	emb	2	6	0.003	0	0.5
CG3987	emb	2	6	9e-04	0	0.5
Abd.B	emb	2	6	0.0048	0	0.5
Uba1	emb	2	6	0.0017	0	0.5
bigmax	emb	2	6	9e-04	0	0.5
NAT1	emb	2	6	0.001	0	0.5
wupA	emb	2	6	4e-04	0	0.5
