Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	emc	2	6	1e-04	0	0.5
emp	emc	2	6	3e-04	0	0.5
CG2678	emc	2	6	0	0	0.5
crc	emc	2	6	7e-04	0	0.5
pros	emc	2	6	0	0	0.5
neur	emc	2	6	0	0	0.5
Rab5	emc	2	6	2e-04	0	0.5
Rab7	emc	2	6	0	0	0.5
Mmp2	emc	2	6	0	0	0.5
W	emc	2	6	0	0	0.5
bowl	emc	2	6	0	0	0.5
fd59A	emc	2	6	0	0	0.5
e	emc	2	6	0	0	0.5
ben	emc	2	6	0	0	0.5
rdo	emc	2	6	1e-04	0	0.5
lin	emc	2	6	0	0	0.5
tra	emc	2	6	0	0	0.5
tra2	emc	2	6	9e-04	0	0.5
cathD	emc	2	6	4e-04	0	0.5
d	emc	2	6	0	0	0.5
lva	emc	2	6	9e-04	0	0.5
pbl	emc	2	6	0	0	0.5
CG33205	emc	2	6	1e-04	0	0.5
da	emc	2	6	0	0	0.5
cactin	emc	2	6	0.0011	0	0.5
hpo	emc	2	6	8e-04	0	0.5
Sema.2a	emc	2	6	5e-04	0	0.5
Eip74EF	emc	2	6	1e-04	0	0.5
eg	emc	2	6	0	0	0.5
Arc42	emc	2	6	4e-04	0	0.5
toy	emc	2	6	1e-04	0	0.5
Galpha73B	emc	2	6	0	0	0.5
RhoGAPp190	emc	2	6	0	0	0.5
MED11	emc	2	6	0	0	0.5
cher	emc	2	6	0	0	0.5
BicD	emc	2	6	0	0	0.5
MYPT.75D	emc	2	6	7e-04	0	0.5
mus304	emc	2	6	0	0	0.5
CdsA	emc	2	6	0	0	0.5
btl	emc	2	6	1e-04	0	0.5
Cyt.c.d	emc	2	6	0	0	0.5
tok	emc	2	6	3e-04	0	0.5
ttk	emc	2	6	0	0	0.5
tamo	emc	2	6	6e-04	0	0.5
CG6416	emc	2	6	0	0	0.5
flfl	emc	2	6	0	0	0.5
Pvr	emc	2	6	0	0	0.5
kay	emc	2	6	0	0	0.5
Jra	emc	2	6	3e-04	0	0.5
msk	emc	2	6	8e-04	0	0.5
tll	emc	2	6	2e-04	0	0.5
Tm1	emc	2	6	8e-04	0	0.5
srp	emc	2	6	0	0	0.5
Btk29A	emc	2	6	4e-04	0	0.5
fred	emc	2	6	0	0	0.5
