Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	emp	2	6	4e-04	0	0.5
emp	emp	2	6	4e-04	0	0.5
CG2678	emp	2	6	2e-04	0	0.5
crc	emp	2	6	1e-04	0	0.5
pros	emp	2	6	2e-04	0	0.5
neur	emp	2	6	9e-04	0	0.5
Rab5	emp	2	6	0.0018	0	0.5
Rab7	emp	2	6	0	0	0.5
Mmp2	emp	2	6	0	0	0.5
W	emp	2	6	0	0	0.5
bowl	emp	2	6	0	0	0.5
fd59A	emp	2	6	0	0	0.5
e	emp	2	6	0.0011	0	0.5
ben	emp	2	6	1e-04	0	0.5
rdo	emp	2	6	0	0	0.5
lin	emp	2	6	0	0	0.5
tra	emp	2	6	0	0	0.5
tra2	emp	2	6	1e-04	0	0.5
cathD	emp	2	6	0	0	0.5
d	emp	2	6	0	0	0.5
lva	emp	2	6	0	0	0.5
pbl	emp	2	6	0.0032	0	0.5
CG33205	emp	2	6	3e-04	0	0.5
da	emp	2	6	4e-04	0	0.5
cactin	emp	2	6	6e-04	0	0.5
hpo	emp	2	6	5e-04	0	0.5
Sema.2a	emp	2	6	4e-04	0	0.5
Eip74EF	emp	2	6	7e-04	0	0.5
eg	emp	2	6	0	0	0.5
Arc42	emp	2	6	2e-04	0	0.5
toy	emp	2	6	1e-04	0	0.5
Galpha73B	emp	2	6	8e-04	0	0.5
RhoGAPp190	emp	2	6	0.0015	0	0.5
MED11	emp	2	6	1e-04	0	0.5
cher	emp	2	6	5e-04	0	0.5
BicD	emp	2	6	7e-04	0	0.5
MYPT.75D	emp	2	6	0	0	0.5
mus304	emp	2	6	1e-04	0	0.5
CdsA	emp	2	6	0	0	0.5
btl	emp	2	6	1e-04	0	0.5
Cyt.c.d	emp	2	6	0	0	0.5
tok	emp	2	6	2e-04	0	0.5
ttk	emp	2	6	0	0	0.5
tamo	emp	2	6	1e-04	0	0.5
CG6416	emp	2	6	4e-04	0	0.5
flfl	emp	2	6	1e-04	0	0.5
Pvr	emp	2	6	7e-04	0	0.5
kay	emp	2	6	8e-04	0	0.5
Jra	emp	2	6	2e-04	0	0.5
msk	emp	2	6	2e-04	0	0.5
tll	emp	2	6	0	0	0.5
Tm1	emp	2	6	0	0	0.5
srp	emp	2	6	4e-04	0	0.5
Btk29A	emp	2	6	1e-04	0	0.5
fred	emp	2	6	5e-04	0	0.5
Src64B	emp	2	6	9e-04	0	0.5
Mmp1	emp	2	6	0	0	0.5
sll	emp	2	6	4e-04	0	0.5
Hmgs	emp	2	6	0	0	0.5
caps	emp	2	6	1e-04	0	0.5
Su.var.2.10	emp	2	6	0	0	0.5
CycB	emp	2	6	4e-04	0	0.5
spir	emp	2	6	7e-04	0	0.5
spn.A	emp	2	6	0.0023	0	0.5
Ptpmeg	emp	2	6	2e-04	0	0.5
qua	emp	2	6	0	0	0.5
msn	emp	2	6	0	0	0.5
ena	emp	2	6	0	0	0.5
spen	emp	2	6	1e-04	0	0.5
emc	emp	2	6	0	0	0.5
tsh	emp	2	6	8e-04	0	0.5
Dat	emp	2	6	8e-04	0	0.5
Lac	emp	2	6	4e-04	0	0.5
dup	emp	2	6	2e-04	0	0.5
CG3075	emp	2	6	0	0	0.5
Akap200	emp	2	6	5e-04	0	0.5
CG18369	emp	2	6	0.0044	0	0.5
bnl	emp	2	6	1e-04	0	0.5
sec23	emp	2	6	0	0	0.5
Pde8	emp	2	6	0	0	0.5
Arp66B	emp	2	6	0	0	0.5
cos	emp	2	6	0	0	0.5
Borr	emp	2	6	0.0024	0	0.5
X140up	emp	2	6	0	0	0.5
Dhc64C	emp	2	6	0	0	0.5
Not1	emp	2	6	2e-04	0	0.5
CG9520	emp	2	6	0	0	0.5
bib	emp	2	6	3e-04	0	0.5
mib1	emp	2	6	5e-04	0	0.5
cas	emp	2	6	0	0	0.5
Abi	emp	2	6	2e-04	0	0.5
betaTub56D	emp	2	6	2e-04	0	0.5
nej	emp	2	6	4e-04	0	0.5
dlg1	emp	2	6	4e-04	0	0.5
Lcp65Ag1	emp	2	6	7e-04	0	0.5
Es2	emp	2	6	0	0	0.5
MED24	emp	2	6	0	0	0.5
Vhl	emp	2	6	5e-04	0	0.5
tral	emp	2	6	4e-04	0	0.5
sns	emp	2	6	3e-04	0	0.5
mbl	emp	2	6	0	0	0.5
sav	emp	2	6	0	0	0.5
lola	emp	2	6	0.0016	0	0.5
robo	emp	2	6	2e-04	0	0.5
CG32486	emp	2	6	1e-04	0	0.5
santa.maria	emp	2	6	0	0	0.5
stumps	emp	2	6	1e-04	0	0.5
abd.A	emp	2	6	3e-04	0	0.5
dock	emp	2	6	0	0	0.5
Lar	emp	2	6	2e-04	0	0.5
l.1.G0289	emp	2	6	0	0	0.5
Abl	emp	2	6	0	0	0.5
Syb	emp	2	6	6e-04	0	0.5
dome	emp	2	6	0	0	0.5
ofs	emp	2	6	3e-04	0	0.5
MED4	emp	2	6	0	0	0.5
scrib	emp	2	6	4e-04	0	0.5
siz	emp	2	6	0	0	0.5
cbx	emp	2	6	5e-04	0	0.5
dsx	emp	2	6	6e-04	0	0.5
Sb	emp	2	6	1e-04	0	0.5
sax	emp	2	6	4e-04	0	0.5
foxo	emp	2	6	1e-04	0	0.5
Cyp1	emp	2	6	0	0	0.5
brm	emp	2	6	0	0	0.5
rad50	emp	2	6	6e-04	0	0.5
chico	emp	2	6	0	0	0.5
