Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	ena	2	6	0	0	0.5
emp	ena	2	6	0	0	0.5
CG2678	ena	2	6	3e-04	0	0.5
crc	ena	2	6	8e-04	0	0.5
pros	ena	2	6	0	0	0.5
neur	ena	2	6	0	0	0.5
Rab5	ena	2	6	0	0	0.5
Rab7	ena	2	6	0	0	0.5
Mmp2	ena	2	6	0	0	0.5
W	ena	2	6	0	0	0.5
bowl	ena	2	6	0	0	0.5
fd59A	ena	2	6	0	0	0.5
e	ena	2	6	0	0	0.5
ben	ena	2	6	0	0	0.5
rdo	ena	2	6	0	0	0.5
lin	ena	2	6	0	0	0.5
tra	ena	2	6	0	0	0.5
tra2	ena	2	6	2e-04	0	0.5
cathD	ena	2	6	0	0	0.5
d	ena	2	6	0	0	0.5
lva	ena	2	6	0	0	0.5
pbl	ena	2	6	0	0	0.5
CG33205	ena	2	6	0	0	0.5
da	ena	2	6	2e-04	0	0.5
cactin	ena	2	6	5e-04	0	0.5
hpo	ena	2	6	0	0	0.5
Sema.2a	ena	2	6	3e-04	0	0.5
Eip74EF	ena	2	6	5e-04	0	0.5
eg	ena	2	6	0	0	0.5
Arc42	ena	2	6	0	0	0.5
toy	ena	2	6	0	0	0.5
Galpha73B	ena	2	6	0	0	0.5
RhoGAPp190	ena	2	6	0	0	0.5
MED11	ena	2	6	0	0	0.5
cher	ena	2	6	0	0	0.5
BicD	ena	2	6	7e-04	0	0.5
MYPT.75D	ena	2	6	3e-04	0	0.5
mus304	ena	2	6	0	0	0.5
CdsA	ena	2	6	2e-04	0	0.5
btl	ena	2	6	0	0	0.5
Cyt.c.d	ena	2	6	0	0	0.5
tok	ena	2	6	0	0	0.5
ttk	ena	2	6	0	0	0.5
tamo	ena	2	6	0	0	0.5
CG6416	ena	2	6	4e-04	0	0.5
flfl	ena	2	6	0.0013	0	0.5
Pvr	ena	2	6	0	0	0.5
kay	ena	2	6	1e-04	0	0.5
Jra	ena	2	6	0	0	0.5
msk	ena	2	6	0	0	0.5
tll	ena	2	6	3e-04	0	0.5
Tm1	ena	2	6	0	0	0.5
srp	ena	2	6	2e-04	0	0.5
Btk29A	ena	2	6	5e-04	0	0.5
fred	ena	2	6	2e-04	0	0.5
Src64B	ena	2	6	0	0	0.5
Mmp1	ena	2	6	0	0	0.5
sll	ena	2	6	0	0	0.5
Hmgs	ena	2	6	0	0	0.5
caps	ena	2	6	1e-04	0	0.5
Su.var.2.10	ena	2	6	0	0	0.5
CycB	ena	2	6	0	0	0.5
spir	ena	2	6	0	0	0.5
spn.A	ena	2	6	3e-04	0	0.5
Ptpmeg	ena	2	6	2e-04	0	0.5
qua	ena	2	6	0	0	0.5
msn	ena	2	6	0	0	0.5
ena	ena	2	6	0	0	0.5
spen	ena	2	6	0	0	0.5
emc	ena	2	6	1e-04	0	0.5
tsh	ena	2	6	0	0	0.5
Dat	ena	2	6	0	0	0.5
Lac	ena	2	6	0	0	0.5
dup	ena	2	6	0	0	0.5
CG3075	ena	2	6	6e-04	0	0.5
Akap200	ena	2	6	0	0	0.5
CG18369	ena	2	6	1e-04	0	0.5
bnl	ena	2	6	0	0	0.5
sec23	ena	2	6	0	0	0.5
Pde8	ena	2	6	0	0	0.5
Arp66B	ena	2	6	0	0	0.5
cos	ena	2	6	0	0	0.5
Borr	ena	2	6	0	0	0.5
X140up	ena	2	6	0	0	0.5
Dhc64C	ena	2	6	0	0	0.5
Not1	ena	2	6	2e-04	0	0.5
CG9520	ena	2	6	0	0	0.5
bib	ena	2	6	4e-04	0	0.5
mib1	ena	2	6	0	0	0.5
cas	ena	2	6	0	0	0.5
Abi	ena	2	6	0	0	0.5
betaTub56D	ena	2	6	4e-04	0	0.5
nej	ena	2	6	0	0	0.5
dlg1	ena	2	6	0	0	0.5
Lcp65Ag1	ena	2	6	0	0	0.5
Es2	ena	2	6	0	0	0.5
MED24	ena	2	6	1e-04	0	0.5
Vhl	ena	2	6	0	0	0.5
tral	ena	2	6	5e-04	0	0.5
sns	ena	2	6	0	0	0.5
mbl	ena	2	6	1e-04	0	0.5
sav	ena	2	6	1e-04	0	0.5
lola	ena	2	6	4e-04	0	0.5
robo	ena	2	6	0	0	0.5
CG32486	ena	2	6	0	0	0.5
santa.maria	ena	2	6	0	0	0.5
stumps	ena	2	6	4e-04	0	0.5
abd.A	ena	2	6	0	0	0.5
dock	ena	2	6	0	0	0.5
Lar	ena	2	6	1e-04	0	0.5
l.1.G0289	ena	2	6	0	0	0.5
Abl	ena	2	6	1e-04	0	0.5
Syb	ena	2	6	4e-04	0	0.5
dome	ena	2	6	0	0	0.5
ofs	ena	2	6	0	0	0.5
MED4	ena	2	6	0	0	0.5
scrib	ena	2	6	0	0	0.5
siz	ena	2	6	0	0	0.5
cbx	ena	2	6	0	0	0.5
dsx	ena	2	6	2e-04	0	0.5
Sb	ena	2	6	0	0	0.5
sax	ena	2	6	4e-04	0	0.5
foxo	ena	2	6	0	0	0.5
Cyp1	ena	2	6	0	0	0.5
brm	ena	2	6	0	0	0.5
rad50	ena	2	6	0	0	0.5
chico	ena	2	6	0	0	0.5
cp309	ena	2	6	0	0	0.5
hdc	ena	2	6	0	0	0.5
Axn	ena	2	6	0	0	0.5
Apc2	ena	2	6	0	0	0.5
PhKgamma	ena	2	6	8e-04	0	0.5
eya	ena	2	6	0	0	0.5
sktl	ena	2	6	0	0	0.5
sqd	ena	2	6	0	0	0.5
Akt1	ena	2	6	4e-04	0	0.5
scyl	ena	2	6	0	0	0.5
cnk	ena	2	6	0	0	0.5
CG8149	ena	2	6	0	0	0.5
CG34379	ena	2	6	0	0	0.5
Yp1	ena	2	6	0	0	0.5
yrt	ena	2	6	3e-04	0	0.5
bap	ena	2	6	1e-04	0	0.5
tud	ena	2	6	0	0	0.5
ct	ena	2	6	0	0	0.5
tup	ena	2	6	0	0	0.5
G.ialpha65A	ena	2	6	0	0	0.5
knrl	ena	2	6	0	0	0.5
Pkn	ena	2	6	0	0	0.5
Sry.delta	ena	2	6	0	0	0.5
Alh	ena	2	6	0	0	0.5
pnut	ena	2	6	1e-04	0	0.5
phyl	ena	2	6	0	0	0.5
CG17739	ena	2	6	5e-04	0	0.5
B4	ena	2	6	0	0	0.5
CG2681	ena	2	6	0	0	0.5
tow	ena	2	6	0	0	0.5
hkl	ena	2	6	0	0	0.5
sina	ena	2	6	0	0	0.5
ry	ena	2	6	2e-04	0	0.5
rux	ena	2	6	0	0	0.5
boss	ena	2	6	0	0	0.5
Mkp3	ena	2	6	0	0	0.5
inaC	ena	2	6	0	0	0.5
sno	ena	2	6	0.0021	0	0.5
jagn	ena	2	6	2e-04	0	0.5
dpn	ena	2	6	1e-04	0	0.5
wrapper	ena	2	6	0	0	0.5
Ca.alpha1D	ena	2	6	5e-04	0	0.5
E2f	ena	2	6	0	0	0.5
Dp	ena	2	6	0	0	0.5
l.2.efl	ena	2	6	1e-04	0	0.5
cnc	ena	2	6	2e-04	0	0.5
Atg5	ena	2	6	0	0	0.5
acj6	ena	2	6	0	0	0.5
Trl	ena	2	6	2e-04	0	0.5
d4	ena	2	6	1e-04	0	0.5
CG16719	ena	2	6	0	0	0.5
CadN	ena	2	6	0	0	0.5
gro	ena	2	6	0	0	0.5
sec13	ena	2	6	0	0	0.5
klar	ena	2	6	0	0	0.5
Rack1	ena	2	6	0	0	0.5
Sobp	ena	2	6	1e-04	0	0.5
ash1	ena	2	6	1e-04	0	0.5
inv	ena	2	6	4e-04	0	0.5
shot	ena	2	6	0	0	0.5
Oseg1	ena	2	6	1e-04	0	0.5
Spred	ena	2	6	1	0.99897	0.5
puc	ena	2	6	6e-04	0	0.5
Atg6	ena	2	6	0	0	0.5
CG3829	ena	2	6	0	0	0.5
sle	ena	2	6	2e-04	0	0.5
Cka	ena	2	6	1e-04	0	0.5
form3	ena	2	6	0	0	0.5
Pk61C	ena	2	6	0	0	0.5
Pcaf	ena	2	6	3e-04	0	0.5
sbb	ena	2	6	0	0	0.5
Ef1gamma	ena	2	6	4e-04	0	0.5
FKBP59	ena	2	6	3e-04	0	0.5
Eip71CD	ena	2	6	0	0	0.5
xmas.2	ena	2	6	0	0	0.5
ppan	ena	2	6	0	0	0.5
Iswi	ena	2	6	0	0	0.5
ine	ena	2	6	3e-04	0	0.5
Tina.1	ena	2	6	0	0	0.5
bon	ena	2	6	0	0	0.5
pot	ena	2	6	0	0	0.5
chic	ena	2	6	3e-04	0	0.5
Hem	ena	2	6	7e-04	0	0.5
chif	ena	2	6	7e-04	0	0.5
S6kII	ena	2	6	0	0	0.5
wal	ena	2	6	0	0	0.5
wls	ena	2	6	0	0	0.5
Ddx1	ena	2	6	2e-04	0	0.5
Sulf1	ena	2	6	0	0	0.5
CG3987	ena	2	6	0	0	0.5
Abd.B	ena	2	6	0	0	0.5
Uba1	ena	2	6	0	0	0.5
bigmax	ena	2	6	0	0	0.5
NAT1	ena	2	6	6e-04	0	0.5
wupA	ena	2	6	0	0	0.5
Vps28	ena	2	6	0	0	0.5
G.oalpha47A	ena	2	6	0	0	0.5
G.salpha60A	ena	2	6	0	0	0.5
dsf	ena	2	6	0	0	0.5
Khc	ena	2	6	0	0	0.5
CG10641	ena	2	6	0	0	0.5
Alk	ena	2	6	0	0	0.5
ey	ena	2	6	5e-04	0	0.5
