Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	eve	2	6	1e-04	0	0.5
emp	eve	2	6	0	0	0.5
CG2678	eve	2	6	0	0	0.5
crc	eve	2	6	0	0	0.5
pros	eve	2	6	0	0	0.5
neur	eve	2	6	1e-04	0	0.5
Rab5	eve	2	6	0	0	0.5
Rab7	eve	2	6	0	0	0.5
Mmp2	eve	2	6	0	0	0.5
W	eve	2	6	0	0	0.5
bowl	eve	2	6	0	0	0.5
fd59A	eve	2	6	4e-04	0	0.5
e	eve	2	6	0	0	0.5
ben	eve	2	6	0	0	0.5
rdo	eve	2	6	0	0	0.5
lin	eve	2	6	0	0	0.5
tra	eve	2	6	0	0	0.5
tra2	eve	2	6	0	0	0.5
cathD	eve	2	6	0	0	0.5
d	eve	2	6	0	0	0.5
lva	eve	2	6	1e-04	0	0.5
pbl	eve	2	6	1e-04	0	0.5
CG33205	eve	2	6	0	0	0.5
da	eve	2	6	0	0	0.5
cactin	eve	2	6	0	0	0.5
hpo	eve	2	6	5e-04	0	0.5
Sema.2a	eve	2	6	0	0	0.5
Eip74EF	eve	2	6	0	0	0.5
eg	eve	2	6	0	0	0.5
Arc42	eve	2	6	0	0	0.5
toy	eve	2	6	0	0	0.5
Galpha73B	eve	2	6	0	0	0.5
RhoGAPp190	eve	2	6	1e-04	0	0.5
MED11	eve	2	6	0	0	0.5
cher	eve	2	6	0	0	0.5
BicD	eve	2	6	0	0	0.5
MYPT.75D	eve	2	6	0	0	0.5
mus304	eve	2	6	0	0	0.5
CdsA	eve	2	6	4e-04	0	0.5
btl	eve	2	6	5e-04	0	0.5
Cyt.c.d	eve	2	6	2e-04	0	0.5
tok	eve	2	6	0	0	0.5
ttk	eve	2	6	0	0	0.5
tamo	eve	2	6	0	0	0.5
CG6416	eve	2	6	0	0	0.5
flfl	eve	2	6	1e-04	0	0.5
Pvr	eve	2	6	0	0	0.5
kay	eve	2	6	0	0	0.5
Jra	eve	2	6	0	0	0.5
msk	eve	2	6	0	0	0.5
tll	eve	2	6	0	0	0.5
Tm1	eve	2	6	0	0	0.5
srp	eve	2	6	0	0	0.5
Btk29A	eve	2	6	0	0	0.5
fred	eve	2	6	0	0	0.5
Src64B	eve	2	6	5e-04	0	0.5
Mmp1	eve	2	6	0	0	0.5
sll	eve	2	6	0	0	0.5
Hmgs	eve	2	6	0	0	0.5
caps	eve	2	6	0	0	0.5
Su.var.2.10	eve	2	6	0	0	0.5
CycB	eve	2	6	1e-04	0	0.5
spir	eve	2	6	2e-04	0	0.5
spn.A	eve	2	6	0	0	0.5
Ptpmeg	eve	2	6	1e-04	0	0.5
qua	eve	2	6	0	0	0.5
msn	eve	2	6	0	0	0.5
ena	eve	2	6	0	0	0.5
spen	eve	2	6	1e-04	0	0.5
emc	eve	2	6	0	0	0.5
tsh	eve	2	6	0	0	0.5
Dat	eve	2	6	2e-04	0	0.5
Lac	eve	2	6	0	0	0.5
dup	eve	2	6	0	0	0.5
CG3075	eve	2	6	0	0	0.5
Akap200	eve	2	6	0	0	0.5
CG18369	eve	2	6	1e-04	0	0.5
bnl	eve	2	6	0	0	0.5
sec23	eve	2	6	4e-04	0	0.5
Pde8	eve	2	6	0	0	0.5
Arp66B	eve	2	6	4e-04	0	0.5
cos	eve	2	6	0	0	0.5
Borr	eve	2	6	0	0	0.5
X140up	eve	2	6	0	0	0.5
Dhc64C	eve	2	6	2e-04	0	0.5
Not1	eve	2	6	0	0	0.5
CG9520	eve	2	6	2e-04	0	0.5
bib	eve	2	6	0	0	0.5
mib1	eve	2	6	1e-04	0	0.5
cas	eve	2	6	0	0	0.5
Abi	eve	2	6	0	0	0.5
betaTub56D	eve	2	6	0	0	0.5
nej	eve	2	6	1	-0.99933	0.5
dlg1	eve	2	6	0	0	0.5
Lcp65Ag1	eve	2	6	0	0	0.5
Es2	eve	2	6	0	0	0.5
MED24	eve	2	6	0	0	0.5
Vhl	eve	2	6	2e-04	0	0.5
tral	eve	2	6	0	0	0.5
sns	eve	2	6	0	0	0.5
mbl	eve	2	6	0	0	0.5
sav	eve	2	6	3e-04	0	0.5
lola	eve	2	6	0	0	0.5
robo	eve	2	6	0	0	0.5
CG32486	eve	2	6	1e-04	0	0.5
santa.maria	eve	2	6	0	0	0.5
stumps	eve	2	6	0	0	0.5
abd.A	eve	2	6	2e-04	0	0.5
dock	eve	2	6	0	0	0.5
Lar	eve	2	6	1e-04	0	0.5
l.1.G0289	eve	2	6	0	0	0.5
Abl	eve	2	6	0	0	0.5
Syb	eve	2	6	0	0	0.5
dome	eve	2	6	0	0	0.5
ofs	eve	2	6	0	0	0.5
