Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	ex	2	6	0	0	0.5
emp	ex	2	6	4e-04	0	0.5
CG2678	ex	2	6	0.0014	0	0.5
crc	ex	2	6	2e-04	0	0.5
pros	ex	2	6	5e-04	0	0.5
neur	ex	2	6	1e-04	0	0.5
Rab5	ex	2	6	3e-04	0	0.5
Rab7	ex	2	6	0	0	0.5
Mmp2	ex	2	6	1e-04	0	0.5
W	ex	2	6	0	0	0.5
bowl	ex	2	6	4e-04	0	0.5
fd59A	ex	2	6	3e-04	0	0.5
e	ex	2	6	3e-04	0	0.5
ben	ex	2	6	6e-04	0	0.5
rdo	ex	2	6	0	0	0.5
lin	ex	2	6	1e-04	0	0.5
tra	ex	2	6	8e-04	0	0.5
tra2	ex	2	6	0	0	0.5
cathD	ex	2	6	3e-04	0	0.5
d	ex	2	6	0	0	0.5
lva	ex	2	6	1e-04	0	0.5
pbl	ex	2	6	8e-04	0	0.5
CG33205	ex	2	6	4e-04	0	0.5
da	ex	2	6	3e-04	0	0.5
cactin	ex	2	6	0	0	0.5
hpo	ex	2	6	4e-04	0	0.5
Sema.2a	ex	2	6	1e-04	0	0.5
Eip74EF	ex	2	6	3e-04	0	0.5
eg	ex	2	6	0	0	0.5
Arc42	ex	2	6	0.0012	0	0.5
toy	ex	2	6	5e-04	0	0.5
Galpha73B	ex	2	6	0.0014	0	0.5
RhoGAPp190	ex	2	6	3e-04	0	0.5
MED11	ex	2	6	3e-04	0	0.5
cher	ex	2	6	2e-04	0	0.5
BicD	ex	2	6	0	0	0.5
MYPT.75D	ex	2	6	0	0	0.5
mus304	ex	2	6	2e-04	0	0.5
CdsA	ex	2	6	5e-04	0	0.5
btl	ex	2	6	9e-04	0	0.5
Cyt.c.d	ex	2	6	3e-04	0	0.5
tok	ex	2	6	5e-04	0	0.5
ttk	ex	2	6	1e-04	0	0.5
tamo	ex	2	6	0.0013	0	0.5
CG6416	ex	2	6	2e-04	0	0.5
flfl	ex	2	6	0.0031	0	0.5
Pvr	ex	2	6	2e-04	0	0.5
kay	ex	2	6	6e-04	0	0.5
Jra	ex	2	6	0	0	0.5
msk	ex	2	6	2e-04	0	0.5
tll	ex	2	6	0	0	0.5
Tm1	ex	2	6	4e-04	0	0.5
srp	ex	2	6	5e-04	0	0.5
Btk29A	ex	2	6	1e-04	0	0.5
fred	ex	2	6	0.0014	0	0.5
Src64B	ex	2	6	0.0256	0	0.5
Mmp1	ex	2	6	0.0013	0	0.5
sll	ex	2	6	0.0013	0	0.5
Hmgs	ex	2	6	0	0	0.5
caps	ex	2	6	2e-04	0	0.5
Su.var.2.10	ex	2	6	2e-04	0	0.5
CycB	ex	2	6	5e-04	0	0.5
