Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	fal	2	6	3e-04	0	0.5
emp	fal	2	6	6e-04	0	0.5
CG2678	fal	2	6	0	0	0.5
crc	fal	2	6	4e-04	0	0.5
pros	fal	2	6	0.002	0	0.5
neur	fal	2	6	1e-04	0	0.5
Rab5	fal	2	6	3e-04	0	0.5
Rab7	fal	2	6	3e-04	0	0.5
Mmp2	fal	2	6	7e-04	0	0.5
W	fal	2	6	0.002	0	0.5
bowl	fal	2	6	0.0018	0	0.5
fd59A	fal	2	6	0.0019	0	0.5
e	fal	2	6	1e-04	0	0.5
ben	fal	2	6	1e-04	0	0.5
rdo	fal	2	6	4e-04	0	0.5
lin	fal	2	6	5e-04	0	0.5
tra	fal	2	6	0.0026	0	0.5
tra2	fal	2	6	2e-04	0	0.5
cathD	fal	2	6	1e-04	0	0.5
d	fal	2	6	2e-04	0	0.5
lva	fal	2	6	4e-04	0	0.5
pbl	fal	2	6	3e-04	0	0.5
CG33205	fal	2	6	6e-04	0	0.5
da	fal	2	6	4e-04	0	0.5
cactin	fal	2	6	6e-04	0	0.5
hpo	fal	2	6	0.0011	0	0.5
Sema.2a	fal	2	6	2e-04	0	0.5
Eip74EF	fal	2	6	0	0	0.5
eg	fal	2	6	5e-04	0	0.5
Arc42	fal	2	6	5e-04	0	0.5
toy	fal	2	6	0.001	0	0.5
Galpha73B	fal	2	6	0.0013	0	0.5
RhoGAPp190	fal	2	6	4e-04	0	0.5
MED11	fal	2	6	0.0014	0	0.5
cher	fal	2	6	7e-04	0	0.5
BicD	fal	2	6	0.002	0	0.5
MYPT.75D	fal	2	6	7e-04	0	0.5
mus304	fal	2	6	2e-04	0	0.5
CdsA	fal	2	6	9e-04	0	0.5
btl	fal	2	6	0	0	0.5
Cyt.c.d	fal	2	6	4e-04	0	0.5
tok	fal	2	6	0.0015	0	0.5
ttk	fal	2	6	0.0013	0	0.5
tamo	fal	2	6	7e-04	0	0.5
CG6416	fal	2	6	1e-04	0	0.5
flfl	fal	2	6	2e-04	0	0.5
Pvr	fal	2	6	1e-04	0	0.5
kay	fal	2	6	2e-04	0	0.5
Jra	fal	2	6	2e-04	0	0.5
msk	fal	2	6	0.0011	0	0.5
tll	fal	2	6	0	0	0.5
Tm1	fal	2	6	1e-04	0	0.5
srp	fal	2	6	0.0154	0	0.5
Btk29A	fal	2	6	2e-04	0	0.5
fred	fal	2	6	0.007	0	0.5
Src64B	fal	2	6	0.0022	0	0.5
Mmp1	fal	2	6	4e-04	0	0.5
sll	fal	2	6	0.0048	0	0.5
Hmgs	fal	2	6	8e-04	0	0.5
caps	fal	2	6	9e-04	0	0.5
Su.var.2.10	fal	2	6	7e-04	0	0.5
CycB	fal	2	6	2e-04	0	0.5
spir	fal	2	6	5e-04	0	0.5
spn.A	fal	2	6	4e-04	0	0.5
Ptpmeg	fal	2	6	1e-04	0	0.5
qua	fal	2	6	7e-04	0	0.5
msn	fal	2	6	3e-04	0	0.5
ena	fal	2	6	5e-04	0	0.5
spen	fal	2	6	0.0013	0	0.5
emc	fal	2	6	0.0052	0	0.5
tsh	fal	2	6	0.0012	0	0.5
Dat	fal	2	6	8e-04	0	0.5
Lac	fal	2	6	8e-04	0	0.5
dup	fal	2	6	2e-04	0	0.5
CG3075	fal	2	6	4e-04	0	0.5
Akap200	fal	2	6	7e-04	0	0.5
CG18369	fal	2	6	9e-04	0	0.5
bnl	fal	2	6	6e-04	0	0.5
sec23	fal	2	6	3e-04	0	0.5
Pde8	fal	2	6	1e-04	0	0.5
Arp66B	fal	2	6	2e-04	0	0.5
cos	fal	2	6	5e-04	0	0.5
Borr	fal	2	6	2e-04	0	0.5
X140up	fal	2	6	9e-04	0	0.5
Dhc64C	fal	2	6	0.0149	0	0.5
Not1	fal	2	6	1e-04	0	0.5
CG9520	fal	2	6	5e-04	0	0.5
bib	fal	2	6	6e-04	0	0.5
mib1	fal	2	6	0.0026	0	0.5
cas	fal	2	6	2e-04	0	0.5
Abi	fal	2	6	5e-04	0	0.5
betaTub56D	fal	2	6	2e-04	0	0.5
nej	fal	2	6	4e-04	0	0.5
dlg1	fal	2	6	0.0022	0	0.5
Lcp65Ag1	fal	2	6	0.0028	0	0.5
Es2	fal	2	6	1e-04	0	0.5
MED24	fal	2	6	9e-04	0	0.5
Vhl	fal	2	6	6e-04	0	0.5
tral	fal	2	6	4e-04	0	0.5
sns	fal	2	6	5e-04	0	0.5
mbl	fal	2	6	8e-04	0	0.5
sav	fal	2	6	1e-04	0	0.5
lola	fal	2	6	4e-04	0	0.5
robo	fal	2	6	0.01	0	0.5
CG32486	fal	2	6	4e-04	0	0.5
santa.maria	fal	2	6	1e-04	0	0.5
stumps	fal	2	6	0.0011	0	0.5
abd.A	fal	2	6	0.0012	0	0.5
dock	fal	2	6	4e-04	0	0.5
Lar	fal	2	6	0	0	0.5
l.1.G0289	fal	2	6	8e-04	0	0.5
Abl	fal	2	6	7e-04	0	0.5
Syb	fal	2	6	7e-04	0	0.5
dome	fal	2	6	0.0016	0	0.5
ofs	fal	2	6	0	0	0.5
MED4	fal	2	6	4e-04	0	0.5
scrib	fal	2	6	5e-04	0	0.5
siz	fal	2	6	0.0011	0	0.5
cbx	fal	2	6	0.003	0	0.5
dsx	fal	2	6	0.0011	0	0.5
Sb	fal	2	6	2e-04	0	0.5
sax	fal	2	6	0.0017	0	0.5
foxo	fal	2	6	3e-04	0	0.5
Cyp1	fal	2	6	2e-04	0	0.5
brm	fal	2	6	0.0013	0	0.5
rad50	fal	2	6	1e-04	0	0.5
chico	fal	2	6	0.0019	0	0.5
cp309	fal	2	6	3e-04	0	0.5
hdc	fal	2	6	0.0012	0	0.5
Axn	fal	2	6	0	0	0.5
Apc2	fal	2	6	7e-04	0	0.5
PhKgamma	fal	2	6	0.0022	0	0.5
eya	fal	2	6	2e-04	0	0.5
sktl	fal	2	6	6e-04	0	0.5
sqd	fal	2	6	6e-04	0	0.5
Akt1	fal	2	6	0	0	0.5
scyl	fal	2	6	0.002	0	0.5
cnk	fal	2	6	6e-04	0	0.5
CG8149	fal	2	6	2e-04	0	0.5
CG34379	fal	2	6	0.0018	0	0.5
Yp1	fal	2	6	0.0014	0	0.5
yrt	fal	2	6	0	0	0.5
bap	fal	2	6	5e-04	0	0.5
tud	fal	2	6	4e-04	0	0.5
ct	fal	2	6	0.0015	0	0.5
tup	fal	2	6	5e-04	0	0.5
G.ialpha65A	fal	2	6	0.005	0	0.5
knrl	fal	2	6	4e-04	0	0.5
Pkn	fal	2	6	0.0018	0	0.5
Sry.delta	fal	2	6	3e-04	0	0.5
Alh	fal	2	6	0	0	0.5
pnut	fal	2	6	0.001	0	0.5
phyl	fal	2	6	0.0014	0	0.5
CG17739	fal	2	6	0.001	0	0.5
B4	fal	2	6	7e-04	0	0.5
CG2681	fal	2	6	1e-04	0	0.5
tow	fal	2	6	8e-04	0	0.5
hkl	fal	2	6	7e-04	0	0.5
sina	fal	2	6	0	0	0.5
ry	fal	2	6	0.002	0	0.5
rux	fal	2	6	4e-04	0	0.5
boss	fal	2	6	0.001	0	0.5
Mkp3	fal	2	6	4e-04	0	0.5
inaC	fal	2	6	5e-04	0	0.5
sno	fal	2	6	2e-04	0	0.5
jagn	fal	2	6	5e-04	0	0.5
dpn	fal	2	6	2e-04	0	0.5
wrapper	fal	2	6	0.0012	0	0.5
Ca.alpha1D	fal	2	6	3e-04	0	0.5
E2f	fal	2	6	3e-04	0	0.5
Dp	fal	2	6	0.0011	0	0.5
l.2.efl	fal	2	6	6e-04	0	0.5
cnc	fal	2	6	3e-04	0	0.5
Atg5	fal	2	6	0	0	0.5
acj6	fal	2	6	0.0013	0	0.5
Trl	fal	2	6	1e-04	0	0.5
d4	fal	2	6	6e-04	0	0.5
CG16719	fal	2	6	1e-04	0	0.5
CadN	fal	2	6	7e-04	0	0.5
gro	fal	2	6	7e-04	0	0.5
sec13	fal	2	6	9e-04	0	0.5
klar	fal	2	6	7e-04	0	0.5
Rack1	fal	2	6	0.0018	0	0.5
Sobp	fal	2	6	5e-04	0	0.5
ash1	fal	2	6	4e-04	0	0.5
inv	fal	2	6	0.001	0	0.5
shot	fal	2	6	2e-04	0	0.5
Oseg1	fal	2	6	9e-04	0	0.5
Spred	fal	2	6	8e-04	0	0.5
puc	fal	2	6	0	0	0.5
Atg6	fal	2	6	4e-04	0	0.5
CG3829	fal	2	6	8e-04	0	0.5
sle	fal	2	6	5e-04	0	0.5
Cka	fal	2	6	4e-04	0	0.5
form3	fal	2	6	0	0	0.5
Pk61C	fal	2	6	0.0011	0	0.5
Pcaf	fal	2	6	0	0	0.5
sbb	fal	2	6	2e-04	0	0.5
Ef1gamma	fal	2	6	0.0015	0	0.5
FKBP59	fal	2	6	0.0024	0	0.5
Eip71CD	fal	2	6	8e-04	0	0.5
xmas.2	fal	2	6	2e-04	0	0.5
ppan	fal	2	6	7e-04	0	0.5
Iswi	fal	2	6	0	0	0.5
ine	fal	2	6	0.0018	0	0.5
Tina.1	fal	2	6	0.0013	0	0.5
bon	fal	2	6	6e-04	0	0.5
pot	fal	2	6	8e-04	0	0.5
chic	fal	2	6	7e-04	0	0.5
Hem	fal	2	6	5e-04	0	0.5
chif	fal	2	6	0.0011	0	0.5
S6kII	fal	2	6	8e-04	0	0.5
wal	fal	2	6	0.0023	0	0.5
wls	fal	2	6	0	0	0.5
Ddx1	fal	2	6	6e-04	0	0.5
Sulf1	fal	2	6	0.0032	0	0.5
CG3987	fal	2	6	0.0022	0	0.5
Abd.B	fal	2	6	1e-04	0	0.5
Uba1	fal	2	6	2e-04	0	0.5
bigmax	fal	2	6	0.0054	0	0.5
NAT1	fal	2	6	7e-04	0	0.5
wupA	fal	2	6	4e-04	0	0.5
Vps28	fal	2	6	0.0019	0	0.5
