Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	flfl	2	6	0	0	0.5
emp	flfl	2	6	0	0	0.5
CG2678	flfl	2	6	1e-04	0	0.5
crc	flfl	2	6	0	0	0.5
pros	flfl	2	6	0	0	0.5
neur	flfl	2	6	3e-04	0	0.5
Rab5	flfl	2	6	1e-04	0	0.5
Rab7	flfl	2	6	1e-04	0	0.5
Mmp2	flfl	2	6	0	0	0.5
W	flfl	2	6	0	0	0.5
bowl	flfl	2	6	0	0	0.5
fd59A	flfl	2	6	0	0	0.5
e	flfl	2	6	0	0	0.5
ben	flfl	2	6	0	0	0.5
rdo	flfl	2	6	0	0	0.5
lin	flfl	2	6	0	0	0.5
tra	flfl	2	6	0	0	0.5
tra2	flfl	2	6	0	0	0.5
cathD	flfl	2	6	2e-04	0	0.5
d	flfl	2	6	0	0	0.5
lva	flfl	2	6	0	0	0.5
pbl	flfl	2	6	0	0	0.5
CG33205	flfl	2	6	0	0	0.5
da	flfl	2	6	0	0	0.5
cactin	flfl	2	6	0	0	0.5
hpo	flfl	2	6	0	0	0.5
Sema.2a	flfl	2	6	0	0	0.5
Eip74EF	flfl	2	6	5e-04	0	0.5
eg	flfl	2	6	0	0	0.5
Arc42	flfl	2	6	0	0	0.5
toy	flfl	2	6	0	0	0.5
Galpha73B	flfl	2	6	0	0	0.5
RhoGAPp190	flfl	2	6	5e-04	0	0.5
MED11	flfl	2	6	0	0	0.5
cher	flfl	2	6	0	0	0.5
BicD	flfl	2	6	5e-04	0	0.5
MYPT.75D	flfl	2	6	0	0	0.5
mus304	flfl	2	6	0	0	0.5
CdsA	flfl	2	6	0	0	0.5
btl	flfl	2	6	0	0	0.5
Cyt.c.d	flfl	2	6	0	0	0.5
tok	flfl	2	6	0	0	0.5
ttk	flfl	2	6	0	0	0.5
tamo	flfl	2	6	0	0	0.5
CG6416	flfl	2	6	5e-04	0	0.5
flfl	flfl	2	6	0	0	0.5
Pvr	flfl	2	6	2e-04	0	0.5
kay	flfl	2	6	0	0	0.5
Jra	flfl	2	6	1e-04	0	0.5
msk	flfl	2	6	0	0	0.5
tll	flfl	2	6	0	0	0.5
Tm1	flfl	2	6	0	0	0.5
srp	flfl	2	6	0	0	0.5
Btk29A	flfl	2	6	0	0	0.5
fred	flfl	2	6	0	0	0.5
Src64B	flfl	2	6	3e-04	0	0.5
Mmp1	flfl	2	6	0	0	0.5
sll	flfl	2	6	0	0	0.5
Hmgs	flfl	2	6	0	0	0.5
caps	flfl	2	6	0	0	0.5
Su.var.2.10	flfl	2	6	0	0	0.5
CycB	flfl	2	6	2e-04	0	0.5
spir	flfl	2	6	0	0	0.5
spn.A	flfl	2	6	0	0	0.5
Ptpmeg	flfl	2	6	0	0	0.5
qua	flfl	2	6	0	0	0.5
msn	flfl	2	6	0	0	0.5
ena	flfl	2	6	0	0	0.5
spen	flfl	2	6	2e-04	0	0.5
emc	flfl	2	6	6e-04	0	0.5
tsh	flfl	2	6	0	0	0.5
Dat	flfl	2	6	0	0	0.5
Lac	flfl	2	6	0	0	0.5
dup	flfl	2	6	0	0	0.5
CG3075	flfl	2	6	0	0	0.5
Akap200	flfl	2	6	0	0	0.5
CG18369	flfl	2	6	0	0	0.5
bnl	flfl	2	6	3e-04	0	0.5
sec23	flfl	2	6	0	0	0.5
Pde8	flfl	2	6	1e-04	0	0.5
Arp66B	flfl	2	6	0	0	0.5
cos	flfl	2	6	0	0	0.5
Borr	flfl	2	6	0	0	0.5
X140up	flfl	2	6	0	0	0.5
Dhc64C	flfl	2	6	1e-04	0	0.5
Not1	flfl	2	6	0	0	0.5
CG9520	flfl	2	6	3e-04	0	0.5
bib	flfl	2	6	0	0	0.5
mib1	flfl	2	6	0	0	0.5
cas	flfl	2	6	0	0	0.5
Abi	flfl	2	6	0	0	0.5
betaTub56D	flfl	2	6	0	0	0.5
nej	flfl	2	6	0	0	0.5
dlg1	flfl	2	6	0	0	0.5
Lcp65Ag1	flfl	2	6	0	0	0.5
Es2	flfl	2	6	0	0	0.5
MED24	flfl	2	6	1e-04	0	0.5
Vhl	flfl	2	6	0	0	0.5
tral	flfl	2	6	0	0	0.5
sns	flfl	2	6	0	0	0.5
mbl	flfl	2	6	0	0	0.5
sav	flfl	2	6	0	0	0.5
lola	flfl	2	6	7e-04	0	0.5
robo	flfl	2	6	0	0	0.5
CG32486	flfl	2	6	0	0	0.5
santa.maria	flfl	2	6	0	0	0.5
stumps	flfl	2	6	0	0	0.5
abd.A	flfl	2	6	3e-04	0	0.5
dock	flfl	2	6	0	0	0.5
Lar	flfl	2	6	0	0	0.5
