Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	form3	2	6	0	0	0.5
emp	form3	2	6	0	0	0.5
CG2678	form3	2	6	0	0	0.5
crc	form3	2	6	0	0	0.5
pros	form3	2	6	4e-04	0	0.5
neur	form3	2	6	2e-04	0	0.5
Rab5	form3	2	6	0	0	0.5
Rab7	form3	2	6	0	0	0.5
Mmp2	form3	2	6	5e-04	0	0.5
W	form3	2	6	0	0	0.5
bowl	form3	2	6	0	0	0.5
fd59A	form3	2	6	0	0	0.5
e	form3	2	6	0	0	0.5
ben	form3	2	6	0	0	0.5
rdo	form3	2	6	2e-04	0	0.5
lin	form3	2	6	6e-04	0	0.5
tra	form3	2	6	0	0	0.5
tra2	form3	2	6	2e-04	0	0.5
cathD	form3	2	6	7e-04	0	0.5
d	form3	2	6	0	0	0.5
lva	form3	2	6	0	0	0.5
pbl	form3	2	6	0	0	0.5
CG33205	form3	2	6	3e-04	0	0.5
da	form3	2	6	5e-04	0	0.5
cactin	form3	2	6	0	0	0.5
hpo	form3	2	6	0	0	0.5
Sema.2a	form3	2	6	0	0	0.5
Eip74EF	form3	2	6	2e-04	0	0.5
eg	form3	2	6	0.0012	0	0.5
Arc42	form3	2	6	0	0	0.5
toy	form3	2	6	6e-04	0	0.5
Galpha73B	form3	2	6	1e-04	0	0.5
RhoGAPp190	form3	2	6	0	0	0.5
MED11	form3	2	6	0	0	0.5
cher	form3	2	6	0	0	0.5
BicD	form3	2	6	0	0	0.5
MYPT.75D	form3	2	6	0	0	0.5
mus304	form3	2	6	2e-04	0	0.5
CdsA	form3	2	6	0	0	0.5
btl	form3	2	6	0	0	0.5
Cyt.c.d	form3	2	6	0	0	0.5
tok	form3	2	6	8e-04	0	0.5
ttk	form3	2	6	0	0	0.5
tamo	form3	2	6	0	0	0.5
CG6416	form3	2	6	0	0	0.5
flfl	form3	2	6	0	0	0.5
Pvr	form3	2	6	0.0013	0	0.5
kay	form3	2	6	0	0	0.5
Jra	form3	2	6	0	0	0.5
msk	form3	2	6	0	0	0.5
tll	form3	2	6	0	0	0.5
Tm1	form3	2	6	3e-04	0	0.5
srp	form3	2	6	1e-04	0	0.5
Btk29A	form3	2	6	0	0	0.5
fred	form3	2	6	1e-04	0	0.5
Src64B	form3	2	6	2e-04	0	0.5
Mmp1	form3	2	6	0	0	0.5
sll	form3	2	6	1e-04	0	0.5
Hmgs	form3	2	6	0	0	0.5
caps	form3	2	6	0	0	0.5
Su.var.2.10	form3	2	6	0	0	0.5
CycB	form3	2	6	2e-04	0	0.5
spir	form3	2	6	0	0	0.5
spn.A	form3	2	6	9e-04	0	0.5
Ptpmeg	form3	2	6	0	0	0.5
qua	form3	2	6	0	0	0.5
msn	form3	2	6	0	0	0.5
ena	form3	2	6	1e-04	0	0.5
spen	form3	2	6	0	0	0.5
emc	form3	2	6	0	0	0.5
tsh	form3	2	6	0	0	0.5
Dat	form3	2	6	3e-04	0	0.5
Lac	form3	2	6	1e-04	0	0.5
dup	form3	2	6	0	0	0.5
CG3075	form3	2	6	0	0	0.5
Akap200	form3	2	6	3e-04	0	0.5
CG18369	form3	2	6	0	0	0.5
bnl	form3	2	6	0	0	0.5
sec23	form3	2	6	0	0	0.5
Pde8	form3	2	6	0	0	0.5
Arp66B	form3	2	6	0	0	0.5
cos	form3	2	6	0	0	0.5
Borr	form3	2	6	2e-04	0	0.5
X140up	form3	2	6	0	0	0.5
Dhc64C	form3	2	6	3e-04	0	0.5
Not1	form3	2	6	1e-04	0	0.5
CG9520	form3	2	6	0	0	0.5
bib	form3	2	6	0	0	0.5
