Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	frc	2	6	8e-04	0	0.5
emp	frc	2	6	3e-04	0	0.5
CG2678	frc	2	6	5e-04	0	0.5
crc	frc	2	6	4e-04	0	0.5
pros	frc	2	6	4e-04	0	0.5
neur	frc	2	6	0.0014	0	0.5
Rab5	frc	2	6	6e-04	0	0.5
Rab7	frc	2	6	5e-04	0	0.5
Mmp2	frc	2	6	2e-04	0	0.5
W	frc	2	6	5e-04	0	0.5
bowl	frc	2	6	3e-04	0	0.5
fd59A	frc	2	6	5e-04	0	0.5
e	frc	2	6	0.0013	0	0.5
ben	frc	2	6	3e-04	0	0.5
rdo	frc	2	6	0.0011	0	0.5
lin	frc	2	6	0.006	0	0.5
tra	frc	2	6	0.0036	0	0.5
tra2	frc	2	6	1e-04	0	0.5
cathD	frc	2	6	0	0	0.5
d	frc	2	6	3e-04	0	0.5
lva	frc	2	6	2e-04	0	0.5
pbl	frc	2	6	2e-04	0	0.5
CG33205	frc	2	6	2e-04	0	0.5
da	frc	2	6	8e-04	0	0.5
cactin	frc	2	6	4e-04	0	0.5
hpo	frc	2	6	0.0014	0	0.5
Sema.2a	frc	2	6	0.0017	0	0.5
Eip74EF	frc	2	6	5e-04	0	0.5
eg	frc	2	6	4e-04	0	0.5
Arc42	frc	2	6	6e-04	0	0.5
toy	frc	2	6	4e-04	0	0.5
Galpha73B	frc	2	6	0.001	0	0.5
RhoGAPp190	frc	2	6	5e-04	0	0.5
MED11	frc	2	6	1e-04	0	0.5
cher	frc	2	6	6e-04	0	0.5
BicD	frc	2	6	0.001	0	0.5
MYPT.75D	frc	2	6	9e-04	0	0.5
mus304	frc	2	6	3e-04	0	0.5
CdsA	frc	2	6	7e-04	0	0.5
btl	frc	2	6	1e-04	0	0.5
Cyt.c.d	frc	2	6	0.0013	0	0.5
tok	frc	2	6	7e-04	0	0.5
ttk	frc	2	6	9e-04	0	0.5
tamo	frc	2	6	8e-04	0	0.5
CG6416	frc	2	6	1e-04	0	0.5
flfl	frc	2	6	0.0016	0	0.5
Pvr	frc	2	6	1e-04	0	0.5
kay	frc	2	6	1e-04	0	0.5
Jra	frc	2	6	0.001	0	0.5
msk	frc	2	6	1e-04	0	0.5
tll	frc	2	6	1e-04	0	0.5
Tm1	frc	2	6	1e-04	0	0.5
srp	frc	2	6	4e-04	0	0.5
