Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	fru	2	6	5e-04	0	0.5
emp	fru	2	6	0	0	0.5
CG2678	fru	2	6	0.0013	0	0.5
crc	fru	2	6	4e-04	0	0.5
pros	fru	2	6	0.0027	0	0.5
neur	fru	2	6	8e-04	0	0.5
Rab5	fru	2	6	1e-04	0	0.5
Rab7	fru	2	6	7e-04	0	0.5
Mmp2	fru	2	6	8e-04	0	0.5
W	fru	2	6	2e-04	0	0.5
bowl	fru	2	6	0.0016	0	0.5
fd59A	fru	2	6	1e-04	0	0.5
e	fru	2	6	0.0038	0	0.5
ben	fru	2	6	2e-04	0	0.5
rdo	fru	2	6	6e-04	0	0.5
lin	fru	2	6	0.0516	0	0.5
tra	fru	2	6	0.0068	0	0.5
tra2	fru	2	6	3e-04	0	0.5
cathD	fru	2	6	0.0014	0	0.5
d	fru	2	6	8e-04	0	0.5
lva	fru	2	6	0	0	0.5
pbl	fru	2	6	7e-04	0	0.5
CG33205	fru	2	6	0.0019	0	0.5
da	fru	2	6	4e-04	0	0.5
cactin	fru	2	6	9e-04	0	0.5
hpo	fru	2	6	8e-04	0	0.5
Sema.2a	fru	2	6	1e-04	0	0.5
Eip74EF	fru	2	6	0.0212	0	0.5
eg	fru	2	6	0.0024	0	0.5
Arc42	fru	2	6	0	0	0.5
toy	fru	2	6	2e-04	0	0.5
Galpha73B	fru	2	6	3e-04	0	0.5
RhoGAPp190	fru	2	6	5e-04	0	0.5
MED11	fru	2	6	3e-04	0	0.5
cher	fru	2	6	2e-04	0	0.5
BicD	fru	2	6	2e-04	0	0.5
MYPT.75D	fru	2	6	3e-04	0	0.5
mus304	fru	2	6	8e-04	0	0.5
CdsA	fru	2	6	0.001	0	0.5
btl	fru	2	6	0.0012	0	0.5
Cyt.c.d	fru	2	6	5e-04	0	0.5
tok	fru	2	6	0	0	0.5
ttk	fru	2	6	0.0016	0	0.5
tamo	fru	2	6	0.0021	0	0.5
CG6416	fru	2	6	0.009	0	0.5
flfl	fru	2	6	5e-04	0	0.5
Pvr	fru	2	6	8e-04	0	0.5
kay	fru	2	6	3e-04	0	0.5
