Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	fs.1.M3	2	6	0	0	0.5
emp	fs.1.M3	2	6	0	0	0.5
CG2678	fs.1.M3	2	6	1e-04	0	0.5
crc	fs.1.M3	2	6	1e-04	0	0.5
pros	fs.1.M3	2	6	0	0	0.5
neur	fs.1.M3	2	6	3e-04	0	0.5
Rab5	fs.1.M3	2	6	2e-04	0	0.5
Rab7	fs.1.M3	2	6	1e-04	0	0.5
Mmp2	fs.1.M3	2	6	0	0	0.5
W	fs.1.M3	2	6	0	0	0.5
bowl	fs.1.M3	2	6	0	0	0.5
fd59A	fs.1.M3	2	6	0	0	0.5
e	fs.1.M3	2	6	0	0	0.5
ben	fs.1.M3	2	6	0	0	0.5
rdo	fs.1.M3	2	6	0	0	0.5
lin	fs.1.M3	2	6	0	0	0.5
tra	fs.1.M3	2	6	1e-04	0	0.5
tra2	fs.1.M3	2	6	0	0	0.5
cathD	fs.1.M3	2	6	0	0	0.5
d	fs.1.M3	2	6	0	0	0.5
lva	fs.1.M3	2	6	0	0	0.5
pbl	fs.1.M3	2	6	0	0	0.5
CG33205	fs.1.M3	2	6	0	0	0.5
da	fs.1.M3	2	6	0	0	0.5
cactin	fs.1.M3	2	6	1e-04	0	0.5
hpo	fs.1.M3	2	6	0	0	0.5
Sema.2a	fs.1.M3	2	6	0	0	0.5
Eip74EF	fs.1.M3	2	6	1e-04	0	0.5
eg	fs.1.M3	2	6	1e-04	0	0.5
Arc42	fs.1.M3	2	6	4e-04	0	0.5
toy	fs.1.M3	2	6	0	0	0.5
Galpha73B	fs.1.M3	2	6	0	0	0.5
RhoGAPp190	fs.1.M3	2	6	0	0	0.5
MED11	fs.1.M3	2	6	0	0	0.5
cher	fs.1.M3	2	6	2e-04	0	0.5
BicD	fs.1.M3	2	6	0	0	0.5
MYPT.75D	fs.1.M3	2	6	0	0	0.5
mus304	fs.1.M3	2	6	0	0	0.5
CdsA	fs.1.M3	2	6	0	0	0.5
btl	fs.1.M3	2	6	0	0	0.5
Cyt.c.d	fs.1.M3	2	6	0	0	0.5
tok	fs.1.M3	2	6	0	0	0.5
ttk	fs.1.M3	2	6	0	0	0.5
tamo	fs.1.M3	2	6	0	0	0.5
CG6416	fs.1.M3	2	6	0	0	0.5
flfl	fs.1.M3	2	6	0	0	0.5
Pvr	fs.1.M3	2	6	0	0	0.5
kay	fs.1.M3	2	6	1e-04	0	0.5
Jra	fs.1.M3	2	6	0	0	0.5
msk	fs.1.M3	2	6	0	0	0.5
