Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	fw	2	6	0	0	0.5
emp	fw	2	6	0	0	0.5
CG2678	fw	2	6	0	0	0.5
crc	fw	2	6	0	0	0.5
pros	fw	2	6	0	0	0.5
neur	fw	2	6	0	0	0.5
Rab5	fw	2	6	1e-04	0	0.5
Rab7	fw	2	6	0	0	0.5
Mmp2	fw	2	6	2e-04	0	0.5
W	fw	2	6	0	0	0.5
bowl	fw	2	6	0	0	0.5
fd59A	fw	2	6	4e-04	0	0.5
e	fw	2	6	0	0	0.5
ben	fw	2	6	1e-04	0	0.5
rdo	fw	2	6	4e-04	0	0.5
lin	fw	2	6	1e-04	0	0.5
tra	fw	2	6	0	0	0.5
tra2	fw	2	6	0	0	0.5
cathD	fw	2	6	0	0	0.5
d	fw	2	6	0	0	0.5
lva	fw	2	6	0	0	0.5
pbl	fw	2	6	3e-04	0	0.5
CG33205	fw	2	6	0	0	0.5
da	fw	2	6	0	0	0.5
cactin	fw	2	6	0	0	0.5
hpo	fw	2	6	0	0	0.5
Sema.2a	fw	2	6	0	0	0.5
Eip74EF	fw	2	6	0	0	0.5
eg	fw	2	6	2e-04	0	0.5
Arc42	fw	2	6	0	0	0.5
toy	fw	2	6	0	0	0.5
Galpha73B	fw	2	6	0	0	0.5
RhoGAPp190	fw	2	6	0	0	0.5
MED11	fw	2	6	0	0	0.5
cher	fw	2	6	0	0	0.5
BicD	fw	2	6	1e-04	0	0.5
MYPT.75D	fw	2	6	0	0	0.5
mus304	fw	2	6	0	0	0.5
CdsA	fw	2	6	0	0	0.5
btl	fw	2	6	0	0	0.5
Cyt.c.d	fw	2	6	0	0	0.5
tok	fw	2	6	0	0	0.5
ttk	fw	2	6	0	0	0.5
tamo	fw	2	6	0	0	0.5
CG6416	fw	2	6	0	0	0.5
flfl	fw	2	6	0	0	0.5
Pvr	fw	2	6	0	0	0.5
kay	fw	2	6	0	0	0.5
Jra	fw	2	6	0	0	0.5
msk	fw	2	6	0	0	0.5
tll	fw	2	6	0	0	0.5
Tm1	fw	2	6	0	0	0.5
srp	fw	2	6	0	0	0.5
Btk29A	fw	2	6	0	0	0.5
fred	fw	2	6	0	0	0.5
Src64B	fw	2	6	0	0	0.5
Mmp1	fw	2	6	0	0	0.5
sll	fw	2	6	0	0	0.5
Hmgs	fw	2	6	0	0	0.5
caps	fw	2	6	0	0	0.5
Su.var.2.10	fw	2	6	0	0	0.5
CycB	fw	2	6	0	0	0.5
spir	fw	2	6	0	0	0.5
spn.A	fw	2	6	0	0	0.5
Ptpmeg	fw	2	6	0	0	0.5
qua	fw	2	6	0	0	0.5
msn	fw	2	6	0	0	0.5
ena	fw	2	6	0	0	0.5
spen	fw	2	6	0	0	0.5
emc	fw	2	6	0	0	0.5
tsh	fw	2	6	0	0	0.5
Dat	fw	2	6	0	0	0.5
Lac	fw	2	6	0	0	0.5
dup	fw	2	6	0	0	0.5
CG3075	fw	2	6	2e-04	0	0.5
Akap200	fw	2	6	0	0	0.5
CG18369	fw	2	6	0	0	0.5
bnl	fw	2	6	0	0	0.5
sec23	fw	2	6	0	0	0.5
Pde8	fw	2	6	0	0	0.5
Arp66B	fw	2	6	0	0	0.5
cos	fw	2	6	0	0	0.5
Borr	fw	2	6	3e-04	0	0.5
X140up	fw	2	6	0	0	0.5
Dhc64C	fw	2	6	0	0	0.5
Not1	fw	2	6	0	0	0.5
CG9520	fw	2	6	0	0	0.5
bib	fw	2	6	0	0	0.5
mib1	fw	2	6	0	0	0.5
cas	fw	2	6	3e-04	0	0.5
Abi	fw	2	6	0	0	0.5
betaTub56D	fw	2	6	1e-04	0	0.5
nej	fw	2	6	2e-04	0	0.5
dlg1	fw	2	6	0	0	0.5
Lcp65Ag1	fw	2	6	0	0	0.5
Es2	fw	2	6	0	0	0.5
MED24	fw	2	6	0	0	0.5
Vhl	fw	2	6	0	0	0.5
tral	fw	2	6	0	0	0.5
sns	fw	2	6	1e-04	0	0.5
mbl	fw	2	6	0	0	0.5
sav	fw	2	6	0	0	0.5
lola	fw	2	6	0	0	0.5
robo	fw	2	6	0	0	0.5
CG32486	fw	2	6	0	0	0.5
santa.maria	fw	2	6	0	0	0.5
stumps	fw	2	6	0	0	0.5
abd.A	fw	2	6	0	0	0.5
dock	fw	2	6	0	0	0.5
Lar	fw	2	6	0	0	0.5
l.1.G0289	fw	2	6	0	0	0.5
Abl	fw	2	6	1e-04	0	0.5
Syb	fw	2	6	0	0	0.5
dome	fw	2	6	0	0	0.5
