Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	gbb	2	4	0	0	0.5
emp	gbb	2	4	1e-04	0	0.5
CG2678	gbb	2	4	0	0	0.5
crc	gbb	2	4	5e-04	0	0.5
pros	gbb	2	4	0	0	0.5
neur	gbb	2	4	0	0	0.5
Rab5	gbb	2	4	0	0	0.5
Rab7	gbb	2	4	0	0	0.5
Mmp2	gbb	2	4	5e-04	0	0.5
W	gbb	2	4	0.0015	0	0.5
bowl	gbb	2	4	0	0	0.5
fd59A	gbb	2	4	1e-04	0	0.5
e	gbb	2	4	3e-04	0	0.5
ben	gbb	2	4	0	0	0.5
rdo	gbb	2	4	0	0	0.5
lin	gbb	2	4	2e-04	0	0.5
tra	gbb	2	4	0	0	0.5
tra2	gbb	2	4	0.0012	0	0.5
cathD	gbb	2	4	0	0	0.5
d	gbb	2	4	2e-04	0	0.5
lva	gbb	2	4	0	0	0.5
pbl	gbb	2	4	0	0	0.5
CG33205	gbb	2	4	1e-04	0	0.5
da	gbb	2	4	1e-04	0	0.5
cactin	gbb	2	4	0	0	0.5
hpo	gbb	2	4	0.0227	0	0.5
Sema.2a	gbb	2	4	3e-04	0	0.5
Eip74EF	gbb	2	4	0	0	0.5
eg	gbb	2	4	0	0	0.5
Arc42	gbb	2	4	0	0	0.5
toy	gbb	2	4	0	0	0.5
Galpha73B	gbb	2	4	0	0	0.5
RhoGAPp190	gbb	2	4	0.001	0	0.5
MED11	gbb	2	4	0	0	0.5
cher	gbb	2	4	0	0	0.5
BicD	gbb	2	4	0	0	0.5
MYPT.75D	gbb	2	4	7e-04	0	0.5
mus304	gbb	2	4	0	0	0.5
CdsA	gbb	2	4	8e-04	0	0.5
btl	gbb	2	4	6e-04	0	0.5
Cyt.c.d	gbb	2	4	0	0	0.5
tok	gbb	2	4	0	0	0.5
ttk	gbb	2	4	0	0	0.5
tamo	gbb	2	4	0	0	0.5
CG6416	gbb	2	4	6e-04	0	0.5
flfl	gbb	2	4	0	0	0.5
Pvr	gbb	2	4	6e-04	0	0.5
kay	gbb	2	4	0	0	0.5
Jra	gbb	2	4	2e-04	0	0.5
msk	gbb	2	4	0	0	0.5
tll	gbb	2	4	3e-04	0	0.5
Tm1	gbb	2	4	0	0	0.5
srp	gbb	2	4	0	0	0.5
Btk29A	gbb	2	4	0	0	0.5
fred	gbb	2	4	3e-04	0	0.5
Src64B	gbb	2	4	0	0	0.5
Mmp1	gbb	2	4	0	0	0.5
sll	gbb	2	4	0	0	0.5
Hmgs	gbb	2	4	6e-04	0	0.5
caps	gbb	2	4	0	0	0.5
