Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	glec	2	6	0.0073	0	0.5
emp	glec	2	6	0.0017	0	0.5
CG2678	glec	2	6	0.0016	0	0.5
crc	glec	2	6	0.0028	0	0.5
pros	glec	2	6	2e-04	0	0.5
neur	glec	2	6	0.0013	0	0.5
Rab5	glec	2	6	7e-04	0	0.5
Rab7	glec	2	6	0.0028	0	0.5
Mmp2	glec	2	6	8e-04	0	0.5
W	glec	2	6	4e-04	0	0.5
bowl	glec	2	6	3e-04	0	0.5
fd59A	glec	2	6	2e-04	0	0.5
e	glec	2	6	0	0	0.5
ben	glec	2	6	0.0021	0	0.5
rdo	glec	2	6	9e-04	0	0.5
lin	glec	2	6	0.001	0	0.5
tra	glec	2	6	7e-04	0	0.5
tra2	glec	2	6	0.0015	0	0.5
cathD	glec	2	6	0.0012	0	0.5
d	glec	2	6	2e-04	0	0.5
lva	glec	2	6	2e-04	0	0.5
pbl	glec	2	6	4e-04	0	0.5
CG33205	glec	2	6	0.0049	0	0.5
da	glec	2	6	0.0019	0	0.5
cactin	glec	2	6	0.0036	0	0.5
hpo	glec	2	6	0.0016	0	0.5
Sema.2a	glec	2	6	0.014	0	0.5
Eip74EF	glec	2	6	5e-04	0	0.5
eg	glec	2	6	0.002	0	0.5
Arc42	glec	2	6	7e-04	0	0.5
toy	glec	2	6	5e-04	0	0.5
Galpha73B	glec	2	6	8e-04	0	0.5
RhoGAPp190	glec	2	6	0.0018	0	0.5
MED11	glec	2	6	0.0013	0	0.5
cher	glec	2	6	0.0019	0	0.5
BicD	glec	2	6	0.001	0	0.5
MYPT.75D	glec	2	6	7e-04	0	0.5
mus304	glec	2	6	0.0016	0	0.5
CdsA	glec	2	6	0.0073	0	0.5
btl	glec	2	6	5e-04	0	0.5
Cyt.c.d	glec	2	6	8e-04	0	0.5
tok	glec	2	6	0	0	0.5
ttk	glec	2	6	0	0	0.5
tamo	glec	2	6	0.0013	0	0.5
CG6416	glec	2	6	0.002	0	0.5
flfl	glec	2	6	0.0162	0	0.5
Pvr	glec	2	6	0.002	0	0.5
kay	glec	2	6	0.0112	0	0.5
Jra	glec	2	6	5e-04	0	0.5
msk	glec	2	6	6e-04	0	0.5
tll	glec	2	6	2e-04	0	0.5
Tm1	glec	2	6	4e-04	0	0.5
srp	glec	2	6	0.0022	0	0.5
Btk29A	glec	2	6	7e-04	0	0.5
fred	glec	2	6	9e-04	0	0.5
Src64B	glec	2	6	6e-04	0	0.5
Mmp1	glec	2	6	0	0	0.5
sll	glec	2	6	5e-04	0	0.5
Hmgs	glec	2	6	6e-04	0	0.5
caps	glec	2	6	7e-04	0	0.5
Su.var.2.10	glec	2	6	0.0012	0	0.5
CycB	glec	2	6	1e-04	0	0.5
spir	glec	2	6	4e-04	0	0.5
spn.A	glec	2	6	3e-04	0	0.5
Ptpmeg	glec	2	6	0.0034	0	0.5
qua	glec	2	6	4e-04	0	0.5
msn	glec	2	6	0.0095	0	0.5
ena	glec	2	6	8e-04	0	0.5
spen	glec	2	6	8e-04	0	0.5
emc	glec	2	6	0	0	0.5
tsh	glec	2	6	9e-04	0	0.5
Dat	glec	2	6	8e-04	0	0.5
Lac	glec	2	6	0.0011	0	0.5
dup	glec	2	6	6e-04	0	0.5
CG3075	glec	2	6	6e-04	0	0.5
Akap200	glec	2	6	0.0026	0	0.5
CG18369	glec	2	6	0.0154	0	0.5
bnl	glec	2	6	5e-04	0	0.5
sec23	glec	2	6	0.0013	0	0.5
Pde8	glec	2	6	8e-04	0	0.5
Arp66B	glec	2	6	9e-04	0	0.5
cos	glec	2	6	0.0029	0	0.5
Borr	glec	2	6	0.0015	0	0.5
X140up	glec	2	6	5e-04	0	0.5
Dhc64C	glec	2	6	6e-04	0	0.5
Not1	glec	2	6	0.0016	0	0.5
CG9520	glec	2	6	5e-04	0	0.5
bib	glec	2	6	6e-04	0	0.5
mib1	glec	2	6	0.001	0	0.5
cas	glec	2	6	0.0014	0	0.5
Abi	glec	2	6	0.0016	0	0.5
betaTub56D	glec	2	6	0.0054	0	0.5
nej	glec	2	6	8e-04	0	0.5
dlg1	glec	2	6	0.0048	0	0.5
Lcp65Ag1	glec	2	6	0.002	0	0.5
Es2	glec	2	6	0.0019	0	0.5
MED24	glec	2	6	5e-04	0	0.5
Vhl	glec	2	6	8e-04	0	0.5
tral	glec	2	6	5e-04	0	0.5
sns	glec	2	6	0.0015	0	0.5
mbl	glec	2	6	0.002	0	0.5
sav	glec	2	6	1e-04	0	0.5
lola	glec	2	6	0.0014	0	0.5
robo	glec	2	6	4e-04	0	0.5
CG32486	glec	2	6	4e-04	0	0.5
santa.maria	glec	2	6	0	0	0.5
stumps	glec	2	6	6e-04	0	0.5
