Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	glu	2	6	0	0	0.5
emp	glu	2	6	0	0	0.5
CG2678	glu	2	6	0	0	0.5
crc	glu	2	6	0	0	0.5
pros	glu	2	6	0	0	0.5
neur	glu	2	6	0	0	0.5
Rab5	glu	2	6	0	0	0.5
Rab7	glu	2	6	3e-04	0	0.5
Mmp2	glu	2	6	0	0	0.5
W	glu	2	6	0	0	0.5
bowl	glu	2	6	0	0	0.5
fd59A	glu	2	6	0	0	0.5
e	glu	2	6	0	0	0.5
ben	glu	2	6	0	0	0.5
rdo	glu	2	6	0	0	0.5
lin	glu	2	6	0	0	0.5
tra	glu	2	6	0	0	0.5
tra2	glu	2	6	0	0	0.5
cathD	glu	2	6	0	0	0.5
d	glu	2	6	0	0	0.5
lva	glu	2	6	0	0	0.5
pbl	glu	2	6	0	0	0.5
CG33205	glu	2	6	1e-04	0	0.5
da	glu	2	6	1e-04	0	0.5
cactin	glu	2	6	0	0	0.5
hpo	glu	2	6	0	0	0.5
Sema.2a	glu	2	6	0	0	0.5
Eip74EF	glu	2	6	0	0	0.5
eg	glu	2	6	0	0	0.5
Arc42	glu	2	6	0	0	0.5
toy	glu	2	6	6e-04	0	0.5
Galpha73B	glu	2	6	0	0	0.5
RhoGAPp190	glu	2	6	0	0	0.5
MED11	glu	2	6	0	0	0.5
cher	glu	2	6	3e-04	0	0.5
BicD	glu	2	6	0	0	0.5
MYPT.75D	glu	2	6	0	0	0.5
mus304	glu	2	6	0	0	0.5
CdsA	glu	2	6	0	0	0.5
btl	glu	2	6	0	0	0.5
Cyt.c.d	glu	2	6	0	0	0.5
tok	glu	2	6	0	0	0.5
ttk	glu	2	6	0	0	0.5
tamo	glu	2	6	1e-04	0	0.5
CG6416	glu	2	6	0	0	0.5
flfl	glu	2	6	1e-04	0	0.5
Pvr	glu	2	6	5e-04	0	0.5
kay	glu	2	6	1e-04	0	0.5
Jra	glu	2	6	0	0	0.5
msk	glu	2	6	0	0	0.5
tll	glu	2	6	0	0	0.5
Tm1	glu	2	6	3e-04	0	0.5
srp	glu	2	6	0	0	0.5
Btk29A	glu	2	6	0	0	0.5
fred	glu	2	6	0	0	0.5
Src64B	glu	2	6	1e-04	0	0.5
Mmp1	glu	2	6	0	0	0.5
sll	glu	2	6	6e-04	0	0.5
Hmgs	glu	2	6	0	0	0.5
caps	glu	2	6	0	0	0.5
Su.var.2.10	glu	2	6	1e-04	0	0.5
CycB	glu	2	6	0	0	0.5
spir	glu	2	6	0	0	0.5
spn.A	glu	2	6	0	0	0.5
Ptpmeg	glu	2	6	0	0	0.5
qua	glu	2	6	2e-04	0	0.5
msn	glu	2	6	1e-04	0	0.5
ena	glu	2	6	1e-04	0	0.5
spen	glu	2	6	0	0	0.5
emc	glu	2	6	0	0	0.5
tsh	glu	2	6	2e-04	0	0.5
Dat	glu	2	6	2e-04	0	0.5
Lac	glu	2	6	0	0	0.5
dup	glu	2	6	1e-04	0	0.5
CG3075	glu	2	6	0	0	0.5
Akap200	glu	2	6	0	0	0.5
CG18369	glu	2	6	0	0	0.5
